🔴 Akt drugi i jamnik długi | BALDUR'S GATE 3 Livestream #7
🔗 https://www.youtube.com/watch?v=L0SlofPtLhc

73:  Dzień dobry.
154:  Dzięki za oglądanie!
199:  © PTA & TVP
331:  © PTA & TVP
480:  Cześć.
483:  Witam wszystkich, witam wszystkich przybyłych, by w glorii i przypale przemierzać świat Ferunu, moi drodzy.
493:  Wracamy do... Miałem powiedzieć Warhammera, a tak naprawdę wracamy nie do Dungeons & Dragons, tylko wracamy do Baldur's Gate 3.
501:  Witam serdecznie, moi drodzy.
503:  Inaczej oświecony, już ostatecznie wymienione wszystkie lampy.
507:  Jest softbox, który na mnie pada.
509:  Jeszcze raz dziękuję serdecznie wszystkim wspierającym wieżę i jej rozwój.
513:  Co powiedziawszy, witam serdecznie Józ, Aldona, Gakla, Pauciusz, Animomon, Sara Gawrońska, Astroj, Szept, Cieni Wystrzałowy, Jamnik, Łukasz Steńsławczyk, Lucyfer Garrea, Dawid Wojacki, Grzybnia Pierwotna, Damian Kajm, Rafał Biurkowski, Mlekołak22, Kacper Kuzak, Pazn...
530:  Puzle.
531:  Pucle!
532:  793.
532:  Ciekaw jestem, która wersja zwycięża na czatach.
537:  Ja zawsze uważam, że puzle.
539:  Sphinx.pl, Alysan Imperium, Elkobustion, Jakub Gryko, Torczy, Dorka, Kornel S, Morsztyn, Piotr Zawieja, Ditwa Ebon, Suzy Diamond, Paweł Sniksneus, Patryk A, Wukotrak,
551:  Kajnen, serdeczne pozdrowienia dla wszystkich fanów Grzędowicza, Kaja, Zetsubusama, Lotrana, Pademifernes, Jesa, Sybin, CzerwonyLis, PawełSixenus, Dorka, KwakArt, FrancuskaBagueta, John Lee, Mikołaj Trąd, Kambriana, Damian Machnik, Polpoliko, 222, Trujan, Mateusz Motta, Jakub Jankowski, Ansobie Grabi,
574:  Jan Papy, Spapaj, Arabe44, Bukidjota, Chalski, Damian Kajm, Garnat, Fajlawen, Kacper, Max K, Mateusz Motta, Pandeu, Rajt, Fajer, Jah, Wiktoria Kulińska, Arrora, Franciszek Michalski, Wąski, Mokatte, Pan Magdalena, Martren, Franciszek, Szymon Szulc, Rafał M, Odep, Ołtpier, Jaolin,
603:  który pisze, że o Warhammerze w ostatnich dniach to lepiej w ogóle nie wspominać.
606:  Jest to prawda.
607:  Chociaż jednostki wprowadzone po stronie Kitaju kuszą.
610:  To nie zamierzam grać, póki nie stanie je.
614:  Paweł Snikseus, Greenaxe, Kaloka.
617:  Lucifer pisze, że jestem jaśnie oświecony.
619:  Chciałbym.
621:  Czajnik gazowy.
623:  Pan Remix.
624:  Oczywiście, że można usiąść i posłuchać zawsze Aldona Ka...
628:  Sara, Kacper, Kornel, Dominik865, witajcie wszyscy serdecznie moi drodzy, jak zawsze stali i nie stali widzowie streamów, ja tymczasem włączam już nasze baldurowanie, ale zanim włączę baldurowanie moi drodzy, to jeszcze krótkie ogłoszenie drobne, to znaczy będzie odcinek.
647:  Wreszcie zrobimy odcinek.
650:  Odcinek nie wiem, czy będzie vlogowy, czy będzie bardziej dla każdego coś przykrowy, wy to ocenicie, natomiast równocześnie nadmieniam, że najbliższe dla każdego coś przykrego, takie konkretne, długie, będzie o hicie 2, bo trzeba to rozebrać na czynniki pierwsze.
667:  Więc będziemy sobie mówili o elityzmie prawie na pierwszego września.
670:  Prawdopodobnie jutro zrobimy premierę.
672:  Zobaczymy.
673:  Zobaczymy.
674:  Zobaczymy kiedy, moi drodzy.
675:  Gnomeus, dzięki serdecznie za Guten Gnomen.
679:  Wspaniałe powitanie i dziękuję Ci za trybut od razu.
684:  Krzysztof czyta, powitaj na tak naprawdę trening dykcji przed Steamem.
686:  Aaa, czemu by nie, czemu by nie?
688:  Ostatnio widziałem informację o treningach dykcji na kanale Na Gałęzi.
694:  Tam bodajże Marcin Łukański mówił o tym, że trenuje dykcję, mówiąc różne dziwne rzeczy i starannie wykrzywiając aparat gębowy w tym celu.
705:  O, nie zmyślam.
708:  Puzzle przez Z. Nie jestem psychopatą, pisze Maltren.
711:  Prawda?
712:  Prawda?
714:  Gwakardziki z atrybut.
716:  Światło i gra i jest fenomenalnie, pisze Ezio.
719:  A się cieszę, moi drodzy.
721:  Rozwiązanie było takie i idea była taka, powiedział Krzysztof, przestając grać i zaczynając znowu mówić o światłach, żeby wrócił ten lekki cień, który był na początku dla każdego coś przykrego i w ogóle na początku, jak nagrywałem
735:  ale równocześnie, żeby wszystko było dobrze widoczne.
737:  Więc jeżeli się podoba, to się bardzo cieszę.
741:  To prawda, ja poczekam sobie dłużej, bo postanowiłem, że kupię dopiero jak bugi naprawią w technologiach, pisze Bear, odnośnie do dodatku do Warhammera 3.
747:  To też wam, moi drodzy, doradzam.
749:  Poczekać, niech naprawią.
751:  Przede wszystkim niech wyjdzie trochę więcej tych dodatków.
754:  Może jak dwa wyjdą, to wtedy sobie kupić.
757:  Czy skoro jest nowe oświetlenie, to można zakładać nowe bluzy do streamingu?
760:  Nie wedariusz.
761:  Tradycja jest ważna.
763:  Na koniec ostatniego live'a ewoluowała ci kijanka.
766:  Pokażesz, co się odblokowało?
767:  Zrobimy tak, moi drodzy.
769:  Kontynuuj.
772:  Strumyk z rana, żeby dłużej pograć?
773:  Gorzej.
774:  Strumyk z rana i wcześniej kończymy, bo wyjeżdżam jutro o świcie bladym na Dni Fantastyki i jeszcze muszę przygotować rzeczy, moi drodzy.
784:  Czy polecam Malazan?
785:  Polecam, na razie mogę powiedzieć na podstawie lektury pierwszego i drugiego tomu, że drugi tom jest o wiele lepszy i rozwija się tam, moi drodzy, akcja, więc jeżeli martwiliście się tym mocno, że pierwszy tom na przykład sprawił, że odpadliście, to może to być dobry pomysł.
802:  I cyk, koniec pracy.
803:  Jak wspaniale pan Deu.
805:  Pan Remix pisze, że wrócił do szkółki gliczów, myślał, że to w drugim akcie i pominął.
809:  Na szczęście się da wrócić.
811:  Gitów, dlaczego przeczytałem gliczów?
813:  Ja myślałem, że mówisz o jakichś gliczach, a ty mówiłeś o akcie drugim.
