🔴 Co się wydarzy w odlewni Stalowej Straży? | BALDUR'S GATE 3 Livestream #22
🔗 https://www.youtube.com/watch?v=7NSqKEOCfqg

12:  © PTA & TVP
150:  Co mężczyźni mogą zrobić przeciwko tak niszczącym nienawidzeniu?
299:  Witam wszystkich przedświątecznie, przedwigilijnie, w wigilię, wigilii na naszym następnym strumyku z Baldur's Gate 3.
312:  Witam najserdeczniej wszystkich przybyłych, wszystkich sprzątających i wszystkich przygotowujących rzeczy.
318:  Król Dżumiec, Joglor, Rafał Piórkowski, Czerwony Lis, Grimhog, Mats, Niestatystyczna, Gosia Ośka, Lotrana, Java S, Grzegorz Sikora, Graphic Witch, Krzysztof Wójcik oraz Mats i Tarael i Karolk45, Pademif Ernest, Lukas Enpai, Szeptucha, Black Cats, Squall, Corvus Corax,
340:  Greasy Siatsu, Danuta Trzaskowska, Kazarkoł Mak, Yamnito, Piekielnego Ognia, Parmegiano Reggiano, Jackie Left, Płonąca Pyrka, Siper, Nie wiem, Jędrzej Jaśmin, Gaius, Flavius, Valerius, Konstantinus, Joe Wu, TheVixxon, któremu dziękuję za 16 miesięcy wsparcia,
360:  Wesołych Świąt takoż i dla Was Małgorzata Piłat, Piotr, Mara, Miokun, Rujkarę, Gosia Ośka, której serdecznie życzymy zdrowia i wszystkiego prozdrowotnego.
371:  I Akary, i Mara, i Brendo, balrog72, i lejnat10, miokun, majster, zoś, aln7, nevrast, weltfree, urszula giewon, i kamagrinberg, i ojkurczak.
388:  I wszyscy stali, nie stali, widzowie kanału, wszyscy, którzy będą słuchali tego jako zapisu, moi drodzy, będą się działy rzeczy, obiecuję.
397:  Co powiedziała wszyscy, sam Joe Vandriniego, chociaż jest przepiękny absolutnie i przewspaniały, moi drodzy.
402:  Ale, ale mamy dużo do roboty.
405:  Mamy dzisiaj bardzo dużo do roboty.
407:  Nie wiem, czy uda nam się skończyć, ale zobaczymy.
409:  Jak widzicie, startujemy tak, jakby nie było tej nocy.
415:  Startujemy tak, jakbyśmy wczoraj świeżo stwierdzili, nie, nie, że lecimy dalej, moi drodzy.
422:  Więc nic się nie zmieniło od tego czasu, poza tym, że trochę uporządkowałem interfejs, nakląłem się następnie na tym, że jakiś geniusz, który to projektował, stwierdził, że strzała ryczącego gromu jest świetna do pokazania od razu automatycznie tutaj w tym menu dla postaci niewyposażonej w broń dystansową.
439:  Genialny pomysł.
441:  Tymczasem 16 godzin później.
443:  Tak jest.
443:  Było 16 godzin temu.
446:  Dawno mnie nie było na scenie.
446:  Piękna sprawa.
447:  Taki powrót.
447:  Pisze Kotlet.
448:  Witam cię z najserdeczniej.
450:  Lore na start od Joglola, naszego loremistrza.
453:  Przybyszów, takich jak diabły czy demony, można zabić tylko i w ich rodzinnych planach.
456:  Czyli tu!
458:  Na świat materialny przybywały tylko ich słabsze manifestacje.
461:  Wiecie, co chciałem sprawdzić od wczoraj?
464:  Pamiętacie może, że tutaj było takie miejsce, z którego były różne...
471:  Lustra prowadzące w różne miejsca.
473:  Chciałbym zobaczyć te miejsca.
477:  W opcjach można wyłączyć automatyczne przypisywanie strzał do paska.
480:  Naprawdę?
481:  Gdzie to jest?
482:  Rozgrywka, klawisze, interfejs.
490:  O Boże, cudownie.
492:  Nie!
494:  Automatyczne... No ta...
498:  Czemu nikt mi o tym nie powiedział?
501:  W grze!
503:  Czemu?
507:  Nadzieja?
509:  Nadzieja jest matką głupich i umiera ostatnia.
511:  Tak a propos.
512:  Dziękuję, Taraelu.
513:  To bardzo pomocne.
515:  Yyy...
522:  Krzysztof miał zacząć od przeczytania dziennika Rafaela.
524:  O, dziękuję królu Dżumcu za przypomnienie.
527:  Oczywiście, że o tym zapomniałem, no natychmiast.
529:  Teraz tak, gdzie było to przejście?
533:  Tutaj mamy, moi drodzy, jeśli pamięć nie myli, tak, tu jest archiwum, to nie, to nas nie interesuje.
540:  Gdzieś były te lustra, one były super.
544:  Możemy sobie w międzyczasie podejść do kraników.
548:  Sami oglądam live w świątecznej atmosferze, pisze Diobun, Diobun, wszyscy są nerwowi.
554:  No tak, nie ma to jak radosna, świąteczna atmosfera.
559:  Ta muzyka wczoraj, a nie macie wrażenia, że to, co teraz słyszymy, jest bardzo podobne do muzyki, która grała nam, jak walczyliśmy z siostrą Fridą?
568:  O, już nie działa, ciekawe.
574:  Bardzo mi to przypomina.
575:  Łajtki, witamy serdecznie.
578:  Krzysztof poszedł coś zjeść do kibla i od razu wrócił.
580:  Tak, tylko 16 godzin, moi drodzy.
583:  Może tutaj były te lustra.
584:  Cholera jasna.
585:  Obejdę całość i znajdę.
587:  Tu!
590:  Tu!
594:  Bo na pewno coś ciekawego usłyszymy.
598:  Menzoberranzan.
603:  powiedziałem to nawet dobrze miasto pająków rękawice i zbroje dla posełnej do założenia wykluczone wykluczone tej zbroi nie zmieniamy cudowne rękawice karwasze nie
632:  Rękawice łowienia dusz twoja, taki bez broni zadają, ale my nie mamy takiej postaci, która by walczyła bez broni, więc...
640:  Yup.
642:  Luskan.
647:  Ja tu zawsze czytam Luskan, sorry.
654:  Choinka ubrana, prezenty spakowane, okna umyte, jeszcze tylko awantura, chuj wie co, i będzie można zaczynać Wigilię.
661:  Wyjdzie opadem i fernet.
663:  Jak zobaczyłem na Twitterze, że streamujesz bardzo lepsze humory, pisze Łajtki, czyli widzicie, czyli te moje informacje na Twitterze, że streamuję, nie są złym pomysłem.
670:  Zdrowie nie dopisuję, święta daleko od każdego samemu spędzam, ale może i lepiej, odpocznę na ludzi, nie zarażając nikogo.
677:  Moi drodzy, zdrowotne jamniki dla Łajtki w takim razie.
680:  I wiesz co, mnie się kiedyś zdarzało spędzić święta samemu i nie było to złe, pod warunkiem oczywiście, że były dobre gry i dobre książki.
689:  Wtedy można, dobra herbatka, dużo warunków, dużo rzeczy musi być dobrych.
695:  Myślałem, że to nas przeteleportuje akurat.
701:  Menzoberrandzan to miasto drogów położone w podmroku, wyjaśnia Joglol, pod mithrilowymi halami.
708:  Stolica drogów poddanych Lolth, gdzie jej wiara była najbardziej rozpyleniona.
712:  Teraz to są gruzy już.
715:  No proszę.
717:  Neverwinter!
720:  Najlepsza część.
721:  Zawsze wolałem Neverwintera od Baldur's Gate 2.
724:  O nie, a teraz się wszystkim narażę.
728:  Cześć Ewelino, witamy serdecznie.
730:  Jeszcze ciepłe mieszkanie.
731:  Tak, ciepłe mieszkanie jest dobre do czytania, potwierdzam.
734:  Widzicie, jaka mam dzisiaj super herbatkę?
736:  Pomarańczowe ciasteczka.
741:  A w Katli w ogóle nie znam.
743:  No cóż, my jej nie zobaczymy.
772:  Czy pojawia się na nagraniach RP, ale na żywo?
774:  Nie reklamując konkretnego kanału, widziałem już nagrywki GF Darwin, zastanawiam się, abyś ty wypadł.
778:  Ja nie jestem dobry do RPGów, moi drodzy.
780:  Wiecie, ile razy na Spalmy to mnie zapraszali?
782:  O bogowie.
783:  Pójdźmy do tego... Możemy się stąd teleportować, czy nie?
786:  Nie możemy.
788:  Musimy wrócić do Fwaye.
792:  Najposłynnej rękawicy giganta.
794:  Rękawicę giganta dostała Carla.
799:  A w Cutla to właśnie Baldur's Gate 2, okej.
803:  Dzięki RRB i dzięki za wsparcie od 17 miesięcy.
807:  Gdzie kupujesz herbaty pomarańczowe, ciasteczka?
809:  Herbata pomarańczowe, ciasteczka jest z Five O'Clocka.
811:  Ja wszystkie herbaty kupuję w Five O'Clocku.
814:  Tam są moje ulubione.
817:  Moja rodzina, pisze Morsztyn, wymyślała sobie wyjazd świąteczny do domku w górach.
819:  Cztery dni pozbawienia wolności na zadupiu.
821:  Dzisiaj oznajmiłem, że nie jadę, bo wolę zostać z chorym psem.
823:  Best decision ever!
825:  Nie, absolutnie.
826:  Nigdy w życiu do żadnego domu w górach.
828:  To brzmi jak sceneria z horroru.
831:  Bym nie pojechał na święta.
832:  Jak?
833:  Tak, chcę wrócić do rogatej opłaty.
834:  So you burned your way into the devil's lair.
838:  Risked mind, limb and freedom.
840:  All to steal the Orphic Hammer.
848:  Mam nadzieję, moi drodzy, że głośność okej jest.
858:  Czy będzie Rock Trader po baldurze?
860:  No niks jest, niestety nie, bo jak się dowiedziałem, że The Wowie wspierają moskwicki reżim, to nope.
866:  To nope, trudno.
867:  Trudno!
870:  Ale za to będzie Space Marine 2, jak tylko wyjdzie.
874:  I na pewno wrócimy do Warhammera Total War.
879:  Hmm.
881:  Orfeusz nie powinien zostać zdominowany.
883:  Powiedział nie do magii, a nikt sobie nie pamiętał, kim jest Orfeusz.
891:  Jak ktoś ze światem Baldurzy ma określone ramy, czy jest generowany na bieżąco?
894:  Technicznie?
898:  Technicznie nie jest generowany na bieżąco, nie jest proceduralnie generowany.
907:  Co jest w zasadzie koniecznością, ponieważ świat gry jest osadzony w świecie Forgotten Realms, czyli w świecie Ferunu, na kontynencie Ferunu, a zatem gdybyśmy proceduralnie cokolwiek generowali, to ryzykowalibyśmy błędy lore'owe.
922:  Tak, Dzienniki Rafała pamiętam.
929:  Czy ktoś pamięta, kim jest Orfeusz?
932:  Skądś go znam.
934:  I nie, nie mam na myśli mitologii greckiej.
938:  Będę z tobą współpracować, ale nigdy ci nie zaufam.
942:  Nigdy nie prosiłem, żeby być skazanym na ciebie.
944:  O, to jest pomysł.
950:  Tak zwana wymijająca odpowiedź.
952:  Orfeusza spotkałem w pryzmacie, jak był uwięziony.
955:  A to!
961:  Ho!
964:  Było coś takiego, faktycznie.
973:  Jego uwolnienie ma doprowadzić do wojny domowej wśród Githianek?
976:  O Boże, to oczywiście, że go uwolnimy.
985:  That's what she said.
993:  Orfeusz jest postacią kluczową w wątku Le Zille, okej.
998:  Nie masz pojęcia, co się z tym wiąże.
1002:  To prawda, skoro nie mam zielonego pojęcia, ale nienawidzę Githianek.
1005:  Gdybym mógł doprowadzić do ksenocydu Githianek, to tak bym zrobił.
1011:  Zdobyć ręgawicę dla Helsik.
1013:  A, okej, okej, okej, okej.
1014:  Faktycznie coś takiego było.
1015:  Natomiast pierdwej, moi drodzy.
1018:  Dzienniki.
1020:  Najnowsze.
1023:  Dziennik Rafaela, część 3.
1025:  Będziemy sobie to, moi drodzy... Dawkować.
1035:  Bardzo długo szukałem tego czasownika.
1038:  Rzadko go używam.
1040:  Urszulo, dziękuję Ci za trybut.
1041:  Urszula Gion pisze, że z zapaleniem pochewki ścięgnistej w stopie jest więziona w domu na tydzień i ma zamiar ograniczać ruchu do minimum.
1049:  Tak, zdecydowanie.
1050:  Takie zapalenie brzmi jak plet, kocyk i herbatka.
1054:  Święta spędzam z futrzakami.
