🔴 Dziś uwierzę w Księżycowe Wieże | BALDUR'S GATE 3 Livestream #10
🔗 https://www.youtube.com/watch?v=4hSCUZxzajs

10:  KONIEC
91:  KONIEC!
122:  Muzyka
257:  Muzyka Muzyka
292:  Muzyka
322:  Muzyka
368:  Muzyka
388:  Muzyka
405:  Witam w wyjątkowy stream piątkowy, moi mili.
408:  Grało nam... Nie wiem, co nam grało, już wam mówię.
410:  Dragon Tamer nam grał, Conquest, a teraz Lost Crusaders, a ja wszystkich witam najserdeczniej, bo dzisiaj dzień radosny, dzień balduży.
418:  Nevrast, Kluhen, Muchen, Westrongest, La Paz, Poprostum, Kagralt, Gnuśny Jamnik z Powłoki, Teflonowy, Arasaki, X403, Mindemoniusz, Mirasaki, Piotr Danisz, Megafuka, Wenzan, Grzegorz Sikora, Guni3353, Nevrast, Dorka, Palitkeusz, SphinxPL,
434:  Garef Kordrak, Łukasz Głogowski, Szalony Kapelusznik, Balburgate, Wszystko Widzę, Co Piszesz, X403, Dominik Kosibas, Suzy Diamond, Bjorn Hurdursson, Szalony Kapelusznik, Raciavelli, Agatka, Balrog72, Raciavelli po raz drugi, Oskar Draus, Megafuka, Pał Pał, Astroj, Artur44, któremu się wyświetlają reklamy, mimo że...
457:  Specifically zakazałem YouTube'owi tego robić, ale YouTube eksperymentuje z reklamami, w związku z czym szykujcie swoje adblocki.
462:  Agnieszko, witam także Just Whitely, Gawiedo, Nirimi, Dorka, Nixios, Brontos, Joglol, Ditfirebone, SMQQ, Jus, Momo Zapominajka, Tojakja, Pademyfernes, MaxW,
479:  Suki Tsubane, kazerką adept Jamniczego Ognia, który się cieszy z tego, że jest już wspierającym od dwóch lat.
485:  To ja się powinienem cieszyć, ale za dwa lata wsparcia jest plakietka Ognistego Maga, więc cię nie dziwię.
490:  Jamnicza Kapłanka z Allenstein, Jaruzel, Tektro, Max W, Dominik Kosiba, Lukas P, Tomasz John Johnson, Emeriu, Natalia, Łukasz Szelewicki, Rakta, Bartłomiej Milczarek.
