🔴 Krzątanina we Wrotach Baldura | BALDUR'S GATE 3 Livestream #17
🔗 https://www.youtube.com/watch?v=MnFn1T1_EQE

75:  Dzień dobry.
137:  Muzyka
186:  Witam wszystkich poniedziałkowo, moi drodzy, wyjątkowo dzisiaj, dlatego że nie było wczoraj streamu, gdyż był Imladris, był w sobotę i był w niedzielę.
196:  Witam wszystkich, którzy po Imladrisie, witam wszystkich, którzy się nie załapali.
199:  Sputnik jeden, Dariusz Tokarczuk, Mikołaj Trąd, Silent Raksar, Wredeson, The Lord of Fire, Astrzej Vesper.
206:  Ryus, Mats, Megafuka, Taon, Sebastian, Żałunowski, Deskorian, Karinatasza, Padem i Fernes, Arrora, Tomasz Kowalczyk, Martyna, Kazarkoł, Mag, Piekielno Jamniczego Ognia, Deskarion, Kamil Gałka, Magda, Szipiszapa, Sputnik, Danuta Trzaskowska, która pisze, że miała wspaniały dzień, cieszymy się, Korwus Korax, Misia Pysia, Parmedziano Redziano, Karo, Natalia Kukieła, Teodor20,
232:  Nie wiem, jak cię przeczytać, Teodor, okej?
235:  Arrora była czytana Nadia Lewi, resztą naszych wspaniałych moderatorów niech będzie powitana Oskar Draus, jest już muzyczka i ust, jest, spokojnie, dzisiaj troszeczkę później się włączyła Emery Joanna Wolny, Gorbex oraz Kevlar i Baal, Patrycja B., Newrast, Betonowy Beton, Sara Gawrońska, Adam K., Sebastian Żołnowski,
256:  W ogóle towarzyszy nam, moi drodzy, muzyka od Bonnie Grace, The Goths.
261:  Nie jestem w stanie uwolnić się od tego pięknego utworu.
265:  Witam Lucifera serdecznie, Karina Tasa, Gorbex, Guni3353.
283:  Właśnie, rura pękła w kamienicy i nie mam wody, pisze Serenox.
286:  Najgorzej, ale mam nadzieję, że jest internet.
289:  To jest najważniejsze.
290:  I nie lecisz na komórkowym, bo taki najgorszy.
293:  Raciaveli, Michael789, Nokii11, Wierzpinkw, Magdalena.
299:  I wszyscy, moi drodzy, stali i nie stali widzowie streamu, a przybyli dzisiaj.
304:  Wracałem, moi drodzy, po nie wiem jak dawno już do Baldura.
308:  Nie byliśmy już zbyt długo w świecie Ferunu, moi drodzy.
313:  To się naprawi.
313:  Co więcej, oznajmiam, iż wrócimy również do Warhammera nie 40 tysięcy, ponieważ niestety został opóźniony Space Marine 2.
323:  Bardzo mi przykro, no ale cóż, na to poradzimy.
325:  I co więcej, został opóźniony o prawie rok, jeśli plotom wierzyć.
329:  Natomiast wrócimy do Warhammera Fantasy, w Warhammerze Total War, oczywiście.
335:  Człowiek pisze, że ogląda na komputerze, czyli internet jest dobrze.
338:  Ennea Gramor, witam, dziękuję serdecznie za wsparcie od 17 miesięcy.
343:  Trzeci w dzień walki u Frogetta z zębem mądrości, opuchlizna na twarzy już schodzi.
347:  Pamiętam, jak i mnie operowano te zęby, które są zębami głupoty.
352:  To nie są zęby mądrości, one nie zasługują na taką imianę, moi drodzy.
355:  To są głupie zęby, najgłupsze z wszystkich, wycofywane przez ewolucję.
359:  I musiałem przez jakieś dwa tygodnie pić rosół i jeść zupę pomidorową i nic więcej.
364:  Nie da się tak żyć, nie da się tak jeść.
366:  Betonowybeton pisze, że nadrabia obecnie serię z Lies of Pi.
368:  Jak o tym charakter i historię Sofii?
370:  W ogóle, jeżeli chodzi o fabułę w Lies of Pi, coś wspaniałego i muszę wam zdradzić, że na... Boże drogi, nie Fornoście, tylko Imladrisie otrzymałem... Kwarc!
383:  Bo moi drodzy, po tylu potyczkach, po tylu potyczkach jest wreszcie bryłka kwarcu.
390:  Najcenniejszy surowiec w Lies of Pi.
394:  I otrzymałem go wtedy, kiedy grę skończyłem.
396:  Ale dziękuję wciąż.
399:  Kuroi Yuki Hime, jeśli mnie pamięć nie myli, wręczyła mi kwarc, moi drodzy, niewyraźny kwarc.
403:  Ciężko było zrobić fokus na tym kwarcu.
406:  Czy planowany jest jamnik kwarcowy?
408:  To były bardzo ciężkie.
410:  Moi drodzy, nie wiem gdzie jestem, nie wiem co się dzieje.
412:  Wiem, że przeżyliśmy straszne rzeczy ostatnio, to znaczy byliśmy w tym miejscu.
418:  I mieliśmy quest posępnej.
421:  Który to quest posępnej udało się doprowadzić do szczęśliwego końca.
424:  Mam przynajmniej taką nadzieję.
426:  Wyszedłszy stąd, musiałem się wycofać, ponieważ okazało się, że były nieprawdopodobne wprost lagi.
432:  Dziś już nie będzie lagów.
433:  Co więcej, poznajmiam wam...
436:  że za dwa miesiące będzie internet, który jest tak dobry, że został specjalnie doprowadzony do mojego domu.
442:  Znaczy, będzie doprowadzony, przynajmniej przez 8 tygodni, będą trwały prace, ryją w tym momencie przez podmiasto krakowskie, wykurzają klany Skavenie po to, żeby podprowadzić internet.
454:  1000 giga, znaczy 1000 megabitów na sekundę, czyli 1 gigabit na sekundę, we 2 strony!
460:  W związku z tym nigdy już nie będzie lagów.
463:  Jak zawsze Krzysztof idzie w overkill, moi drodzy.
467:  Aurora pisze, że była świadkiem przekazania kwarzu i potwierdza, ale nie podeszłam się przywitać, bo dzikuz jestem.
472:  Spokojnie Aurora, ja miałem tak strasznie dużo poplanowane z rodziną, z przyjaciółmi, później różnego rodzaju wyjści obiadów, że i tak biegłem strasznie z konwentu.
480:  Wstyd przyznać, ale biegłem, moi drodzy.
483:  Uwolnij malarza, sprawdź co słychać u Lady Yanaf.
486:  Idziemy, moi drodzy, do Lejdianaw.
488:  Jest to niedaleko, więc trzeba to zrobić.
490:  Czy Krzysztof dokończył sekwencję z lustrem?
492:  Krzysztof nic nie wie.
493:  Ja zamierzam dzisiaj, moi drodzy, czyścić Baldura, to znaczy idziemy kamienica po kamienicy i wszystko czyścimy.
500:  Krzysztof przewoduje całe Kraków, byleby wieża mogła nadawać.
503:  Nie inaczej, Wesper.
504:  Czy ja tutaj mogę po prostu się włamać, jak myślicie?
507:  Myślę, że tak.
508:  Czy była wizyta w domu Rafaela?
509:  Wydaje mi się, że nie.
512:  A może tak?
513:  Na pewno widzieliśmy się z jakimś czartem, moi drodzy.
518:  Czy mam Czarny Pryzmat w wersji fizycznej?
519:  Jeśli tak, to jakim cudem pisze Gen Greyman?
521:  Kupiłem Gen Greyman, Czarny Pryzmat, cały w wersji fizycznej i co przywodzi mnie do tego, żeby wam jeszcze raz polecić tę wspaniałą książkę, na Alledrogo.
531:  Tam jedno to było dostępne.
534:  Krzysztof miał zły internet, Krzysztof zamówił internet, który będzie doprowadzany specjalnie dla niego przez krakowskiego.
538:  Krzysztof nie idzie na skróty, nie inaczej.
540:  Kolejny światłowodzian po Rysławie.
542:  Tak, będziemy mieli sagę światłowodową, moi drodzy.
546:  Ale przynajmniej w umowie, która jest na 36 miesięcy i nie chce wiedzieć... Nie chcecie wiedzieć, na jaką kwotę jest powiedziane, że mam zagwarantowany ten przesył.
557:  Możecie mi wyjaśnić, co się tutaj dzieje i dlaczego wszyscy chcą nas zaatakować?
562:  Ach, tu jest coś w środku.
564:  Poltergeist?
567:  Jaki poltergeist?
570:  No tego to ja się nie spodziewałem kompletnie.
573:  O nie, najgorsza misja, pisze Danuta.
575:  Pocieszasz mnie, pocieszasz mnie.
579:  Czy niedomag w końcu współżył?
581:  Tak jest, misiu pyciu.
582:  Współżył i to dwakroć.
584:  Przepraszam.
585:  Trzykroć.
586:  Raz z druidem.
589:  Raz z samym sobą.
592:  Nie jeden raz z Samsungą.
593:  I raz na pewno z diablicą, demonicą ostatnim razem.
