🔴 Marniej nad Marnieje i wszystek Marniej | BALDUR'S GATE 3 Livestream #4
🔗 https://www.youtube.com/watch?v=5qcVwDm1mXY

5:  muzyka
69:  Muzyka
131:  Muzyka
161:  Cześć.
414:  Witam wszystkich przyjamniczej niedzieli!
419:  Gdy Baldur's Gate czekał, smażył się już od czwartku!
423:  Przepraszam za nagłe odwołanie streamu wtedy i witam wszystkich najserdeczniej!
428:  Arkadiusz, Cebula, Gen, GreyMay, Gareth, 91PL, Palitkeusz, Beata Kotarska, Astroj, Mściwór, Jakub!
435:  Depressed Espresso, Elf, Ewa Jędrzejczyk, Mega Fuka, Susie Diamond, Kwagart, Rafał Piórkowski, Vampir, Ken, Sara Gawrońska, Silent Rapture, Rua, Jakubek, Serenox, Roflex, Blurryface, Pierwszy Zaklinacz, Ardus, Cytrus, Damian, Kaim, Flaminguel, Serenox, Czajnik Gazowy, Józ, Czerwony List, Suki Tsubane, Ketrin, Uzumaki, Bartłomiej Minczarek, Rosu, Skóry z Domowej, Venzant,
464:  Nightflash, Azmo, Darek Masiejczyk, który przypomniał o fajnej rzeczy związanej z warunkami grania w Baldur's Gate 3, to przeczytałem, Mateusz Motta, witam serdecznie, Catriona, Marbox, 3P, Lucifer, istota żyjąca, John Whiteley, Rapture 2003, Vampir, Ola Nowicka, Wilczarz, Pralinka, Astray, Catherine, Uza, Maki, Emerium, Isa, Chan, Jacek, 71.00, Astray, jeszcze raz, Simon,
489:  istota żyjąca, bierny obserwator, Michał Siworski, profesor Cruento, Guni3353, Misalczan, ja Wojciech Jakub, nie teraz, nie teraz, to też był użytkownik, moi drodzy, Teurlaj, Bambi, Grim Lukas Szeptcieni, witam wszystkich stałych i niestałych widzów, tradycyjnie witam wszystkich, którzy tęsknili za Baldur's Gate 3, witam wszystkich, którzy czekają na Cyberpunk'a i nie oglądają dlatego Baldur's Gate 3, witam wszystkich, którzy czekają na Cyberpunk'a, niezależnie od tego oglądają Baldur's Gate 3,
516:  Witam wszystkich, którzy nie spodziewają się, że wtorek będzie stream, chociaż może lepiej, żebym nie zapowiadał, żebym znowu nie musiał odwołać.
522:  Witam Oskara Drausa, Kagralda, Drzewcu, Jan Goticki oraz Plank, Brendo, Kaledorna i wszystkich przybyłych.
532:  Moi drodzy, a zanim zaczniemy, zanim zaczniemy grańsko, ostre, a intensywne, to pozwólcie, że pokażę wam tę cudowną rzecz, a mianowicie, jak słusznie przypomniał nam Darek,
542:  Jest, moi drodzy, przeciekawa rzecz związana z warunkami gry w Baldur's Gate 3.
548:  Mianowicie, znakomiti ci cudowni lariani, jak zawsze, w trakcie tego nudnego dokumentu prawniczego Jula, którego nikt absolutnie nie czyta, zawarli następujący fragment.
559:  Czas na przerwę, ponieważ rozumiemy, że twój umysł tęskni za wytchnieniem po przetrawieniu powyższych licznych przepisów żargonu prawnego.
565:  Odkładając na bok ciężkiej tomy ponurej, tu powinno być jurysprudencji, byłoby ładniej.
570:  Wkraczając na lżejszą ścieżkę starożytnych zwyczajów i mistycznych dekretów, które rządziły sprawiedliwym ludem, pamiętaj, że akceptując ten pakt, zgodzisz się powstrzymać od zawierania umowy z inną istotą baśniową, piekielną lub nadprzyrodzonego pochodzenia.
582:  Jeśli mimo to nie będziesz w stanie wytrzymać uwodzicielskiej melodii, szeptanej przez ich złowrogie warunki, zastrzegamy sobie prawo do zerwania wszelkich więzi zawodowych lub społecznych z użytkownikiem końcowym,
592:  i zwrócenia się o odpowiednie zadośćuczynienia do władcy poranka.
595:  No i to są lariani, moi drodzy.
597:  Cudowni ludzie, którzy lubią się bawić, którzy robią fantastyczne rzeczy.
601:  Jest dobrze, naprawdę.
603:  Studio pochwaliło się, ile lat ludzie spędzili w grze.
605:  Tak, było dużo statystyk interesujących.
608:  Pochlebiam sobie, że zostaliśmy odrzuceni przez naszego wampirzego przyjaciela jako jedni ze stu tysięcy graczy.
615:  Tyle rekurs, moi drodzy, wydał nam nasz wampirzy towarzysz.
619:  Tak, nie pamiętam, jak się nazywa.
620:  Astarion, już przypomniałem sobie.
622:  Na kanale Larianu dwa miesiące temu była dwuminutowa animacja.
625:  Może na początek strumyka fajnie byłoby to pokazać.
627:  GetGreyman, zamieść dziś w komentarzu albo wrzuć nam link.
629:  Swoją drogą nie będziecie mogli za moment wrzucać linków na czatach.
632:  I nie, nie jest to mój pomysł, tylko to jest pomysł YouTube'a.
635:  YouTube mianowicie wymyślił, że wyłącznie twórcy będą mogli zamieszczać linki.
639:  Jak bardzo jest to żałosne.
640:  Jest to niesamowicie żałosne.
642:  Ale no cóż na to, moi drodzy, poradzimy.
644:  Nic na to nie poradzimy.
647:  Jeszcze raz powitanie dla absolutnie wszystkich przybyłych.
649:  Moi drodzy, dzisiaj robimy questy, side questy.
652:  Ostatnio dostaliśmy rekuzę od Astariona.
654:  Tyle się stało.
655:  Nic więcej.
656:  Astarion cię odrzucił.
657:  Co ty mu zrobiłeś?
658:  Właśnie nie wiem.
660:  Nic nie zrobiłem.
661:  Captur, mówicie, że stoi.
667:  Tak właśnie.
668:  Szepcieni, dziękuję za trybut.
670:  Czytałeś, co napisałem wcześniej, czy znikło?
672:  Mogło zniknąć.
673:  Szepcieni, mogło zniknąć, ale zobaczę, czy wcześniej mam jakieś informacje od ciebie.
678:  Nie widzę.
679:  Nie widzę.
680:  Niestety.
682:  Niestety.
683:  Nic na to nie poradzimy.
686:  Dlaczego jest tak, że jak ja przeklikuję się teraz między oknami, to Baldur mi się...
694:  Nie chcę, żeby Baldur mi się minimalizował.
