🔴 Morderca bez serca w pamięć się wwierca | BALDUR'S GATE 3 Livestream #20
🔗 https://www.youtube.com/watch?v=9clKOnbf7Vw

6:  Dziękuje za uwagę.
185:  Zdjęcia i montaż
358:  Witam wszystkich moi drodzy zgromadzonych.
361:  Dzisiaj wyjątkowy stream poniedziałkowy.
363:  Gramy w Baldur's Gate 3, ponieważ wczoraj nie było równie wyjątkowo strumyka.
367:  Witam wszystkich zgromadzonych na czatach.
369:  W takim razie Jamnicza Kapłanka z Allenstein, Balrok72, Brendo, Jesz z Erlenwaldu, Hazus26, Aurora, Miki Limanówka, Murek Urszula, Giewon Grzegorz Sikora.
379:  Diet Fireborn, Jakub, Lucas Senpai, Sputnik 1, Kazerkoł, Mag, Jamniczo, Piekielnego Ognia, Lucifer, Astrace, Sputnik 1 oraz Serenox, Brendo, Aldona K, Dominik M, Grimhog, Tomasz Kowalczyk, Parmediano, Regiano
395:  Oraz Łukasz Szelewicki, Mateusz Karpowicz, Mio Kun, Joglol nasz lormistrz, Ania Jagodzińska, Jerze, Robert Fajny, Jack of Mazda, Wbigos, Spicy Dog, Nanuta Trzaskowska, Fae, Oskar Draus oraz Czerwony Lisk.
412:  Krzysztof znowu robi wykładowce.
413:  Kłamstwo!
414:  Krzysztof nie robi wykładowcy.
418:  Co się stało?
422:  Zepsuło się.
424:  Dlaczego się zepsuło?
429:  Usprawiedliwię się, moi drodzy.
432:  Usprawiedliwię się.
433:  To była wina pieprzonego Elgato, które mi nie przełączyło sceny.
438:  Niewinnym!
440:  Dobrze?
440:  Niewinnym!
443:  Arrora, Lucas Senpai, Adus Citrus, Vet Elise, niech będą powitani, Vedariusz, Nani Nani, Robert Fajny, 227, TheIncarnate1, Patrycja B. Wojtek Pszczelarz oraz niestatystyczna Jakub i Mikli Manówka i Adus Citrus.
463:  Elgato nas zdradza, moi drodzy, bez przerwy, nie podoba mi się to, co się dzieje, w ogóle!
470:  Legatu, moi drodzy, dalej odpowiada za stream deck.
473:  Kacper Eu, dwie kamery, dobrze to wygląda.
475:  Cieszę się, że to dobrze wygląda, to dzięki wam, moi drodzy szaleńcy.
479:  Tomek Kujsz, pozdrawia nas z Wietnamu, nie wiem dlaczego.
483:  Sereno, wita wszystkich na czatach.
486:  Smoczini, witam serdecznie.
487:  Jam Szczurwica, uwielbiam.
491:  Junri81, oj kurczak, Gerlein, dzięki serdeczne za wsparcie od jednego miesiąca, Gerlein się pyta, czy świętujemy, co mamy dzisiaj świętować, ja wiem, co moi drodzy świętujemy, mianowicie świętujemy na bez schematu, będzie o godzinie 19, narzekanie wielkie na YouTube'a, napisy końcowe, przeciętny człowiek, Filip z bez schematu i ja będziemy nadawać, będziemy także mówić o tym, jakie są zarobki, jaki jest stosunek między wyświetleniami, a klikalnością, bla, bla, bla, wszystkie rzeczy, które są takie od kuchni,
520:  I również będzie okazja, żeby ponarzekać na inne kwestie.
523:  Krzysztof oczywiście będzie narzekał na ranking filmów.
525:  Czy ktoś jest zdumiony?
527:  Właśnie wam zaspoilowałem rozmowę na bez schematu.
530:  Raport ze spaceru pisze Elenetarii.
531:  Dzisiaj warstwa śniegu wyższa od jamnika.
533:  Dlatego też, moi drodzy, gdyby na przykład taki drzemnik chciał sunąć po śniegu, to drzemnik byłby zasypany w całości.
540:  Bo drzemnik jest na płasko z tego względu, że ten jamnik drzemie.
544:  Dlatego drzemnik, nie?
546:  Więc on by został zasypany całkowicie, moi drodzy.
552:  Baldur's Gate 3.
553:  Nie ma co czekać.
554:  Nie ma co czekać, by dzisiaj krócej, moi drodzy, bo ta rozmowa bez schematu będzie o godzinie 20, więc mamy mało czasu.
560:  Dlatego without further ado rozpoczynamy.
564:  Dzień dobry TVN.
566:  Co to za product placement, kudinus?
570:  Jeszcze jedna kamera, żeby patrzeć na plecy Krzysztofa.
572:  Nie daj Boże, wyldzilibyście plecy zgarbione.
575:  Dzisiaj świętowanie Barbórki?
582:  Czy ja wyglądam... Czy ja wyglądam na górnika?
585:  Ja wiem, że reprezentuję Akademię Górniczo-Hutniczą, ale ja reprezentuję pion informatyczny Akademii Górniczo-Hutniczej, co w tym miejscu oznacza... Nic nie wiem na temat informatyki, ale podpinam się pod informatykę, ponieważ projektowanie gier to jest w komputery, a komputery to jest informatyka, rozumiecie?
600:  Uwielbiam tę muzykę, jest wspaniała.
602:  Widział Krzysztof, po czym wyciszył.
604:  Nie, nie wyciszył.
607:  Tomek Kuisz pisze, że z Wietnamu ogląda stream.
610:  Pozdrowienia z Sajgonu.
611:  Bogowie, moi drodzy, możemy oficjalnie pozdrowić Wietnam.
615:  How cool is that?
616:  Wszystkiego jawniczego dla ciebie, Tomku.
618:  Jakżeś tam zawitał.
620:  Nastałeś, czy to jakiś wyjazd?
627:  Ranty na profesora pisze na strze, daje zadanie i tak go tłumaczy, że cała grupa 20 osób mnie rozumie, a potem na zajęciach, no wy kompletnie nie słuchacie, inne grupy załapały.
