🔴 Nie wierzę w Księżycowe Wieże | BALDUR'S GATE 3 Livestream #6
🔗 https://www.youtube.com/watch?v=--j75gCA34c

76:  Muzyka
154:  Dzięki za oglądanie!
199:  muzyka
230:  Dziękuje.
343:  Wszystkie prawa zastrzeżone.
425:  Witam wszystkich!
427:  Witam w sobotę!
428:  Witam przy Baldur's Gate i witam, moi drodzy, przede wszystkim w nowym oświetleniu!
434:  Dzięki wspierającym kanał, dzięki trybutariuszom Jan Nikołajom, lipcowym zakupionym oświetleniu, które oddziela od tła
442:  Serdeczne powitanie dla wszystkich w takim razie!
444:  Vagvaranos, Olcik, Szylmutka, Szwagier, Suzy, Diamond, Zey, Viridian, Parmegiano, Reggiano, Padem i Furnes, Kagralt, Dominik, sciofobia jest zbyt dobra, słuchamy od początku, Sandra, Justyna, Mlekołak, Skryty Żubr, Lucifer, Dietwebon, nie teraz Szwagier, Skryty Żubr, Adrian, Janczak,
464:  Pralinka, Anna i cała reszta naszego szlachetnego grona moderatorskiego, Jacek Wojciechowski, Aga jakaś tam, Kamil Muzyka, cześć Kamil, Serenox, RedPencil, Ann, Viridian102, Mateusz, Susie Diamond, GenGreyman, Szymon Drzymała, MisaChan, RedPencil, Pademifernes, CzerwonyLis, Emeriu, Dawid Wojacki, który się dziwi, że taka wczesna pora i stream, a niesłusznie się dziwi, ponieważ Baldur's Gate 3 jest tak dobry, że nie zamierzam czekać do godziny 18, Wielisław,
490:  Vagvaranus Brontos, Nadia Lewis, Szymon Trzymała, Martyna, Marcinelli, Mlekołak, Astray, Ratta, Azmo, Zenbugami, Jurame, Pakucha, MisaChan, Maxka, Rafał Piórkowski, Szelmutka, Reni S, FannyValentine, MisaChan, Jus, NatiXM, Czarnakuska, Vedariusz, KażdaŻynaKulik, TequilaSunset, StefanSkywalker, dobrze, że nie, RaySkywalker, RobertSzyganik,
520:  Dominik865, Karol Korol Szepcieni oraz Aneta Ostafin, Krząszcz Ministrewy YouTube, który pisze har, har, har, har, Antoni Szpikowski, Batrus, Szymon Zajdel, Justyna Amieszka Kupiec, Mateusz Motta, Szymon Drzymała, Azmo, Oldor10, Dominik...
541:  Ann P., Mio Cibana, Ewa Jędrzejczyk, Maurycy Groteska, dziękuję Oldro za wsparcie od dziesięciu miesięcy, osiemnastu miesięcy, co ja mówię, wszystkiego najjamniczniejszego, takoś i dla ciebie, czy jamnik może też być oświetlony?
554:  Oświetlić jamnika, nie umiem oświetlić jamnika, Agnieszka Kupiec, Szpagier, Emeriu była wyczytana już, wszyscy stali i nie stali, widzowie kanału, tradycyjnie, Cylia, Rafał Kaczmarek, Michał Siworski, Ken, Desegami, Arachne,
570:  Pronto, wszystkich, którzy wyczytałem dwa razy, wszystkich, którzy wyczytałem tylko jeden raz.
575:  Ależ ta szefobia jest dobra, moi drodzy.
578:  Coś wspaniałego, absolutnie.
580:  A to swoją drogą, moi drodzy, już włączę muzykę baldurową, żeby nie było.
584:  To nie jest, moi drodzy, koniec rzeczy, które dzięki niewysłowionej hojności trybutariuszy zostały zakupione do wieży.
592:  Skoro już jesteśmy przy tym, moi drodzy, póki jeszcze się nie zaczęło dobrze, póki jeszcze się nie zaczęło.
605:  Ja nawet nie mam tego, jak pokazać.
607:  To będzie, moi drodzy, tutaj, gdzie wy nie widzicie, więc ostatnia okazja, żeby to zobaczyć.
612:  Ta czasza podobno ma sprawić, że będzie lepsze oświetlenie.
615:  Zobaczymy.
616:  Jak znam życie, będzie z tym ciężko i różnie, a to jest lampa, która zastąpi trzy lampy Elgato, więc oszczędność prądu!
623:  Ważna rzecz!
624:  Trzy lampy Elgato mi ciągnęły jakieś 200 W, to ma ciągnąć 100.
628:  Zobaczymy, czy to wszystko się uda, więc...
631:  konstrukcja tam nie czeka niebawem.
633:  To będzie prawdopodobnie we wtorek.
635:  Dziękuję jeszcze raz za wsparcie!
643:  Szaleństwo jest jakieś, więc moi drodzy, wieża będzie cały czas rozwijana.
648:  Tak to się dzieje.
649:  Live o 16, co tu się stanęło?
651:  Dobre pytanie.
653:  Ale wielkie oko muchy, prawda?
656:  Jamnik nie jest oświetlony, tylko jest oświecony.
658:  Jest to święta prawda, absolutnie.
660:  YouTube spóźniony z powiadomieniami.
662:  Jest sezon ogórkowy na YouTubie, moi drodzy, i sprzedaje się wyłącznie patostreaming, to dlatego.
667:  Dlatego też musimy się, moi drodzy, postarać o to, żeby nasz dzisiejszy stream był maksymalnie obelżywy, wulgarny, jurny, zbereźny i zdrożny.
679:  Czasza wygląda jak połowa Gwiazdy Śmierci.
681:  Ile, Krzysztof, mam miejsca za kamerą?
683:  Jest sporo miejsca, bo ja mam biurko, które jest 160 cm szerokości i 90 głębokości, jeszcze jest do ściany jakieś 40 cm, zatem jest adaptacja akustyczna.
694:  Obiecuję wam, że jak wreszcie zostanie wieża doposażona w pełni, to wreszcie zrobię wam parę zdjęć i wrzucę na Insta.
704:  Niech stracę.
705:  Poświęcę się i stracę, moi drodzy.
708:  Zróbmy rzutkę na fotowoltaikę.
709:  Ja bym chciał fotowoltaikę.
710:  Nie można w wieżach, moi drodzy.
713:  Streamujesz za szybko.
714:  Nie nadążasz, żebyś na bieżąco.
715:  Spokojnie, chinagiku.
717:  My zabradziarzamy cały czas.
719:  Realizujemy spokojnie questy.
721:  Nie spieszymy się nigdzie.
723:  Nikt nas nie zmusza do tego.
