🔴 Niedomag Iamnix i Zagadkan Nielogiczny | BALDUR'S GATE 3 Livestream #23
🔗 https://www.youtube.com/watch?v=TPmGRe9A0Hk

0:  Muzyka Muzyka
51:  Słuchaj.
51:  General Kanon!
115:  Muzyka
171:  Muzyka
243:  Muzyka
268:  Muzyka
292:  Muzyka
350:  Muzyka
416:  Zdjęcia i montaż
465:  muzyka muzyka muzyka
541:  Muzyka
577:  Witam wszystkich najserdeczniej w, jak się okazuje, podobno tak powiadają, nowym roku 2024.
584:  Nowy on nie jest dla Krzysztofa, bo Krzysztof zaczyna rok rokiem akademickim.
589:  Czyli dla mnie 1 października jest dniem o wiele bardziej ekscytującym niż 1 stycznia.
594:  Ale rozumiem, rozumiem wszystkim, w związku z powyższym dla wszystkich wszystkiego dobrego w nadchodzącym, a ściśle mówiąc, tym 2024 roku.
601:  I witam wszystkich najserdeczniej.
603:  Łukasz P., Elf, Agnieszka Brzozowska,
606:  S88art, Ewulina Hiro, Mart Fazetsumei, Czerwony Lis Karo, Java S, Dariusz D, Mara, Mega Fuka, Suzy Diamond, Mścibor, Krystian, Instota Żyjąca, Luka Senpai, Mintaj, Magpax, Blaryface, Aredel, Małgorzata Piłat, Jaszczur, Król, Koltis1 i Madziki332 oraz Serenox i Zajcew, Grzegorz, Sikora, Bartłomiej Fiałek, Wemas Mixu,
631:  Gzimaks, Wesper, Grzegorz Kowalczyk, Adam K., Lewajatan, Czarna Kuska, Trafomen, Rua, Buker, Poprostum, Esthetic Illusion, Hex i Tic Tac i Padem i Fernes, wszyscy, którzy...
646:  dzielnie obserwują przygody jedynie do Mageia Mixa w sąsiednim z uniwersów, mianowicie w Dark Souls.
652:  I wszystkich, którzy stwierdzili, że zrobią sobie przerwę dzisiaj od solsowania i przybędą do Krain Ferunu.
659:  Witam takąż i joglola naszego lormistrza, swoją drogą Sandrę Vesper, Ewę Filipę.
665:  Bala, Danutę Trzaskowską oraz Grzegorza i Jóżem Jekarpaś i Ewulinę i Jackie Left oraz Lisiora, Emeriu, Palitkeusza, Piotra Bajera, Bij Gomeza, Jamnicza Kapłanka, Salen Sztajnik, będą powitani jako i dygresywny wilk, nasz moderator,
681:  Muzyka do walki z Rafałem Boska była absolutnie rewelacyjna.
683:  Urszulek Iwon takoż witamy i Heks i...
704:  Anna i dziękuję mi Okunowi za wsparcie 9 miesięcy podpalone w Nowym Roku.
707:  Dla miki wieków spaczyń w Nowym Roku.
710:  I Pierog, i Maciej 123, i Lucyfer, i Ain, i Grimkog, Hudinius, Kafrin.
717:  Istota żyjąca pisze, czy ktoś się orientuje, czy można pić zieloną herbatę, jeżeli ma się iść spać o 20.30?
723:  Nie wiem.
724:  Ja piję tak czy siak.
727:  I moi drodzy, tymi słowy...
730:  Słowami o piciu, ale herbaty.
733:  Więczymy część powitalną naszego live'a.
735:  Informacyjnie jeszcze przypominam, w środę oraz w piątek Dark Souls 1 Remastered gra się bardzo dobrze.
741:  Natomiast Baldurek będzie nam wracał niedzielę.
744:  Przyszło przynajmniej.
746:  Teraz mamy, moi drodzy, natomiast dzisiejszy strumyk zamiast niedzielnego wczoraj, ponieważ wczoraj działy się rzeczy.
751:  Co powiedziawszy, moi drodzy Baldurzenie, lecimy z Baldurzeniem.
759:  Zgoła inna muzyka, ale równie piękna.
765:  Mam nadzieję, że wszystkie poziomy dźwiękowe dobrze
769:  Jeżeli nie wiecie, co się działo ostatnim razem, to dużo straciliście.
773:  Uciekaliśmy z łodzi podwodnej, ocaliliśmy księcia Rivengarda.
777:  Nikt nie pytał wprawdzie, ponieważ nikogo nie obchodził los księcia Rivengarda, ale się udało.
782:  I udało się to zrobić za pierwszym razem całą naszą chwacką drużyną, której przewodzi nie do Magiamniks, który w tym świecie o wiele szybciej kastuje kule ognia.
791:  Urszula dziękuję za trybut.
792:  Urszula poprosił jamniki urodzinowe.
794:  Dzisiaj stuknęło 35 lat.
795:  To tyle, ile mi będzie stukało w maju, moi drodzy, 16.
799:  Wszystkiego jamniczego dla Urszuli.
800:  Co to znaczy mieć 1 stycznia urodziny?
803:  Bogowie!
804:  Możesz zawsze powiedzieć wszystkim, że jest święto narodowe z twojej okazji.
808:  Proszę bardzo.
809:  Pogadaj z Rewengardem.
810:  To zrobimy.
811:  Ty, Krzysztof, to dzisiaj skończysz w życiu.
813:  Nie znacie moich możliwości.
816:  Nie, nie, nie spieszymy się, moi drodzy.
818:  Festinalente!
819:  Spiesz się powoli!
821:  Mawiali starożytni, tak trzeba czynić.
824:  Nie da rady inaczej.
827:  Nie mam komba, żeby w to zagrać, bo musiałem sprzedać, ale w swoim wykonaniu Bałduski jest doskonale.
830:  Dziękuję.
