🔴 Niedomag się wwierca do Posępnego Serca | BALDUR'S GATE 3 Livestream #16
🔗 https://www.youtube.com/watch?v=BTlDVX3gjj0

8:  Dzięki za oglądanie!
147:  muzyka muzyka muzyka
242:  Baldur przyniedzieli.
243:  Witam wszystkich serdecznie.
245:  Dzisiaj krótko się witamy, ponieważ Krzysztof musi wcześniej kończyć, gdyż jutro wstawanie wczesne.
251:  Piątej pociąg do Warszaw.
253:  Straszne rzeczy.
253:  Szejk truskawkowy, Dalia, Jaszczur, Ziaro, Bigomeza.
257:  Juliusz Olewales, Lotronana, Palitkeusz, Frogett, 67, Balrog, 72, Gorbex, Fajal, Galczuk, Michał Kędzierski, Bzebzy, Korwux, Korax, Magister, Niełuki, Szkodnista Wyższego, Padem i Fernes, Sputnik 1, Czerwony Liz, Mateusz Karpowicz, PB 1990, Bigomeza, Ewulina, Hiro,
275:  Tektro, Raktrap, Vassago, Grzegorz Sikora, Miriamka, Astrej, Jesz z Erlenwaldu, Artemik, Grzegorz Kowalczyk, Mateusz, Dziakilew, Ditwa Ebon, Obciu oraz Obciu13, Miras21, Tomasz Adamski, Mighty Penguin, Nevrast, Grzegorz Sikora, Gorbex, Miloš Brendo, Tanie Wino Jabłkowe, Szymon Drzymała, Serenoks, Grim Lukas, Theodor,
302:  Wilczarz, Miokun, Blurryface, Małgorzata A., Luka Senpai, Krystian, Szymon Zajdel, Niestatystyczna, Ulkwiorra, Rafał Piórkowski, Mateusz Karpowicz, Blurry, Black Cat, Pawełek i...
316:  I Anna Maria, i Pestka, Basia Kozak.
320:  Witajcie najserdeczniej, moi drodzy.
322:  Dzisiaj krótko, jako się rzekło, ale to nie znaczy, że wcale nie będziemy robić tego, co robimy zawsze, Pinki.
329:  Mianowicie będziemy, moi drodzy, wspierać, jeśli tylko możemy i jeśli tylko możecie, dołóżcie się do skarbony.
334:  To jest skarbona gęślinowa.
335:  Przeniosę ją także na inne streamy, żeby zbiórka się niosła daleko.
340:  Mamy do zebrania na pomoc dla członka naszej jamniczej społeczności, więc, moi drodzy, poważne sprawy.
345:  co powiedziawszy, zapowiadam, że dzisiaj robimy questa posępnej, tylko że jest jeden problem, nie mam zielonego pojęcia, w jaki sposób do niego dotrzeć.
354:  A, jeszcze jest jedna rzecz, mianowicie, moi drodzy, w ramach polecajki książkowej, wczoraj przeczytałem cykl Wiecznego Cesarza, to nie jest trylogia, to nie jest pentalogia, to nie jest septalogia, to jest, moi drodzy, jeden tom, to jest taka rzadka rzecz, jeden tom fantasy, nie jest to część pipsztylionowo-wolumenowego cyklu, to jest jedna książka, więc Laura Gallego, polecam serdecznie, dobrze się czytało, miło się czytało,
381:  Może przewidywalna fabuła, ale ciekawie wykreowany świat, moi drodzy.
385:  Och, co powiedziawszy, moi drodzy.
391:  Dobrze, nie, ja wiem, ta muzyka jest wspaniała, ale lećmy do Baldura.
396:  Dobrze, widzicie, co się działo, moi drodzy?
399:  Zostawiliśmy po sobie zgliszcza i krew.
402:  Tak ma być zawsze.
403:  Łajtki, dzięki serdecznie za wsparcie od 7 miesięcy.
405:  Łajtki się chwali, że odebrał własne mieszkanie.
408:  To jest, to jest, moi drodzy...
410:  To jest osiągnięcie.
412:  To jest dzisiaj osiągnięcie.
414:  Witam serdecznie Urszulę jeszcze, Hinagiku, Lucifera, Dachshund Fanatic i Jamnikowego Piechura, Lisiora, Wodwekak i wszystkich, którzy przybyli, moi drodzy.
425:  Nie mam bladego, zielonego pojęcia, jak odpalić quest posępnej, moi drodzy.
431:  Ale plan jest następujący.
433:  Sprawdzimy, może się uda.
434:  Cura Ciemności.
437:  Znaleźliśmy czujkę, szaran.
439:  Wyjawi nam, że klasztor jest ukryty we wrotańskim dolnym mieście, zwanym Domem Żalu.
443:  Do Domu Żalu idziemy, moi drodzy.
445:  Kama Greenberg, dziękuję też serdecznie za trybut.
447:  Tak, piąta rano, w środku nocy.
449:  Ja się w ogóle zastanawiam, czy iść spać, czy jest sens iść spać, skoro muszę tak wcześnie wyruszyć.
453:  Okropne absolutnie.
454:  Nie znoszę jeździć do Warszawy.
456:  Wystarczy się teleportować do portalu Wrota Baldura, pójść w górę po lewej od mostu i dotaczemy do Domu Żalu.
461:  Mówisz lat rano?
461:  Mówisz?
463:  Tak czy siak musimy, moi drodzy, się stąd wyspindrać.
467:  Tak będzie prościej.
470:  Czemu to nie... Jak to szybka podróż jest niemożliwa?!
473:  Co za skandal!
474:  Jaki własny znacznik?!
476:  O Boże, ja muszę stąd wyjść, ponieważ to jest wszystko zaczerwienione, to dlatego, moi drodzy.
482:  Nie ma sensu spać.
483:  No nie ma sensu spać, moi drodzy.
485:  Dzisiaj przez cały dzień spałem, żeby odespać to, do czego jutro nie wyśpię.
489:  To jest okropne absolutnie.
493:  Zaczynałam dzisiaj o 8 rano grać w Abuegenstrand, miejsca w którym skończyłeś przesiwy dym, gram do teraz.
497:  No bo tak to jest!
499:  Człowiek w którymś momencie nie jest w stanie przestać.
503:  Zabiłeś jednego wampira, ale wysłałeś 7000 z jego sporu.
507:  Zostawiłeś wszystkie ceny?
511:  Byli inocenci.
512:  Zabijać ich byłoby nawet większym błędem.
514:  I nasze dzieci.
516:  Co z ich śmiercią?
519:  Cazador odwrócił się do każdego.
520:  Muszę pokazać, że do drugiej będzie żeśki o piątej, tak, tak.
523:  Mogę tylko uznać, że twoje dzieci były gdzieś w tych błyszczących celach.
527:  Znalazłeś je w podniebnym mroku, choć może nie podoba ci się to, co znajdziesz.
538:  To... trudne wiadomość.
541:  Musimy zdecydować, co to znaczy.
546:  Przypomnę wszystkim, którzy nie jedzą, wypuściliśmy wszystkie ofiary Khazadora, czyli mnóstwo wampirów, moi drodzy.
552:  Teraz będzie noc długich szponów w Baldur's Gate.
558:  Trzeba będzie odpocząć.
560:  Gra nam dyskretnie mówi, że mamy się udać na odpoczynek.
563:  Przejdźmy zatem do obozu.
566:  Dziękuję Juliuszowi za wsparcie od 22 miesięcy, któremu to Juliuszowi zdarza się pamiętać o wiadomości wspierającego, oraz Nightflash za wsparcie od 8 miesięcy.
573:  Jakiś milestone.
574:  Dzień dobry wszystkim.
575:  Milestone Nightflash to jest prawdopodobnie magia śmierci.
578:  Gratuluję.
581:  Tu będziesz dziwny i będziesz spać.
582:  Dawaj stream do pierwszej nocy.
583:  Widzisz, ja bym kiedyś to zrobił?
586:  Jezus, znowu się pomyliłem.
588:  Kiedyś bym to zrobił, ale jak pomyślę sobie, że muszę być aktywny intelektualnie o godzinie
597:  11.30, o której Przemek Górczyk chce rozmawiać w swoim podcaście.
603:  Co jest precyzyjnie 3-4 godzin zanim mój mózg się budzi.
608:  O, mój bózg się mudzi.
610:  I widzicie, mój mózg się jeszcze nie obudził.
613:  No to ciężka sprawa.
615:  O, w ogóle widzę, że mam na czerwono znowu transmisję.
618:  Fantastyczna sprawa.
619:  Znowu są problemy z UPC.
621:  Bardzo mnie to cieszy.
623:  Bardzo mnie to cieszy, że znowu będę musiał obniżyć jakość streamu.
627:  Jezus Maria, po prostu zwariuję z YouTube'em i z UPC, to można po prostu oszaleć, moi drodzy.
636:  Dramat, od dłuższego czasu już mam problemy na streamach.
640:  I to właśnie w niedzielę, co charakterystyczne.
645:  Nie mam zielonego pojęcia, czym to jest spowodowane, moi mini.
652:  Autentycznie zielonego pojęcia.
653:  Busk się mudzi, tak.
657:  Teraz powinno być już w porządku.
661:  Dobrze, moi mili.
663:  Odpoczywamy.
665:  Mam nadzieję, że nie było jakiegoś laga gigantycznego.
670:  Busk się mudzi, dziury w sieciach.
671:  Tak, tak, tak, wymyślony przyjaciel pani Foster.
675:  Tak właśnie.
676:  Dzięki za wsparcie od czterech miesięcy.
679:  Bóg was opuścił i to w niedzielę problemy, mówi Lucyfer.
683:  Jakie to znaczące, prawda, że akurat mówi to Lucyfer.
686:  Czy możemy odpocząć?
689:  Jeden z członków drużyny chce z tobą porozmawiać.
691:  A co jeśli ja nie chcę?
692:  Ooo!
694:  Był patch.
696:  Wprowadzono dobre zmiany.
699:  I widać już portrety postaci, które chcą z nami rozmawiać, ale to wspaniale.
702:  Zbiórka uzbierana?
704:  Co wy mówicie?
709:  Wielkie nieba!
711:  To się... To się... Co?
715:  Przecież to jest nieprawdopodobne!
718:  Jakieś kompletne szaleństwo.
720:  Dziękuję przeserdecznie w imieniu naszego choracego, potrzebującego ze społeczności.
726:  Ale super.
727:  Widzicie i cieszę się teraz, że dzisiaj odpalony został stream, naprawdę.
731:  Bo kusiło mnie, kusiło mnie, żeby dzisiaj powiedzieć wam, słuchajcie, nie dam rady, nie, nie, idę spać, jutro muszę wstać o piątej.
740:  Nie ma to tamto.
742:  Warto jest grać na streamie, tak?
745:  Dziękuję przeserdecznie, moi drodzy.
749:  Weronika K. pisze, że po ostatnim filmie o seminariach jest nieco lepiej, dalej mam okropną blokadę twórczą, nie mogę pisać magisterki.
754:  Będą, moi drodzy, jeszcze bardzo niebawem materiały, które będą, mam nadzieję, w tym pomocne.
761:  Powodzonka dla Horacego na nowej drodze.
763:  Przyłączamy się absolutnie, moi drodzy.
