🔴 Raj dla maga, gdy gra domaga | BALDUR'S GATE 3 Livestream #2
🔗 https://www.youtube.com/watch?v=H6W_Fsw0jpE

28:  Cześć.
72:  Muzyka
151:  Dzięki za oglądanie!
224:  KONIEC!
325:  © PTA & TVP
432:  Witam wszystkich!
434:  Witam przy Giovandrini, przy Stiopobi!
443:  I witam przy streamie naszym niedzielnym z Baldur's Gate 3.
449:  Streamy z Baldura opanowały kanał.
451:  Będzie w środę.
453:  W Cyberpunk dlatego, a nie dzisiaj.
455:  W czwartek wraca Baldur's Gate i kto wie, czy jeszcze nie będzie we wtorek lub w poniedziałek.
460:  Witam wszystkich.
460:  Przez serdecznie dziękuję Renartowi na sam początek za bycie Janem Nikołajem i za podarowanie wsparć ludziom zgromadzonym jako to abdulb62natak.
471:  oraz Duke Axer, RGPT Enthusiast i Jurame49.
475:  Dziękujemy serdecznie Jan Nikolajowi za bycie Jan Nikolajem, Aldona K. i wymyślonym przyjacielem pani Foster.
481:  Takoż dołączają muzyka, moi drodzy, tradycyjnie Joe Vandrini, Epicka nam towarzyszy.
487:  Witam także wszystkich zgromadzonych widzów stałych, niestałych, trybutariuszy wspierających kanał oraz przypadkowych przechodniów internetowych, którzy wpadli tutaj nie wiedzieć czemu.
500:  Błażej Unakic, Suzy Diamond, Kuba Wdowiak, Agnieszka Kubiec, Tomasz Kownacki, Grzybnia Pierwotna, Poprostum, Anna Eł, Depressed Espresso, przepiękne, Brontos, Radosław R, Simba, Sziny, X, X, X, Lukas P, Budowniczy Pylonów, Mega Fuka, Ełt, Stachy, 90 Motyka, Oliwka, Czarna Kuska, Radosław Gajda, Łukasz Szelewicki, Bartek 537, Kapłanka Chaosu, Hysza,
523:  Mikołaj Trąd, Grim Lukas, Palitkeusz, Marcin Zając, Robert Górski, Destiny, Azmo, Lisior, Szymon Maleszewski, który ma nawet jamnika w Avatarze, ale szanuję, Szwagier Astrey, Mio Cibana, TikTak, Kamil K, Marcin Zając, Miraski, B Gomeza, Kairos Francesinia, Wiktor, który zaczął oglądać Silos i chce namówić do tego mamę, pozdrowienia za matmy Wiktora przy okazji, Kazerko, Adept Jamniczego Ognia, Suzy Diamond, Szeptcieni, Klaudia, Rua,
551:  Sierra Papa, Szymon Zajdel, Nawiedzona.pl, Tenki, Raciavelli, Olcik, Duke Axer, Kagrald, Bambi, Einar i cała reszta naszych szlachetnych moderatorów razem z Einarem, moi drodzy, Ikło Juki, Miłosz Sferdak, Lucifer, Agnieszka Brzozowska, Aldona K., Pan Karmazyn, Szefider, Wasago, Agnieszka, Kupiec, Mrówek,
579:  Oraz Xenofanes, Smoczy Wybraniec, Ja Wojciech, Rapcze 2003, Juki Sane, Wyznawca Rogatego Szczura, Tak Tak, Wiktoria Łapeta, Rafał Piórkowski, Elber F9, Ogoniasta Marta F, Bambi, Nani Nani, Natka od Pietruszki, Dupperia Dupa, Grzegorz Sikora, Bjorn Hurdursson,
600:  Łukasz Głogowski, Emeriu, Rosół Skóry Domowej, Magda M1, dziękuję za wsparcie.
605:  Od 12 miesięcy bilety na prelekcje poszły, pisze Magda M1, ledwo zdążyłam na Rings of Power, czyli prawdopodobnie chodzi o Dni Fantastyki.
613:  Krzysztof będzie na Dniach Fantastyki, potwierdzenie jest konieczne.
617:  Joglol, Ocelotka, Sariel, Iwanus, Agrestowy, Żelek, Fajer, Jach.
622:  Chwestrząge Stlapaz i Tomek Marnik będą również powitani.
627:  Kuba Burzyński, Webziam i Diablosek.
630:  Ale dziś było wyczytywania, a to nie koniec, moi drodzy, wspaniałych, epickich wiadomości.
635:  Mianowicie udało się z wykorzystaniem najpotężniejszej, ostatecznej z instancji, to znaczy taty.
643:  naprawić kable od ledów, więc miło mi poinformować, że wszystko działa, wszystko jest podłączone, jest radośnie.
652:  Użyliśmy kleju o wdzięcznej nazwie Mammoth.
655:  W związku z powyższym istnieje szansa, że jeżeli kable odpadną, to razem z sufitem.
660:  Jest to w każdym razie bardzo prawdopodobne.
662:  Moi drodzy, ja nie będę już was w dłużej tutaj zatrzymywał na tym ekranie powitalnym, bo przecież dobrze wiemy, po co tutaj wszyscy przyszliśmy, prawda?
671:  Przyszliśmy grać w najwspanialszą grę 2023 roku.
675:  Wciśnij dowolny klawisz, aby kontynuować, zamierzam to zrobić.
682:  I proszę, jakie chóry, proszę, jakie animacje.
685:  RGPN2 jest dzięki wsparciu od 3 miesięcy, jest tu tak jak jamników wiele, a ja zgif to się weselę, tak jest.
690:  Justyna Neko też dziękuję ci za wsparcie od 12 miesięcy, jam niżej gry i jamniczego oglądania.
695:  Dziękujemy serdecznie, powiedział Krzysztof w imieniu wszystkich czatów.
699:  O, to, to, to!
702:  Jamnik jest najdłuższy!
707:  Tak!
709:  Kabel od ledów brzmi jak dobry quest.
711:  Tak było, moi drodzy.
712:  Tak było.
713:  Ja mam klej uchu i wciąż go nazywam uwu.
716:  Był taki klej uchu, faktycznie.
719:  Uchu!
720:  Nie wiem, czy zauważyliście na poprzednim streamie, że możesz zapisywać grę podczas dialogu, więc jeśli nie chwaliłeś się jeszcze Larianów, to możesz to robić dalej.
726:  Genialna rzecz, ale żeby nie było gen Greymane, ktoś słusznie w komentarzach napisał, że jest jeden problem, to znaczy nie można się za bardzo przełączać między postaciami w trakcie dialogów, na przykład jeżeli jakaś postać ma umiejętność rozmawiania ze zwierzętami, co mnie zmartwiło.
738:  Więc trzeba być przygotowanym na to, że na przykład będziemy rozmawiać ze zwierzętami w następnej turze, przełączyć sobie wcześniej na jakąś postać, która to ogarnia i lecimy wtedy dalej.
747:  Oj, oj, oj.
748:  Dźwięk tnie.
749:  Nie żartujcie mi nawet, że dźwięk tnie.
751:  Jeżeli dźwięk tnie, to jest to wyłączna wina i wada YouTube'a.
755:  Ja nie mam na to, moi drodzy, żadnego wpływu.
758:  Jeszcze sprawdzę, czy nie jest.
759:  Jest nierówno, jest nierówno.
761:  Teraz będzie równo.
762:  Nie może być nierówno, moi drodzy.
764:  Do tej pory pamiętam reklamę kropelki.
766:  Co kropelka sklei, klei?
767:  Tak, żadna siła nie rozklei.
769:  To mógłby być, moi drodzy, nawet taki odzew, nie?
774:  Zaczynamy co kropeka, sklej, sklej i później osoba odpowiada na przykład.
779:  Nie wiem, w Moście Szpiegów, dobry film.
781:  Żadna siła nie rozklei, tak by było.
783:  Mówicie, że jest okej z dźwiękiem, to znaczy, że trzeba, moi drodzy, tryb F5 wtedy.
788:  Kontynuuj!
789:  Nie czekamy.
791:  Nie ma co czekać.
794:  Kontynuuj.
795:  Dziękuję.
798:  Magnieszka się cieszy, że ma stream bez mulenia.
800:  W górach było słabo z internetem.
802:  Dziwne u mnie działa.
803:  To jest, moi drodzy, tradycyjnie odpowiedź informatyczna.
808:  Dziwne u mnie działa.
809:  Zawsze, moi mili.
812:  No denerwuję, to popylasz sobie z mistrzem charyzmy, pisze Yuki-san, jak trzeba jej użyć w dialogu, to jesteś w dupie, bo ty gadasz, że nie ten typek.
818:  Mogliby to śmiało zmienić, prawda?
821:  Jak co na to na kanale, to ja go tnę.
823:  Jest playlista Zapomniane Krainy, która przybliża lore Ferunu.
827:  Proszę bardzo, moi drodzy, mówimy o lore Ferunu, a ja zapomniałem wam uruchomić sobie mapę Ferunu.
