🔴 Rozmowy z diabłem | BALDUR'S GATE 3 Livestream #15
🔗 https://www.youtube.com/watch?v=66GO4Iz7tWg

2:  muzyka muzyka muzyka
64:  KONIEC
117:  Muzyka
177:  Muzyka
221:  Muzyka Muzyka
337:  Muzyka Muzyka
364:  muzyka
398:  muzyka
432:  Witam wszystkich w Ferunie.
435:  Wracamy do świata Dungeons & Dragons przy nieregularnym, jak się okazało, streamie seryjnym z Baldur's Gate 3.
443:  Wprawdzie Baldur dawno za nami, ale przecież w Baldura nie gramy dla wyłącznie fabuły, ale przede wszystkim fantastycznego roleplayu, dlatego witam was w ten niedzielny wieczór.
452:  Ewulina, Hero, Serenok, Bartolomeusz, Grimhawk, Aurora, Sputnik 1, Jacku Left,
458:  Szkiszapa, Zuzao, Magdalena, Mesiuliamli, Obitonieken, Obiraciaveli, Rosół Skóry Domowej, Czerwony Lis, Morsztyn, Jadwiga, Grzegorz Sikona, Killer Clean, Nevrast, Guni, Ignaiz, Iga, Dalia, Małgorzata B, Parmedziano, Rydziano, Jacek Palachowski, Zgredek95 i reszta naszych wspaniałych moderatorów, Magdalena, Sandra, która przeszła Baldur's Gate 3, 3 razy, Wielkie Nieba, Astray, Lord Antark, D45H, Most IV,
486:  Krystian, Hudinus, Wenzant, Lucifer, Grzegorz, Sikora, Niestatystyczna, Petem i Fernes, Harasland, Jamonika, Bjorn, Hurdurson, Szeptucha, Rafał, Piórkowski, Morales, Agnieszka, Brzozowska, Brontos, Car, Mikołaj III, Lisior, Palitkeusz, Jacek, 79100, Radek Szczepański, Agnieszka, Piotr Bajer, TheIncarnateOne, Mortil, Gorbex, Weronika K., Grimhok, Tejuk,
513:  Sebastian, Agnieszka Saran, Iga, Jako i Aldona K., oraz Sebastian, oraz Jacek Pawlakowski, Mateusz Karpowicz, Paweł Pasiałkę, Jamnik, Szejk Truska, Weronika Choroszucha, Lukas P., Michał, Katarzyna, Metal Boy, Urczula Giewon, Stanisław Maczek, Krystian, Kinia92,
536:  Did Firebone, Kapłanka Chaosu, Weronika oraz Wenzant oraz Mgła Cmentarna, Fanka Natury, Fanka Gór, Jakub Korczak, Stanisław Morales, Szymon Zajdel, Oliwia Komorowska, Brendo.
549:  Brendo mówi, że w streamach nie.
551:  W ogóle jakiś dramat jest z YouTubem dzisiaj, tak w ogóle na powitanie, moi mili.
555:  Ja mam cały dzień lagi.
558:  Dramat.
559:  Więc one nie są po mojej stronie na 1000%, ale są po stronie YouTube'a.
564:  Ja dzisiaj przy moim 1 gigabit na sekundę miałem potworne problemy.
569:  Więc mam wrażenie, że to jest problem wspólny, moi drodzy.
574:  Białe kółeczko w kółko.
575:  Uf, to nie tylko u mnie.
577:  Przerażacie mnie absolutnie.
580:  Mam nadzieję, że to się jakoś unormuje, moi mili.
584:  Bo dzieją się niedobre rzeczy dzisiaj.
588:  Widzicie, że jest obraz.
589:  Ja już puszczę muzykę z Baldura.
591:  Mi też YouTube dzisiaj zacinał trochę, moi drodzy, więc będziemy musieli jakoś z tym żyć.
596:  Nie wiem jak.
597:  Mam nadzieję, że nie będzie strasznie źle.
600:  Leży i kwiczy, mówicie?
603:  Otworny lag.
606:  Niedobrze.
608:  Niedobrze.
610:  Ale skoro wspominacie, że jest to wszędzie problem i nie tylko ja miałem ten problem, użytkownik UPC z tej strony potwierdza przepotworne lagi od samego rana.
620:  Problem globalny, pisze Kuba Tasak.
622:  Niestety.
623:  No i jak widać, nawet taki gigant, moi drodzy, jak YouTube nie potrafi ogarnąć się.
631:  Już jest okej, pisze Arrora.
632:  Jacek79100 podarował tymczasem wsparcie.
637:  Szymon Drzymaje otrzymał niuch.
638:  Dziękuję serdecznie.
641:  Orange też do dupy.
642:  No widzicie, moi drodzy, ja bym miał to powiedzieć.
644:  Ludzie stwierdzają bardzo często, ale nam piękna muzyka przygrywa, ludzie stwierdzają, że problem leży w różnego rodzaju reformach, takich tweakach małych, tu i tam, że edukacja zdalna zła, ponieważ internet zły.
656:  No to nie, może zaczniemy elektryfikować wieś, może zaczniemy kłaść światłowody, albowiem jakimś cudem, jak Estonia zaczęła to robić, to miała wzrost gospodarczy.
666:  Być może dlatego, że ludzie zakładają małe biznesy przez internet.
670:  Sam założyłem swoją firmę przez internet.
672:  Wiecie, ile to zajęło?
674:  40 minut.
676:  Więc fajnie byłoby, gdyby wszyscy mieli taką możliwość, prawda?
679:  Więc za tym powinniśmy się wszyscy opowiadać, a nie kłaść kolejne kilometry autostrad dla samochodów.
686:  Przy okazji jeszcze widzę, że doktorek jest Janem Nikolajem, chyba po raz pierwszy z tego, co pamiętam, Czun Czun Marło otrzymuje wsparcie.
694:  Niuch, dziękuję serdecznie za bycie Janem Nikolajem, Janem Nikolajem dla Janem Nikolajem, a tradycyjnie Monika Raj pisze, że jeszcze skończyła Fullmetal Alchemist Brotherhood, idealnie.
701:  Proszę bardzo, o to przepiękna jest animka przecież, absolutnie przepiękna.
706:  No One cieszy się z warsztatów, które były.
708:  Bardzo się cieszę, że się podobały No One.
710:  Bardzo się cieszę.
712:  Ja miałem kupę frajdy.
713:  Dla tych, którzy nie wiedzą, o co chodzi, był festiwal synestezji robiony przez studentów z AG i Fundacja Akademikon.
718:  I spotkaliśmy się na warsztatach i robiliśmy rzeczy.
721:  Były trzy metody światotwórcze, które sobie omawialiśmy.
724:  Bardzo proste.
725:  Tworzenie notki encyklopedycznej, tworzenie definicji, ogólne zasady i tworzenie mapki.
730:  I się bawiliśmy, i było fajnie, i było super.
732:  Luka Senpai pisze, że jest tutaj dzisiaj, bo chłopak zajął komputer, ma ogromną potrzebę Baldura.
736:  Proszę bardzo, Krzysztof dowozi.
739:  Proszę bardzo, Luka Senpai.
741:  Jesteśmy oto w wieży maga, w której zostały jedynie popioły z magów.
747:  Ponieważ zwyciężył, moi drodzy, nie do magiamniks, który przyzwał żywiołaka ognia, więc od momentu, kiedy przyzwał żywiołaka ognia, wszystko stało się jasne.
755:  Będzie wygrana.
758:  Lejmon8 pisze, że natrawia ostatniego streama z Lies of Pi.
761:  Wróci Lies of Pi, to niejeden raz.
763:  W swojej dyskusji o owocach chciałbym potwierdzić, powiedzieć, że Kiwi się nie odbiera, Kiwi się goli.
767:  Most czwarty jest Jan Nikołajem.
769:  Lukas Enpai, proszę bardzo, otrzymuje wsparcie na otarcie łez po braku komputera.
774:  Czyż to nie jest najlepsza społeczność ever?
777:  Niuch!
777:  Dziękuję Wam serdecznie, moi drodzy, za obdarowywanie społeczności wsparciem.
781:  Pivo Lover również otrzymuje wsparcie.
784:  I see what you did here.
785:  Daniel Ratajczak, IGA, stała widzka swoją drogą streamów.
788:  Dziękuję serdecznie.
791:  I jeszcze Marecki Matematyka od Mostu Czwartego.
794:  Tradycyjny salut dla wszystkich, którzy czytali Sandersona i Archiwum Burzowego Światła.
799:  Dobrze, moi drodzy.
800:  Idziemy do portalu.
801:  I później od portalu, moi drodzy, zmierzamy radośnie do questów.
806:  Tyle, ile się dzisiaj uda, jeżeli będą jakieś straszne rzeczy się działy, najwyżej skończymy wcześniej, moi drodzy.
812:  Wada Baldura, odpalały się wszystkie kwestie dialogowe naraz.
818:  Okropność.
821:  Emeriu ma historię na dobry początek wieczoru i poprawia nastroje.
