🔴 Thaniel Dwa Strzały ma mózg zaropiały | BALDUR'S GATE 3 Livestream #8
🔗 https://www.youtube.com/watch?v=oIwqtZKS-no

6:  muzyka
70:  Muzyka Muzyka
133:  Muzyka
164:  Witam wszystkich.
166:  Dzisiaj witam wszystkich cicho, ponieważ przywlokłem ze sobą wiele rzeczy z Wrocławskich Dni Fantastyki.
174:  Jedną z tych rzeczy jest chrypka, ale moi drodzy, zanim Krzysztof straci głos do reszty, to stwierdził, że zrobi Streams Baldur's Gate 3.
183:  I przy okazji podziękuję wszystkim dobrym duszom, które się spotkały we Wrocławiu i na przykład...
190:  Takiego wspaniałego jamnika ofiarowały.
192:  Dziękuję serdecznie.
194:  Ten jamnik jest wspaniały i ma kubraczek.
196:  Ten kubraczek jest zdejmowany, ale nie będziemy rozbierać jamnika.
200:  Nie wolno, moi drodzy, rozbierać jamników.
202:  To jest absolutnie skandaliczne.
204:  Następnie...
206:  Dostałem manierkę.
208:  Manierka jest, moi drodzy, na manę.
210:  To jest na eliksir manę, więc dlatego nazywa się manierką.
213:  Wszystko jest jasne i wszystko jest zrozumiałe.
215:  I oprócz tego, ponieważ widzę, że na czatach jest zły czarownik, poproszę o jamniki dla złego czarownika, werble.
223:  Gdyż albowiem zły czarownik przygotował sztukę...
229:  To jest najprawdziwsza sztuka, moi drodzy.
232:  Nawet udało się uchwycić tutaj mój wrzask, którego dzisiaj z siebie nie wydam.
238:  Staram się zrobić to tak, żeby nie odbijał się softbox, moi drodzy, ale nie da się tego zrobić.
242:  Dobrze w ten sposób się to da zrobić.
244:  Okej, ten jamnik jest najgroźniejszy i przypominam, że to, to, to jest scena najlepsza.
251:  Słyszycie już tę muzykę w swoich uszach, prawda?
254:  I don't know what the words really are.
257:  It's okay.
258:  Król Lew, mianowicie.
261:  I oprócz tego... Najmniejszy z jamników.
266:  Nie ma mniejszego jamnika.
270:  Nie ma także możliwości poka... Dobrze, udało się!
273:  To jest, moi drodzy, najmniejszy z kościstych jamników.
276:  Jamnik, którego można przytroczyć.
279:  Jamnik, który jest czarno-biały.
281:  Jamnik, który jest jamnikiem doktora Rentgena.
285:  Teraz focus nigdy nie będzie chciał zrobić z powrotem na focus.
288:  Dziękuję wszystkim serdecznie.
289:  Zły Czarownik, jeszcze raz jamniki dla Ciebie.
291:  Astray, X403, Stom, Dotel, Olcik, Szelmutka, Lucifer, Miocibana, Red Jaga, Czerwony Lis, Eustachy90, Motyka, Joan, Margo, The Witch.
303:  Bear, Morsztyn, Wojtek Pszczelarz, to jest ten moment, kiedy mogę być zagłuszany przez muzykę, ponieważ Krzysztof szepcze, Agnieszka Saran, Astray, Joan, Basia Kozak, Ewa Jędrzejczyk, Nia Doris, Dominik 865, Tektro, Black Cat, Dasegami, Bjorn Kurdursson, xxx, Sphinx.pl, Sara Gawrońska, Iga, Morsztyn, Zuzanna,
324:  Julia Topton, Karneval Mephisto, Tegadon, Basia Kozak, Nani Nani, Tomasz Tomasz, Monika Jurczak, Parmedziano Redziano, Megafuka Bartek Kolo.
338:  Zły Czarownik jeszcze raz, Ewa Jędrzejczyk, Opciu13, witam też wszystkich, którzy byli na Dniach Fantastyki we Wrocławiu, przecież tam było wspaniale, absolutnie.
346:  Szepczesz głośniej niż ja, krzyczę, pisze Bear.
348:  To wszystko zasługa, moi drodzy, przepony.
350:  Przepony należy trenować.
352:  Jest dużo różnych treningów przepony, tak.
356:  Jak było na Dniach Fantastyki gorąco, no i właśnie dlatego, moi drodzy, ja się nabawiłem chrypki.
361:  Tak to się kończy po prostu, tak to się kończy.
362:  Czy nie było żadnego niuchacza?
364:  No właśnie nie było żadnego niuchacza, moi drodzy.
366:  Zasmucające, prawda?
368:  Też tak uważam.
369:  Więc pozwólcie, że teraz szybko przełączę się na baldurach.
372:  Krzysztof dzisiaj będzie wykonywał wszystkie czynności wolniej.
374:  Uprzedzam.
375:  Gdzie jest baldur?
376:  Tu jest baldur.
378:  Wszyscy jesteśmy już w baldurze najlepiej, moi drodzy.
381:  Ja, jak cokolwiek mi się dzieje z gardłem albo jakimkolwiek inną częścią mojego ciała, wchodzę w tryb mężczyzny.
389:  Wiecie, moi drodzy, czym jest tryb mężczyzny?
392:  Tryb mężczyzny wygląda następująco, mianowicie zranicie się w paluszek, tak?
397:  To jest taka malusieńka ranka.
400:  Utoczyło wam może krople krwi.
403:  Już dzwonicie na SOR, jesteście w stałym kontakcie ze swoim internistą, na wszelki wypadek zadzwoniliście do ortopedy, natychmiast apteka, tabun leków, no i na wszelki wypadek L4 z pracy.
415:  Więc to jest, tak, to jest tryb mężczyzny hipochondrycznego, moi drodzy.
