🔴 To nie są te gobliny, których szukacie | BALDUR'S GATE 3 Livestream #3
🔗 https://www.youtube.com/watch?v=fs_Dz7hkZJI

8:  Muzyka Muzyka
46:  Muzyka
76:  Muzyka
111:  Muzyka
130:  Muzyka
199:  Muzyka
224:  Muzyka
248:  Muzyka
274:  Muzyka
310:  Muzyka
423:  Witam wszystkich we wtorek!
426:  Chyba nigdy nie było wyjątkowego streamu wtorkowego, ale to dlatego, że nigdy nie było jeszcze takiej gry jak Baldur's Gate 3, czy był Baldur's Gate 1, Baldur's Gate 2, było Divinity Original Sin 1 i 2, ale wtedy nie było streamu!
439:  Witam serdecznie wszystkich przy dźwiękach spokojnej muzyki fantasy, Brando, Bambi, Nevemo, Dit, Faebon, Joe Wu, któremu się podoba silos i się cieszę,
450:  Rediaga, PierwszyZaklinacz, Kagrald, FireYach, Mortil, Dzięki za wsparcie od 7 miesięcy, Krzysztof, RegularnyStreamer, BądźPozdrowiony, NiePrzyzwyczajajcieSie, Moi Drodzy, Tu się wszystko dzieje nieregularnie i chaotycznie, CzerwonyLis, Wielisław, Logol, Roż, Tenk, BudowniczyPylonów, Doktor Evil, Maciej, Kosiarz, Misia, Pysia, Rapcio, 2003, Krystian, Daniel, Ratajczak, Guni, 3353, Susie, Diamond, Wojciech, Franciszek, Żurawski, Grim, Lukas, Mateusz, Andziak, Agnieszka, Brzoska, Aldona, Ka,
479:  Lucifer, Balrog72, Danusa Trzaskowska, CienistyBezkres, Hudinus, Krystian, Bambi, Kapłanka Chaosu, Vassago, Mariula Wołoszyn, Agnieszka Saran, Artur Radon, Zetsubu Sama, Wesper, Krystian, Maurycy Groteska, Kazerko Adept, Jamniczego Ognia, Rafał Piórkowski, Lazaretus, Faerjach, Polpoliko,
502:  Szeroki inaczej, Garreat, Bartłomiej, Kołota, Arek Gapski, Morciu, Cienisty, Bezkres, Hudinus, wszyscy, którzy przyszli wcześniej, wszyscy, którzy przyjdą później, moi drodzy, Mateusz Motta, Patemi, Furnes, Red Pencil, Łukasz Szelewicki, Nawiedzona, Most IV,
520:  Kaladin Burzo, błogosławiony, pozdrawia.
523:  Spicy Dong, pierwszy zaklinacz.
526:  Jako i wszyscy stali i nie stali widzowie kanału, wszyscy wspierający, wszyscy, którzy nie wspierają, wszyscy, którzy byli Jamnikołami i wszyscy, którzy będą Jamnikołajami.
535:  Wojtek Pszczelarz, Wieszczping, Wastrzej, Palitkeusz, Maciej, Szymon Zajdel, Serenox, Izabela Biernat, Skainy Pit, Artuditum, Kuba Burzyński, Bonury Kociak, Gareld Albert,
548:  Geralt Albert, czemu cię przeczytałem tak?
550:  Loren Fistek przeczytał imię Geralta.
552:  Elf Bigomeza, elf przypominam, elf przypominam stworzyła, moi drodzy, drzemnika, czyli drzemiącego jamnika.
561:  Czemu ja, nie myślałem, że go, czemu ja go od góry nogami pokazałem, drzemnika, to skandal.
567:  Moi drodzy, without feather, Edu, nie ma to tamto, odpalamy radosnego Baldura od razu.
573:  Przyszliście tutaj po to, po co ja też przyszedłem, to znaczy, żeby pograć.
579:  Szybko, szybko, szybko i moi drodzy jeszcze przy okazji ogłoszenia drobne, mianowicie Krzysztof zaparł się w sobie i ogarnął wreszcie rzeczy.
592:  Odejdźmy troszeczkę dalej od wrzasków goblinich, bo zgodnie z zapowiedzią idziemy za fabułą, moi drodzy, nie ma to tamto, do gobliniego obozowiska, ale dla wszystkich, którzy grają lub będą grać w Baldur'a, moi drodzy, zablokuj pasek skrótów, możecie sobie tym mytlać, jakie to wygodne, jakie to cudowne, zrobiłem porządek, tak, żeby się nie gubić w tych wszystkich rzeczach, wreszcie.
617:  Co więcej, zmieniłem klasę posępnego serca, bo kleryk może i jest na początku klerykiem, ale ma jakąś okropną podklasę, więc wybrałem drogę życia.
625:  Popatrzcie, ile mamy leczenia w leszcie, kleryk jest klerykiem.
629:  I inne uporządkowałem rzeczy, jak również odkryłem, dziękuję swoją drogą, bo ktoś w komentarzach mi na samym początku streamu polecił,
639:  Mianowicie jest taki film cudowny, gdzie sprawdziłem, w jaki sposób poruszać się po tym ekwipunku, o, z kontrolem zaznaczacie naraz, jakie to wygodne, z shiftem możecie na przykład, o, rozdzielić rzeczy, o, cudowności.
657:  I wielki niedomag, moi drodzy, ma pelerynkę.
660:  Czy to nie jest wspaniałe?
662:  Tym razem musisz się dać na lewo.
664:  Jak jesteś z prawej strony, to na telewizorze jesteś pod czatem.
668:  Tu, moi drodzy, nic nie poradzimy, z tego względu, że po lewej stronie mamy o zgrozo wszystkich naszych bohaterów.
676:  Ja nie mogę pokazywać się obok naszych bohaterów.
681:  Tak mi się wydaje przynajmniej.
682:  Krzysztofa nie ma chaosu.
683:  Niesamowite, prawda?
685:  Też się zdziwiłem.
686:  Czy grałem w Neverwinter Nights 2?
688:  Maska zdrajcy jest jedną z najlepszych historii, to prawda, Dwan Keller, dlatego obejrzałem to na streamach, ale niestety nie grałem.
693:  Grałem tylko w Neverwintera 1, moi drodzy.
695:  Czemu nie, to Magiamniks ma dywan na plecach?
699:  Przemilczę tę potwarz.
701:  Idziemy, moi drodzy, do obozowiska goblinów.
705:  Co tu się dzieje?
707:  Powiedział Krzysztof, wychodząc z obozowiska goblinów.
709:  Czemu wyszedłem z obozowiska goblinów?
711:  A już było tak dobrze, a już było tak pięknie.
713:  Musimy, moi drodzy, pokonać gobliny.
716:  Nie, wierny osa.
717:  O, tu musimy podejść.
719:  Okazuje się.
720:  Czy to jest wierny osa?
721:  Rozmawiamy z wiernym osą.
722:  I wierny osa.
725:  I wierny osa.
729:  O, Koch Karnyć, właśnie, tak się nazywa ten youtuber, którego mi poleciliście.
735:  Bardzo polecam.
737:  Od razu go wam pokażę, bo zapomniałem oczywiście miana, ale wybaczcie mi to, dlatego że jest ono trudne do zapamiętania.
745:  Mianowicie, proszę bardzo, to jest najnowsze wideo.
750:  Koch Karnyć, Baldur's Gate 3 Tips and Tricks, UI-owe głównie i...
757:  Ja wciąż uważam, że to powinno być w tutorialu, ok?
760:  Żeby nie było, że się nie... Przestałem gniewać na Larian Studios, wciąż uważam, że to powinno być w tutorialu, ale still.
767:  Bardzo dobrze, że jest YouTube, tak?
769:  Czy za tydzień Gęślin?
770:  Wykluczone Gęślin może wróci, jak będzie 4.0, moi drodzy.
774:  Krzysztof nie wie, jakie ryzyko niesie z sobą peleryna.
776:  To może być peleryna niewidka, czyli zbawienie introwertyków.
779:  Czy widziałeś Płomienną Pięść?
781:  Gdzie?
781:  Płomienna Pięść przypomina mi Old Shatterhanda albo Old Surehanda.
785:  Mówicie, że Koch Kalnyć podkłada głos jednej z postaci w grze?
789:  Niesamowite.
790:  Czy mam Patronite'a?
791:  Nie, Tobiaszu, ale można wspierać kanał i w ten sposób możecie dostać jamniki.
795:  A na Patronite'i nie dostalibyście jamników, prawda?
799:  You ain't here.
801:  We sat Joaquin's rest and left it to burn.
805:  Nie mamy barw Gryffindoru, mamy zieloną szatę.
809:  Kłamstwo.
817:  Czy to wygląda jak barwy Gryffindoru może?
821:  To?
821:  To?
822:  To jest zieleń!
825:  Czy ktoś przeżył?
826:  Bunch of prisoners got towed to moonrise.
829:  City snobs mostly.
837:  Czy znasz może drogę do wież Wschodzącego Księżyca?
840:  Moi drodzy, patrzyłem już na mapę ostatnio razem z wami i sprawdzaliśmy, gdzie są wieże Wschodzącego Księżyca i wiecie co?
848:  Nie znaleźliśmy ich.
851:  Na pewno jest w drodze do Wrót Baldura.
855:  Gdzieś tu.
857:  Nie mam pojęcia gdzie.
858:  Ktoś wie z loremistrzów.
861:  To chętnie się dowiem.
865:  Spękana droga.
869:  Krzysztof nie wie gdzie jest spękana droga.
873:  U handlarzy są barwniki.
876:  Jak będziemy mieli, moi drodzy, jakiś dobry rynsztunek, to z tego skorzystamy.
880:  Na razie nawet jeszcze nie byłem u kupca.
882:  O!
883:  Samouczek!
888:  Gwałt uretty!
889:  To było... bardzo zaskakujące.
905:  Tylko nie Samouczek!
908:  Przerażające rzeczy!
910:  Zaawansowana funkcja umożliwia tworzenie potężnych kombinacji klas kosztem niektórych zdolności klasowych na wyższych poziomach.
916:  Możesz awansować na kolejny poziom tylko w jednej klasie naraz.
919:  Okej, dobrze.
921:  To była bardzo ważna wiadomość.
923:  Wcale ważniejsze nie było na przykład to, że... E, e, e!
928:  Twój kleryk domyślnie nie ma wybranej klasy leczącej, tylko ma wybraną inną klasę, żebyś się zdziwił.
937:  Dobrze.
938:  A zatem nie wiem, co mamy zrobić, moi drodzy.
940:  Mamy wykorzystać swój potencjał.
942:  Wiecie, co?
942:  Ja to zamknę.
943:  To mi przypomina, jakbyśmy mieli takiego coacha, albo trenera dżingisa z serii Niefortunnych Zdarzeń, który cały czas nam mówi, wykorzystaj swój potencjał!
954:  Jesteś zwycięzcą!
955:  Bądź lepszy!
956:  Dalej, dalej!
