Czarnek, szkoła, strzelnica #shorts
🔗 https://www.youtube.com/watch?v=Mk1N0aG8d0U

0:  Wyzwanie.
1:  Jesteście ministrem nauki.
3:  Nagle w systemie szkolnictwa pojawia się około 60 tysięcy uczniów, którzy uciekają przed dramatem wojny z Ukrainy.
8:  Co robicie?
9:  Zatrudniacie nowych nauczycieli mówiących po ukraińsku.
12:  Redukujecie podstawę programową i wymogi egzaminacyjne.
16:  Indywidualizujecie proces kształcenia.
19:  Nie, skąd prowadzacie stary, dobry program Grzegorza Brauna Kościół?
24:  Szkoła Strzelnica i będą lekcje przysposobienia obronnego, żeby każdy się uczył strzelać, ponieważ tak, ponieważ pacyfizm jest demodę i teraz trzeba do wojny się szykować.
36:  Nie, nie, że właśnie mamy dowód na wschodzie, jak stara, dobra, radziecka taktyka wojska złożonego z poboraków przegrywa z wojskiem zawodowym, jarmią zawodową.
47:  I to jest paradoks właśnie.
48:  Człowiek, który walczy z postkomuną, magister niełuki i szkodnista wyższego, czerpie wzorce ze starych, dobrych, radzieckich programów nauczania.
