KONIEC WALKI O PRAWA UCZNIA 💯🥸 #shorts
🔗 https://www.youtube.com/watch?v=CwOkdtBpRkE

0:  Beton nauczycielski ma rację.
2:  Zbyt długo mówiliśmy już o prawach ucznia, czas wreszcie powiedzieć o tym, co nigdy nigdzie nie było przez nikogo definiowane, to znaczy o obowiązkach ucznia, dlatego bardzo się cieszę, że Stowarzyszenie Umarłych Statutów podjęło dzisiaj decyzję o tym, żeby przekształcić się w związek żywych obowiązków.
16:  Wreszcie poważne postulaty w przestrzeni polskiej oćmiaty.
20:  Ale moi drodzy, myślicie sobie, młode stowarzyszenie, powiedzieli, ale nie mają odwagi powiedzieć B.
25:  Mylicie się.
26:  Mianowicie, jak czytamy dalej, w ramach inicjatywy ma zostać również powołany rzecznik obowiązków przedsiębiorców.
32:  Panika na kanale zero.
33:  Następnie rzecznik obowiązków osób z niepełnosprawnościami, rzecznik obowiązków rowerzysty, rzecznik obowiązków kierowcy, rzecznik obowiązków wreszcie obywatelskich, nauczyciela, pacjenta i oczywiście zwierząt.
47:  Bardzo się cieszę.
48:  Właściwy ruch we właściwą stronę.
51:  Trzeba przyłączyć się do silniejszych, żeby walczyć ze słabszymi.
