Krowi poziom — BEASTMEN livestream (The Silence & The Fury DLC)
🔗 https://www.youtube.com/watch?v=hjdWJ1H_3BU

2:  Witam wszystkich na streamie.
4:  Dziś będziemy czcić bogów chaosu za pośrednictwem jednej z frakcji, której dotąd najbardziej nie lubiłem, a mowa mianowicie o Beastmenach.
13:  Oczywiście gramy w Warhammera Total War z dodatkiem.
18:  której nazwy cały czas zapominam.
20:  O właśnie, The Silence and the Fury.
22:  Gramy tym razem na mapie Okawiru, która dotąd nie gościła na streamie i gramy jeszcze pod auspicjami Creative Assembly, które rozpatrzyło pozytywnie naszą prośbę o to, byśmy byli odtąd jako vlog verified concert partner.
39:  Pomyślmy, cóż to się dzieje?
41:  Jaką daleką drogę przebyliśmy?
43:  Witam serdecznie was na czacie.
45:  Taurox, mosiężny byk, już ryczy straszliwie.
49:  Wprawdzie kompletnie niezgodnie z lore, ponieważ Taurox powinien pustoszyć Tabakland, jedną z prowincji Imperium.
55:  Tymczasem lądujemy na Czarnym Wybrzeżu, po zupełnie drugiej stronie świata.
60:  Poziom legendarny jak zawsze, poziom bitwy bardzo wysoki.
63:  Dzisiaj niszczymy, łupimy, plądrujemy i niszczymy.
69:  Dzień dobry.
77:  Śmierć dla Boga Śmierci!
78:  Niebo nad Nagarothem zasnuwa się szkarłatem, albowiem mroczni bogowie są uratowani.
87:  Oto Tauroks, mosięży zwiastun zagłady, dokonał w ich imieniu dzieła zniszczenia, lecz ta krwawa bestia łaknie więcej!
98:  Niszczycielskie potęgi zesłały swemu słudze wizję, obiecując mu jeszcze wspanialsze dary za jeszcze okrutniejszy czyn.
109:  A nie, to jeszcze nie.
111:  A nie, to jeszcze nie.
113:  Gdzie spoczywa najbardziej spaczony ze wszystkich kamieni stada.
119:  Wam właśnie ma odprawić plugaw rytuał, który ześle na świat śmiertelników nieprzebraną falę mortu.
133:  Ciekawostka od Taraela, którego witamy na czasie naszego dostojnego moderatora.
139:  Tauroksy to również transportery opancerzone Imperium Człowieka w settingu 40K.
143:  No proszę, ciekawy jestem czy to jest... Nie, to na pewno jest jedna z tych irytujących aluzji.
153:  Żałosne elfy, być pożywka dla Tauroks.
156:  My splugawić to miejsce ku chwale stada.
160:  Wkrótce tu być krwawe ziemię Tauroks.
162:  Już mogę się wam pokazywać, bo nie ma cutsceny.
166:  Mroczne elfy, głupie elfy myśleć.
168:  Ich wieże z kamienia dać im skronienie.
170:  My skruszyć je na pył.
172:  My wznieść kamienie stada na gruzach i dom.
175:  Czuję się od razu jak na konferencji naukowej w Polsce.
178:  Poziom dyskursu bardzo podobny.
180:  Zobaczmy jakiego dostaliśmy bohatera.
184:  Spopielacz stada.
185:  Mmm, moi mili, cóż za początek!
190:  Wspaniałość!
191:  Najlepszy trait, jaki mogliśmy dostać, czyli wiedza zwiększający rezerwę wiatrów magii dla wszystkich armii, a domyślacie się, że biorąc pod uwagę, że gramy jedną z ongiś najsłabszych frakcji w tej grze, zobaczymy jak będzie, to przyda nam się magia.
206:  Poza tym to ja gram, więc oczywiste jest, że będziemy używać mnóstwa magii.
213:  Samo życie pisze, że w końcu po oglądaniu streamów zaszłych udało mi się być na czasie.
217:  Cieszę się ogromnie!
219:  Też nie rozumiem w ogóle tej tendencji, że czasem bywa tak, że streamy są nieobecne.
224:  Dobrze, zobaczmy co tutaj możemy uczynić.
227:  Chodzi mi o to, że często zapisy są niedostępne, nie?
230:  Tutaj są dwie mechaniki, które nas bardzo interesują, to znaczy panel furii, to są buffy, które możemy otrzymać, one są
238:  No powiedzmy znaczące, ale nie aż tak znaczące jak jedna cudowna umiejętność Tauroxa, mianowicie odblokowanie umiejętności uzupełnienia zasięgu ruchu w kampanii, co sprawia, że będziemy mogli w nieskończoność rozgrywać bitwy.
251:  Z tego co pamiętam, Legend of Total War zdołał w trakcie, nie wiem, 20 tur opanować pół mapy.
256:  Wątpię, by nam się udało powtórzyć ten sukces, ale zaczynamy polądrowanie i grabienie.
263:  Czy grałem w Armies of Exigo?
264:  Nie grałem.
266:  Zwierzoludzie to są sługi chaosu jedne z wielu, to znaczy w lore generalnie rzecz wyglądała następująco.
273:  Trello.
275:  Myślę, że to nie będziemy rozgrywać na samym początku bitwy.
278:  W lore rzecz wyglądała tak, że zwierzęludzie to są spaczeni ludzie, humanoidy.
284:  I pojawili się oni mniej więcej wtedy, kiedy się pojawili też ludzie, więc to nie jest jedna z frakcji chaosu per se, ale są to wypaczeni mieszkańcy Imperium.
297:  Ojej, ból brzucha od 3 dni nie pozwala na czytanie książek, ale YouTube da się oglądać, więc mam nadzieję, że ten stream pozwoli zapomnieć o bólu.
302:  Piszę fantastyczne książki, łączę się z tobą w bólu.
306:  Sam wyszedłem ledwo co z paskudnego schorzenia nerkowego i stąd też nie było streamów w środę, więc rozumiem problem.
319:  Moje zdanie o Mai Lidii Kossakowskiej.
321:  Moim zdaniem ciekawa pisarka.
322:  Moim zdaniem też, chociaż czytałem jej głównie opowiadania, nie czytałem Grill Bar Galaktyki na przykład.
331:  Nie czytałem też tej serii anielskiej, nazwijmy ją w ten sposób.
336:  Ooo, czyżby jakiś głupi przeciwnik postanowił zrobić force match?
343:  Wykorzystamy to.
345:  Zasadzka.
347:  Zobaczmy jak się sprawdza Taurox w trakcie zasadzki.
352:  Cześć Pawle, witamy serdecznie.
354:  Anielska seria gorąca jest polecana, maili Diko Ssakowski na czacie, a zostało to zanotowane.
361:  Amuse of Exigo, gra dzieciństwa.
363:  Czemu ja nie znam tej gry?
364:  Będę musiał to koniecznie obczaić.
366:  Czy są elfy wierzące w bogów chaosu?
369:  Myślę, że Morathi jest najbliższa temu, bo Morathi w lore czciła wprost bogów chaosu, nawet specjalnie się z tym nie kryjąc.
378:  I chyba rozporządza magię chaosu najsprawniej z wszystkich Mrocznych Elfów, natomiast jeżeli chodzi o elfy wysokie, czyli z Ulfuanu, wydaje mi się, że nie.
393:  Zasadzamy się.
395:  Zwierzoludzie walczą prosto, to znaczy naprzód niszczyć!
402:  Dobrze, latające harpie to jest najgorsza jednostka w tej grze, więc sobie ją pomińmy.
407:  Nie bardziej interesuje Taurox.
409:  Taurox jest minotaurem i to dość potężnym, potrafiącym walczyć w zwarciu na tyle dobry sposób, jak widzicie, że myślę, że damy mu miecz Kayna.
421:  Powinno się to udać.
423:  Witamy z Dziha.
423:  CornbloodGod, proszę bardzo, jak adekwatnie na czacie się pojawił.
429:  PleasureCult był, chyba kiedyś Slaanesh'owi służył, ale nie wiem, jak jest w nowym lore.
433:  No właśnie, też mi się wydawało, że któryś z Mrocznych Bogów, ale nie pamiętałem, który.
437:  Myślę, że zgodnie ze starą dobrą taktyką będziemy rekrutować głównie łupieżców Ungoru, to jest jednostka dystansowa jednak paznijczych, o ile nie w ogóle jedyna, którą mają beastmeni na swoim... na swoim podorędziu.
456:  Widzę, Krzysztofie, że im mniej rozbudowany język frakcji, tym lepiej się wczuwam.
459:  Tak!
460:  Tak jest!
461:  Absolutnie!
462:  Przynajmniej nie trzeba się uczyć jakichś straszliwych rzeczy, jak na przykład Elfiej Mowy z Ulfuanu.
467:  Och, to jest wspaniała jednostka, która została wprowadzona w tym DLC, mianowicie Gorgon.
471:  Prymitywny, głupi Gorgon, który potrafi szybko szlachtować.
477:  Ale nie oszukujmy się, i tak najlepsza jest frakcja z Kavenów.
480:  Czy są przyjmowane zakłady po ilu godzinach streama?
483:  Solsy mnie pokonają.
484:  A-ha-ha!
486:  A propos.
487:  Robiłem już ogłoszenie w tej sprawie na karcie społeczność, ale Solsy mnie pokonały na etapie ustawienia kontrolerów, to znaczy okazało się, że na interfejsie
497:  Wprawdzie jesteśmy w stanie ustawić sobie klawiaturę i mysz, ale wszystkie pozostałe podpowiedzi, które się pojawiają, są dostosowane do kontrolera, brawo!
506:  W związku z powyższym stwierdziłem, że póki nie znajdę fixa albo nie nauczę się obsługi kontrolera, to poddaję się.
512:  Więc poddałem się, zanim zdążyłem zagrać.
516:  Dlatego też jutro sobie gramy w... Toreka Iron Bro, przypomniałem sobie.
528:  Korn jest ulubionym bogiem chaosu serio życie.
531:  Najbardziej mi odpowiadają jego pozytywne aspekty.
539:  Bardzo szybko poszło z Soulsami, tak?
541:  Ja się spodziewałem, że będzie ciężko, ale nie spodziewałem się, że aż tak.
544:  Nie no, zrobiłem sobie po prostu test na samym początku.
547:  Jak zobaczyłem, jak wszystko działa, to... To jest dodatkowa warstwa trudności.
553:  Oczywiście, no, najprostszym rozwiązaniem jest wprowadzenie kontrolera, ale ja jestem człowiekiem myszy i klawiatury, więc zanim ja się przestawię, moi drodzy, to minie duuuużo czasu.
561:  Lud domaga się... Yen Shepard powiadacie.
564:  Yen Shepard powróci prawdopodobnie... nie wiem dokładnie kiedy.
567:  Możliwe, że w przyszłym tygodniu, chociaż w przyszłym tygodniu chciałem zacząć Wiedźmina, zgodnie z obietnicą.
574:  Ale będzie.
577:  Jakie płatki, je to rox!
579:  Cornflakes!
580:  Piękne!
584:  A czy orkowie wierzą w bogów chaosu?
585:  To jest pytanie, na które nie umiem znaleźć odpowiedzi.
589:  Spodziewam się, że na czacie ktoś będzie wiedział.
591:  Krzysztofie, dzięki Tobie odkryłem Pana Lodowego Ogrodu, pożerałem dwa tomy w tydzień.
595:  Cieszę się ogromnie.
596:  Ja przez ostatni tydzień, kiedy byłem unieruchomiony, przeczytałem obydwa tomy.
601:  Rytmów Wojny Brandona Sandersona, to jest tom czwarty sagi z Archiwum Burzowego Światła i nie mogę się nachwalić, to jest po prostu rzecz absolutnie wybitna, którą trzeba, jeżeli ktoś kocha fantasy monumentalne, to trzeba po prostu temu dać szansę.
617:  Wiesiek będzie, tak jest, jest Wiedźmin trzeci, to Niebagatelny.
621:  Wiedźmin mianowicie będzie w opcji New Game+, jeśli nam się uda.
636:  Czyżby jakaś podrzędna gra miała większą moc niż ja?
639:  Na to wygląda, moi drodzy.
641:  Jak zawsze, wszystkie gry, które mnie pokonują, to są gry, które są źle zoptymalizowane.
649:  Tak to sprytnie nazwijmy.
654:  Czy mam plany na wprowadzenie nowej serii filmów na kanał, na przykład poradniki światotwórcze?
658:  O światotwórstwie mogę mówić, przy czym ja zazwyczaj staram się unikać tematów stricte zawodowych.
666:  Ale możliwe, że coś takiego się pojawi.
669:  Coś w stylu tego filmu, który był o imersji, nie?
671:  Albo nie imersji, eskapizmie.
673:  O imersji to ma być.
674:  Aha, spoiler!
676:  Zwierzęcy szał, wybieramy to.
680:  I myślę, że sobie osadzimy nasz, o, odłamek kamienia stada w Wiedźmin domu.
687:  Dlaczego?
688:  Otóż dlatego, że bez tego nie jesteśmy w stanie zacząć żadnego researchu.
691:  Musimy wpierw znieść kamień stada.
693:  Kamień stada jest fajną opcją, mianowicie sprawia... Oj nie, muszę jedną rzecz zmienić.
701:  Nie zależy mi na tych jednostkach.
704:  Kamień Stada sprawia następującą rzecz.
707:  Można tutaj odprawić mianowicie rytuał, który sprawi, to jest genialna rzecz, dzięki której w ogóle jestem w stanie grać w Beastmenów, że wszystkie te ruiny, które tutaj są, nie będą mogły być z powrotem zasiedlone, czyli to zapobiega tej strategii Ruin Dwelling, którą uprawia AI bardzo często.
721:  Oczywiście, że będzie build Geralta pod Igni.
724:  Zawsze jest.
725:  Przecież to jest... Geralt jest magiem ognia.
728:  Nie słyszeliście?
729:  To jest oczywiste.
733:  Jeżeli się nauczę kontrolera na Solsach, to nic nie będzie straszne, powiadacie.
737:  To jest kusząca perspektywa.
739:  Co potrzebujemy?
740:  Potrzebujemy na pewno nabitych głów.
743:  Nabite głowy zawsze sprawiają, że hordy zwierzyludzi poruszają się raźniej i bardziej chwacko.
753:  I nasz szaman potrzebuje okropnego przypływu.
757:  Uwielbiam te nazwy, które są chaosyckie.
760:  Wszystko jest zdradzieckie, bestialskie, okropne, zdeewoluowane i donośne.
767:  Aż dwa awanse, niesamowite rzeczy.
776:  Orkowie ogólnie nie wierzą w bogów chaosu.
778:  Ogół uważa, że takie zachowanie nie jest orkowe.
780:  Zdarzają się wyjątki, ale są bardzo rzadkie i są wyrzutkami orkowego spoczeństwa.
783:  Ciekawa rzecz.
785:  Czy znam Magic the Gathering?
786:  Ba, nawet grałem.
787:  I co więcej, to jest jeden z niszczych przypadków, kiedy grałem faktycznie tabletopowo.
793:  Na krwawych ziemiach nie ma miejsca dla słabych.
796:  Muuu!
797:  Wyczuwam ich strach, czuję krew.
799:  Znajdź ich, zniszcz, zburz mury, spal domostwa.
805:  O, konkurencyjna horda zwierzoludzi.
809:  Oczywiście, że tchórzliwie wypowiemy jej wojnę.
821:  Po ilu turach restart kampanii zwierzoludzi?
824:  Nie będzie dzisiaj restartu.
828:  Dlaczego poruszamy się ślamazarnie i powolnie?
830:  Należy to natychmiast zmienić.
832:  Dobrze, prędkość najszybsza.
836:  Atakujemy hordę zwierzęludzi.
837:  To jest samotna horda zwierzęludzi, należy ją zniszczyć.
841:  Czy grany był Black and White?
842:  O, kiedyś był, kiedyś był.
846:  Jak nazywają się turowie wierzący w Slaanesha?
848:  Zbyczeni.
850:  Pierwszy słuchar na czacie.
851:  Aż muszę popić i dziękuję ogromnie.
853:  Wiecie, że je lubię.
857:  Kontrolę dla TTP jest łatwy, powiadacie, w przeciwieństwie do takiego duma na padzie.
861:  Nie no, strzelanie na padzie to już jest w ogóle coś, czego absolutnie nie akceptuję.
865:  Nie, nie zaszczycimy tej hordy zwier... Nie, zaszczycimy hord... Nie, nie zaszczycimy jej.
