Polska nie jest gotowa na rewolucję A.I.
🔗 https://www.youtube.com/watch?v=34QVkoJmBZw
0:  Gdy spytać populistów o to, co jest problemem w polskiej edukacji, odpowiedzą bez chwili wahania.
5:  Nowe media, internet, smartfony, proszę bardzo, ten kraj zakazuje smartfonów, ten kraj wycofuje smartfony, tamten kraj blokuje połączenia internetowe, ten kraj mówi uczniom, że nie mają korzystać z tych czy innych źródeł.
19:  jeszcze inny zabroni smartwatchy i tak dalej, i tak dalej.
23:  Te argumenty są tak liczne, że ludzie, którzy usiłują się przebić z alternatywną narracją, siłą rzeczy są, jak to bywa w przypadku walki z populistami, zagłuszani.
33:  Dlatego dzisiaj mam dla was coś, co mnie samego bardzo przeraziło i o czym nie dowiedziałbym się, gdyby nie Artur Kurasiński, spec z zakresu sztucznej inteligencji generatywnej, czyli tych dużych modeli językowych,
46:  które pozwalają nam na zasadzie stochastyki trafów generować najbardziej prawdopodobne wyszukiwania, o które chodzi użytkownikowi.
53:  To nie jest jeszcze żadna sztuczna inteligencja, umówmy się, to są bardzo zmyślne algorytmy bazujące na gigantycznych korpusach danych.
61:  Jak chcecie się o tym dowiedzieć więcej, to polecam wszystkie materiały praktycznie, jakie tworzył Mateusz Chrobak.
66:  Ale właśnie, także i śledzenie Artura Kurasińskiego w mediach.
69:  Czytamy u niego na przykład parę dni temu, że w kontekście linki nowego posta dotyczącego słabości polskiej edukacji, stąd mnie to zainteresowało, warto przytoczyć raport Pulsu Biznesu, z którego wynika, no...
82:  raczej miażdżąca diagnoza dla polskiego społeczeństwa i polskiej gospodarki.
87:  Każda władza, pisze Kurasiński, wybierała gaszenie problemów tu i teraz, odsuwając kompleksowe wizje i naprawy.
92:  Efektem jest bycie tanią siłą roboczą dla Zachodu, montownią i krajem, gdzie drenuje się mózgi najzdolniejszych osób.
99:  Przez naszą kulawą edukację nie umiemy wyciągać wniosków, analizować złożonych tekstów, a nasze umiejętności cyfrowe są po prostu żadne.
107:  Mocna teza, nie?
108:  Ale z drugiej strony teza podparta raportem, który zaraz sobie przytoczymy, ponieważ wydaje mi się bardzo wartościowy.
115:  Szybko tylko zaznaczę jedną rzecz.
116:  Zauważcie, jak zupełnie inaczej mówi się w kontekście tego, o co chodzi w biznesie, w gospodarce, o polskiej edukacji.
123:  Znana jest sprawa taka, że polska edukacja przygotowuje pracowników umysłowych głównie i ludzi, którzy mają późne uniwersytety.
129:  Jest jeden problem przez to, że robi to w żenujący sposób, to przygotowuje przeciętnych historyków literatury, przeciętnych profesorów, przeciętnych doktorów.
139:  a wszyscy, którzy są wybitni, uciekają na zachód i mierzymy się z tym drenażem talentów w Polsce już od lat.
145:  Dlatego też w tym raporcie podkreśla się konieczność stworzenia nowej polityki publicznej, która będzie priorytetyzowała umiejętności cyfrowe, kompetencje cyfrowe i kreatywne, właściwe dla społeczeństwa ery, w której żyjemy, społeczeństwa prosumenckiego, w którym prosumenci, konsumenci zlewają się w jedną grupę, w tym wszyscy tworzymy
165:  treści, w którym każdy z nas, zbudowawszy swoją markę osobistą, może zacząć coś sprzedawać, niezależnie od tego, czy to będzie fizyczny produkt, czy też, jak to bywa w kapitalizmie kognitywnym, wiedza, dane albo content i różnego rodzaju treści.
183:  Tymczasem, niestety, polska edukacja nas do tego kompletnie, ale to kompletnie nie przygotowuje i to naprawdę na bardzo wielu poziomach.
190:  Przede wszystkim, jak czytamy w tym raporcie, społeczeństwa Europy Środkowej, w tym w odróżnieniu od zachodniej, miały w okresie transformacji gigantyczny i rosnący popyt na, no cóż, edukację.
203:  Dlaczego?
203:  No z tego względu, że nagle się okazało, że potrzebujemy pracowników wyższego szczebla, menadżerów, osoby zarządzające różnymi procesami.
211:  No w związku z powyższym od tych lat 80., tak jak tłukę bardzo często na tym kanale i powtarzam, do lat późnych 2000 mieliśmy cały czas wzrost na rynku usług edukacyjnych, skutkiem czego w Polsce obecnie mamy 400 uniwersytetów.
226:  Ponad jest to oficjalna dana dostępna na stronie Ministerstwa Edukacji i Nauki.
231:  Oczywiście jest tego za dużo, ale wiadomo, w takiej sytuacji gwałtownego rozwoju robiliśmy wszystko, żeby oferować chętnym tak dużo usług edukacyjnych, jak dużo na przykład wymagała tego matura, która sprawia, że nagle bardzo duża część osób uważa, że musi iść na studia, mimo że absolutnie tak nie jest.
252:  Są jednak, jak czytamy dalej w tym raporcie, pewne bariery, które mogą utrudniać wykorzystanie wysokich kompetencji do rozwoju właśnie w erze AI.
259:  Przede wszystkim region nasz specjalizuje się w kompetencjach rutynowych, dostosowanych do ery przewysłowej.
267:  Polacy mają dobre wyniki w podstawowych umiejętnościach czytania i pisania, ale znacznie słabiej radzą sobie w świecie cyfrowym czy w zadaniach nierutynowych.
279:  No mogę się tylko uśmiechnąć, biorąc pod uwagę to, że tyle razy już na łamach serii chociażby dla każdego coś przykrego mówiłem, jak to tworzy się z nas roboty robiące dokładnie to, co należy według schematu, nie wychodzące poza pudełka i umiemy się mistrzowsko dostosować tak długo, jak długo się nam rzuci jakiś ochłap, jakieś punkciki, jakieś nic nieznaczące,
305:  śmieszne nagrody, jakieś certyfikaty, dużo pieczątek na tych certyfikatach będzie, że nam się wydawało, że to w ogóle jest cokolwiek warta.
313:  Tak naprawdę to nie jest nic warte, to nie są żadne pieniądze.
315:  Na tym się nie robi biznesu i na tym się nie buduje gospodarki.
318:  Ale buduje się fałszywo pewność siebie i równocześnie kontroluje się bardzo łatwo ludzi
323:  tym żenującym systemem nagród i kar.
326:  Zwłaszcza takich ludzi, którzy mają karnie w kolonii zachodniej robić dla dużych imperiów to, co duże imperia chcą, żebyśmy robili.
335:  Taka, wiecie, tania montownia.
337:  Nie tylko montownia części samochodowych, ale także montownia różnego rodzaju półproduktów intelektualnych.
345:  Od czasu transformacji Polska, czytamy w raporcie, specjalizuje się w pracy relatywnie rutynowej, ustrukturyzowanej, wymagającej dokładności, sumienności, charakterystycznej bardzo dla pracowitych Polaków skądinąd, raczej niż nie kreatywności i rozwiązywania problemów.
360:  to na tle innych krajów Europy Zachodniej.
362:  Specjalnością naszą w pracy rutynowej, czyli nie wiem, na przykład manualnej, jak przemysł albo umysłowej, w przypadku relatywnie prostych usług dla biznesu, będzie sprzyjanie wysokiemu zatrudnieniu, umiarkowanemu wzrostowi płac, ale będzie równocześnie tworzyło barierę do gonienia krajów Europy Zachodniej.
380:  I w ten sposób jesteśmy w tym klinczu charakterystycznym, że z jednej strony mamy edukację pruską, która ma ordnung, salut do Centralnej Komisji Egzaminacyjnej, wiecie to wszystko, co jest w polskich szkołach, a z drugiej strony mamy tę stronę ruską.
397:  strona ruska, która mówi, że ma być średnia, że nie ma być tych najlepszych, nie ma być tych najgorszych, wszyscy mają być przeciętni.
403:  No to tak jest.
404:  Jeżeli mamy być na usługach wielkich imperiów, to nie mamy się wychylać, prawda?
409:  Mamy być przeciętni, mamy robić to,
412:  czego się od nas wymaga, jak taki wół roboczy bardzo przydatny i edukacja polska jest do tego, żeby w nas takie przekonanie zaszczepić, tak żebyśmy go nie kwestionowali, nie rozpoznawali go jako ingerencję z zewnątrz, tylko jako coś, co sami sobie zbudowaliśmy, dlatego właśnie nie umiecie sobie odpowiedzieć na pytanie, dlaczego się przejmowaliście kiedyś ocenami, dlaczego się przejmowaliście maturą w czasie pisania matury,
436:  dlaczego na przykład mieliście problem z tym, że wasz kolega, czy koleżanka, czy osoba koleżeńska dostała wyższą ocenkę od was, albo miała więcej czasu na napisanie czegoś, ponieważ to nie ma żadnego znaczenia.
447:  Jakbyście zastanowili się nad tym wszystkim, to mieliście z tym problem, dlatego że zaszczepiono wam wewnętrznego strażnika, który was smagał nachajem po plecach wtedy, kiedy nie było zewnętrznego strażnika, żeby robić to samo.
460:  Polska dzięki temu właśnie nie jest przygotowana do rewolucji AI.
465:  Na tle innych krajów jesteśmy absolutnie w ogonie, to znaczy w tej przestrzeni, która jest diagnozowana na wykresie jako kraje o niskim poziomie zastosowania technologii i umiejętności cyfrowych.
476:  Fajnie, prawda?
477:  Nie, nie, nie, jeszcze nic nie wiecie.
478:  Dopiero fajnie się zaczyna na wykresie 17, gdzie są pokazane wszystkie kraje rozwijającego się świata i OECD również,
487:  w których są umiejętności cyfrowe na trzech wyróżnionych poziomach.
490:  No więc my jesteśmy na szóstym miejscu od końca i poniżej grubo średnią krajów OECD.
497:  Fajnie, prawda?
499:  Polacy charakteryzują się trzecim najniższym poziomem średnich umiejętności cyfrowych z kolei w krajach Unii Europejskiej, więc jeszcze gorzej.
505:  Do największych słabości Polaków należy tworzenie treści cyfrowych, opracowanie tekstu, obsługarkusza kalkulacyjnego, edycja plików, czyli absolutny elementarz i podstawy.
514:  Ja od siebie jeszcze mogę dorzucić wyszukiwanie danych w Google'u, przecież...
520:  I procent ludzi, który ma problem z tym, żeby dotrzeć do artykułów naukowych za pomocą Google Scholar jest wysoki dlatego, że jesteśmy zdani całkowicie na łaskę algorytmów.
530:  Co nam podsufluje algorytm, to jest nasza.
532:  Jeżeli mamy sami zadać odpowiednio pytanie, to nawet nie wiemy, jak słowa kluczowe odpowiednio dobrać.
537:  Nie klikniemy, nie sprawdzimy, kto napisał dany artykuł, nie zweryfikujemy tego, nie zobaczymy, ile ma cytowań, czy to jest w ogóle znany badacz, czy nie jest znany badacz.
546:  Na wszelki wypadek podlinkuję Wam tutaj film, o którym mówię w tym kontekście i myślę, a przedstawiający
552:  To w jaki sposób można rozpoznać faktycznie, czy ktoś jest godnym zaufania naukowcem, czy nie, jeżeli ktoś nie jest w dziedzinie i się nie zna, ale pamiętajcie, że to też zawsze wymaga pogłębionych studiów.
563:  Im bardziej się nie znacie na jakiejś dziedzinie, tym bardziej właśnie musicie szukać.
566:  Nie jeden artykuł, tylko kilka artykułów.
569:  Kiedyś musieliście do tego w celu pójść do biblioteki oddalonej o 300 kilometrów.
574:  Dziś jesteśmy o dwa kliknięcia od takiej weryfikacji.
576:  Ale nie umiemy tego robić z bardzo prostego powodu, to znaczy w Polsce problem nawet jest w tym, żeby rozwiązywać problemy w środowisku cyfrowym, to znaczy wiecie, jeżeli mamy się połączyć na Zoomie, tak?
588:  My jesteśmy dobrzy w aplikacje online, natomiast w bankowość, to rzeczywiście w Polsce, czy płatności zbliżeniowej i tak dalej, to zawsze było na wysokim poziomie.
596:  Ale z kolei, jeżeli chodzi o ochronę tego rodzaju danych, to jest absolutna katastrofa.
601:  Bez przerwy mamy wycieki haseł.
602:  Nikt nie korzysta z menadżerów haseł nawet.
605:  Szybko wyjaśnię, menadżer haseł pozwala Wam na to, żebyście ustalili sobie, na przykład w takim kipasie czy bitwardenie, tu polecam swoją drogą, zwłaszcza własne rozeznanie i lekturę materiałów na stronie Niebezpiecznik, takiego super hasła,
621:  złożonego, semantycznego, niech to będzie jakieś zabawne zdanie.
624:  Moje zdanie jest bardzo podrzędnie złożone, które sobie mam do swojego menadżera haseł, bo tak, takie zdania są najbardziej odporne na próby hakerskie, natomiast jeżeli sobie zrobicie jakiś randomowy ciąg znaków i cyfr, to no nie zgadniemy, co się specjalizuje w odgadywaniu randomowych ciągów znaków i cyfr, no cóż, tak, właśnie, sztuczna inteligencja i algorytmy, w związku z powyższym
647:  Już na tym poziomie my nie rozumiemy tego, jaka jest siła języka naturalnego, tego, że on jest chaotyczny kompletnie i możemy za pośrednictwem właśnie takiego hasła sobie troszeczkę zabezpieczyć naszą bazę, ale to i tak jest mało, chociaż jeżeli chcecie więcej informacji, to też bardzo polecam serwisy rządowe, w których też wszystko to jest po kolei opisane i można jakoś dbać o swoje bezpieczeństwo, ale i tak najlepszy sposób, jaki istnieje, to jest
672:  Taki kluczyk bezpieczeństwa radosny, Ubico na przykład, mój kluczyk Majamnika, który to wpinacie, jak wiecie, jak każdy zresztą klucz USB do komputera i tylko wtedy aktywuje się menadżer haseł na przykład i tylko wtedy jesteście w stanie dotrzeć do swojej poczty, jak to przyciśniecie.
691:  Albo alternatywny wariant, możecie sobie spiąć przez protokół NFC taki kluczyk z waszym telefonem i dzięki temu odpalić aplikację,
700:  autentyfikatora, które będzie bazowała nie na kodach SMS, które są wrażliwą daną i które mogą zostać przechwycone, tylko na fizycznym zabezpieczeniu, to znaczy tylko wtedy wyświetlą się Wam kody do różnych witryn, te właśnie, które normalnie dostajecie SMS-ami, jeżeli przytkniecie to cholerstwo do telefonu.
719:  Więc jeżeli ktoś nie będzie mieć tego przedmiotu, to już jest mu ciężej dostać się do Waszych danych i naprawdę na poziomie konsumenckim to w zupełności wystarcza.
