Taniec ze smokami | HOUSE OF THE DRAGON (recenzja bez spojlerów)
🔗 https://www.youtube.com/watch?v=hMeTIJds2yQ

0:  Świat lodu i ognia.
1:  Nie ukrywam, że to głównie, a ściślej mówiąc miłość moja do tej rzeczywistości sprawiła, że w ogóle zainteresowałem się.
9:  Pierwszym sezonem nowego serialu HBO House of the Dragon, który dzisiaj ledwie kiedy kręcę te słowa, miał swój finałowy odcinek.
18:  Ponieważ siódmy i ósmy sezon Gry o Tron doprowadziły mój fanowski zaciesz dziełami George'a, a Martina ich adaptacjami HBO na skraj przepaści.
30:  Do dzisiaj uważam, że głupi i głupszy, czyli scenarzyści Gry o Tron,
35:  całkowicie przeliczyli się w swoim błędnym, swoją drogą szacowaniu swoich umiejętności scenariopisarskich i zwłaszcza wytrzymałości fanów.
45:  Przypominam tym z was, którzy nie wiedzą, że zarówno David Benioff, jak i D.B.
51:  Wise, ledwo miałem sobie przypomnieć ich imiona, tak się zapisały w historii kinematografii,
56:  połakomili się na robienie trylogii Gwiezd Nowojednej, ale niestety się okazało, że ten projekt został skasowany, jak tylko wszyscy się przekonali, jak wielką katastrofą, hekatombą były ostatnie sezony Gry o Tron.
68:  I mówię o tym z bardzo prostego powodu, to znaczy Gra o Tron serialowa była pewnym przełomem.
73:  Może część z was tego nie pamiętać, ale ja bardzo żywo pamiętam seriale fantasy przed Grą o Tron, które wyglądały no mniej więcej tak jak
84:  Wiedźmin, albo Rings of Power, albo takie biedniejsze koło czasu.
89:  I owszem, trzymały się kupy jako taka opowieść przygodowa, pikarejska, czyli łotrzykowska, o wagabunda, o maga, o rycerzach, ale w zasadzie tam nie było tego, co jest najpiękniejsze paradoksalnie w fantazy, czyli realizmu.
105:  I tak się składa, że Gra o Tron ten realizm wniosła, głównie z tego względu, że HBO w tym momencie odcinało kupony od swoich niesamowicie popularnych produkcji historycznych, w tym zwłaszcza Rodziny Bordziów chociażby, czy przejętego swoją drogą Spartacusa w którymś momencie, jak również Rzymu.
125:  To były produkcje, z których
127:  Nie tylko znane było HBO, ale także i z szereg innych platform streamingowych doskonale zdawały sobie sprawę z tego, że odbiorca jest łakomy na tego rodzaju kostiumowe filmy historyczne.
140:  I to była gra o tron.
141:  Zauważcie, że elementy magiczne czy typowe i charakterystyczne dla świata fantasy, wliczając w to smoki, pojawiły się bardzo późno.
148:  Jeżeli pokazywano magię, pokazywano ją bardzo oszczędnie, wiele motywów z gry o tron, czyli oryginalnej pieśni Lodu i Ognia George'a R. R. Martin'a,
157:  zostało wyciętych przez scenarzystów Gry o Tron tylko dlatego, że nie pasowały właśnie do tego realizmu historycznego.
166:  I wraca on w o wiele lepszym stylu w House of the Dragon.
171:  Przyznaję od razu, nie dawałem temu serialowi żadnych szans.
175:  Co więcej, byłem przekonany, że Rings of Power będzie miało większe szanse powodzenia z uwagi na wyższy budżet.
181:  Little did I know.
183:  House of the Dragon wraca do Gry o Tron
186:  sezonu drugiego, sezonu trzeciego.
189:  Widowiskowe, fantastyczne, spektakularne ujęcia, pyszne kostiumy, fantastyczna gra aktorska, co do której też byłem sceptyczny, głównie dlatego, że tacy aktorzy jak Paddy Constantine czy Matt Smith nie byli mi specjalnie znani z poprzednich produkcji.
205:  A tymczasem praktycznie każda z postaci tu występujących, zwłaszcza Rejnyra Targaryen, Otto Hightower,
213:  Velarionowie, czyli mniej znany ród panujący na morzach w uniwersum Gry o Tron.
219:  Wszyscy ci bohaterowie są pełnokrwiści, zapisują się w pamięci.
224:  Dowiadujemy się więcej o historii Westeros i Siedmiu Królestw Niźli z samej Gry o Tron.
231:  Dowiadujemy się więcej wreszcie o tytułowym Rodzie Smoka, czyli
235:  oczywiście rodzie Targaryenów, ale również właśnie rodzie Velaryonów z nim, bardzo ściśle współpracujących i wreszcie serial ten kładzie podwaliny po to, co znamy, czyli przynajmniej z nas, którzy czytali ostatni tom Pieśni Lodu i Ognia pod nazwą Tańca Smoków.
251:  To jest właśnie ten taniec smoków,
254:  To znaczy wojna domowa między stronnictwem czarnych a stronnictwem zielonych, dwoma skonfliktowanymi stronnictwami skupiającymi zarówno Targaryenów, Velaryonów, jak i inne robdy siedmiu królestw sprzyjające z jednej strony
270:  dynastii, która się ukształtowała pod egidą spisku Hightowerów, jak z drugiej strony prawowitej dynastii Targaryenów, która została namaszczona przez Viserysa Targaryena, króla u schyłku zarówno swego pokojowego panowania, jak i schyłku lat życia, jednej z najwspanialszych postaci, jaką w tym uniwersum w ogóle nam kiedykolwiek dano.
295:  Ale chciałem, póki jeszcze widzicie kadry z tego serialu, podkreślić, jak bardzo istotny jest realizm w fantazy.
303:  Tak, wszyscy wiemy, że te królestwa, te postaci, te smoki nie istnieją, ale sztuką jest przedstawić je za pośrednictwem miksu practical effects, czyli efektów praktycznych, specjalnych, jak i CGI, a więc computer generated imagery, komputerowych efektów specjalnych, tak, żeby...
322:  czuć się, byśmy byli faktycznie w tej rzeczywistości.
325:  House of the Dragon traktuje poważnie zarówno widza, jak i bohaterów swojego serialu.
330:  Oczywiście nie znaczy to, że nie unika błędów i niestety dokładnie tak samo jak w przypadku Wiedźmina, jak i Rings of Power, jak i Koła Czasu, błędy te najczęściej będą scenariopisarskie.
341:  House of the Dragon nie traktuje lekko człowieka, który nie zna przede wszystkim lore,
348:  Gry o Tron, czyli całego tego uniwersum, Siedmiu Królestw, ale także innych kontynentów, Essos, Soforios, Ulfos i pozostałych, ale również każdego, kto, jak ja tym razem, nie czytał pierwowzoru książkowego.
363:  Bo tak, zeźlony na Martina, że nie kończy Pieśni, Lodu i Ognia, stwierdziłem, że nie bębe czytał innych jego książek i teraz trochę dostałem po głowie,
371:  ponieważ będę musiał sobie post factum przeczytać House of the Dragon w wersji książkowej, mimo że nie jest to jeszcze dokończone, bo tak w Polsce prawie wyszły dwa tomy, ale Martin zapowiadał, że niezależnie jeszcze planuje kontynuację tej historii.
383:  Niemniej, jeżeli jesteście zainteresowani wersją książkową, jest ona mniej więcej zamknięta.
388:  Starałem się poznać ją na tyle, na ile było to konieczne do stwierdzenia, czy ten serial jest udaną.
393:  adaptacją.
395:  I moja odpowiedź będzie następująca.
397:  W tym przypadku jest to nieistotne, z bardzo prostego powodu, to tak samo bowiem jak House of the Dragon jest historią osadzoną w świecie,
405:  Tak samo pierwowzór książkowy jest historią osadzoną w świecie, kroniką historyczną, pisaną z trzech perspektyw narracyjnych, z których każda reprezentuje przykład narratora niewiarygodnego.
416:  A zatem nie do końca wiadomo, czy to, co czytamy tam jest kanoniczne, faktycznie jest częścią tej wiedzy o uniwersum Martina, jaką powinniśmy sobie przyswoić.
425:  dlatego myślę, to tak dobrze działa.
427:  Bo jedno jest kroniką historyczną i drugie jest kroniką historyczną.
431:  HBO czuje klimat kroniki historycznej i czuje klimat dramatu kostiumowego historycznego i dlatego wszystko to zaczyna się bardzo ładnie dodawać.
439:  Oczywiście, że więc znajdą wszyscy ci, którzy czytali pierwowzór książkowy pewne nieścisłości, ale równocześnie, na tyle na ile mogę to ocenić, serial pod względem narracyjnym jest spójny.
450:  Jego największą wadą są przeskoki czasowe.
452:  Wielokrotnie
453:  Czas skacze nie tyle nawet o parę miesięcy, jak to zrazu na początku serialu, co jest jeszcze do zniesienia, ale potem o kilka lat i niestety dochodzi do wymiany aktorów i to jest mój drugi poważny zarzut wobec tego serialu.
465:  Zbyt się zżywam z postaciami na samym początku, by zaakceptować ich starsze wersje z jednym wyjątkiem, na szczęście Reiny Rytargarian, która zdecydowanie wybija się na plan pierwszy w kolejnych odcinkach tego pierwszego sezonu.
480:  Ale to mało zarzutów, zauważcie, jak na serial, który wychodził po ósmym sezonie Gry o Tron.
486:  I dlatego też mogę śmiało powiedzieć, jeżeli nie widzieliście House of the Dragon, bo tak jak ja byliście zrażeni tym, co to uniwersum ma do zaoferowania, uspokajam, wracamy do dobrej formy z trzeciego, czwartego sezonu Gry o Tron.
500:  Niestety nie z takim budżetem.
502:  I dlatego jedyne, co mogę powiedzieć, to to, że najwybitniejszy
507:  Serial nakręcony kiedykolwiek w historii telewizji, czyli Rings of Sour, powinien był po prostu zamienić się budżetami z House of the Dragon.
516:  I przypuszczam, że wtedy mielibyśmy do czynienia z serialem, który nie tylko zjadałby wyniki oglądalności Rings of Power, tak, wynika z najnowszych statystyk, a mówimy dopiero o statystykach na poziomie szóstego odcinka, nie uwzględniając jeszcze siódmego i ósmego, ale mówilibyśmy o hicie na miarę gry o tron.
531:  bo tym House of the Dragon jeszcze nie jest.
534:  Ani nie rezonuje tak w fandomie, ani nie rezonuje tak kulturowo, ani też nie trafia do tak szerokiej rzeszy odbiorców jak oryginalny serial Bini Of Aiwaisa.
545:  Pozostaje zatem mieć nadzieję, że drugi i trzeci sezon, może także czwarty, bo chodzą słuchy, że tyle ich będzie,
551:  Będą cały czas podwyższać nie tylko poziom narracyjny, ale także produkcyjny i kinematograficzny, bo na razie zapowiada się wszystko bardzo dobrze.
559:  No i mam jeszcze nadzieję, że nie będzie więcej odcinków reżyserowanych przez Miguela Sapocznika, ponieważ ma on przedziwną tendencję do kręcenia ciemnych ujęć, których się nie da rozeznać kto jest kim.
570:  Mogę zatem śmiało Wam wreszcie polecić jakiś serial fantasy i podkreślić raz jeszcze, że fantasy ma być realizm.
577:  Jeżeli nie mamy realizmu w fantasy, mamy do czynienia z kiepskim wariantem baśni.
582:  House of the Dragon takim kiepskim wariantem baśni nie jest.
586:  świetnym dramatem kostiumowym, historycznym, z elementami magicznymi w postaci smoków, ale absolutnie realistycznym na wskroś w przedstawieniu stosunków geopolitycznych, interpersonalnych między postaciami i wreszcie pełnokrwistego obrazu Westeros, takim jakim ono faktycznie jest.
607:  Do następnego.
