🔴 Detektyw River na tropie | CYBERPUNK 2077 Livestream #7
🔗 https://www.youtube.com/watch?v=EJ0Rjuo5KvE

313:  Dzięki za oglądanie!
328:  stream czwartkowy.
329:  Wyjątkowy dlaczego?
331:  Dlatego, że wreszcie mam figurkę z edycji kolekcjonerskiej CyberBanka 2077, a to z uwagi na to, że wydawnictwo PowerGraph postanowiło nie tylko mnie obdarować prezentami, ale także wszystkich, którzy byli na live poprzednim.
345:  Możecie znaleźć zapis, rozmowie z Rafałem Kosikiem, autorem książki, bez przypadku książki cyberbankowej, więc jak tutaj jesteście, to powinniście też móc i chcieć to przeczytać i w razie czego, gdybyście nie wiedzieli, to macie jeszcze zniżkę
358:  z kodem bezprzypadków, na całą ofertę w dinamista Powergraph, czyli nie tylko na książkę Rafała Kosika o cyberpunku, ale wszystko inne.
366:  I czwartek od razu jest lepszy.
368:  Witam serdecznie Tomasz Tomasz, Patemi Fernes, Astreyka, Grald, Zen Bugami, Esa, AtuszCytrus, Wojtek Pszczelarz, Mateusz Rudka, Kajtek2, Enka, Bjorn Hurdursson, Balrog72, Ola Nowicka, Maxka, Suzy Diamond, Matt Emeriu, Rafał Piórkowski,
386:  Ola Nowicka jeszcze raz, Bambi, Marcin, Micharbi, Pepe III, najgnośniejszy, Astray, Czerwony Lis, Fern, Małgorzata P., Asasyniarz, Aldona K., Katokamasz, Human Bean, 527, Hudinius, Killer Clean, Aldona, Bajera, Mat, K.
405:  Feviv, Bigomeza, Gavron, Technonecromantas, Alpha Centauri, oni są wśród nas, Szymon Zajdel, Ash Ketchup, John Lee, Kasiek, Dominik Kosiba, Kaja, Katriona, Klauda Gata, Dominik, Oliver Balcer, Karo, John Lee, Szwagier Universal, Dave Hyperion, Łukasz Stanisławczyk, Kama Greenberg, Harasald,
428:  Jako i Nadia Lewi, ja i Lewi i cały reszta naszych wspaniałych moderatorów, Justin Awe Pelsen, Jerex, Giaos, Łukasz Bartoszewicz, który konsekwentnie ma protipy i baldurowe i cyberpunkowe, PB1990, Max K, Fen N, Olcik, Giaos, Wiktoria Kocur, Mikołaj Krąt, Mikiny, Chrząszcz.
449:  Johan Popi, Metalson, Arrora, Loginex12, Olevales, Natalia Gomiana na live z Rafałem Kosikiem, Bartek537, Newrast, Agnieszka Kupiec, Yuki Sane, Mio Cibana, Markus Feniks, Patryk27, Tomasz, Mateusz Worek, Karol Korol, Kiyazaki, Darth Muffin, Agnieszka, Shingi, Stupid Thingi, Istota Żyjąca, Ketamin Pigeon,
483:  i wszyscy przybyli moi drodzy i przy okazji witam ocelotkę w gronie wspierających muszę coś z tym zrobić moi drodzy najsmutniejsze jest to, że chciałem to gdzieś dać w okolicy ale nie mam jak, bo to jest za wysokie po prostu muszę gdzieś dać na ziemi
505:  Ale Krzysztof, to jest bezcenna figurka, jak śmiesz.
508:  Wiecie co jest najzabawniejsze?
510:  Wszystkie baterie są wyładowane.
513:  I co więcej, działo mi się coś z punch-inem, z zoomem mi się coś działo.
517:  O, tu jest w porządku.
518:  Więc w tym momencie mam jedną kreskę w baterii, druga bateria jest dla kamery nie naładowana, a trzecia bateria, zgadliście, też jest nie naładowana.
