🔴 Uciekamy z Pacifiki | CYBERPUNK 2077 Livestream #6
🔗 https://www.youtube.com/watch?v=t9-aH7xwbXk

4:  Muzyka Muzyka
81:  Dzięki za oglądanie!
157:  KONIEC!
329:  Wszyscy myślą, że ja nie jestem kłopotem.
336:  Zobaczcie mnie, patrząc w okno.
338:  Ale w mnie jest wielka, silna wiara.
341:  Może jestem trochę młody, ale nie wiesz, czym się stworzyłem.
350:  Nie możesz to zobaczyć w moich twarzach.
359:  Dzięki za oglądanie!
413:  Dzięki.
454:  © PTA & TVP
514:  KONIEC!
545:  Jutro Baldur's Gate, w środę Baldur's Gate 3 również był wczoraj, ale dzisiaj, dzisiaj, dzisiaj moi drodzy Cyberpunk 2077 i ważne ogłoszenia zanim się z wami przywitam, mianowicie ledwie dzisiaj mamy premierę nie byle jakiej rzeczy, a mianowicie książki w uniwersum Cyberpunk autora Rafała...
562:  autorstwa Rafała Kosikacz i autora Verticalu, autora Marsa i autora Feliksa Netajniki, z którego możecie go znać lepiej, bardzo polecam i zapowiadam, że w przyszłym tygodniu być może się pojawi coś z udziałem właśnie, haha, kogoś powiązanego z tą książką, nie będę zdradzał jeszcze kogo, witam najserdeczniej, Batrusz Majnard, nie mam pomysłu na sen, nie dali ocelotka, Balrok72, Małgorzata P...
587:  Giaos, Hum, Haumann, Binny, 527, Serenoks, Wesper, Justyna, Agnieszka Brzozowska, Młotko, Magda, M1, Wolk, Wieszcz, Pingwy, Kajtelien, Nani, Nani, Mrówa, Elf, Alejandra, Norarax, Neflin, Al, Kambriana, Wesper, Magdalena, Lazaretus, Knecht, Dawnych Klecht, Cynamonka, Ola Nowicka, Bi, Gomeza, Czarmikłaj III, Lucyfer,
614:  Czerwony Lis, Skagrald, Nevrast, Antisocial, NexEx, jakiś random, Magdalena, NixNix, Vern, Astray, Olsik, Grzegorz, Sikora, Cheetah, 1988, Wymyślony Przyjaciel, Pani Foster, Skinny Pit, Aurora, Nadia Lewica, reszta naszych wspaniałych moderatorów, Giaos, Pebej1990, Budowniczy Pylonów, Justyna, Maximus, Olevales, Vern,
640:  M, KWL, S-White, Trudne Miano, Jakub L, Parmediano, Redziano, Vesper, Temareire, Lawrence, Witold Rutkowski, Czerwony Liz, raz jeszcze, Chrząkający Świerszcz, Karolina Jurewicz, Jazz White, Likaja, Red Jaga, Antisocial, Znajomy Syndykalisty, Kamos, Grzegorz Sikora, Bartek W., który dopytył się o Baldura P.
662:  Baldur jutro, Baldur wczoraj, Baldur na zawsze w serduszku i ma zostać ta gra, Grę Roku.
668:  Ja chcę, żeby wszystkie konkursy wygrała na Grę Roku, albowiem nią jest.
672:  I będzie jeszcze w niedzielę, nawiasem mówiąc.
674:  Mioci bana sumcio pursui, Bartek Dylowski, Deus vult.
677:  Nie wiem, pisze, co ty za zaklęcia wypowiadasz.
681:  Sumcio, Niedali, Fancy, Zuzanna Malik, Cuki Tsubane, Iris, Pau Pau, Aredel, Sikora, 622, Metalson, Ain, Kacper, Bączkowski, Pursuigi, Bjorn Hurdursson,
698:  Uwielbiam.
698:  Agatka Szczwan-Lis, Jacek Annatar, Drakon94, Radosław R, Marcin Magfly, Mikołaj Trąd, Karo.
706:  Jeszcze raz, moi drodzy, przypominam, dzisiaj wyjątkowy dzień.
709:  Premieruje książka bez przypadku cyberpunkowa Rafała Kosika.
715:  Jak będziecie dzisiaj grzecznymi czatami, to sobie przeczytamy fragmencik nawet, co mi tam...
722:  A w tak zwanym międzyczasie, moi drodzy, kończymy z naszą wspaniałą muzyką od Alev One.
728:  Wcześniej była jeszcze muzyka z usługi StreamBeats, którą polecam wszystkim początkującym twórcom Harisa Hellera.
735:  Mianowicie jest to usługa i ona jest całkowicie za darmo.
738:  A teraz, moi drodzy, powrócę sobie radośnie do myli głównego, żebyście słyszeli wspaniałą muzykę cyberpunkową.
743:  Już powinniście słyszeć wspaniałą muzykę cyberpunkową.
747:  O Boże, jak się dobrze wczoraj grało w Baldura.
748:  Ci z was, którzy nie przychodzą z uwagi na spoilery, ja was rozumiem, bardzo.
751:  Ale z drugiej strony, wieś gmin naniesie... Wieś gmin naniesie, że każda rozgrywka jest unikatowa.
780:  Przecież to jest wspaniałe!
796:  My nie będziemy grać, będziemy słuchać!
821:  Wspaniałość.
825:  Ile zostało Cyberpunk'a do końca?
827:  Kto to wie?
