🔴 V jak Vendetta | CYBERPUNK 2077 Livestream #1
🔗 https://www.youtube.com/watch?v=GeU1X9YhwLE

61:  Muzyka Muzyka
184:  Muzyka
596:  Witam wszystkich, którzy przybyli na grańsko cyberpunkowe, co niedzielne grańsko cyberpunkowe.
603:  Witam serdecznie przy wspaniałej techniawie od zespołu OLEF ONE, ROFLEX, Achim, Łukasz, Stanisławczyk, Andenozyno, Trifos, Foran, Nadia Lewica, a reszta naszego wspaniałego grona moderatorskiego.
615:  Witam przy Magencie, która jest nie tylko magiczna, ale także zgodna z lore cyberpunkowym, bo ma być sajan i magenta zawsze.
621:  Ola Nowicka, Kingi Obierny, Obserwator Grzybnia, Pierwota, Pink Duke,
625:  Jesa, Mardart, Arbuzel, CzerwonyLis, Mateusz123, Maximus, Kagrald, KarolGil, Gosiałośka, Bigomeza, Agnieszka Brzozowska, Feklevel1, Brontos, KarolKarol, X403, Astray, FannyValentine, MichałMazur, Tomeczek, który przechodził Cyberplanka 5 razy, MichałMazur, HappyMagic, Shroom, MałgorzataP, MrMotionless, porozmawiajmy o anime, Arbuzel,
646:  Porozmawiajmy o anime, to był Nick, a nie moje nawołanie, ale swoją drogą nawołujmy, porozmawiajmy o anime, anime jest ważne.
651:  Lofrana, Ania Kaźmierczak, Fresco, Kuba, Maciej Koziarz, Emeriu, Joanne, Maximus, FatPandalf, FRS, Lucifer, Szynek K, xxx, Grzybnia Pierwotna, Palitkeusz, Mike Demoniusz, Jagoda Gajewska, Jeza, Wiktoria Łapeta, Iga, Michał Żuraw, Michał Tron, Onufry, CzerwonyLis, Justyna, SeraphDude,
670:  Ola Nowicka, jeszcze raz, Vesper, która zaproponowała, żebyśmy nazwali V, Jam Viki, w ten sposób będziemy mogła mówić Jam Viki, w sensie, że jest Viki, w związku z powyższym wszystko już wiadomo, co będzie się działo, moi drodzy, przez najbliższą godzinę, kiedy będziemy kustomizować postać Kasper Staroń, Kuba Ninja, Króczycień, Parmegiano, Rydziano, Szczynek K,
687:  Ola Kustra, Oliver Balcer, jessa, wszyscy wspierający kanał, wszyscy niewspierający, wszyscy, którzy przyszli tutaj przez absolutny przypadek, stali, nie stali, widzowie kanału, widać je!
694:  Nie ma co, moi drodzy, nie ma co!
696:  Kończymy, kończymy muzowanie, włazimy do Cyberpunka, będziemy i tak siedzieć godzinę w ekranie kustomizacji postaci.
702:  Nie oszukujmy się, moi drodzy, będzie się tak działo, jestem tego w 100% przekonany.
706:  O Boże, już poszła muza cyberpunkowa z gry!
709:  Oooo!
710:  Moi drodzy, moi drodzy, lecimy, lecimy!
713:  Od razu zapowiadam.
714:  Ważne zapowiedzi na sam początek, tak?
716:  Po pierwsze, gramy dla fabuły, tak?
718:  Ponieważ już mam za sobą Cyberpunka.
720:  A, dobrze.
721:  Krzysztof, bo pokaż nam, że masz za sobą... Proszę bardzo.
725:  Jest za mną Cyberpunk.
726:  To są sloty, które wykorzystywałem zwykle do zajęć.
729:  W związku z powyższym będziemy nową grę na normalnym poziomie, moi drodzy.
732:  Żadne bardzo trudne.
734:  Koncentrujemy się mianowicie tak, na fabule i questach, ale robimy build, który będzie w 100%.
741:  hakowaniem, w 100% skradaniem się, nie używamy żadnych pukawek, ponieważ to jest obrzydliwe i odrażające, może ostrza modliszkowe, może, może, zobaczymy.
753:  Drugie obwieszczenie, równie ważne, jeżeli chodzi, to oczywiście może się skończyć bardzo źle, ale jeżeli chodzi o ustawienia, to lecimy, moi drodzy, w trybie overdrive, na wszystkim, co się dało włączyć.
765:  Czy pamiętam, cokolwiek z CyberPunka?
766:  Nic nie pamiętam z CyberPunka.
768:  Więc jeżeli ktoś nie mógł sobie odpalić CyberPunka w trybie overdrive, to zobaczy.
774:  Niewiarygodna.
774:  Ray tracing, path tracing, technology preview, wszystko włączyłem, więc stream może eksplodować.
780:  Jamnikowy piechór na dzień dobry i na dobry początek.
783:  Podarowało wsparcie.
784:  Wspaniale!
785:  Nie mogę przeczytać komu, ponieważ za bardzo szybko śmiga czat.
788:  Heks!
789:  Justyna!
790:  Podwodnobrody!
791:  Jakiś random!
792:  Otrzymują wsparcie od jamnikowego piechora, który jest jamnikołajem.
795:  Dziękuję, wielki niuchacz dla Ciebie.
796:  Niuch!
798:  Bardzo dziękuję za wsparcie, moi drodzy.
799:  Pukawki są uncivilized.
801:  Absolutnie się zgadzam.
802:  Więc lecimy, moi drodzy.
804:  Najważniejsze rzeczy.
806:  Jeszcze path retracing.
807:  Nie wiem, czym jest path tracing.
808:  Więc tak.
810:  strasznie mnie kusi czaty, żeby iść w korpa, ale ja korposem już grałem.
820:  W związku z powyższym, w związku z powyższym musimy podjąć decyzję, żeby podjąć decyzję, zasięgnę, jak zawsze, która ścieżka?
833:  Korpos.
835:  Kolektywnej mądrości czatów.
837:  Nomad.
839:  Punk.
841:  Nie wiem, dlaczego użyłem capslocka.
843:  Zadaj pytanie społeczności.
845:  Zadałem pytanie społeczności.
846:  A tymczasem, moi drodzy, solenne ambienty w tle.
849:  Czy to robi jakąś różnicę?
852:  Absolutnie żadnej.
855:  Ale wiecie, od czego jest głosowanie.
859:  Przecież jesteśmy przyzwyczajeni do tego, moi drodzy, że głosujemy.
863:  I nie robi to żadnej różnicy.
865:  Na przykład wybieramy takiego przewodniczącego szkolnego albo dyżurnego i on może nosić wtedy fioletową gąbkę, a nie zieloną.
873:  O, proszę bardzo.
874:  I mówicie mi, że jesteście nieprzyzwyczajeni do głosowań, które nie robią różnicy.
877:  Tomasz Zabiegaj też jest Jan Mikołajem.
879:  Report JG, Rokit, Michaś, Amelia Babicz oraz Arbuzel otrzymali wsparcie.
885:  Punk wygrywa, moi drodzy, ja rozumiem.
888:  Ja rozumiem, kochani, że to jest wszystko przez to, że mieliśmy dobre bity, tak?
893:  Ola Kustra też jest jamniku łajką.
895:  Dobrze, moi drodzy, punk zatem.
899:  Moje drodzy, wiecie co my zrobimy?
902:  Skoro widzę, że już wygrywa Punk,
925:  No idziemy w tego punk'a, moi drodzy.
928:  To jest ciekawe, to jest ciekawe.
930:  I w czasie, w którym ja będę wyczytywał rzeczy, oczywiście, że nasza jamnica jest jamnicą, okej?
936:  O, proszę bardzo, już frys mamy taki dokładnie, jaki był na wstępnej grafice, zrobionej przez Dominikę Jamnikotwórczynię Klimczak swoją drogą.
944:  Co serdecznie dziękuję.
946:  Crick on Garden World od Olejkusty otrzymał wsparcie.
948:  Kryształowa otrzymała wsparcie.
950:  Szymon Konikowski takoż.
952:  Dziękujemy serdecznie.
953:  Aneta4, Łukasz Szelewicki, Maciej Jackowski.
958:  Sebulba, dziękuję za trybut jako z zawodu rusznika.
960:  Jestem obrazon waszym antypipopowym podejściem.
963:  Spokojnie, graliśmy w Red Dead'a, wystarczy.
964:  Aczkolwiek tapicie zajebiście z Cyber Samurajem.
966:  Zawsze zajebiście z Cyber Samurajem.
969:  Tak jest.
970:  Dobrze, moi drodzy.
972:  Ton głosu.
976:  Tylko dwa są do opcji?
978:  Proszę bardzo, nie wiedziałem.
979:  Teraz tak, w jaki sposób mam obrócić postać?
981:  Aha, dobrze, w porządku.
