🔴 W Night City nie wygrywa nikt | CYBERPUNK: PHANTOM LIBERTY Livestream #8
🔗 https://www.youtube.com/watch?v=AyWqqbnDY4E

54:  KONIEC!
140:  Muzyka
308:  Witam wszystkich, moi drodzy, przy naszym wyjątkowym, środowym, a w zasadzie już nie wyjątkowym, bo stałym streamie cyberpunkowym.
317:  I zanim powitam wszystkich, to chciałem powiedzieć, że moi dyplomanci, konkretnie magistranci zwariowali mianowicie moimi, jak widziałem się z nimi na naszym świętowaniu pomagisterialnym.
335:  To...
338:  Pojawił się tam największy możliwy jamnik!
343:  To jest jamnik, który nie mieści się w kadrze!
347:  Najdłuższy i największy!
349:  W sam raz na Mikołajki, moi drodzy, więc dziękuję jeszcze raz wszystkim moim dyplomantom, szalonym magistrantom konkretnie z informatyki społecznej.
357:  A tymczasem... A, i jeszcze był ten jamnik, moi drodzy.
360:  To jest jamnik, który przysiadł.
361:  Jest mnóstwo jamników.
363:  I w tych oto tonach, moi drodzy, witam najserdeczniej Max K, Astray, Pawełka, Gareld Elbert, Mateusz Karpowicz, Nadia Lewi i reszta naszych wspaniałych moderatorów, Czerwony Lis, Rafał Piórkowski, Time Luther, Bill Gomeza, Grzegorz Sikora, Juliusz Szeptucha, Paczaj Koteł, Just Usual Pancake, Balrog72, Lucyfer, tak jest, jest to wielkie, znaczy mówimy o jamniku!
383:  W tym jamniku Mateusz, Rutka, Wilet, Astrey, Dori, Adrian Gręgorek, Czerwony Lis, Silent, Astrey, Brick by Brick, Ja Wojciech, Anulinus, Urszula Giewon, Stachy90, Motyka, Wesper, Łukasz Szelewicki, Bordoła Pomarańcza, Draxenus, Rafał Piórkowski, Grabka444, Kosnier, Rafał, Lejmonate, Plague, Szoman Dzikich Bobrów, Grzegorz Sikora, Kasia, Ma...
407:  Kasia pisze, że jest pierwszy raz na live'ie.
409:  Mąż mnie zapoznał z twoją twórczością, zostałem fanką.
412:  Witamy najserdeczniej, moi drodzy.
413:  Czy możemy prosić o wiele jamników?
415:  Dla Kasi ma Emeriu, Nerichem, Dory, Vesper, Maxka, Bartolomeusz, Geralt, Albert, Mats, Mateusz, Tektro, Delomelanikon, Reszta, ja się dobrze przeczytałem, Tektro, Pestka, Weronika, Paczaj, Lovely Flames, Delomelanikon, jeszcze raz, X403 oraz Bartek i Metalson i Shiny, Różowy Mak, Paulina,
438:  I PADEMI FERNES, niestatystyczna, czarna guzka, wilec dzięki za wsparcie 25 Między, Krzysztof został jamniczą Daki Makure, nie mam pojęcia czym jest to, Karolina Jurewicz, witam serdecznie, Krzysiek zauważył, że ten jamnik nie wejdzie do szuflady, wiecie co, jest plan, ja wam pokażę jaki jest plan na Jamnikołajki, ale to będzie plan unikatowy na Jamnikołajki,
457:  Mateusz Madej, niech będzie też powitany.
459:  Julia, Daniel, Radosław, magiczny proszek, Natalia, Akwila, Kosior Jakub, Igi, Serenoks, Mieszko Świerczyński i Piotr Gróbka i Time Luter, moi drodzy.
470:  Nie wiem, dlaczego tak nagle się muzyka zadziwiła.
473:  Aha, dlatego, że ja coś kliknąłem niedobrze.
476:  Mateusz, niech będzie też powitany.
477:  Wszyscy, moi drodzy, stale nie stali widzowie.
480:  Plan następujący jest, moi drodzy, na Jannika.
482:  Bardzo prosty.
492:  Działa?
493:  Działa, tak?
494:  Więc jamnik będzie, moi drodzy, on będzie widoczny jak usiądę.
498:  Bardziej.
498:  Więc będzie jamnicza podusia, tak jest, moi drodzy.
502:  Witam moi drodzy jeszcze wszystkich najserdeczniej, już kończymy muzycznie, zaczynamy cyberpunkowanie, od razu zaznaczę, że robimy to, o co prosiliście ostatnio, to znaczy będziemy w cyberpunku starać się doprowadzić do sekretnego zakończenia, taki jest plan.
517:  Tak, muzyka teraz będzie zdecydowanie cichsza, spokojnie, cyberpunkujemy już moi drodzy, gdzie jest mój cyberpunk, tu jest mój cyberpunk.
526:  Och, godne miejsce dla jamnika.
527:  Jamnik będzie cały czas w tle.
529:  Jakby nie było... Jakby nie było innych jamników w tle?
534:  Szaleni studenci.
535:  Co nam zostało w Phantom Liberty, to zrobię ja nic.
537:  Grabka.
538:  W zasadzie w Phantom Liberty loadujemy wyłącznie ten save file, gdzie możemy oszczędzić lub nie SOMI.
545:  Oszczędzimy ją tym razem i będziemy zmierzać do głównego zakończenia w podstawce, które jest nowe, żebyście zobaczyli nową rzecz.
557:  Więc pamiętajcie, to nie jest zakończenie kanoniczne nasze, okej?
559:  Bo zakończenie kanoniczne uratowaliśmy, są mi.
563:  Takimakura to potoczna nazwa na body pillow z nadrukiem ulubionej postaci.
567:  Tak?!
568:  O!
570:  O!
572:  Wiecie co, jak na nazwę potoczną, jak na nazwę, podkreślmy, potoczną,
579:  To niezbyt, to prosta nazwa, tak?
585:  Piotrze, cieszę się, żeś wyzdrowiał.
588:  Absolutnie dobre uczucie.
591:  Krzysztof, czy widziałeś nominację Game of the Year na TGA?
595:  Nie widziałem.
596:  Wroget, nie widziałem.
597:  Ja jestem świeżo po zajęciach, moi drodzy, więc wiecie.
600:  Zbuduj blackwallowy cyberdeck.
602:  Kanto MK6.
603:  A właśnie, czy ja mam ten blackwallowy cyberdeck?
606:  Bo tego mi... Jak to nie mogę tego teraz zrobić?
609:  Jak to nie, jak to nie mogę wejść do ekwipunku?
611:  Jak to nie mogę wejść do ekwipunku?
615:  Co?
