🔴 Wszystkie smsy Takemury | CYBERPUNK 2077 Livestream #5
🔗 https://www.youtube.com/watch?v=3YoWbiMmPU4

67:  KONIEC!
360:  Witam wszystkich w wyjątkowy stream cyberpunkowy, w zasadzie niewyjątkowy, bo teraz co środę się praktycznie spotykamy.
368:  Witajcie wszyscy najserdeczniej Kagralt, Alejandra, Tenomatrix, na pewno nie, źle cię przeczytałem, Tenomnitrix.
377:  MKWL, Słajt, Eustachem Otyka, Balrok, Agnieszka Brzozowska, Jędrzej Jaśmin, Ptyś Różowy i reszta naszych szlachetnych moderatorów, Grzegorz Sikora, Suzy Diamond, LBRF9, Ognia Nesta, Mando, jakiś random, Krystian, Czarmikłaj, Trzeci Maximus, Adus, Cytrus, Lucyfer, Agnieszka Brzozowska jeszcze raz, Józefina Miodońska, Jon...
396:  Joan, Poppy, Maximus, Delta, Sara Gawrońska, Klauda Gata, Wierzpingw, Delta, GatoNefist, Mat, X403A, In, Agnieszka Saran, Wenzant, Mateusz, Miraski, Maxka, Bryszardo, Karta Mamińska, która dołączyła do grana trybutariuszy, za co serdecznie dziękuję, Wojciech Radziszewski-Żurawski, Wesper, Bigomeza, Sebulba, MagdaM1, Balrok72, Ketrin Uzumaki,
424:  Betalson, Rafał M, Westrongest, La Paz, Bartło Mikołota, Rejwilo, Karol Łukaszewski, Wojtek Pszczelarz, Kruczycień, Nevemo, Adam Kuśmierski, Mikołaj Masiu, Knecht, Dawnych Klecht, Dori, Umca, Umca, Umca, nie inaczej, Dobre Techno, Alanciar, Lily Frost, Granam, moi drodzy, zespół Alef One, Dominik Kosiba, Aśku, cała reszta naszych wspaniałych moderatorów, Takosz, Kuba, Grabka,
451:  Keshi, Vancouver, Alisan Imperium, Jaro Ząb, Annator Tomeczek, Piotr Zawieja, Longinex12 oraz wszyscy, którzy w ogóle nie spodziewają się, że jutro, już jutro, będzie, moi drodzy, Jamniurs Gate 3 skądinąd, aż zniknę, żeby widać było całość przepięknej grafiki przygotowanej, jak zawsze, przez Dominikę Jamnikotwórczynię Klimczak.
473:  Te jamniki są absolutnie niesamowite.
475:  Jutro o 18, moi drodzy, zaczynamy Baldura.
478:  Baldur będzie nieregularnie.
479:  Cyberpunk prawdopodobnie zostanie na slocie środowym.
482:  Co powiedziawszy, moi drodzy, o Ralevi, nie inaczej.
486:  Ekranik Amelia Babic, Temery Lawrence, niech będą także powitani, jako i Parmegiano, Redziano, Ajwer, Gnomeus, Szeptuka, Zły Czarownik, Maciej Fetko, Szymon Kapica, Grzybnia Pierwotna, Astro i Mohamed, Damech, Suseu, TikTak,
