🔴 Nic nie pada od zaklęć Niedomaga | DARK SOULS II Livestream #8
🔗 https://www.youtube.com/watch?v=lSQVWcWy4L4

42:  Dzięki za oglądanie!
211:  Dziękuje.
312:  © PTA & TVP
640:  Witam wszystkich najserdeczniej dzisiaj później, ale to nie oznacza, że mniej epicko!
645:  Witam przy dźwiękach muzyki do Zmrokojada Milira!
657:  której ilekroć słucham, tylekroć myślę sobie, co by to było, gdyby jeszcze raz zagrać w Dark Souls 3.
664:  Haha, byłoby bardzo zabawnie!
665:  Witam najserdeczniej wszystkich zgromadzonych!
668:  Kain, Patrick127, ParmigianoReggiano, MagicznyProszek, Szejktruskawkowy, Adam Borkowski, OmniscientReader, GraphicWitch, Astray, Lucifer, Grzegorz Sikora, Jacky Left, Maniak, Malenfa, Max Pytel, Danuta Trzaskowska, Miejsce za Twoją Reklamę, Kafryn Raciaveli, Michał Pększa, Filip Longinex,
686:  Asia, Małgorzata Piłat, Wampirzak Maciek Terlecki, Mintaj, Pawełek Nieproszony, który jest autorem wszystkich lormistrzowych wpisów pod kolejnymi zapisami naszych strumyków oraz Pademi Fernes, Elf, Melanfa, Artur Urbański, Edziu, Szymon Wróbewski i reszta naszych wspaniałych moderatorów.
702:  Luka Senpai oraz wszyscy przybyli, moi drodzy, dzisiaj się krótko witamy, bardzo krótko, ponieważ konkrety są, spóźnieni jesteśmy, godzina już jest 19 zamiast 18, w ogóle skandal absolutny w związku z powyższym, nawet nie dosłuchamy końcówki Abyss Watchers, po prostu od razu lecimy, od razu lecimy do Dark Souls 2, koniec, nie było żadnego farmienia, nic się nie działo, mam nadzieję, że mieliście dobry weekend.
727:  Mój był wyśmienity, moi drodzy.
730:  Cześć, chcę wspieranie, pisze Fundenek.
732:  Gdyby była taka możliwość, to ja ci bym Fundenek osobiście je wykupił, ale problem polega na tym, że losowo się to przydziela.
738:  I co teraz?
739:  Co teraz?
741:  Hańba, prawda?
742:  Rzadko zaczynamy, moi drodzy, o 19.
744:  Ale co ja poradzę?
745:  Polskie koleje losu nie wybierają.
747:  Polskie koleje losu dowożą i wy się cieszycie, że zostaliście dowiezieni.
753:  Jest na przykład taka kategoria specjalna, nie wiem czy znacie, opóźnione Express Intercity Premium.
757:  Płacicie więcej za opóźnione Express Intercity Premium niż za normalne Express Intercity Premium, z tego względu, że więcej przebywacie w ramach infrastruktury PKP.
766:  I za taki zaszczyt się płaci, moi drodzy.
769:  Przez Super Bowl Perfekcja pisze Maciej, który lubi ewidentnie Super Bowl i wspiera na to od 7 miesięcy.
773:  Dziękuję za to.
775:  Oldor10 wspiera z kolei od 24 miesięcy, co wedle moich mrocznych kalkulacji równa się dwóm latom.
780:  Dziękuję Ci serdecznie za tak długi staż wsparcia.
783:  Z jamiennikiem dla Was obydwojka.
786:  I jeszcze widzę, jeszcze widzę jedną rzecz, to znaczy dołączył do grona wspierających El Politica, ściśle mówiąc odnowił wspieranie, za co nie mniej dziękuję.
795:  Ciapongi, moi drodzy, wspaniała rzecz.
797:  Jamnikowy Piechór jeszcze jest Jamnikołajem.
799:  Proszę bardzo, jaki początek, moi drodzy.
801:  Jaki wyśmienity początek.
802:  Dziękuję najserdeczniej.
804:  Jesteśmy online, Moniko, nie inaczej.
806:  I Maciek też jest Jamnikołajem.
808:  Co to się dzieje?
812:  Żaba Księżycowa otrzymuje wspieranie, Fondenek otrzymuje wspieranie, let's go!
817:  Udało się, Witek i Bartolinieze i Tomasz, wspaniałość, niuch dla... serdeczne niuch.
825:  I Kain jest Jan Nikołajem, co to się dzieje?
828:  A Kain był przed streamem, a Krzysztof nie zauważył, przepraszam.
833:  Co tu się dzieje, moi drodzy?
834:  Widzicie, tak to jest.
836:  Prosi ktoś o wspieranie i dostaje po prostu od razu.
840:  MagdaM1 jest JamNikołajką.
842:  Co to się dzieje, moi drodzy?
844:  Niuch!
845:  Dziękuję serdecznie.
847:  Edgy otrzymuje wspieranie.
849:  Chopin zawsze jest w Intercity i w Hogwarts Legacy.
851:  Dziękuję wszystkim JamNikołajem.
