🔴 Niedomag na zamku Drangleic | DARK SOULS II Livestream #5
🔗 https://www.youtube.com/watch?v=b1j6vzOcwZI

71:  KONIEC
139:  Dzięki za oglądanie!
191:  Dzięki za oglądanie!
234:  Muzyka
246:  KONIEC!
305:  Zdjęcia i montaż
348:  Witam wszystkich na naszym Grańsku Środowym!
354:  Witam znad najdłuższego mikrofonu!
357:  Witam w Dark Souls 2!
359:  Witam w Królestwie Drangleicke!
361:  Wszystkich przybyłych!
363:  Dobry wieczór, dzień dobry, bądziorno i gnamdziorno, Padem i Fernes, Grimko, Grzegorz, Sikora, Jaolin, Jednoręki, Bandyta, Wodzu, Jerz, Zerlenwaldu, Agnieszka, Saran, Krzysztof, Es, Emer, Juchina, Giku, Mintaj, Agnieszka, Brzozowska, Norbert, Bolanowski, Lorax.
380:  Kain, który jest Jamnikołajem, dwukrotnym Jamnikołajem, podarowującym wsparcie, skrycie i przed streamem.
387:  Jamnikowy Piechór, Grzegorz Kowalczyk, Juliusz Szymon Wróblewski, reszta naszych szlachetnych moderatorów.
394:  Karolitka, Beata, Wa.
396:  która pisze, że obejrzała właśnie stream z Rycerzem Hajdem i się popłykała ze śmiechu.
400:  Tak bywa, moi drodzy, cześć dla najszlachetniejszego z Rycerzy.
404:  W całym uniwersum Dark Souls Krzysztof Jutrząka nie będzie powitany czerwony list wodzu Artur Urbański, który mówi, że odpalono duma na bakteriach.
411:  Co się dzieje?
412:  Funcia, Julek, Esz, Grzesiek, BBB, Lorelin, Zły Czarownik, Jackileft, Małgorzata, Piłak, Matfanika.
421:  Fanka Wiedźmina!
426:  Znaczy fanka Wiedźmina niezależnie!
428:  Asia też, chociaż sądzę, że Asia jest fanką Wiedźmina!
434:  Spróbuj nie być!
436:  Spróbuj nie być fanką Wiedźmina, Asiu!
440:  Spróbuj nie być!
444:  Szejk Truskawkowy, Serenok z Jeremie Borkiewicz, Anita, Płonąca Pyrka, Bierny Obserwator, WilkAnubis.pl, Matt Peterson, Patryk127, Miami i Skranna, Happy Sunflower, Nieproszony Nasz, Lormistrz, Nadia Lewi, Daw Bigos, już po raz trzeci Cię wyczytuję, Wasago, Jan Skaliński, Albatras, Oliwier, Grabara i Nicole.
467:  Zapała, moi drodzy, przy tych wspaniałych dźwiękach powitałem Was, by od razu, od razu odpalić Wam znacznie lepszą muzykę.
475:  Muzykę, która jest niekwestionowanie wspanialsza od tego, co przygotowali dla nas w Dark Souls 3 From Software razem z całą chwacką ekipą, mianowicie muzykę, moi drodzy.
489:  Ogniska w Dark Souls 2.
492:  Tak jest.
493:  A, zauważona jamnicza przypinka, moi drodzy, tak jest.
497:  Będzie tutaj z nami jamnik przez cały czas.
500:  To jest kostnik, nawiasem mówiąc.
501:  Czekajcie, czy jestem w stanie pokazać kostnika jakoś lepiej.
506:  Kostnik.
511:  Przy sercu.
513:  Miej serce i patrz... Żartuję, czekajcie, bo teraz się działy dziwne rzeczy z zoomem.
521:  Dobra, nie dzieją się dziwne rzeczy z zoomem.
524:  Witamy Lucifera także, Agnieszkę Brzozowską, Doug Knighta, Bi Gomeza, Helena Skymar, Fomka Kryształowa, Mateusz Worek,
533:  Dżębol, Dżębol, Mateusz Frejdenborgberg, Cygor, PrastaryDziad, Wojciech Hanke, Beata Wa, NielubiePKSów, GraphicWitch, Wojtek Pszczelarz i Akawiri.
545:  Moi drodzy, jesteśmy.
547:  Uczeń poprawnie rozpala ognisko.
549:  Nie inaczej.
550:  Uczniem jest, moi drodzy, Niedomagiamnix, który jest ledwo widoczny.
553:  Niestety zapomniałem o tym, żeby tym razem wyłączyć typ online.
556:  Ale z drugiej strony jesteśmy już w zamku Drangleicke.
560:  Co nam takiego może, moi drodzy, zaszkodzić?
564:  Wejdź najpierw najbliżej się przysuń.
566:  Nie.
567:  Wiecie, ile ustawiałem ten mikrofon, żeby nie zasłaniał mi, wiedziałem, że teraz będę miał złą kamerę, żeby mi nie zasłaniał gry?
573:  Bardzo długo ustawiałem, ponieważ zmieniałem dużo rzeczy, gdyż albowiem, czekajcie, pokażę wam w sumie, gdyż albowiem mikrofon ma teraz
587:  specjalne wygłuszenie, ponieważ ostatnio mówiliście mi i mieliście rację, że bębni mikrofon, jak w niego uderzę.
596:  To teraz nie bębni.
599:  Tak?
599:  Nie bębni.
602:  Tryb online for the win.
603:  Czy możecie mi wytłumaczyć, gdzie ja jestem?
605:  Czemu tutaj nie ma światła?
609:  O nie.
610:  O nie.
613:  Oni, niektórzy z nich tylko wstają, czy wszyscy wstają?
619:  Okej, on ma światło chyba.
621:  Nie uważacie, że to jest przesada lekka?
625:  Bo ja tak uważam.
627:  Zamek Drung-like, no nie inaczej, au.
629:  Ja już ginę, ja już ginę w tym momencie.
634:  To jest nieprawdopodobne.
635:  Czy ja będę w stanie ich wyeliminować jednym... Gdzie oni się podzieli?
646:  No przecież to jest jakiś dramat!
648:  Więcej was matka nie miała!
650:  O Boże, jeszcze nie wyłączyłem podwójnego kliknięcia, pojedynczych trzeba zabijać.
654:  No właśnie widzę, widzicie co się dzieje?
656:  Znowu wraca, znowu wraca Hory Potter.
659:  Hory Potter, który zamiata pieprzoną miotłą.
663:  Pam, pam, parararam, param, param, pararararam.
673:  Ja się rozindyczę.
675:  I mnie uniewinnią.
679:  Sztof ominął wiadomość.
680:  Jaką wiadomość, Wesper?
683:  Nowe zabawe... Zawsze nowe zabaweczki, moi drodzy.
685:  Nowe zabaweczki są ważne.
687:  Ja tak na serio, jak ja usłyszałem to bębnięcie, to stwierdziłem, że coś trzeba z tym fantem zrobić.
693:  No nie może być tak, żebyście słyszeli bębnienie.
697:  Jako mizofon rozumiem.
700:  Dobra, przyspieszyliśmy troszeczkę ten proces.
706:  Wyróżniona wiadomość Vesper już nadrabiamy.
710:  Faktycznie, Praise the Sun pisze, Coltis wspierająca od 27 miesięcy i Vesper wspierająca od 8 miesięcy pisze, że w pokrzywie jej kości też był kości pies.
721:  I Mateusz Słowik dołączył do nas wspierający, w ogóle jakoś strasznie, a nie, bo to jeszcze wośpowych streamów dołączyli ludzie.
727:  Dajcie spokój, dziękuję serdecznie za wsparcie.
730:  Miałem dać znać, czy uda się z tym Hollow Knightem, w swoim nieskończonym szaleństwie, pisze jednoręki bandyta, po godzinie medytowania i tutorialowej lokacji wreszcie wymyśliłem i przegoniłem cię.
737:  No, duży szacunek, że ci się udało, naprawdę.
741:  Mój jednoręki bandyta, moi drodzy, musiał obmyślić sposób sterowania Hollow Knightem na jedną rękę.
747:  Dajcie spokój, to jest... Jak będziecie narzekać kiedyś na sterowanie, to przypomnijcie sobie tę historię.
754:  Powiedziałem to też do siebie.
757:  Ale widzicie, może i powiedziałem to do siebie, ale jestem niekonsekwentny.
763:  Dobra, da się tak wymierzyć, żeby ich wyni... ILE TEGO TU JEST? !
770:  Prawda?
770:  Szacun absolutny.
772:  Dowiedziałem się o twoim kanale na religii, pisze Fajrens.
774:  Co ty mówisz?
777:  Ja muszę poznać tę historię, Fajrens.
779:  Ja muszę poznać tę historię.
781:  Czy to jest aż tak dobry ksiądz Velkatecheta, że jest chętny do polemiki?
788:  i puścił to wam, żeby polemizować wspólnie.
791:  Czy możecie mi powiedzieć, że ja chociaż tutaj mogę rozpalić ognie?
794:  Dobrze, ja wiem, że ja muszę tutaj rozpalić ognie.
796:  Wiem.
797:  Wymyśliłem to sam, nie musicie mi podpowiadać, a potem się okaże, że wymyśliłem źle.
801:  F. Zapal pochodnie.
803:  Czy kojarzę grę Cult of the Lumps?
805:  Słyszałem, że ta gra ma pewnego rodzaju cult following.
810:  To był jeden z najgorszych dowcipów, jaki kiedykolwiek w życiu powiedziałem.
814:  Kojarzę z interpretacji głównie groznawczych różnego autoramentu.
819:  Otóż źle wymyśliłem.
824:  Otóż źle wymyśliłem.
827:  Byłem przekonany... A nie jest tak, słuchajcie, a nie jest tak...
846:  Czy nie jest tak, że trzeba zabić ich przy tych figurach?
851:  Może tak jest.
853:  Modli się pod figurą, a diobła ma za skórą.
861:  Spróbujemy.
868:  Dobra, to jest przy nim.
871:  Czy to zadziała?
873:  To jest za mało przy nim.
875:  Musi być bardziej przy nim.
890:  To się źle skończy.
893:  Jest może, gdzie przy okazji mogę zgłosić to, że nie chcieli mnie przyjąć w szkole opinii psychologa przy okazji dostosowania się do oceniania na maturze.
898:  Na próbnym miałem, a teraz nie mogę.
900:  Liwidius, musisz to zgłosić do kuratorium, póki jeszcze istnieje.
903:  Nie żartuję.
905:  Albowiem są zakusy na to, żeby zlikwidować kuratoria.
910:  Nie wiem, co to jest za streak umierania, po prostu problem polega na tym, że dostałem zadanie, które brzmi jak z RTSa, to znaczy, żeby zabić tutaj przy tym posągu kogoś, a ja chcę zabijać po prostu.
926:  Ja nie jestem w stanie zabić przy posągu.
931:  Bardzo mi się dobrze gra w Dark Souls, ale wiesz kiedy, Ianku?
934:  Wtedy, kiedy są jakieś normalne zadania, bo nie uważam tego za normalne zadanie.
940:  Uważam to za poronione zadanie.
943:  No nic, ale oni przynajmniej stąd nie wychodzą.
948:  Dobra, spróbujemy, spróbujemy.
950:  Okej, jest nadwątlony.
952:  Oto tu jest następny, świetnie.
956:  Dobra, to trzeba naprawdę z wyczuciem, z wyczuciem, z wyczuciem
963:  Najgorsze jest to, że ja ich nie widzę jeszcze totalnie.
971:  No, za dużo ich tu jest.
975:  Szkoła jest chyba jakoś poza kuratorium, okazali mi za maturę płacić.
978:  Płacić za maturę, mimo że ja ją piszę po raz pierwszy?
980:  Nie, nie, no to takie sytuacje to jest w ogóle nieakceptowalne, słuchaj.
985:  Nadzór, nadzór pedagogiczny działa w taki sposób, że żadna szkoła nie jest poza kuratorium.
991:  Dobra.
997:  Autentycznie nie mam zielonego pojęcia, co zrobić w tej sytuacji.
1001:  Znaczy mam pojęcie.
1002:  Trzeba będzie nadwątlić jednego z nich tak.
1005:  O!
1006:  I teraz... I teraz go sprowadzić tutaj.
1011:  Ach, tu są jeszcze trzej.
1012:  Świetnie.
1020:  Nie no, jest ich za dużo po prostu.
1025:  Czy zderzenie tych kul ze ścianami je niszczy?
