🔴 Smoku, jesteś martwy | DARK SOULS II Livestream #6
🔗 https://www.youtube.com/watch?v=OJ10wHuhmdA

271:  KONIEC
279:  Witam wszystkich najserdeczniej.
281:  Spotykamy się jak zawsze, moi drodzy, w skrainie Drangleich, której nazwę wreszcie nauczymy się wymawiać i nie do magii, a mnich zwraca w glorii przypale.
291:  Palitkeusz, Astrzeja, Ania Szymańska, Szalan, Bierny Obserwator, Kain,
295:  który jest Janem Nikolajem i wspierającym, dziękuję serdecznie, Tomas Adamcki, Marcin Mazurek, Piotr, Firenz, Astrey, Michał Pęksa, jednoręki bandyta Olevale, Skacper, Krzysztofek, Kafrin, Whitekey, Serenoks jest, a czerwony list, miejsce na twoją reklamę, Asia, Megafuka, Dariusz Smender, Jackie Left, Kafrin, Serenoks, teraz jeszcze Natalia Wolska, Flomi, Trashpende, Gruesome Grubon, cię powitani, witam wszystkich stałych widzów i niestałych, witam wszystkich...
321:  niedzielnych wypoczywających eskapistów.
323:  Witam z Holistycznej Agencji Eskapistycznej, link w opisie.
328:  Witam z powrotem przy mikrofonie dynamicznym, ale to nie znaczy, moi drodzy, że drugi nie został.
333:  Jeżeli będziemy mieć jakąś czytankę, to wtedy możemy to zrobić klimatycznie.
336:  Misza we geek.
337:  oraz Palitkeusz, Julia Berezińska, Justyna Neko, El Politko, Paweł Pasiałke, Grimhog, Jakub Kłotko, Kaczorozdoła Barry, Żaba Księżycowa, Wojciu Kaczmarek, Balrok72 oraz Nicole Zapała, Michał Gęza-Okside, Szymon Zajdel i... tu-du-du!
354:  Wiktoria Saturnus, zły czarownik, który woli kalamita od zmrokojada Midira, Skandal i hańba!
360:  Midir ma najwspanialszy santuak, Kaprysman, Lucyfer, Laura...
365:  Mateusz Wendekier, Wojciu Kaczmarek, Płonąca Pylka, Wodzu, Mateusz Mintaj, Grim Lukas, Kinagiku Nightwish, Mateusz oraz Ewelina Bardzińska i Diesa.
377:  Witajcie wszyscy najserdeczniej, moi drodzy, gra nam Joe Vandrini.
381:  Dzieją się rzeczy, a będą się dziać rzeczy jeszcze śmieszniejsze, ale przygotujcie się, moi drodzy, teraz, ponieważ jest to moment, jest to oficjalnie moment, w którym kończy się muzyka dobra i zaczyna się muzyka wybitna.
397:  Na to liczyłem.
401:  O nie.
403:  O nie.
407:  Smutek.
410:  Tylko nie to, Krzysztof pamięta o wyłączeniu trybu online.
417:  Poprzez przejście w tryb offline na Steamie, zrestartowanie komputera i włączenie z powrotem.
425:  O nie, tylko nie to!
427:  Tylko, o nie!
430:  Gra wieloosobowa wiadomość, rankingi!
435:  Jezus Maria, nie mamy rankingów!
441:  Elko, nie to!
443:  Nie da się nauki robić bez rankingów, do szkół się nie da chodzić!
448:  Jak liceum wybierzecie bez rankingu perspektyw?
452:  Jak w ogóle grać bez rankingu?
455:  Kompetytywna tabela rankingowa, to jest to!
459:  To jest to, co daje drive do tego, żeby przejść dalej!
463:  Nie!
463:  Tylko nie to!
466:  Mamy poziom 151, moi drodzy.
468:  Nie będzie białego rycerza.
471:  To jest jedyny smutek, faktycznie.
477:  Gdzie ja jestem?
480:  A, już pamiętam.
483:  To był seks w Drijansie.
486:  Pamiętam już wszystko.
489:  Dobrze.
490:  Znakomita sprawa.
491:  Jak ja się będę porównał do innych graczy?
493:  Ubolewa we Brave Minion.
498:  Dobra, to jest NPC, to jest NPC, bo ja już, ja już się bałem!
502:  Ja już się bałem!
508:  że coś nie wyszło.
511:  Bardzo się bałem, ale na szczęście nie.
518:  Au.
519:  To jest... Alstalty Zmiry mścił się, moi drodzy, za wszystkich graczy, którzy nie będą mogli mnie teraz snajpować.
530:  Oj, oj, oj, kukła człowieka, proszę bardzo.
533:  Oni atakują nawet offline, absolutnie, ale to było, zdaje się, z tego co pamiętam, wymyślone po to, żeby właśnie zbalansować to i to jest akurat bardzo dobre, że nie ma tego elementu multiplayerowego.
542:  Może sobie następnym razem, bo dzisiaj chcę przejść do DLC, więc stąd ta decyzja, może następnym razem powitamy znowu Rycerza Hajdę.
549:  Rycerza Hajdę, prawdziwego bohatera tych streamów, no właśnie.
551:  Czemu ja się ostatnio ciągle spóźniam na live'y?
553:  Ubolewa Luka Senpai, bez obaw.
557:  Na polskim YouTubie streamowanie w 4K 60, wydaje mi się, że bitrate do takiej jakości powinno się ustawić na 40-50 kilobitu na sekundę.
564:  Ja mam ustawiony bitrate w sposób stały na 52 kilobity na sekundę, a i tak czasem jest bottleneck, Szymonie.
571:  Rozmawiamy z Szymonem bardzo technicznie, moi drodzy, o tym, że podobno, podobno ma być wprowadzone na YouTubie streamowanie w 4K 60 fps.
577:  Ja jestem szczęśliwy z tego tytułu, bo w razie czego jesteśmy gotowi, a
583:  Powinienem tak do dwóch miesięcy mieć łącze, które umożliwia upload w 1 gigabit na sekundę, więc wtedy będziemy absolutnie streamować w 4K, tylko że musi ta funkcja się pojawić na YouTube, a na razie jej nie ma.
595:  Anime o magach Fire Force jest polecane, proszę bardzo.
597:  Kryształowa przypomina jeszcze o kryształowej włóczni dusz z pająka, którą zdobędziemy.
602:  Owszem, myślę, że to jest dobry plan na dzisiaj, ale oprócz tego zwiedzamy, moi drodzy, tę fortecę, w której jesteśmy.
608:  Opinia o grach Syberia.
609:  Wiesz co, Mateuszu, tak się składa, że analizowaliśmy gry Syberia w ramach grantu wdrożeniowego, który kiedyś robiliśmy.
615:  Ideą tego grantu było stworzenie narzędzia, które umożliwi proceduralne generowanie fabuł, a potem powstał czat GPT.
622:  Chcę, żebyś zabił mężczyznę.
623:  I nie zapomnij.
650:  A, mamy zabić Gilligana, nie mam pojęcia, gdzie jest Gilligan.
654:  A propos rzeczy wybitnych, ostatni wideoesej Filipa to Mistrzostwo Świata, pisze Czerwony List.
658:  Wiecie co, tak, ja się bardzo cieszę, że to padło dzisiaj, że ja nie musiałem tego sam wywołać.
662:  Moi drodzy, na bez schematu wpadł, myślę, że mogę powiedzieć to śmiało, najlepszy esej, jaki kiedykolwiek Filip zrobił, więc od razu, od razu wam linkuję i od razu, momentalnie, moi drodzy.
674:  Jak opowiadać o niepełnosprawności?
677:  Mówię o tym przede wszystkim dlatego, że jest bardzo dużo materiałów w sieci, które wyśmiewają słusznie złą reprezentację, ale jest tylko jeden materiał, który wyjaśnia, jak może wyglądać dobra reprezentacja osób z niepełnosprawnością i to robi to w tak empatyczny sposób.
693:  To jest naprawdę peak storytelling, który się udał Filipowi.
697:  Nieprawdopodobne.
698:  Nie subskrybujecie bez schematu dla takich materiałów warto.
702:  Z całkowitą powagą, moi drodzy, ja coś takiego mógłbym zobaczyć spokojnie na kanale Healthy Gamer, zresztą to napisałem chyba na Twitterze albo na Facebooku, już nie pamiętam, a na polskim YouTubie się nie spodziewałem.
714:  Piękny i bardzo ważny.
