Błędne ognie w Ringed City — DARK SOULS 3 livestream #7
🔗 https://www.youtube.com/watch?v=E-h4kmG4OcA

4:  Wracamy.
6:  What a day!
7:  What a lovely day!
10:  Wracamy do Ringed City, wracamy do świata Dark Souls i będziemy poszukiwać intensywnie Króla Demonów oraz... Midira.
24:  Z mrokojada midira.
26:  Tak, i tej midii.
27:  Witajcie wszyscy najserdeczniej, witamy na czatach wszystkich zgromadzonych widzów, witamy wszystkich widzów z przyszłości, którzy będą oglądać zapis tego streamu i witamy trybutariuszy, witamy Samawita, Babę Jagę, Padalca, wiekuistego kaszalota, Krzysztofa Michalskiego, cóż za muzyka towarzysząca wyczytywaniu nazwisk, Jakuba Sadowskiego, Łukasza Skrobka,
50:  Witamy Frederica Ulio, Zgretka, Szymona Wróblewskiego, Mikołaja Marchewkę, Dypiu, Ty Diena, Adedrak, Tego Jacka.
60:  Witamy wszystkich trybutariuszy, którzy świeżo dołączyli i zrobili to chytrze poza streamem, tak że nie mogłem zajamniczyć czatów.
66:  Co za skandal, proszę się przypomnieć potem.
69:  Witamy Kingę Wolską, witamy stałych widzów streamu, Auzerkę witamy, witamy Doriego, Magdę M1, Oliwię, Kamila,
78:  Witamy Julię Opaczewską, witamy Sergelarta, From Rivia, Crossover, Pierwszy Możliwy, witamy Onagrusa, Adedrak, Piotra Rado, Mike, Pana Filmaja, Kulke, Fileda,
94:  i wszystkich, których wyczytam po raz drugi, jak zawsze się mylą.
98:  Witamy Żabcie, Takoż, Stałowickę, Streamu i Lizusa.
101:  Witamy Lukbiechu, Mikasa, Cambrianę.
106:  Witamy wszystkich, których nigdy nie wyczytuję, ponieważ z jakiegoś względu mi umykają.
111:  Cóż za piękne słowa, Aleksandro.
113:  Ogień z nami.
114:  Witamy Emka Mieczysława, Shinobiego, Krabowego, Koziego,
121:  Taka opera, kozy tamtury.
123:  Szymona Półtoraka.
125:  Nawet powitam pana Tadeusza, pomimo mojej głębokiej, głęboko zakorzenionej odrazy dla Mickiewicza.
134:  I proszę bardzo, co za początek, witamy nowego trybutariusza bieniu erpeszki w naszym gronie.
140:  Dla wszystkich, którzy nie wiedzą, to jest ten moment, w którym czaty używają jamniczych emoji.
146:  witają nowego trybutariusza, żeby przyzwyczaił się do absurdów związanych z kontrastem pomiędzy tymi szlachetnymi, wydłużonymi psami, a epickimi grami wideo i światami z tychże.
164:  To jest prawdziwy boss Dark Souls 3, ta muzyka.
168:  Moi drodzy, zardzewiała moneta, proszę bardzo, jacy jesteśmy bogaci i żeby nie było,
175:  Żeby nie było, moi drodzy, że od razu rzucamy się w jakieś plugawe gry wideo, zamiast na przykład uczestniczyć w zajęciach dydaktycznych.
186:  Na sam początek, zanim wrócimy na strefę mentów, stertę mentów, sterta mentów to brzmi jak spotkanie Rady Pedagogicznej, ooo, za mocno, to przeczytamy sobie
199:  To jest ten przedmiot taki.
201:  Sztuka!
202:  Książka!
203:  Konkretnie mitologia nordycka Nila Geimana.
206:  Było pytanie o to, co polecam.
208:  Zawsze polecam Nila Geimana.
210:  Będziecie mieli dowód, dlaczego.
211:  Przed początkiem nie było niczego.
214:  Ani ziemi, ani niebios, ani gwiazd.
218:  Jedynie świat mgieł bezkształtny, nieforemny i świat ognia, wiecznie płonący.
223:  A, widzicie, jak dobrałem do Dark Soulsów?
225:  Na północy leżał Nilfheim, mroczny świat.
229:  Tu jedenaście trujących rzek przecinało mgłę, a każda płynęła do Skavenblight, gdzie gnieździli się Skaveli!
236:  Tak, tak!
236:  A każda z nich wypływała z tego samego źródła pośrodku wszystkiego, z ryczącego wiru zwanego Hvergelmir.
244:  W Nilhalmie panowało ziom nad ziom, a gęsta, ciemna, skrywająca wszystko mgła kłębiła się ciężko wokół.
249:  Lodowa mgła zasnowała zarówno nieboskłon, jak i ziemię.
252:  Na południu leżał Muspel.
254:  Kraina!
255:  Kraina!
257:  Ognia!
258:  Tak!
258:  Wszystko tam jaśniło się i płonęło!
262:  Gdy w Nilhalmie zalegał mrok, w Muspelu jaśniało światło!
267:  Miast chłodu Krainy Mgiełtu przelewała się płynna lawa!
272:  Cała kraina płonęła ryczącym ogniem kowalskiej kuźni.
