Umieramy w Osadzie Nieumarłych — DARK SOULS 3 livestream #2.1
🔗 https://www.youtube.com/watch?v=Z8HfA5bmjds

3:  We welcomed!
7:  Witajcie!
9:  Witajcie spopieleni!
11:  Witajcie na coś niedzielnym w streamie z Dark Souls.
18:  Streamie, podczas którego staramy się grać piromantą.
23:  Staramy się również, by nie zginąć.
27:  Ankieta, którą rozpoczęliśmy dzisiejszy stream, wskazuje, że zdania czatów są podzielone.
31:  Niektórzy uważają, że Belegar the fucked zginie, przepadnie.
36:  Niektórzy, że nie.
38:  Witam wszystkich najserdeczniej.
40:  Witam trybutariuszy.
42:  Witam Kamila, Pawła, Erin, Samwita, Dysgredka95, Tego Jacka, Hefestion, Ilty, Kozi, Miziesionkę.
52:  Witam Kairos Francesinie, Hefestium.
54:  Witam stałych gości streamów, Klarek Luczykowsku, która na YouTubie recenzuje filmy, polecam.
63:  Witam, ho ho, UrioTV, Majka Smitha, Domatora, Jamnikowego Piechura, jakże zgodnego z naszym lore.
71:  Witam Bogdana, witam Red Angel, wszak wiadomo.
76:  Witam wszystkich.
77:  Moi drodzy, tak, to jest ten moment, że nie chcę kliknąć, nie chcę kliknąć dowolnego przycisku, nie chcę kontynuować.
85:  Licznika, właśnie pytanie, czy restartujemy licznik, czy też idziemy?
89:  Ja uważam, że będziemy kontynuować, jeżeli chodzi o licznik nasz.
96:  Tyleż, ile śmierci, ile było, czyli 59 zostaje.
106:  Jak widzieliście, było wiele różnych podejść do... treningów.
111:  Nie do mag, nie do mage i późniejsze, te robione na rage quitach.
115:  Ale my gramy Belegarm the fact!
119:  Tak.
122:  Łucznia błyskawic.
126:  Nie mam zielonego pojęcia, jak w tej grze się stres... stresuje!
130:  Stresuje, wiem!
131:  Ale nie pamiętam, jak się steruje, dobrze.
134:  Podstawy zostały przypomniane, czyli uniki.
137:  Uniki są bardzo ważne.
140:  Dobrze.
141:  C to jest zmiana zaklęcia.
143:  V to jest zmiana broni.
144:  X to jest zmiana Estusa.
147:  Z to jest zmiana zaklęć.
148:  Nie mamy nowych zaklęć.
151:  Witamy Dominikę Klimczak na czatach, która zaprojektowała nową jamniczą emoji.
155:  GG, ona jest zbyt optymistyczna, nie oszukujmy się.
159:  Spójrzmy, jaki jest nasz stan dusz.
164:  Świetny początek.
166:  Świetny początek.
169:  Dobrze.
170:  Zatem pierwsza, najważniejsza rzecz, którą musimy uczynić, to podróżować do osady nieumarłych i w osadzie nieumarłych rozpocząć żmudny grind.
182:  Tak to będzie wyglądało.
187:  Dlaczego nie gram na padzie?
188:  Bo całe życie gram na klawiaturze i myszy.
191:  Tak jest wygodniej.
193:  Stwierdziłem, że jak muszę się uczyć, jak grać w Soulsy, to wolę się uczyć tylko, jak grać w Soulsy, a nie uczyć się, jak grać w Soulsy i jak sterować na padzie.
200:  To byłoby dość kiepskie.
210:  Nie wiem, gdzie jesteśmy.
212:  Aaa!
214:  Kiepski przeciwnik!
217:  Żenujący przeciwnik!
218:  Hahaha!
219:  Gin!
220:  Gin!
225:  Ciach!
227:  Proszę bardzo!
229:  Proszę bardzo, jaki początek spektakularny!
234:  Odłamek Tytanitu.
235:  Wraz ze światem resetuje się pamięć Krzysztofa.
238:  Tak jest, moi drodzy.
239:  Witamy Janko Muzykanta także, Słonego Cukra witamy, Adama Bieszka, Kingę Wolską i Lilię, i Bij Gomeza, i Mateusza Rutkę.
248:  Dobrze.
250:  ponury, mroczny świat Solsów czeka.
252:  Mam nadzieję, że z dźwiękiem jest wszystko w porządku, to znaczy, że poziomy są wyrównane, jakby coś było za głośno poza mną.
261:  Bo oczywiste, że w którymś momencie zacznę wrzeszczeć, to dawajcie znać.
267:  Robimy eksplorację.
269:  Witamy Taraela, proszę, proszę.
277:  Skawańskiego alchemika też witamy serdecznie!
280:  Ha!
280:  Dzień, w którym Krzysztof mnie przywita, wyczytując z nich, będzie dniem, w którym przestanę być zwykłym alchemikiem i stanę się szarym prorokiem!
285:  Skawański alchemiku, jesteś szarym prorokiem!
289:  Prawda, że ten świat jest piękny?
292:  Nic, tylko w nim ginąć.
294:  Jestem pewien, że tutaj nie byliśmy.
296:  Powiedział Krzysztof, który tutaj był.
298:  Dobrze, ale tak poważnie.
299:  W tamtą stronę szliśmy na pewno, bo tutaj był piromanta.
302:  Tu był popieprzony piromanta.
304:  Rysik, gazowane mleko, żółwik.
306:  Witamy.
309:  Tak, myślę sobie... Tam jest bunia.
322:  Dołem przez most w lewo w górę.
324:  Brzmi bardzo precyzyjnie.
326:  Wydaje mi się, że też tam nie byliśmy.
328:  W ogóle w tą stronę nie szliśmy.
329:  Tak, więc rzeczywiście dołem.
333:  Dołem kołem kołacz złoty.
335:  Był taki wiersz.
336:  Czemu ja cytuję wiersze?
337:  Muszę być bardzo zestresowany.
343:  Tam jest rosół.
345:  Rosoły są niebezpieczne, należy je eliminować z dużej odległości.
350:  Dobrze, czy tutaj coś jest do wyeksplorowania?
353:  Dzisiaj dużo eksplorujemy.
357:  Aaaa!
362:  Co jest?!
365:  Czemu pies mnie zaatakował?!
373:  Nasz Estus jest beznadziejny.
374:  O Boże!
377:  Ja wiem, co tutaj jest!
381:  To są kanały.
382:  Tu są Skaveni.
384:  Skaven!
385:  Yes, yes!
387:  Yeah!
389:  Tu faktycznie są Skaveni.
403:  Tak!
404:  Dużo sera!
406:  13 klanów raduje się!
408:  Pozdrawia, pozdrawiają!
411:  Bratnie szczury z Dark Souls są pozdrawiane przez skawenów!
417:  Mam bardzo złe przeczucia.
418:  Tam jest!
420:  Ja tam coś widzę!
423:  Ja tam coś widzę!
436:  Nie!
436:  Nie!
437:  Nie!
437:  Wielki szczur!
438:  O Boże!
454:  Aaa!
458:  Ha!
458:  Ha!
459:  Ha!
