🔴 Niedomag Iamnix walczy z gargulcami | DARK SOULS REMASTERED Livestream #1
🔗 https://www.youtube.com/watch?v=twM_jEaWLg8

6:  Zdjęcia i montaż
72:  KONIEC
99:  Co mężczyźni robią w przeciwieństwie tak złej nienawiści?
134:  Dzięki za oglądanie!
247:  KONIEC
317:  KONIEC KONIEC
358:  Dzięki za oglądanie!
397:  Muzyka
428:  Muzyka Muzyka Muzyka
553:  No to, no to wpakowali mi się w kłopoty.
557:  Wpakowali mi się w kłopoty, moi drodzy, nie domagiam niks.
561:  przeszedłszy ziemię pomiędzy, pokonawszy Sowev Sekiro, pokonawszy Nameless Kinga, pokonawszy Nameless Puppet, przybył, przybył na sam początek swej podróży, wtedy, kiedy jeszcze go nie znaliście, wtedy, kiedy jeszcze był młody, piękny i naiwny i myślał,
581:  że piromanci mają dobrze, bo piromantą będziemy grać w Dark Souls Remastered.
586:  Grę, która oszukuje nas już w swoim podtytule, ponieważ z remasterem nie ma absolutnie nic wspólnego.
591:  Witam wszystkich najserdeczniej.
592:  Joanna Maślankiewicz, Vegari, MrSnowlux, Fire, Siwy Dym, Simba, Sini, Sebulba, Neret, Passenger, 9000, Bondziorno, Warlock, Gawron, Czerwony List, Guerlain, Brendo, Istota Żyjąca, Manek, Zły Czarownik, Lucifer, Megafuka,
608:  Ptyś Różowy, wszyscy nasi wspaniali moderatorzy, wszyscy widzowie stali, nie stali, mknące czaty, Kartor Ozdoba i Magiczny Proszek, Tomasz, Tomasz, będę czytał losowo całkowicie, Haker320, Gosia, Szymon Zajdel, TurnAvel, nie wiem, Lewiores, Razziavelli, Mateusz Jamrus, Maximus, który wspiera od dziewięciu miesięcy.
631:  Jedziemy!
641:  Elden Ringowa Muzyka, nie domagaj amniksa, nam towarzyszy, nie damy się, pokonamy wszystkich!
648:  Prócz początkowego bossa, Shagarin, Marioryę, Czerwony Lis, Potwór z Podłóżka, Patryk Jarocki, Szwagier, Astray, Fae, Pawulonik, I.P., który życzy powodzenia, dziękuję, Szynek Eł i Jacek Palachowski, Fat Pandalf, Cimerys, PoSolona, Astray, Szeman Dzikich Bombrów, Robert Górski,
669:  Colorful Mii, dawno niewidziana na czatach, Pademifernes, Batrus, Catriona, Shippyshapa, Szyktrus, Kawkowy, Serenox, Wispel, Zbyniuk, który jest Jamnikołajem.
679:  Niuch!
681:  Witam wszystkich, którzy zostali obdarowani przez naszego Jamnikołaja, to znaczy Marcina Zająca, Szagarina, Kacperina, Szynek Eł takoż oraz Dzikowego.
691:  Witamy serdecznie i możecie używać Jamników, to wspaniała wiadomość.
695:  Łukasz G., Arwen Winchester, Krzysztof Pałka, Szymon Wróblewski, Grafikwicz, Posolona, Łukasz Szelewicki, Łukasz Andrzejczak, Lisior, Kasztany na Sośnie, Red Room, Dirachal, Killer Clean, Sebastian Szczerba, Sumcio, Grizi Siatsu, Imiszak Dwegyki, Pan Płot.
713:  Witajcie wszyscy najserdeczniej.
714:  Będą się działy rzeczy dzisiaj, moi drodzy.
716:  Jest z nami jeden jamnik, który wciąż jeszcze ma czapę mikłajową.
720:  Jest z nami drugi jamnik, którego nie było na poprzednich streamach solsowych i był to błąd.
725:  Dlatego nam tak nie szło.
726:  Wyłącznie dlatego.
727:  Nieumiejętności Krzysztofa nie mają z tym nic wspólnego.
730:  Będzie się działo, moi drodzy.
731:  Jonna Maślankiewicz, Daria Suora, Łukasz też nie będzie powitany.
734:  Jednoręki będa czy luści.
736:  www.iceman.pl
738:  i Dragandela Ross oraz Darian i Klapacjusz Animomon i Jackie Lefty, Płonąca Pyrka, SRB i Wevenestrator.
746:  Moi drodzy, chciałbym powiedzieć, że odpalamy grę, w związku z powyższym będziecie słyszeć teraz piękną muzykę, ale jest jeden problem, mianowicie w Dark Souls niestety nie ma pięknej muzyki w jedynce na początku, w związku z powyższym.
760:  Jedyne co, wiecie co możecie słyszeć?
761:  To jest takie oldschoolowe, posłuchajcie.
770:  Słyszycie te dźwięki?
773:  Ten wspaniały sonoryzm, ten wysmakowany soundtrack stworzony przez samych mistrzów?
779:  To jest wspaniałe.
782:  Ja myślę, że wszystkie utwory najwybitniejszych mistrzów, mistrzów świata chowają się przy tym.
788:  Mistra też się chowa przy tym.
790:  Moi drodzy, nowa gra.
793:  I teraz się pojawia muzyka.
794:  Dobrze.
795:  Muzyka jest, moi drodzy, jak z...
800:  Takiego serialu obyczajowego z lat dziewięćdziesiątych.
806:  Nie ma nic wspólnego z Soulsami.
809:  Strasznie się cieszę, że w trójeczce się jednak zdecydowano na ten, wiecie, potężny, potężne brzmienia na początku symfoniczne.
816:  Niedomagi Amnix jest mężczyzną.
818:  Niedomagi Amnix ma klasę, jest piramantą.
820:  Niedomagi Amnix bierze główny klucz, ponieważ Niedomagi Amnix...
825:  Może jest głupi, ale nie jest kretynem.
828:  Niedomagi Amnix jest szczupłej budowy ciała.
830:  Niedomagi Amnix jest łysy.
833:  Co to są za Simsy?
835:  Prawda?
835:  Musimy, moi drodzy, coś zrobić z tym fantem.
837:  To znaczy Niedomagi Amnix musi mieć włosy długie, bo Niedomagi Amnix jest jeszcze bardzo, bardzo młody.
843:  W związku z powyższym jest rudowłosym magiem.
847:  Proszę bardzo.
848:  Times New Roman 3, 12 postarali się, prawda?
851:  Twarz.
854:  Nie, nie, nie.
856:  Dlaczego każda twarz tutaj jest straszna?
859:  Dlaczego?
860:  Dlaczego?
862:  Boże, ja już cierpię.
866:  Jak Rysław.
867:  I nic nie widać.
869:  Prawda?
870:  Ten intuicyjny interfejs jest przepiękny.
872:  MagdoM1, dziękuję serdecznie za trybut.
874:  Czy był widziany pan Kleks?
875:  Będzie i będzie recenzja jutro, jeżeli się wyrobię.
878:  Czesarzowa Katarina.
880:  Pobożny Torolund.
882:  To jest absolutnie nie do Magiamniks.
885:  To jest nie do Magiamniks po Sylwestrze, moi drodzy.
890:  Niszczy mnie ta muzyka.
891:  Naprawdę.
892:  To jest muzyka mniej więcej taka, jak z późnego okresu Łukasza Jakubiaka.
896:  Jeżeli nie wiecie, kim jest Łukasz Jakubiak, to dobrze.
899:  On kiedyś prowadził taki talkshow, który się nazywał 20 metrów kwadratowych Łukasza, a potem poszedł w tym kierunku co Edyta Górniak.
907:  Więc było ciekawie.
909:  Wielkie bagno.
910:  To byłoby wspaniałe.
911:  Moi drodzy, trudno.
913:  Nie wiem, jak Jamnik będzie się wywodził z pospólstwa.
916:  To jest wszystko, co jesteśmy w stanie tutaj zrobić.
917:  Widzicie, co jest najgorsze?
919:  Jeżeli dalej modyfikuj, nawet nie będziemy mieli tutaj, nie będziemy mieli tutaj możliwości żadnej, żadnej zmiany na przykład brody.
931:  Więc jedna, jedyna opcja, jaką mamy, w Szczęce też nie ma takiej opcji.
934:  Jedna, jedyna opcja, jaka nam pozostaje, to jest udawać, że to jest przed wszystkimi perypetiami Niedomagajamniksa.
940:  Myśmy się po prostu teraz przenieśli w czasie, zanim Niedomagajamniks był siwy i sterany życiem.
947:  Nie domagam się.
947:  Czy będzie recenzja Rebel Moon?
949:  Tak.
949:  Gówno nie oglądajcie.
952:  Koniec recenzji Rebel Moon.
954:  Naprawdę, ja kocham fantastykę, ale... Krzysztof, to się nie liczy.
958:  Jeżeli mówisz, jestem rasistą, ale... To wszystko, co powiedziałeś przed, ale się nie liczy.
962:  No dobrze, ale w każdym razie, kocham fantastykę, ale tego się naprawdę nie da.
