🔴 Niedomag kontra Seath B̶e̶z̶ł̶u̶s̶k̶i̶ Bezmózgi | DARK SOULS REMASTERED Livestream #5
🔗 https://www.youtube.com/watch?v=1RyQsekKD3o

6:  Zdjęcia i montaż
89:  Cześć.
90:  General Kenobi!
94:  Ciemna strona siły jest drogą do wielu umiejętności, które niektórzy uważają za nienaturalne.
125:  Co mężczyźni mogą zrobić przeciwko tak złej nienawidze?
127:  Uwielbiam to, że mężczyźni nie są przeciwnikami.
216:  Upokorzony.
234:  Jak mocny jesteś.
349:  © PTA & TVP
494:  Środa, 18.30.
496:  Tuż po arcymagicznych rzeczach są większe arcymagiczne rzeczy!
506:  Przybywam, by wraz z niedomagiem Jamniksem oraz wszystkimi na czatach
512:  Patrzeć do złej kamery.
514:  Właśnie po to przybyłem.
515:  Witam najserdeczniej.
517:  Oksit, Człowiek, Krzyziek, Czerwony List, Krał, Karolitka, Pankrac, Tomasz Kowalczyk, Agnieszka Zalan, Ewa Jędrzejczyk, Małgorzata Piłat, Jakub Kołodko, Mephisto, Iga, Mortil, Ewelina Bardzińska, Czerwony List, Adam Sekowski, Grrrrad, Jaolin, Martyna Stępień, Mortil, Pademif, Ernest, Jan Guzek, Kama Greenberg, Balrok72, Elf oraz...
540:  Wszyscy nasi moderatorzy, na przykład Szymon Brublewski, którego wychwyciłem na czatach, Black Cat, Mateusz Wendekier, Dit Faebon, Witek, Tomasz Kowalczyk, Lukas Enbay, Dit Faebon, oraz... Asasyniarz, Szejk Truskawkowy, Małgorzata i Malepata, oraz Graphic Witch, Sorbet, Shark Cookie, Siwy Tym i...
561:  Serenox, Akus5510, PandaWPS, Poziom, Filantrop, Stulczyna, Robert Górski, Jacek Palachowski, Płonąca Pyrrka, Nikol Zapała, Amykami, Aweron, i Grimczuk, i Budyniozaur, Joanna Maślankiewicz, wajle wszyscy, którzy używają wspaniałego powitana, Ania, Rycerza Solera, Solaryty,
586:  No wiadomo, o kogo chodzi Lemonade, Piurek, Garbus94, R3 Evil, Sting966, Kubik, Marcin Łochowski, Jan i Memory, Aldona K., Niestatystyczna, Misza Wegeek, Potężny Magrosoł, Irez, Bezserca, Jędrzej, Jaśmin, Parmegiano, Reggiano, Misza Wegeek, S88 Art, Bierny Obserwator, Polish...
610:  Polmon, Kamil Romanowski, Piteras312, Wasago, wszyscy, którzy nie lubią śród, wszyscy, którzy lubią środy, wszyscy, którzy śledzili do tej pory losy Niedomaga Jamnixa, wszyscy, którzy wpadli tutaj przez przypadek, dziwią się, co się dzieje, dlaczego Krzysztof mówi szybko niki użytkowników, dlatego że się witamy, spostrzega wszystkiego, niech będzie takoż powitany Filantum Stulczyna oraz Tomasz Kowalczyk, który jest Jamnikołajem, a ponieważ jest Jamnikołajem, to niuch, ponieważ niuchacz.
634:  Dziękuję serdecznie za wsparcie kanału, dziękuję za wsparcie społeczności,
638:  Kto dołącza do grona jamnikodzierżców, Kubik, Filantrop, Stolczyna, Memorii, Jakub Kołobko, AmiAmi, El Politko, Bartoliniezek, Crow, Martyna Stępień.
647:  Jamniki dla Jamnikołaja i jamniki dla Was wszystkich za przybycie dzisiaj, środowy wieczór, wprost do straszliwych kazamatów, moi drodzy.
659:  Straszliwych kazamatów w archiwach.
663:  Pierwszy dźwięk, jaki nas powitał, ze wspaniale umuzycznionego Dark Souls, to właśnie te.
672:  Żeby nie było, moi drodzy, nie było żadnej nieuczciwej farmy.
676:  Żadnej.
678:  Chciałem zaznaczyć, że pojawiłem się tutaj wyłącznie z tego powodu, wyłącznie z tego, wyłącznie, że pisałem artykuł naukowy i pojawił się tutaj Daxos jako przykład.
691:  Przysięgam, nie było farmy, jest tyle samodusz, ile powinno być.
695:  Mam dla was w razie czego dowód na to, ponieważ robiłem screenshot stąd, więc winny się tłumaczy, tak jest.
704:  Tak jest.
705:  Mam nadzieję, że macie dobrą herbatkę moi drodzy i że dobrze się miewacie dzisiaj.
711:  I że niepokoją was takie rzeczy jak kryzys konstytucyjny i jesteście tutaj po dobry eskapizm, otrzymacie go moi drodzy.
717:  Wprowadzam ban na dyskusje okołopolityczne.
721:  Żartuję, po prostu będę ignorował ten wątek.
723:  Ale wiem, że może być ciężko go nie poruszać, więc to jest inspe dla wszystkich przybywających.
729:  Co my musimy dzisiaj zrobić?
731:  Otóż my musimy podróżować do archiwów i ja jestem w dobrym miejscu prawie w Anor Londo.
736:  Muszę po prostu przejść do Anor Londo.
738:  Bo tu jesteśmy chyba w innym miejscu, to nie jest Anor Londo.
742:  To była ta dziwna lokalizacja przy Gwindolinie, który nie jest Gwindolinem.
750:  Gwindolin, wiecie o kim mówię.
756:  U mnie dzisiaj laocza22005 pisze frogett67, to brzmi, to brzmi jak bardzo
764:  awangardowa nazwa zespołu kpopowego.
766:  U mnie jest herbata jaśminowa.
768:  Ostatnio mnie okrzyczeliście i mieliście rację, moi drodzy, ponieważ piłem herbatę czarną, a mnie nie wolno.
773:  Bonereczki.
774:  Trzeba oszczędzać.
775:  Więc dzisiaj jest herbata zielona.
777:  Zielona herbata jaśminowa.
779:  Fantastyczna, dobra herbata.
783:  Parzona w samym zachodnim Tajwanie.
786:  Gdzie jest tutaj przejście?
787:  Tutaj jest przejście.
790:  Kiedy licznik śmierci?
791:  Licznik śmierci jest pod mikrofonem tuż.
796:  Witamy Łukasza Mozgowa i wszystkich przybywających.
799:  It's a trap, Gwyndolin.
800:  Tak jest, jesteśmy banal rondo, tak.
803:  Tak jest.
804:  Czy to jest coś, co wymyślił Kiszak, czy to jest po prostu mem, który krąży po społeczności?
810:  Melepata pisze, że woda leci.
813:  Woda jest dobra, ale woda to jest, moi drodzy, taka edycja, to jest taka edycja Bethesdy herbaty, nie?
820:  Nie macie takiego wrażenia, że herbata jest pełniejsza?
822:  Jak pijecie wodę, to macie wrażenie, że to jest alfa.
825:  Wy czekacie na betę, a wam uśmiechają się wtedy i mówią, nie, nie, nie!
829:  To jest już wersja premierowa!
831:  I jesteście rozczarowani.
834:  Szczęść, że CKE pomyliło klucze odpowiedzi.
836:  Pisze Cheris.
838:  I nikt w Polsce teoretycznie nie zdał egzaminu zawodowego teoretycznego.
841:  Ktoś mnie informował w tej sprawie.
843:  Ja wychodzę z założenia, że wszystkie punkciki są głupie.
847:  Uwaga na guźce.
848:  Tak mi przykro, że zginęły.
851:  Woda to życie.
852:  Czy jestem filozofem?
855:  Wiecie, teoretyczno dwie odpowiedzi na to pytanie, że filozofem jest każdy, kto myśli, a druga odpowiedź na to pytanie jest taka, że filozofia to jest wszystko, co jest w humanistyce i we wszystkich naukach, a trzecia odpowiedź na to pytanie brzmi nie, nie jestem.
868:  Woda to się równa Starfield, herbata to się równa Baldur's Gate 3.
871:  O!
872:  O tak!
873:  Jezus, Baldurka skończyliśmy moi drodzy i ja autentycznie miałem w pewnym momencie napad smutku.
880:  Że jak to?
881:  Jak to nie powróci Baldur?
882:  Jak to?
882:  Więc na pewno jak wyjdzie DLC to sobie wrócimy do Baldurka, nie ma opcji.
886:  Jeven pisze, że herbatę kiedyś zrobiła siostra niebieską, ale niestety była bez smaku, ale ładnie wyglądała.
892:  Jak wiele rzeczy niebieskich, nie?
895:  Na przykład t-shirt niebieski jest bez smaku też.
898:  Kraub się, że dostał zielonego.
899:  Tak jest!
901:  Od Jan Mikołaja.
904:  Aha, czyli ja nawet nie mogę sobie wyjść z windy na spokojnie, tak?
908:  Nie mogę sobie na spokojnie wyjść z windy, ponieważ ktoś będzie we mnie strzelał kulami... To nie są kule ognia, to ja strzelam kulami ognia.
919:  Ilu, ilu ich tu jest?
924:  Co to ma znaczyć?
925:  Co to ma znaczyć?
928:  To jest silne!
930:  Chcecie mi powiedzieć, że ja będę tutaj walczył z takimi wrogami?
941:  Au!
946:  Myślę, że to jest jakaś kompromitacja i hańba, moi drodzy.
952:  To ja może się uleczę.
956:  Co myślisz o moim pomieszczeniu, że świat stworzyły smoki burzy i potem stworzyły swoją rasę na swoje podobieństwo, potem cała reszta historii jest dla nas gęślina, wydaje mi się oklepane.
963:  No to musisz popracować nad tym etapem, kiedy cała reszta historii jest dla nas gęślina.
969:  Czyli widziałem dzisiejszy odcinek Persiego, pisze Hałas, akurat najlepszy do tej pory i jest fajnie z Persim, naprawdę, sympatycznie.
974:  Bardzo mi się podoba postać Aresa.
981:  Następny.
981:  Ilu ich tu jest?
983:  Więcej was, matka szczepu, nie mia...
992:  ILE?!
995:  ILE TEGO JEST? !
999:  Krzysztof, ograj Daxos 2.
1001:  Cudowna abominacja, godna arystokarczuk.
1003:  Aha.
1005:  I dlatego mam ograć.
1006:  Świetnie.
1008:  Szymon Wróblewski jest jamnikoem, a ja nie mam windy.
1011:  To dobrze, moi drodzy.
1012:  W czasie oczekiwania na windę możemy powitać nowe osoby w gronie jamnikozierców, jako i na przykład Melepata, Robert Rocker, Demo, Amosła... Arrosławek, przepraszam.
1023:  Ragnar...
1025:  Macie jamniki.
1027:  Macie jamniki.
1029:  Macie jamniki, moi drodzy.
1031:  I to wszystko dzięki jamnikołajowi.
1034:  Wali ich z mocy.
1036:  Chciałem to usłyszeć.
1038:  Zakonnik pisze, żeby od Dark Souls 2 się uprzejmie odpierdalić.
1041:  Wiecie dobrze, moi drodzy, że i tak zagramy.
1043:  Philips bez schematu może mówić bardzo dużo i zniechęcać nas, ale my i tak zagramy.
1049:  Nie ma innej opcji.
1051:  Natomiast teraz należy się, moi drodzy, zemścić.
1059:  Powiedziałem zemścić, nie zbłaźnić.
1071:  Może zapłonem będziemy ich atakować.
1078:  W zasadzie niedobre rzeczy dzieją.
1080:  Kiedy jakiś grańsko z Filipem?
1081:  Nie wiem, nie wiem.
1083:  Filip bardzo dużo materiałów publikuje, abyście nie zauważyli, więc ciężko jest się skoordynować nam.
1089:  Katana, więc żadna katana!
1091:  Tylko magia!
1093:  Widzicie, jak to się kończy, jak nie używam magii?
1095:  Źle się to kończy.
1097:  To są nowi przeciwnicy dla mnie, nic... Czemu ten przeciwnik jest mądry?
1101:  Przestań być mądry.
1103:  Przestań być mądry.
1109:  Uzbrojeni bibliotekarze.
1111:  To jest najgorzej, moi drodzy.
1114:  Wyobrażacie sobie bibliotekarza, który był... Ja już wiem, co to jest.
1117:  To jest po prostu Conan the Librarian.
1120:  Najgorzej.
1124:  Ja miałem uniesioną tarczę.
1126:  Won.
1127:  On dalej żyje.
1143:  Świetnie.
1147:  Wszystkich wykończymy.
1149:  Czy ja użyłem Wielkiej Kuli Ognia Chaosu?
1152:  Przez przypadek, tak.
1159:  Czy ja mógł go zabić?
1166:  Jezus Maria, jakie to jest staminażerne.
1178:  Zabić dużego krysztalnika.
1181:  Dobrze, i teraz tak, jeszcze trzeba zabić tego maga, moi drodzy.
1184:  Ale zanim zabijemy maga, trzeba sprowokować jakiś atak tutaj.
1191:  Co ten mag robi?
1192:  Golem dropi klucz do DLC, jaka?
1194:  Aaa!
1195:  Przestań we mnie strzelać magią, tylko ja mogę używać magii.
1201:  Wielki zapłon sobie weźmiemy na niego.
1204:  Dlaczego biegam w stoju na zgula?
1205:  No, ba!
1207:  Taka była idea!
1209:  Dobrze, poczekamy aż on znowu będzie śmiesznie tańczył.
1211:  Tu jest magów bez liku, a czy oni się będą spawnować, czy nie?
1216:  Jak to nastroję przed końcem semestru?
1217:  Chcę, żeby się jak najszybciej skończył.
1222:  Zmęczenie wchodzi, wiecie?
1224:  Koniec semestru jest w dobrym momencie.
1227:  Czy jemu się nie kończy mana?
1229:  Może jemu się kończą zaklęcia w którymś momencie?
1232:  O, proszę.
1233:  Zobaczymy, czy na krytego małego krysztalnika podziała wielki zapłon.
1237:  Po mojemu powinien być lepszy od małego zapłonu.
1240:  Jest.
1244:  Jest.
1248:  Wiecie co?
1249:  Mam wrażenie, że po prostu musimy do niego podbiec.
1251:  Tak!
1254:  Śmiesznie tańczy!
1259:  Co to było?
1262:  Co to było?
1265:  Tam jest drugi!
1270:  Są tutaj ludzie, którzy grają aktualnie w Dark Souls.
1271:  Sporo ludzi ogrywa co jakiś czas.
1273:  Piękny band nagrał mnie w Dark Souls 1.
1274:  Bardzo, bardzo dobrze.
1275:  Dobrze, moi drodzy, teraz trzeba wziąć się na sposób.
1286:  Chcemy normalny zapłon.
1288:  No i gdzie on jest niby?
1291:  Czemu nasz wróg ma niedowład psychiczny i nie chce nas atakować?
1295:  Ja w ogóle nie wiem, jak sforsować to.
1298:  On się przeteleportował?
1300:  To nie jest drugi?
1302:  Na tym etapie tylko Estus plus jeden?
1304:  Ja nie wiem, gdzie są Estusy plus dwa, plus trzy i tak dalej.
1307:  Nie wiem.
1312:  Więc wiecie.
1312:  Problem.
1313:  Problem.
1317:  Mam wrażenie, że czegoś nie znalazłem.
1324:  Dobrze, tutaj nie jesteśmy pod ostrzałem, więc spróbujemy w ten sposób.
1333:  Dobra.
1335:  W Blight Town jest jeden?
1336:  Okej.
1339:  To wyjaśnia czemu go nie mam.
1342:  I w zatopionej stolicy, w zatopionej stolicy, a już wiem gdzie, tylko tam trzeba szybko przebiec.
1347:  To możemy się w sumie tam przemieścić w którymś momencie, to nie jest zły pomysł.
1357:  Czy my tutaj sięgniemy, czy nie?
1359:  Oni będą nas napieprzać, prawda?
1361:  I oni wszyscy będą trafiać, no oczywiście, że tak.
1365:  Czy znaleźć duszę Strażnika Ognia?
1366:  Ja mam wrażenie, że ja mam jedną duszę Strażnika Ognia.
1370:  Skądś.
1370:  I nawet nie wiem, czy nie jest w Light Town.
1373:  Ale wy to pamiętacie lepiej.
1375:  Znacznie wyglądam na zgód ze strzałów w dupsku.
1377:  Proszę nie naigrawać się z biednego Niedemagajam Nixa.
1382:  Może moje życie zniszczyło się, jak się dowiedziałem, że się pisze naigrawać, a nie naigrywać.
1387:  Czy może mi ktoś wytłumaczyć, dlaczego jego skok jest szybszy od mojej Kuli Ognia?
1397:  Przecież to jest jakaś kpina.
1408:  To jest naprawdę skandal i kpina.
1414:  Na pewno jest jakiś z tyłu za mną.
1418:  Tutaj też bonfire do 15 estusów.
1420:  Ja bez przerwy zużywam człowieczeństwo, moi drodzy.
1423:  Bez przerwy.
1424:  Aaa!
1432:  Takiego.
1438:  Tak.
1441:  Won.
1444:  Uciekaj, uciekaj ptasku, uciekaj.
1450:  Prymitywy.
1453:  Chyba po prostu się backstabuje tych typów.
1455:  Wiecie, problem polega na tym, że jak się jest Krzysztofem, to łatwo jej backstabuje, są w dwóch różnych zbiorach.
1461:  Macieju, dzięki za wsparcie od sześciu miesięcy!
1463:  Podpalony na wieki wieków z paczeń!
1466:  Tu jest następne na winda, ale my wpierw, moi drodzy, eksplorujemy.
1471:  Dusze strażniczki miałaś z parafii, nie umarłeś, do tej w Blighttown nie doszedłeś, a pamiętacie, gdzie ona jest w Blighttown?
