🔴 Niedomag podróżuje do przeszłości | DARK SOULS REMASTERED Livestream #6
🔗 https://www.youtube.com/watch?v=Ygdubv-bWAs

6:  Zdjęcia i montaż
70:  muzyka
121:  KONIEC
181:  Dzięki za oglądanie!
251:  KONIEC
277:  Muzyka
304:  KONIEC!
415:  Dzięki za oglądanie!
423:  Witam wszystkich na naszym kolejnym spotkaniu w najgorszym z możliwych światów.
430:  W straszliwej krainie Lordran, której nazwę już się nauczyłem wymawiać.
435:  Witam wszystkich na czatach w ten oto piątkowy dzień.
438:  Retrum, Arkadiusz, Cybulak, Trashpanda, Ania Jagodzińska, Płonąca Pyrka, Czerwony Lis, Agnieszka, Salan, Tomasz Kowalczyk, Katarzyna, Damrok, Lisu, Okside, Jackie Left, Serenok, Zbierny Obserwator, Ewa, Jędrzejczyk, Urszula, Giewon, Kapadem i Fernes, Kru...
453:  Wielkie nieba, co się dzieje?
455:  Chaty tak szybko migają.
456:  Czy Krzysztof nie nadąża z czytaniem Nikolasa Pałabasia?
459:  Kozak, Zawisz, Zły Czarownik, Pajna Zaba, Piteras, Szejk Truskawkowy, El Politko, Zalewa, Krishes, Fitches, Susie Diamond.
467:  Dziękuję przy okazji Jusowi, który jest Jamikołajem.
471:  Niuch!
472:  Zaraz przeczytam, kto otrzymał wsparcie od Juusa, dziękuję tymczasem za wsparcie społeczności kanału Czeki Left, Oksidet, Amrok, Katarzyna, Oraż, Agnieszka, Ik, Szelmutka, Magdalena, Kaban, Crow, Jednoręki Bandyta, Karolitka, Serenox, Megafuka otrzymała wsparcie, Aldonaka, Serenox otrzymał wsparcie i Zły Czarownik stali bywalcy streamów.
490:  Proszę bardzo, Oskara Trausa, witam serdecznie, Black Kata, miłego pana Marcina wysłucha.
494:  Riltai, Budyniozaura, Pawełka oraz Łajtki, Justyne Neko, wszystkich, którzy przybyli patrzeć, jak Niedomag Jamnik zginie i wszystkich, którzy się rozczarują, ponieważ Niedomag Jamnik dzisiaj nie zginie ani razu.
507:  Haha, bardzo śmieszne, tak naprawdę to zginie.
510:  Witam także
511:  Budyniozaura, już tu był powitany, Człowieka, Szymona, Kazerkołomaga, Niewikielna Jamniczego Ognia, Grimhoga, Megafukę, Hamster, Wrabe777, Marcina Łochowskiego, Eweliny Bardzińską, Emeriu, Fajna Zaba, Astrey, Aldona, Owikat, bądźcie wszyscy powitani, moi drodzy, najserdeczniej, ale zanim, ale zanim będzie wam wesoło, to pozwólcie, że będzie wam przez moment goło, dobrze?
536:  Mianowicie, chciałbym poinformować niniejszym,
540:  że mamy pewien news.
544:  Mianowicie, może pamiętacie, że jak wychodził serial Wiedźmin, podzieliłem się z wami moim pragnieniem, najwyższym pragnieniem.
551:  Otóż chciałem, żeby Emiela Regisa, mojego ulubionego wampira w historii kultury, zagrał Adam Sandler.
558:  Uznałem, że to znakomity kandydat, świetny casting, bardzo dobry aktor.
563:  Jednak zapomniałem o kluczowej rzeczy.
565:  Mianowicie Adam Sandler niestety nie ma takiego koloru skóry jak Emil Regis.
569:  Co więcej, Adam Sandler jest zdecydowanie zbyt młody.
573:  Chodzi przecież o to, żeby pokazać nieśmiertelnych wampirów tak jak wyobrażamy sobie nieśmiertelne wampiry.
579:  W związku z powyższym z radością powitałem fakt.
582:  że Lauren Hissrich, którą zawsze będziemy już nazywać Fistek z uwagi na to, że go regularnie ćpie, zdecydowała się razem ze swoją wybitną ekipą filmową na zatrudnienie jedynej słusznej osoby do tej roli, a mianowicie Lorenza Fisburna, którego znakomicie pamiętamy z jego ról, chociażby, no, wampirów w filmie Underworld, Boon Lycanów, grał tam wampira, wcale nie był to Charles Dance.
604:  Charles Dance tak naprawdę, moi drodzy, zagrał Morpheusza w Matrixie, ponieważ poszukiwano właśnie dokładnie takiego aktora.
612:  Cieszę się niesamowicie, że Wiedźmin w dalszym ciągu odróżnia się od tej franczyzy, którą wszyscy pokochaliśmy, to znaczy tej franczyzy, którą wyprodukował CD Projekt Red.
621:  Mam nadzieję, że kolejne castingi w równym stopniu zaspokoją oczekiwania fanów i w żadnym sposób nie będą próbowały w tani sposób żelować na polaryzacji ludzi,
631:  Po to tylko, żeby wszystkich wyzywać od rasistów, tych, którzy będą mówić słusznie skąd inąd, że produkcja to klepawa, zła i beznadziejna i nie zasługuje w żadnym razie ani na nasze pieniądze, ani tym bardziej na nasz szacunek.
642:  Cieszy mnie zatem ogromnie to, że będziemy mogli spotkać się po raz kolejny na live'ach Wiedźmińskich i ja już wiem, jaka będzie moja ocena tego serialu.
650:  Dziękuję za uwagę.
654:  A teraz idziemy zabijać potwory, dobrze?
657:  Idziemy zabijać potwory, moi drodzy, bo ja się inaczej rozindyczę jeszcze bardziej i mnie uniewinnią.
666:  Zapomniałem, że to się zapętla.
671:  Zapomniałem, że się to zapętla.
673:  Przy okazji dziękuję jeszcze za dołączenie do gna wspierające kaznodziei milczącej żaby.
678:  Dlaczego ciebie nie było wtedy, kiedy walczyliśmy z żabą w Wiedźminie albo z dwiema żabami w Jedi Fallen Order?
684:  Jakie to było straszne.
685:  Szelmutka, dzięki za bracie od 5 miesięcy.
687:  Czy pamiętasz wciąż, że UJ ma wydział na bagnach?
689:  Oczywiście, jest to Wydział Zarządzania i Komunikacji Społecznej, moi drodzy.
694:  No i mam nadzieję, że się dobrze miewacie w tych oto trudnych dla fandomu czasach, moi mili.
699:  I mam ogromną nadzieję, że się dobrze miewacie.
704:  Czy będę oglądać drugi sezon Rings of Power?
706:  Oczywiście, że tak, moi drodzy.
708:  Przestań rzucać kulę ognia, zabroniłem cię.
714:  Ja nic nie mówię.
715:  Widzicie, gdzie jesteśmy?
717:  Bo ja nie.
720:  Krzysztof, co robisz?
721:  Zabijam potwory.
722:  Tak jest.
723:  Czy ja idę w dobrym kierunku?
725:  Moi drodzy, znaleźliśmy się ostatnio w miejscu, co do którego nie podejrzewałem, że się znajdziemy.
729:  Otóż w DLC.
732:  Czemu ja nie słyszę gry?
733:  Już wiem, czemu nie słyszę gry.
735:  Miałem wyciszoną grę na swoim własnym nasłuchu.
737:  Fajnie.
738:  Mam nadzieję, moi drodzy, swoją drogą, że jest dobrze z dźwiękiem wszystko.
742:  Bo ostatnio daliście mi znać, że...
745:  Gra cokolwiek pikowała przy moich dzikich wrzaskach, więc postarałem się powrzeszczeć na początku.
752:  Oratrice mécanique d'analyse cardinale.
754:  O!
755:  Laurence Fishburne świetnie również zagrałby Nivleta!
760:  Absolutnie tak!
761:  Jakbym miał pomyśleć o kimś innym, myślę, że Eddie Murphy jeszcze ewentualnie.
766:  Tak, Eddie Murphy też by dobrze zagrał Nifleta z Genshin Impact.
770:  Tomaszul, dzięki za wsparcie od czterech miesięcy.
772:  Tak jak radziłeś, czytanie z ambientem coraz lepsze, ale się cieszę.
775:  To nie jest rzecz przebadana naukowo, ale czysto doświadczeniowo, moi drodzy.
780:  Powodzenia z Artoriasem.
781:  Ja nawet nie wiem, kim on jest, Arkadiuszu, ale wiem, że będziemy przeć naprzód, moi drodzy.
787:  Samuel L. Jackson.
788:  Samuel L. Jackson mógłby zagrać Albedo.
791:  Przepraszam.
799:  Ale Ken Watanabe jako Hutao.
804:  Ja widzę już, jak Ken Watanabe mówi Ja to widzę, moi drodzy.
809:  Ja to widzę.
810:  Damian Kajm, dzięki za trybut.
812:  Siemanko, nie wiem czemu, ale jak wspomniałeś, że masz partnerka, od razu pomyślałem, oho, pewnie czerw fantastyczny.
817:  Nie, moi drodzy.
819:  Nie, to po pierwsze.
820:  Po drugie, spraw prywatnych i personaliów partnerów nie ujawniać należy publicznie.
825:  I to zupełnie poważnie mówię, głównie z uwagi na to, że osoby partnerskie, niezależnie od tego płci jakiej, mogą nie życzyć sobie tego, żeby dzierżyć brzemię osoby publicznej, którą dzierży osoba, która się na to decyduje.
839:  To wydaje mi się logiczne.
841:  Lorenz Piszpen jako paimon.
854:  Ostrzegajcie mnie przed takimi rzeczami.
860:  O nie.
863:  I Denzel Washington jako Furina, tak jest.
867:  Jeżeli zrobią mi zregister takiego, jest Geralta, mruka i durnia, idę złożyć zażalenie.
870:  A widziałeś Astray, Lorenza Fishburna, grającego inną postać?
874:  On zawsze gra postaci mrukowate, no różnij się.
877:  Muszę iść przed nim, bo Charles marnowałeś nie po raz pierwszy.
882:  Mamy 3942 dusze.
883:  Ja mówię, że jest to, moi drodzy, odpowiedź na wszystkie pytania, które kiedykolwiek mieliście na temat natury rzeczywistości w 1942.
892:  Znaczy 3942.
