🔴 Ornstein i Smough kontra cierpliwość niedomaga | DARK SOULS REMASTERED Livestream #3
🔗 https://www.youtube.com/watch?v=BWVTeL_kXn4

4:  Zdjęcia i montaż
56:  Muzyka
88:  Muzyka
207:  Witam wszystkich wcześniej niż zakładaliśmy o 18.00 w środę, jak za dawnych dobrych czasów.
215:  Witam najserdeczniej po tym, jak pokonaliśmy Quailag, Quilag, nieważne straszliwe monstrum, które czaiło się w podziemiach Blighttown i to monstrum odporne na magię ognia, a nie do magii Amnix.
227:  I tak dzielny monstrum pokonał.
230:  Witam wszystkich najserdeczniej.
232:  Bondziorno, Kacper Ozdoba, Czerwon Lis, Jednoręki Mandyta, Nani Nani, Astray, Kolbusz, Witek, Kacper Kuzak, Fat Pandalf, Płonąca Pyrka, Astray, Szeptucha, Łukasz Stanisławczyk, Blood Ged, Lucyfer, Tareneval, Roksika, Fat Pandalf i Blood Ged oraz Lisu.
253:  I Piotr Pierwin, Dytfa, bo płonąca pyrka już chyba witana była, ale i tak z poznańskimi pozdrowieniami od Krakusa.
261:  Łączmy się w oszczędnościach.
263:  Emeriu, witam serdecznie, Asasyniarza, Małgorzatę Piłat, Adidzika oraz Gorbeksa, Kazarko, Mag, Piekielno, Jamniczego Ognia, niech takoż będzie podpitany jako i Magda M1, jednoręki mandyta, Brendo, Paweł, to ja, Grimhock, Szymon Drzmała, Zen Bugami oraz, oraz...
279:  Nadia Lewi, Szymon Wróblewski, nasi wspaniali moderatorzy, Nevemo, Mr. Raccoon, Arachne, Urszula, Giewon, Robert, Fajny227, Wilczarz, Milord Mariusz, Lisu, GM, Red Room, Kuba Wdowiak, Fajna, Zaba, Dalia, Bladgett, Captain Fun Avengers, Zły Czarownik, Gosia Ośka,
298:  Lumen, Ewulina Hiro, BWAW1, Kamil FIP, Bartek Adamek, Damian Kajm oraz Timoti.
307:  Nie mam pomysłu na sen i wszyscy, którzy przybyli, żeby podziwiać Niedomagaj Amnixa, jak robi rzeczy, moi drodzy.
314:  Poprawiłem swoją drogą troszeczkę kadr ten.
316:  Jest mniej z góry, a bardziej, nie wiem, z przodu.
319:  Mam nadzieję, że lepiej to wygląda, ponieważ eksperymentowaliśmy, moi drodzy, ostatnio z różnymi rzeczami.
326:  Bartolinieze, Małgorzata P., Jakub Kołodko i Rafaello Koczek i Kamil Ewben nie będą powitani.
331:  Mam nadzieję, moi drodzy, że nowy rok akademicki tudzież szkolny, a ściśle mówiąc kontynuacja tego, ponieważ mamy rok kalendarzowy, ale Krzysztofowie się wszystko myli, nie trapi was za bardzo.
341:  W ogóle w ramach jeszcze ogłoszeń drobnych jutro będzie odcinek dla każdego coś przykrego o godzinie 18.
347:  Jeszcze witamy serdecznie Aśku, Aleksandrę, Fat Pandalfa, Szymga Onlata,
351:  I Jakub pisze, że pozdrawia jamniczo z żoną i kotami.
354:  Pozdrowienia dla kotów i pozdrowienia dla żony w tej właśnie kolejności.
359:  Żartuję.
359:  Krzysztof Kubisz, Steve Rogers, niech takoż będą powitani, moi drodzy.
364:  To powiedziawszy, przechodzimy do waszego ulubionego sonoryzmu Dark Soulsowego.
369:  Już mogliście usłyszeć te piękne dźwięki, tak nie przestanę się z tego natrząsać.
373:  Bardzo was przepraszam.
374:  Właśnie mówiłem, że będzie mała zmiana, to znaczy ostatnio mi powiedzieliście, że lepiej jest, jak Krzysztof patrzy na
380:  grę i jednocześnie na was, w związku z powyższym będziemy tak robili, kontynuuj Claymore, olbrzymi miecz dziękuję, thank you Dark Souls przepiękna muzyka moi drodzy w Firelink Shrine przyzwyczajajcie się, bo potem jej nie będzie
398:  Czy macie notatki?
399:  Mam nadzieję, że nie robicie notatek.
401:  Mephisto, u mnie na wykładach się nie robi notatek.
403:  W ogóle zawsze mówię studentom, żeby nie tracili czasu na robienie notatek, ponieważ robimy je wspólnie i przekazuję je im później.
408:  Tak jest lepiej.
410:  Jejku, studniówki i inne szkolne bale, bardzo tego nie lubiłam.
413:  Tak jest, moi drodzy.
414:  Dlaczego jak się przełączam, to niknie muzyka?
416:  To jest takie smutne.
417:  Nie możemy też rozpalić ogniska.
419:  Chciałem wam pokazać to, o czym mówi w tym momencie...
422:  Panda we pies, ale nie mogę, ponieważ przełączenie się na drugi ekran sprawi, że przestaniemy słyszeć tę piękną muzykę, a jest ona, jako się rzekło, piękna.
428:  Nie wiem, co mam zrobić.
