🔴 Po trzykroć przeklęte Blighttown | DARK SOULS REMASTERED Livestream #2
🔗 https://www.youtube.com/watch?v=1R_sadyvDqs

7:  Zdjęcia i montaż
65:  muzyka
117:  Czemuś...
179:  Ciemna strona siły jest drogą do wielu umiejętności, które niektórzy uważają za nienaturalne.
184:  Ciemna strona siły
227:  Dzięki za oglądanie!
267:  Muzyka
296:  Muzyka Muzyka
415:  Witam wszystkich najserdeczniej, wszystkich zgromadzonych i wszystkich niezgromadzonych!
421:  Wszystkich, którzy przybyli śledzić mrożące krew w żyłach losy niedomagaj Amniksa!
429:  Najbardziej niedomagającego pośród magów!
433:  i najmniej domagającego pośród niedomagów.
436:  Dzisiaj będziemy schodzić w dół, jako i wczoraj wchodziliśmy pod górę.
442:  Jako na dole, tak i na górze.
445:  As above, so below.
447:  Tak jest, moi drodzy.
448:  Witam złego czarownika, Wyspę, Coltis1, Powertoja, Megafuka, Redyaga, Simbashini, Owikat, Marcin Łochowski, Szelmutka, Marta F., Simbashini.
458:  Muzyka jest za głośno.
460:  Małgorzata Piłat, Urszula Giewon, Justyna Neko, Susy Diamond, Fat Pambelf, Lemonade, Aleksandra, Szomandzi Iwomrów, Froget 67, Ellen, Enisch, Raffaello, Kafrin, Vancouver, Vepola, Nevrast, Belo, Pawełek i Eternitas oraz Jesa, Joraszczyk, Dziubasiński, Grim Lukas, Bigomeza, Borysow,
482:  Luka Senpai, Tareneval, Lucifer, Jaolin, Jraszczyk, Cygor, Nani Nani, Pralinka, Jednoręki, Bandyta, Obciu13, wszyscy solsiarze, wszyscy, którzy mają za sobą już DAX.
495:  Pokażę, że to jest 100% widzów na tym streamie, to jest bardzo możliwe.
499:  Wszyscy, którzy jeszcze się nie odważyli zagrać w Daxos, a rozważają.
504:  Szejk Truskawkowy, Kazarko Mak, Piekiel do Jamniczego Ognia, Robert Górski, Juliusz, Sandra, Joanna Maślankiewicz, Hun-Chun Maru, Agnieszka Brzozowska-Kryształowa, Mikele i Grzegorz Sikora, ponura muzyka nam towarzyszy, Ter Neval, Tomasz Skrzypczak,
