🔴 Sif jest jamnikiem, a Gwyn nie | DARK SOULS REMASTERED Livestream #7
🔗 https://www.youtube.com/watch?v=ZXtgOJU1qpg

183:  Muzyka Muzyka Muzyka
216:  Dzięki za oglądanie!
266:  Witam wszystkich przybyłych!
269:  Witam wszystkich, którzy kontynuują oglądanie przygód Niedomaga Jamnixa w krainie Lordran!
278:  Witam także niemożepnego Jamnikołaja!
285:  Mahilla, który podarował 120 wsparć wszystkim.
293:  Jamnikołaje dla Jamnikołaja na powitanie.
295:  Witam wszystkich najserdeczniej.
297:  Rosu Skóry Domowej, Grafik Łyć, Bjorn Kurdurson, Elf, Lucifer, Magda M1, Jastór Król, Lizu, Kuzmier, Janistyna, Neko, Szejk Truskawkowy, Szelmutka, Jakub Krzyżewski, Płonąca Pyrka, Urszula Giewon, Blary Face,
313:  Wesper, Mats, Mephisto, Pawełek.
316:  I niestatystyczna, wszyscy migoczący na czadach z jamnikami, Serenox, Metalboy, Urszula Giewon.
322:  Jeszcze dziękuję za wcześniejszy trybut od Kane, który pisze, niuch i ma rację, ponieważ niuchacze są wspaniałe.
330:  Poczekajcie, potrzebujemy dalej pompatycznej muzyki, dlatego będzie nam grało Packs of Savage Dogs.
336:  Okside, nikt będzie powitany, Czerwony Lis, Damian, Kaim, Rose,
343:  Użyj mojego własnego brzmienia przeciwko Mojżeszowi.
359:  To było niesłyszalne, wiem.
361:  Miriamka, Pawełek, Megafuka, Paula, i Człowiek, i Avatar, i Amikami, i Alternatywka z sąsiedztwa, Balzar, Jack Ryden, 123, Piotr, Bajer, Radłosow, SRB, Blurryface, Adam Kuśmierski, i Ole Wales, Krzysztof Klebowski, Jimbo, Anna Słania, Urszula, i Emeriu, i Draksenus, Bigomeza, AW, Road, i Nicole Zapała, Catboy, Matias,
387:  Wszyscy nowo przybili, wszyscy, którzy jeszcze nigdy nie byli na tych szalonych streamach, ani żadnych innych.
393:  Witam Kain w gronie wspierających.
396:  Jamniki dla ciebie dziękuję najserdeczniej.
398:  Mateusz Kjawa i Łukasz Mozgowoj też jest Jamnikołajem.
403:  Co się dzisiaj dzieje?
404:  Wild Rattles otrzymuje wsparcie.
407:  I Adam Kuśmierski.
409:  I Michel Vincent na chwilę jeszcze pisze, żeby uważać na ukochanego Wilczka.
413:  Będziemy się Sifem dzisiaj opiekować, moi drodzy.
415:  Mateusz, podtrzymuję wsparcie Jimbo i Iskor, i Paula, i Sebastian Szczerba, i Mateusz Wendekier, i Michel Vincent.
424:  Dziękuję najserdeczniej przy wielkich i straszliwych bębnach, moi drodzy, przy tarabanach.
430:  Wkraczamy w ostatnią fazę przygód.
433:  Nie domagam nikt swojego bohaterskiego questu, któremu oddaję się w oczekiwaniu na powrót do krain pomiędzy, a być może pomiędzy krainami pomiędzy, a krainą Lordran będzie jeszcze wycieczka do Dark Souls 2.
446:  Nikt tego nie wie, moi drodzy, nawet ja tego nie wiem, ponieważ nie wiem, czy się finalnie odważę, czy się nie odważę.
452:  Witam wszystkich przybyłych, moi drodzy.
453:  Dark Souls dzisiaj oczywiście się nie wyświetliło, ponieważ moje życie jest smutne.
459:  Przechwytywanie gry Dark Souls.
461:  Dziękuję.
463:  Jamnicza kapłanka z Allenstein też podarowała wsparcie.
466:  Niuch dla jamniczej kapłanki z Allenstein.
469:  Harassland, proszę bardzo.
472:  Ta ostatnia faza przygód pisze Grimcock.
474:  Co to za brak wiary w możliwości niedomaga jamniksa?
477:  Skandal.
479:  Moi drodzy, absolutny i niewyobrażalny skandal.
484:  Więc zastanawiacie się może, dlaczego jestem w kryształowej jaskini.
488:  Wyjaśnię Wam.
489:  Ostatnim razem niesamowicie rozindyczył mnie fakt, że nie miałem... że nie miałem mianowicie...
496:  Gródek tytanitu.
497:  Otóż mam osiem migoczących tytanitów, które udało się wyfarmić z tych obrzydlist, które tutaj siedzą.
503:  W związku z powyższym, teraz możemy na przykład udać się, bo jeszcze nie wiem, czy nie będziemy dzisiaj robić Bed of Chaos, a do tego potrzebujemy mieć bomby.
513:  Jeżeli ktoś wie, gdzie się kupuje bomby, to mamy na to duszę.
516:  W razie czego teleportujemy się, moi drodzy, do miejsca, gdzie musimy iść w następnej kolejności.
521:  Nie pamiętam, co jest w następnej kolejności.
523:  A, Sif jest w następnej kolejności.
525:  A, czy jeszcze trzeba dofarmić, ponieważ potrzebuję 20 tysięcy dłuż na Artoriasa.
529:  Proszę bardzo.
529:  Mats dołącza do gnaw wspierających.
531:  Dziękuję już.
532:  Nie wiem, jakie jamniki pokazywać, moi drodzy.
534:  Teraz będzie jamnik, który przysypia.
536:  To jest drzemnik.
538:  Witamy serdecznie i dziękuję Ci za wsparcie kanału.
540:  Szelmutka jest ja, Mikołajko, co tu się dzieje?
542:  Czemu zawsze, pisze Dominika Jamniko, twórczynie Klimcza, gdy wysyłam Ci rzeczy, masz live'a.
547:  Nie wiem dlaczego, Dominika, zaraz Wam coś pokażę od Dominiki.
549:  Rose otrzymuje wsparcie i Lost Wispę, i Mateusz Kujawa, i Rosu Skóry Domowej, Magdalena Kagan, Maciej Kuśka, Nicole Zapała, Patryk127, niu!
560:  i Juramy 49.
562:  Niuch!
563:  Niuch!
564:  Dużo niuch!
566:  Moi drodzy, więc zastanawiacie się może, co przekazała Dominika Jemnik o twórczynie Klimczak.
570:  Ja też się zastanawiam, będziecie teraz słyszeć muzyki z Dark Souls, ponieważ FromSoft nie ogarnia możliwości przekazywania rzeczy na dwóch ekranach, w związku z czym usuwa muzykę
577:  W związku z powyższym dzieją się rzeczy, ale nie martwcie się, nie martwcie się, gdzie jest to, czego ja szukam?
582:  Już wiem, czego ja szukam, moi drodzy, więc dopytywaliście, czy będzie WOŚP, czy będzie WOŚPowy stream?
586:  Oczywiście, że będzie WOŚPowy stream.
588:  I proszę bardzo, jak będzie pięknie, dwa jamniki dzisiaj będą, znaczy w tym roku będą na streamach WOŚPowych, moi drodzy.
595:  Dwa jamniki, z czego jeden jest jamnikiem małym, a drugi jest jamnikiem większym.
599:  Jeżeli tam jest piękne, to Niemcy jest piękne, za tylu ognia, oczywiście tylu ognia są najpiękniejsze.
605:  Podrapana buzia?
607:  Nie wiem dlaczego, znaczy wiecie co, ja bym chciał powiedzieć, ja bym chciał powiedzieć, że jestem podrapany z tego powodu, ale niestety zrobiłem to sam, więc no tak.
621:  No tak.
623:  Ja sam zawsze się umiem najbardziej skrzywdzić, nie mam zielonego pojęcia, czym to jest spowodowane.
629:  No właśnie, Paweł pyta, z kim walczyłem.
631:  Ja po prostu w tym momencie już prospektywnie myślę o walce z SIF-em.
636:  Zresztą kompletnie nie słucha Dominiki.
638:  Ja widziałem, że Dominika przysłała coś nowego, ale tutaj, moi drodzy, trzeba stopniować, stopniować oczekiwania i stopniować wszystko.
646:  Stopniować napięcie również należy, tak a propos moich szram na twarzy.
652:  co było z Sithem i z archiwami.
653:  Sith jednoręki bandyto padł za pierwszym razem i jestem z tego cokolwiek dumny.
659:  Natomiast teraz zobaczcie, jak dużo może w tych cholerstwach być rzeczy.
663:  Proszę bardzo.
665:  Pada to cholerstwo za jednym razem, a wcześniej się musieliśmy męczyć, potwornie męczyć.
669:  I to jest piękne w Dark Souls, że człowiek czuje... Może przyciszę troszeczkę grę.
677:  W ten sposób przyciszę troszeczkę grę.
679:  Że człowiek czuje,
681:  progres, który uczynił.
683:  To jest niesamowicie piękne.
685:  Krzysztof kostuje własną postać.
686:  Coś w tym jest!
688:  Jak śmiesz mnie dźgać!
691:  Przestań mnie dźgać!
694:  Teraz zaatakuję, zobaczycie.
695:  Nie!
697:  Ha, ha, ha, ha!
699:  Nędzny, nędzny głupiec!
701:  Dobrze, i zobaczcie, on się otwiera, tak?
704:  I można pogmerać wtedy, jak się otworzy.
706:  Cisz... Cisza.
708:  Cisza.
710:  Proszę bardzo, gmeramy.
711:  Migoczący tytanit, widzicie?
712:  Opłaca się gmerać.
717:  To oczywiste są nasze blizny.
718:  Spotkałeś cudownego jamnika na chodniku, chciałeś go pogłaskać i się podrapał.
721:  Tak właśnie, tak było.
722:  Proszę bardzo.
723:  Gmerami jest Tytanit.
724:  Tytanit.
725:  O!
726:  Proszę bardzo, kamień oczyszczania jeszcze.
728:  Tomasz Godlewski dołączył do grona wspierających jamniki dla ciebie i to dosłownie, masz jamnicze emoji, dziękuję ci za wsparcie kanału i społeczności.
