🔴 Zejście na zawał w katakumbach | DARK SOULS REMASTERED Livestream #4
🔗 https://www.youtube.com/watch?v=y7NI23LJC2Y

78:  Muzyka
141:  Zdjęcia i montaż
190:  Dzięki za oglądanie!
253:  KONIEC
325:  Muzyka Muzyka
348:  Zdjęcia i montaż
388:  Witam wszystkich zgromadzonych, którzy chcą śledzić losy niedomaga Jamnixa, mającego już strój na zgóla!
400:  najpotężniejszego w świecie, we wszystkich multiwersach.
405:  Od ziem pomiędzy po obrzydliwe White Town i inne straszne miejsca, które będziemy zwiedzać.
413:  Witajcie najserdeczniej w ten piątkowy wieczór.
416:  Wszyscy zgromadzeni.
417:  Ewa Jędrzejczak, Agnieszka Saran, Pademy Ferenc, Jerzy Serlenbaldu, Grimhok, Azur Mroc.
422:  Danuta Trząskowska, Pandawepies, Enimx Nieproszony, który jest naszym loremistrzem, słapczajcie komentarze Nieproszonego pod każdym z odcinków i zapisów streamu, Aldonaka, Petro, Zen Bugami, Renci, Aleksandra Blackat, Zły Czarownik, Minszel, Wincel, Paweł Z,
437:  Red Jaga, Jeven, Jednoręki Bandyta, Jesa, Nemeczek, Wepolan, Altijon, Redrum, Wieszcz, Piny Gwy, Chwała Jego Tłustości, Nikole Zapala, Rosół Skóry Domowej, Warlock Gawron, Grim Lukas, Jacek Malachowski oraz
452:  RRB, Balrog72, Grzegorz Sikora, Oksyde, Szymek Onlata, Piotr Zawieja, Czerwony Lis, jeszcze raz Ania Kaźmierczak i Misza Wegeek oraz Paweł, Szymek, Katarzyna, Natalia Wolska, Kate, Kati, Serenox,
469:  Nie wiem, czy Big Gomeza był wyczytany, ale na wszelki wypadek witaj i ty, i Jesa, i Garbus94, wszyscy stali i nie stali widzowie kanału, wszyscy, którzy oglądają jeno zapisy ze streamów, ponieważ są stworzeni śledzeniem na bieżąco tego, co wyprawia Niedomagiamniks, a przypomnę, że Niedomagiamniks ma strój na zgóla.
487:  Wspaniałe rzeczy się dzieją.
489:  Sereno Xcafrin, James Wade i Joanna Maślankiewicz i Brendo i Adam Kuśnierski nie będą powitani.
495:  Dlaczego nie ma jamników?
496:  Jest drzemnik, jest drugi jamnik.
499:  Potrzebujemy wszystkich jamników, ponieważ muzyka jest wspaniała.
509:  Cieszmy się, bo nie będzie takiej w grze.
533:  Witajcie moi drodzy, rip słuchawki, tak jest, jest głośno i radośnie, a nie domagiamnik będzie dyndać na sośnie.
550:  Dlaczego, dlaczego drzemnik był, dlaczego drzemnik był do góry nogami?
553:  Przepraszam za umieszczenie drzemnika do góry nogami, nie chciałem tego robić, moi drodzy, gramy!
557:  Nie ma to tamto.
558:  Naciśnij dowolny przycisk.
559:  Aaa!
560:  Gra za głośno.
562:  Ale gra za głośno tym razem u mnie.
564:  W grze będzie jedno zgrzytanie zębów.
565:  Nie inaczej.
566:  Ale teraz, moi drodzy, piękna muzyka.
568:  Będzie jeden, jedyny moment, ponieważ będziemy w Filing Shrine.
571:  Praise the sun.
572:  Nie inaczej.
573:  Raczej, raczej nie inaczej.
574:  Czekajcie, jedna rzecz jest jeszcze do zrobienia, bo nie widzę całego czatu, a chcę widzieć cały czat.
581:  Dobrze, teraz będę widział cały czat.
584:  Strasznie nie lubię
589:  jak się przełączam z ekranu na ekran, że postać wykonuje atak.
596:  No kto to wymyślił?
598:  Kto to wymyślił?
604:  Mamy sześć tysięcy duszyczek, moi drodzy.
609:  Czy ja mam coś w wyposażeniu radosnego, co pozwoli nam zużyć rzeczy?
615:  Nie.
616:  Mamy tylko dusze, ważne dusze, których nie będziemy zużywać.
619:  Jest 16 człowieczeństw.
621:  Nie wiem, czy nie mamy 20 zebrać przypadkiem, więc będziemy ciłać człowieczeństwa, moi drodzy.
626:  Nie słychać gry?
628:  Teraz będzie słychać grę.
632:  Zapomniałem.
634:  Zapomniałem włączyć dla was.
636:  Miałem w słuchawkach, a nie miałem w grze.
638:  Na streamie zawsze się musi, moi drodzy, coś zdarzyć.
645:  Ja Ci tylko przypominam, że Filip przestrzega Cię, żebyś nie grał w Dark Souls 2.
648:  Tak słyszałem, ale wiecie co?
650:  Jest jedna rzecz, która mnie kusi w Dark Souls 2.
651:  Mianowicie w Dark Souls 2 podobno, jeśli 15 razy zabijecie tego samego wroga, to on już nie zmartwychwstaje.
659:  A ja mam jedną naturę, mianowicie completionista.
662:  Ja uwielbiam...
664:  czyścić perymetr.
665:  Ja już widzę siebie, jak ja wokół każdego ogniska 15 razy, odpocząwszy, czyszczę wszystkich wrogów.
672:  Ja to widzę.
673:  Niestety.
675:  Znaczy, masz śmieci w wyposażeniu.
677:  To są same śmieci.
678:  Wiecie, zobaczcie, ile tutaj jest śmieci.
680:  Popatrzcie.
681:  Śmieć, śmieć, śmieć, śmieć, śmieć, śmieć, śmieć.
685:  Same śmieci.
686:  Jakieś miecze dwuręczne, topory.
688:  Rzeczy, których Magus porządny nie używa.
690:  Porządny Magus ma wielki zapłon.
693:  Porządny Magus wygląda jak Nazgul.
694:  Shiaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
714:  Właśnie gram Dark Souls 2.
715:  Nie jest tak złe, jak się przeszło Dark Souls 3 Elden Ringa, a dobry jakość sosu nie jestem, pisze Michał D. Wiecie, jak to się skończy.
720:  Ja też mówiłem, że nie będę grał w Dark Souls 1, no i gramy.
726:  Gramy, bo Krzysztof był na głodzie soslajkowym.
729:  Wiecie, gdzie idziemy?
731:  Do katakumb.
732:  Tylko musimy wpierw ominąć tego brzydkiego człowieka.
735:  Czekajcie, ja się przesunę, żeby mi było wygodniej.
739:  Muszę dzisiaj pamiętać o tym, żeby wstać, moi drodzy.
741:  Ostatnio na streamie nie przypomnieliście mi ani razu o tym, że trzeba wstać, w związku z powyższym będziecie mieć na sumieniu, jeżeli będę u rehabilitanta.
750:  Kręgosłup.
753:  Krzysztof, chodziło o przedmiot, który się nazywa śmieci, ale good point z tymi nożykami.
756:  No ja wiem, że jest przedmiot śmieci.
758:  Natalia Wolska odnawia wsparcie, za co bardzo serdecznie dziękuję.
762:  Czemu ja bez przerwy pokazuję drzemnika do góry nogami?
764:  Coś jest nie tak z tym jamnikiem.
766:  To znaczy on, niezależnie od tego, w którą mam go stronę, opadają mu nóżki, w związku z tym ja zawsze myślę, że to jest góra jamnika.
773:  Przepraszam za chwytanie jamnika za nos.
775:  W ogóle jest nowy jamnik w kolekcji, ale to wam pokażę w połowie streamu.
779:  Ha!
779:  Ha ha ha!
781:  Pogadaj z brzydalem, z brzydalem, pogadaj... A, w sumie nie gadaliśmy teraz z brzydalem, z tym obrzydliwym wunszem, mega wunszem.
815:  Co się stało?
830:  Czy ja miałem tutaj... Czy ja miałem tutaj spaść?
840:  Nie będę kładł niczego, nie, nie, nie, nie.
842:  Musimy, moi drodzy, zginąć, nie ma innej opcji.
845:  Tylko nie kładź naczynia w łacy.
847:  To nie było specjalnie!
850:  Muszę użyć kości wiodącej do domu.
852:  No przecież to jest dramat, a ja mam ich tak mało.
861:  Normalnie Wummsz by cię tutaj zabrał?
863:  Naprawdę?
865:  Okej.
866:  Dobrze, co ja chciałem zrobić?
868:  Więc ja chciałem porozmawiać tylko z Mega Wummszem 9.
875:  Adrian Wysocki jest JamNikołajem, dziękuję najserdeczniej, niuch!
880:  Nieproszony otrzymuje wsparcie, jakże adekwatnie, Mateusz Wojtkowski, Games Prime, Pacierzowy Jamnik, i Krzysztof Kubiś, i Piotr Wywiał, i Creatures Features, i Venzant, i Enimx, i Frogett67, stali widzowie ze wsparciem, proszę bardzo!
899:  Dziękuję za wsparcie kanału i społeczności.
901:  W ogóle, moi drodzy, tak jeszcze jak robimy off-topy, pooglądam wreszcie... Hao Asakura, nasz moderator, się ucieszy.
908:  Mianowicie, oglądam wreszcie... Ja sobie przypomnę ten tytuł.
916:  Percy'ego Jacksona na Disney'u i nie jest źle.
920:  Nie jest źle, może nawet będzie recenzja.
926:  Dobra, Mega Wunsch 9.
930:  O boże, zrobiłeś to!
931:  Zdobyłeś Wyspę Lorda!
933:  Po tysiącu latach!
934:  To ty!
934:  Naprawdę ty!
951:  Nie!
951:  Nie!
951:  Nie!
951:  Nie!
952:  Co tu się dzieje?
953:  Czy on nas zabierze dokładnie?
992:  To jest Świątynia Światła.
995:  Dla współpracownika Pana Gwynna.
997:  Teraz, zamień Pana południową na piechotę.
1029:  Nie użyję kości wiodącej do domu.
1030:  Wolę stracić sześć tysięcy duszy.
1046:  Dobrze.
1047:  To ja może pójdę do katakumb.
1050:  To ja może pójdę do katakumb.
1052:  A może nie pójdę do katakumb, ponieważ prywokuje mi przejście wielki...
1057:  Wielka skalna ławeczka.
1061:  Można było dać Lord Vessel i wrócić.
1063:  Chaty mówią, żeby nie dać.
1064:  Inni mówią, żeby dać.
1066:  Pytanie filozoficzne, jeżeli żyrafa to pionowy jamnik, to jamnik to pozioma żyrafa?
1071:  Tak.
1072:  Mam dla was dowód w postaci ilustraty.
1089:  Co mężczyźni mogą zrobić przeciwko tak niszczącym nienawidzeniu?
1107:  Zanim zostanę po raz kolejny zdekoncentrowany, tutaj jest dowód na to, że jamnik to pozioma żyrafa, a żyrafa to pionowy jamnik.
1115:  Dziękuję.
1116:  Ja tylko tyle chciałem zrobić.
1118:  Chciałem wam pokazać obrazek, ale nie.
1120:  Dwa szkielety musiały wykorzystać ten precyzyjnie moment do tego, żeby mnie upokorzyć.
1126:  Na szkielety potrzebna boska pałka.
1128:  Chyba mam.
1131:  Mam boską pałkę, moi drodzy.
1133:  Czemu on ma taką dzidę?
1135:  To nie jest dzida, to jest sejmitar.
1137:  Helena, dziękuję za jaminikowe wsparcie.
1139:  Koteł od razu lepiej.
1140:  Proszę bardzo, cieszę się ogromnie i dziękuję Ci za 21 miesięcy wsparcia, Helena.
1146:  Jakieś kościotrupy niszczą wielkiego piromanta, zobacz wideo.
1149:  To jest dobre streszczenie.
1150:  Nie mam pomysłu na sen tego, co się wydarzyło.
1155:  Wiecie co, mam pomysł, to znaczy będziemy siekać te szkielety zanim one wstaną.
1158:  Na swoje usprawiedliwienie, ja tutaj nie byłem.
1161:  To znaczy, myśmy tutaj tylko przebiegli i zebraliśmy różne rzeczy.
1166:  O nie, to jest duże, that's what she said.
1169:  Okej, ale to jest słabe.
1170:  Widzicie, już mamy 450 dusz.
1173:  Dobrze, mówiliście, że tutaj gdzieś jest zejście do katakumb.
1177:  Ja je znajdę, ja je znajdę sam.
1178:  Proszę bardzo, znalazłem je sam.
1181:  Proszę bardzo.
1184:  Proszę bardzo, jaka gra na pierwszy soulslike?
1186:  Niezmiennie Elden Ring.
1189:  Niezmiennie, wiesz?
1191:  Bo jeżeli weźmiesz Sekiro, to się przyzwyczajysz do mechanik, których inne soulslike'i ci nie dadzą.
1201:  Gorący piromanta w twojej okolicy.
1203:  Ten komentarz się pojawił tuż nad innym komentarzem Łukasza z kolei.
1208:  To znaczy, boska pałka, trochę skromności, trochę skromności.
1211:  Niedmagianik jest nieskromny w obydwu znaczeniach tego słowa.
1219:  Ktoś mi może wyjaśnić, co tutaj się odjamnicza?
1224:  TO ŻYJE!
1227:  To dlatego chcieliście, żebym miał Boską Pałkę.
1230:  Rozumiem.
1231:  Jak nie dasz naczynia, to odblokujesz jednego NPCa, ale zablokujesz cutscenę z psem w lesie.
1236:  Musisz wybrać Przekryształowa.
1238:  Nie chcę zablokować cutsceny z psem.
1240:  Na razie nie będziemy tam progresować w ogóle.
1242:  Moi drodzy.
1243:  Musimy niestety tutaj...
1247:  Wybrać boską pałkę.
1249:  Plus 5.
1252:  Boże drogi, naprawdę teraz nie do magii, a nikt się zmieni w szalonego bejsbolistę.
1258:  No przecież to jest żenujące.
1266:  Czy to musi być takie kiepskie?
1269:  A ogień nie niszczy tych szkieletów, moi drodzy?
1272:  To jest pytanie.
1278:  Co to jest?
1289:  Czy ja te czaszu nie mogę zgładzić?
1309:  Można je wypalać!
1311:  O nie!
1320:  Trzeba zabić nekromantę, żeby zdychały szkielety.
1322:  Ja nawet jeszcze nie poznałem nekromanty.
1325:  Ale wiecie na czym polega problem?
1326:  Nasza pałka jest za słaba.
1331:  Oj, oj, oj, oj, oj, oj, oj, oj.
1335:  Dobrze.
1340:  No, są problemy.
1344:  Problem jest też to, że nic nie widzę.
1347:  Wziąć w dwie ręce można i tak, ale... No dobrze, jest troszeczkę lepiej.
1353:  Tak minimalnie lepiej.
