🔴 Megan, gdzie jesteś? | DEUS EX: HUMAN REVOLUTION Livestream #6
🔗 https://www.youtube.com/watch?v=gIsjY5-KZHQ

67:  Dzięki za oglądanie!
183:  Zaprawdę powiadam wam, oto foski.
290:  Wracamy do Detroit.
291:  Widział nikt nigdy, bo do Detroit nikt nie chce wracać.
295:  Witamy serdecznie.
296:  Powitania dla Adus Citrus, Quiz, Julki Opaczewskiej, Dominika, Astrey, Agnieszki Brzozowskiej, Astura, Mateusz Jagiełło, Mates, Megaf, Łuka, następnie Dominik, Kajro z Franczyznia, Eryk, My Lady Witch, a niech nam beat leci dalej.
312:  Czemu nie leci dalej?
313:  Ola Pietrzyk, Łukasz Bartoszewicz, Mateusz Dzikowski, ANG, Ewa Jędrzejczyk, Eryk,
320:  Deep879, Karol Korol, Palit Keusz, Ola Pietrzyk, jeszcze raz, bo czemu nie, Helena, która prosi o wspierające jamniki, wspierające jamniki dla Heleny raz jeszcze, Kedus Franczyznia, Bartek Likowski, Krum Joy, Laurelon, WRKLD, Dariusz Tokarczuk, Tokarczu... Przepraszam, przepraszam.
339:  Mega Fuka, Pulsin Kot, Random Tech Priest, Julka Opaczewska, Marek Myjnik, cóż za zbieżność nazwisk.
349:  Weronika Aleksandra, Patrus, Stachu Uchac, Kosakowski, Geeky Razor, Sara Gawrońska, dzisiaj mam ambicje przydać wszystkich, Nawrotek, Dad Gramer, WSPGN, Puszkin God, Dalek Lisewski, Kośka Ośka, Otto von Bismack, Harry Osborn,
368:  Wilet, Ulcia, Misz, Istota Żyjąca, Mortil, Random, TechPriest, raz jeszcze, ANG prosi o zwrócenie prądu na moje zadupie, jamników nie wymagam, to by się przydało, Damian Grzeszewski, Monix, Robert, Fajny227, Neto, Kwis, Róża Izabela, Krum Joy, Mortil, Wieszcz, Pingwy, Ralfał, Ala Brudziński, Zły Czarownik, Dorota B, Belok, Bortowa Pomarańcza,
391:  Mates, 1911, Kuwudzi, Mateusz, Nikomix, Skrzypnia Pierwotna.
397:  Boże, chyba mi się udało, Dorota B. Jesz z Erlenwaldu, który wraca polskimi kolejami losu, bierny obserwator Legion331, Alfa, Koleos, Paweł Radnicki, Kambrjana i Pan Pomidor.
411:  Witajcie, moi drodzy, najserdeczniej.
414:  Wracamy do Deus Exa Chimera, ale zanim wrócimy, szybka polecajka.
419:  Boże, jakie to dobre.
421:  Dlaczego ja nie czytałem wcześniej Agnieszki Hałas?
425:  Tutaj są magowie, magowie srebrni, magowie czerni.
429:  Walczą ze sobą.
431:  Golemy tworzone przez srebrnych magów.
434:  Konstrukty magiczne, artefakty.
436:  Czy wspomniałem, że jest więcej magii?
438:  Czy wspomniałem, że jest na początku scena, gdzie mag, który jest protagonistą, rozwala szóstkę magów?
447:  adiutantów, króla żebraków w mgnieniu oka.
450:  Takie rzeczy należy czytać, moi drodzy.
452:  Wspaniałość.
453:  Nie wiem dlaczego dzisiaj zaczynałem stream, skoro powinienem po prostu czytać to dalej.
457:  Tak powinno to wyglądać dzisiejszy dzień, moi drodzy.
460:  Dobrze, teraz jak zawsze... O!
463:  No nie do wiary!
467:  Gdzie to dostać?
468:  A wiecie, akurat było wznowienie.
470:  Ja to kupiłem w Empiku, więc powinno być.
473:  Nawet było na liście bestsellerów w Empiku.
477:  Boże, jaka ta muzyka jest wspaniała.
479:  Dad Grammer pisze, ciekawostka oglądam od ostatnio, z namiętności jak ludzie w sadzawkach i innych rzeczach łowią rzeczy.
486:  W innych rzekach łowią rzeczy, nie w innych rzeczach łowią rzeki.
490:  W Europie głównie znajdują telefony i okulary, w Stanach glock i inne karabiny.
495:  To wiele mówi o różnicach kulturowych.
498:  Był oglądany zwiastun Jedi Survivor.
500:  Był też oglądany zwiastun tej nowej gry FromSoftu, która jest podobno częścią jakiejś dużej franczyzy, ja jej w ogóle nie kojarzę.
507:  W jakim czasie jest osadzona ta książka?
509:  Teatr Węży Agnieszki Hałas to jest rzecz osadzona w allotopii, więc to jest inny świat.
516:  Modelowany wszakże na powiedzmy takiej wczesnej epoce
525:  wynalazczości, coś na kształt wczesnego renesansu, znaczy, ciężko powiedzieć, bo to jest... Jeżeli miałbym do czegoś to porównać, pod względem rozwoju technologicznego, to jest podobnie jak w Archiwum Burzowego Światła.
537:  A, i nawiasem mówiąc, to jest książka na poziomie zachodnim, absolutnie.
541:  Jestem aż zaskoczony.
543:  Armored Core, to jest właśnie ta gra FromSoftu, która została zapowiedziana.
549:  Tak jest.
551:  Nie znałem kompletnie wcześniejszych... Czy widziałem reklamę Empika z jamnikiem?
556:  Nie.
557:  Dygresywny wilk prosi o jamniczki i się smuci.
560:  Jamniczki dla dygresywnego wilka jak najbardziej.
563:  Moja reakcja na dzisiejszy krakowski śnieg?
565:  Jestem zachwycony.
567:  Zachwycony.
568:  Jest pięknie, biało, tak jak powinno być w zimie.
572:  W zimie nie powinno być błota śnieżnego i nie powinno być jakiejś mlazgroci.
577:  Lem używał takiego słowa jak mlazgroć.
579:  Bardzo je lubię.
580:  Prawdopodobnie je wymyślił.
583:  Mi się nigdy nie udało znaleźć tego w korpusie języka polskiego, dlatego też propaguję słowo Mlazgroć.
589:  Nie ma brudu krakowskiego i smogu, tylko jest piękna biała kołderka.
596:  Mega Fuka pisze, że musi mieć do magów rycerzy i miecze.
599:  Spokojnie, w cyklu Teatr Węży jest i to.
601:  Są też demony, intrygi demoniczne na planie rzeczywistym.
605:  Wspaniałości.
607:  Dobrze wygląda zwiastun Jedi Survival.
609:  Ja przestałem hałas akurat oceniać zwiastuny po tym, jak się tyle razy naciąłem.
613:  Ostatni zwiastun, na którym się naprawdę nachajpowałem, to jest gra Quantic Dreamu osadzona w uniwersum Gwiezdnych Wojen.
620:  Ona była przepiękna, absolutnie zrobiona.
621:  Znaczy, ten zwiastun faktycznie można oceniać jako dzieło sztuki.
625:  Ale to się rzadko zdarza.
628:  Witamy wszystkich najserdeczniej przybyłych.
630:  Moi drodzy, without further ado, kontynuujemy.
634:  Zły Czarownik też prosi o jamniczki.
635:  Siostrę Pratchett również
638:  Moi drodzy, wiecie co robić, wiecie co robić, gdzie my jesteśmy?
641:  A już wiem, jesteśmy w porcie Hengszy.
644:  Tutaj możecie spostrzec przepiękny, znaczy to jest tekstura 2D, nie oszukujmy się, ale przepiękny układ miasta.
