🔴 Maj utracony | DIABLO IV Livestream #5
🔗 https://www.youtube.com/watch?v=FI6oiwxoXOw

38:  Muzyka
133:  Dziękuje.
224:  Co mężczyźni mogą zrobić przeciwko tak niszczącym nienawidzeniu?
293:  Dzień dobry.
323:  Dzień dobry.
347:  Zdjęcia i montaż
378:  Zdjęcia i montaż
430:  Cześć!
430:  Cześć!
591:  Zdjęcia i montaż
626:  Witam wszystkich na naszym niedzielnym diablowaniu.
630:  Dzisiaj obiecuję fabuła i questy poboczne.
634:  Witam serdecznie wszystkich.
635:  Dla wszystkich niuchacze powitalne oraz jamniki powitalne.
640:  Grim Lukas, Pingu Pingu, Czerwony List, Pusieńka Śnieżna, Wieszcz Pin, Rafał M, Kambriana, Atarjafa, Agnieszka, Saran, Noob, Wuko, Istota Żyjąca, Lukas P, Mlekołak22, Aredel, Pseudoartystka, X403, Radosław R,
656:  Kajetan, Nevrast, Venzant, Jus, Pingu Pingu, Venzant, Quite Easy, Lucifer, Krystian, Bigomeza, Igor Rwieci, Prezidiu, Panika, Jus, Balrog72, Anna Graczyk, Ironnext, Norax, NeflyNow, Serenox, który widać, a ty również, ElberF9, Ogoniasta, Kaja, SzawełNiewi, Sagano96,
682:  Czerwony List, Ariayel, Nevemo, Polan Mountain, Michał Mazur, Magdalena Składek, Ola Nowicka, której życzymy wszystkiego jamniczego, ponieważ wczoraj świętowaliła z przyjaciółką swoją osiemnastkę i najlepsza impreza w życiu, to dobrze.
698:  Im mniej ludzi, tym lepsze imprezy.
701:  A ja będę sprawdzał, czy wysłali trybutariusze jamniki urodzinowe dla Oli.
707:  Pusieńka Śnieżna i cała reszta naszych szlachetnych moderatorów.
710:  Roż leci z Kyrz we Polan.
714:  Mega fuka Roż.
716:  Megafucer, wszystkiego zdrowotnego życzymy, bo głowa Zuzanna Wójcik tak właśnie będzie pamiętana, Jamnik Chaosu, Klauda Gata, Tropka94, Mr. Kilvar, Chomichan, Uber Paralichen, o rany, Krystian N, Maddy Puffs, Tarael, nasz moderator również, Rafał Mikołajczuk, Cenezi, Pana Demifernes, Bananoblade, Michał
745:  Jeżdżam na dół, widzę dużo jamników w Clever One, Anna, Quite Easy, Apyr, WB, Karol Korol, Grzegorz Sikora, Łukasz Bartoszewicz, Siasik, Magda M1, Jarosław, Komar, Aredel, Pusieńka, Śnieżna, Dafik, Niwus, Szycun, WSPGN, Gatonefist, Kazerko, Adept, Jamniczego Ognia, TikTak,
769:  Pralinka i Maurycy Groteska i Konrad Fortuna.
772:  Nie mylić z Torfuną, którą będziemy dzisiaj zbierać w Diablo 4, żeby nas stać było na straszne ulepszenia.
779:  Miraski, Siwy Dym, Patryk Jaworski oraz wszyscy stali i niestali bywalcy streamu.
786:  Doszyć, moi drodzy!
788:  Doszyć tego gnuśnienia na ekranie ładowania!
792:  Nurze w Diablo!
794:  Zwłaszcza, że są piękne rzeczy, to znaczy kusa po kusa nareszcie jest kusa!
800:  O, się nazywa Magini.
801:  Potężna Magini Ognia.
803:  Wczoraj pracowałem nad transmogryfikacją, moi drodzy.
805:  Poważne sprawy.
810:  Więc będzie radośnie, moi drodzy.
816:  Nie zmieniam żadnych buildów.
818:  Nie gra się w takie gry dla buildów, to jest abstrakcja.
820:  Pamiętam, że był ryk, jak się na samym początku Diablo 3 pojawiało i wszyscy mówili, uuu, nowa mrozu, nowa mrozu, po czym minęło sobie tam tysiąc paragonów i Krzysztof jechał ze swoją dezintegracją i wszystko ginęło na sam widok.
836:  Tak było, moi drodzy.
839:  To jest taka kusa po kusa, wiecie, na poziomie odważnego, odważnej końcówki XVIII wieku, tak?
848:  Jest maksymalnie kusa, jak byliśmy w stanie to zrobić.
852:  Ale naprawdę, jeżeli chodzi o poziom detali tutaj na strojach, to się powstarał Blizzard.
858:  To mi się podoba, naprawdę.
860:  Trzeba tylko znaleźć dobrą szatę, bo to jest coś, czego mi brakuje, moi drodzy.
865:  MagdaM1 skarży się i rzuca kartkówka z lalki.
867:  Jezus Maria, dlaczego takie rzeczy w ogóle istnieją?
872:  Sprawdzian z całego roku, z matmy pojutrze, w czwartek czy piątek kolejny sprawdzian z matmy.
875:  No widzicie, tak to wygląda właśnie.
877:  Wszyscy powtarzają, że to jest abstrakcyjne i absurdalne i niepotrzebne i że nauczyciele sami sobie to robią.
884:  Nauczyciele sami sobie dodają godzin, które są pozatablicowe, a potem ryczą, że dostają za mało pieniędzy w stosunku do pracy.
889:  No oczywiście, że tak, ale sami sobie dodają godzin pozatablicowych.
893:  DERAMAT!
898:  Ale widzisz, ale jest satysfakcja.
903:  My też mieliśmy satysfakcję wczoraj ze straszliwej walki z trzema bossami naraz.
909:  Jakoś się udało.
913:  Ta postać wyglądała jak Cassandra z Assassin's Creed Odyssey.
915:  Coś w tym jest?
917:  Coś w tym jest?
919:  Nie nadrobiłem DMX, Sky.
921:  Przepraszam, wstałem jakoś ekstremalnie późno dzisiaj.
925:  Rób lepiej fabułę, zaraz wbijesz 50. poziom i zablokujesz sobie progres.
928:  Taki jest plan!
928:  Taki jest plan!
930:  A dlaczego mówicie o blokadzie progresu?
932:  To mnie troszeczkę martwi.
934:  Żona przekazuje, że postać w Diablo można bardziej rozebrać.
938:  Przełukasz.
944:  Wjedziecie kuso pokuse na większe pokuszenie.
947:  Jak tak można?
948:  Kazarkoł Adept Jamniczego Ognia, dziękuję za wsparcie.
952:  21 miesięcy, jeszcze 3 miesiące i egzamin na MAGA.
954:  O!
955:  O!
956:  Proszę bardzo.
958:  No czyli co, jeżeli mówicie, że progres zablokowałem, to jakiś quest znalazłem off-stream, ale nie robiłem go.
965:  To idziemy do tej fabuły.
967:  Tu jest misja kampanii, moi drodzy.
969:  Nie rozumiem tylko dlaczego jest blokada po 50 poziomie.
972:  Tego nie rozumiem.
974:  Bananoblade pisze, że dwa razy zginął Drzeźnik Aresława.
977:  O rany.
978:  Nie, Mag nie jest OP.
979:  Po prostu myśmy zrobili 25, jak ktoś złośliwie wyliczył, 25 kółek, uciekając jak rodzeństwo Bodler przed trenerem Gingisem w serii Niefortunnych Zdarzeń, albo robiąc takie kółeczka jak na przeciętnej lekcji WF-u.
997:  To jest straszne.
999:  Więc niepokoi mnie to, co mówicie o blokadzie progresu, ale ja jak zawsze robię następującą rzecz, moi drodzy.
1005:  Jeżeli gra mi czegoś nie mówi, to ja udaję, że to nie istnieje.
1010:  Dlatego niektórych to może złościć.
1012:  O, Krzysztof, bo ty nie obchodzi mnie to.
1014:  Aby gra mi nie powiedziała, że coś istnieje, to to nie istnieje.
1017:  Idziemy podbić, moi drodzy, pod korzeń, zanim się zanurzymy w fabule.
1023:  A, po 50 poziomie są paragony.
1025:  No to tak jak w Diablo 3, to bardzo dobrze.
1029:  Nie wiem dlaczego ludzie mówią, że po 50 levelu nie można robić fabuły, że to dzikie pomysły.
1033:  Też tak uważam.
1034:  Siła mobów rośnie szybciej niż siła ataków, ale to się już dzieje, moi drodzy.
1039:  Myśmy to już mieli.
1041:  Czarodziejka to szybciej odczuwa, z uwagi na to, że jest sama na polu bitwy, a nie ma takiej umiejętności przetrwania, jak barbarzyńca na przykład.
1050:  Snówkin, dzięki za wsparcie od dwóch miesięcy.
1052:  Snówkin życzy nam miłego wieczorku.
1054:  Przekazuje, moi drodzy.
1057:  W Łefie jest znak przydatny.
1059:  Wiesz co, Olu?
1060:  Co się tutaj dzieje?
1063:  No jeżeli jest dobrze realizowany, to tak.
1065:  Jeżeli jest wychowaniem fizycznym, a nie wychowaniem sportowym, to tak.
1069:  Dobrze, co tu się tutaj dzieje?
1070:  Bo jest tutaj ładna muzyka i drzewo płonie, więc Tolkien łka.
1075:  Ale popatrzcie, jaka kusa pokusa jest śliczna!
1081:  Proszę bardzo!
1086:  A starocie!
1088:  Znaleźliśmy się na talgu staroci nagle.
1091:  Co to się stało?
1095:  Znajdź duchy druidów.
1096:  A dlaczego, dlaczego... Gdzie mamy znaleźć duchy druidów?
1100:  Ja już nie rozumiem, co się dzieje, moi drodzy.
1102:  Szybko poszło.
1104:  A, Starofisze, to ja.
1106:  Haha!
1108:  Znów nie mam many.
1110:  Nie mógłbym się bardziej zgodzić z tym.
1114:  Dobrze, czy mamy zejść tutaj, czy tutaj?
1117:  Konfundujący, znacznie jest konfundujący.
1119:  Snufkin wciąż jest Jan Nikołajem.
1120:  Blaryface, Siasik, Piotr Z. Dyminy otrzymali wsparcie jako i Łukasz Błaszkiewicz i... Siasik przeczytałem.
1131:  Michał Gazza, dziękuję serdecznie za trybut także.
1133:  Więc ktoś gra na weteranie?
1134:  Oczywiście, że tak.
1135:  No trudno, żeby gdzie grał na weteranie Krzysztof mający 1100 paragonów w Diablo 3.
1140:  No trzeba było.
1143:  Dziękujemy jeszcze raz Jamnikołajowi Snówkinowi.
1145:  Jamnikołaje dla Jamnikołaja tradycyjnie, moi drodzy.
1152:  Proszę bardzo, teraz chętniej uciekam, jak kusa po kusa jest bardziej kusa.
1158:  Drżący zjadacz grzechów?
1160:  On drży z podniecenia na widok kusy i pokusy, mówię wam.
1169:  A tu się jakaś ładna muzyka zrobiła w międzyczasie.
1172:  Co to są paragony w Diablo?
1174:  Zobaczycie po pięćdziesiątym poziomie.
1176:  Generalnie paragony to są dodatkowe poziomy, które teoretycznie dają nieprawdopodobne zdolności.
1184:  W Diablo 3 sprowadzało się to do tego, że dostawaliśmy możliwość dalszego levelowania parametrów klasowych typu inteligencja, charyzma, a właśnie charyzma w tym przypadku, inteligencja, witalność.
1196:  Co to jeszcze było w Diablo?
1197:  Zręczność.
1199:  Eee... Nie pamiętam, co jeszcze.
1204:  Demi nie pisze, że chociaż na live'ach Krzysztofa wygrywa losowanie.
1207:  To jest smutne w ogóle, że YouTube wymusza losowanie tych wsparć, prawda?
1214:  Dziwna sprawa.
1215:  Siła jeszcze była w Diablo.
1217:  A, wyparłem siłę.
1219:  Jest podobnie i przypomina to Path of Exile.
1221:  Okej, będziemy testować, moi drodzy, już niebawem.
1223:  Mamy poziom 45, 5 poziomów i zaczną się paragony.
1228:  Pan Paragon.
1229:  To jest w ogóle dobra aplikacja Pan Paragon.
1232:  Okien płakał już jak Amazon od Rings of Power.
1234:  Pomyślcie co będzie teraz.
1236:  Jakie czekają nas wspaniałe wakacje.
1240:  Dwie części najnowszego sezonu Wiedźmina.
1243:  Następnie kolejny sezon Rings of Power będzie jeszcze.
1247:  No wspaniałości moi drodzy.
1252:  Czy znowu ginę od subkubów?
1254:  Tak.
1255:  Po prostu kusa po kusa nie może walczyć z subkubami, ona sama powinna być subkubem.
