🔴 Pandaemonium Filippo-Rysławium | DIABLO IV Livestream #9 i ostatni
🔗 https://www.youtube.com/watch?v=Q2LSy4NEYOw
KMM (Krzysztof M. Maj)
RC (Ryszard Chojnowski, Rysław)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

35:  Zdjęcia i montaż
115:  Dzięki za oglądanie!
149:  S02 - To jest droga do wielu zdolności, które niektórzy uważają za nienaturalne.
207:  Muzyka Muzyka
238:  S01 - Witam, witam wszystkich na zapowiadanym długo livestreamie z udziałem wspaniałych naszych gości, ale zanim ich powitamy, zanim się pojawią na ekranie, witam wszystkich przybyłych w ten oto mroczny, straszliwy piątek.
255:  S01 - Lwy, tygrysy, niedźwiedzie, czerwony lisk, kambriana, kranczy, panczy, antitowiec, Elena, raciaveli, rogal, świętomarciński, pełcio, lacustro,
262:  S01 - Ałpatryk.
284:  S01 - Krogier, Zły Czarownik, Ditwe Bon Brando, Mr. Magic Hook, Ptyś Różowy i reszta naszych wspaniałych moderatorów, Wieszcz Pingwy, Ola Kustra, Atomowy Gość, Black Cat, Galaktyczny Jaguar, Arwen Winchester, Pomelo, Płaczka, Cambriana, I'm Freedom 66, Emeriu, Lucifer,
304:  S01 - Lacek Palachowski, Świter Karol Kaka, Emeriu raz jeszcze, Robert Cyganik, ale przede wszystkim moi drodzy, niech zostaną powitani nasi wspaniali goście.
316:  S01 - Witam najserdeczniej Rysława, witam najserdeczniej Filipa.
322:  KMM - Witajcie moi drodzy, dzisiaj będziemy diablować, dzisiaj będziemy robić rzeczy, czaty was witają jak zawsze tłumnie.
330:  KMM - Cieszę się, jeżeli pierwszy raz moi drodzy robimy livestream na tym kanale w trybie multiplayer, to musi być on legendarny.
337:  KMM - I skoro już mamy naszych gości i wciąż gra nam mroczna i wspaniała muzyka, to moi kochani, polecajki ważne.
344:  KMM - Po pierwsze, ważna rzecz, Rysławowi brakuje bardzo niewiele subskrypcji do 30 tysięcy.
349:  KMM - Ja nie wiem, co jeszcze tutaj robicie, ja nie wiem, dlaczego jeszcze nie subskrybujecie Rysława.
354:  KMM - Jeżeli możecie subskrybować Rysława, subskrybujcie Rysława i ponadto, moi drodzy,
359:  KMM - Niemniej ważna informacja jest następująca, a mianowicie potrzebujemy również wsparcia dla kanału drugiego naszego wspaniałego gościa, a mianowicie dla Filipa.
369:  S01 - Filip założył nowy kanał, ponieważ jednego mu za mało.
372:  S01 - Bez życia, ponieważ Filip jest bez życia.
376:  KMM - A poza tym bez schematu, więc moi drodzy, wiecie co robić.
379:  KMM - Filip tam odgrywa Bloodborne'y w tym momencie w Final Fantasy XVI i Wiedźmin 3 Krew i Wino.
386:  KMM - się nakrzyczałem, witajcie serdecznie raz jeszcze, wyciszam już naszą mroczną muzykę, załączamy Diablo teraz już na spokojnie i zaczynamy grańsko moi drodzy, zaczynamy.
402:  KMM - Tak.
418:  KMM - Filip, teraz ty.
425:  KMM - Jak to... Jak to nie słychać was?
429:  KMM - Oh my goodness.
432:  KMM - Już zaraz, zaraz będzie was słychać.
434:  KMM - Ja wiem, co muszę zrobić.
436:  KMM - Wiem, co muszę zrobić.
437:  KMM - Wiem, co muszę zrobić.
438:  KMM - Wiem, co muszę zrobić.
440:  KMM - Wiem, co muszę zrobić.
441:  KMM - Teraz będziecie słyszalni.
443:  KMM - Lecicie.
444:  KMM - Rysław, przedstawiasz się jeszcze raz.
446:  KMM - Ha!
446:  RC - Dzień dobry, wieczór, witam wszystkich bardzo serdecznie.
449:  RC - Mam nadzieję, że teraz mnie słychać i będziemy bawić się wyśmienicie w jakże zacnym towarzystwie.
455:  RC - Witam Filipa i witam zacnego jakże gospodarza.
458:  RC - I słyszę w tle, jak dostaję powiadomienia o subskrypcjach, więc tym bardziej dziękuję wszystkim osobom subskrybującym.
464:  RC - Może uda się odrobić do 30 tysięcy w lipcu.
466:  KMM - Robicie dobre rzeczy, moi drodzy, wspaniale.
469:  KMM - Filip, teraz twoja kolej.
470:  KMM - Filip bez schematu i Filip bez życia.
473:  BFP - No to ja, korzystając z okazji, tylko pozdrowię dygresywnego Wilka, którego możecie kojarzyć także na czatach i może dzisiaj do nas dołączy, który jest jednym ze współautorów kanału Bez Życia, bo jego kompilacje są sercem tego, co właśnie wyrabia się na tym kanale.
487:  BFP - Także, Wilku, pozdrawiam cię i pozdrawiam wszystkich pozostałych 364 osoby, które w tym momencie są razem z nami.
495:  KMM - przy piąteczku, kiedy Krzysztof nic nie streamuje.
