Nadrewident o tysiącu twarzy | DISHONORED Livestream #1
🔗 https://www.youtube.com/watch?v=SC3-vi0mBmA

25:  Zdjęcia i montaż
56:  Muzyka Muzyka
84:  Muzyka Muzyka
178:  Muzyka Muzyka
208:  Muzyka Muzyka
269:  Witajcie!
271:  Witajcie!
273:  Towarzyszyła nam Obsession Wiktora Lundberga.
278:  Dzisiaj wracamy do Dishonored, wracamy do Dunwall, wracamy do jednej z najlepszych gier, jakie grałem w całym swoim życiu i cieszę się, że to przeżycie będziemy dzielić.
289:  Witam Mikołaja Marchewkę, witam Kluchenmuchen, Kamila, Erin, Haru, Palitkę.
294:  Fomke, Piotra Rado, istotę żyjącą, Livia Jurkiewicz, Żółwika, Peri.
300:  Witajcie wszyscy, cieszę się, że gromadzimy się tak tłumnie i co więcej, co więcej, co ja widzę.
306:  Witam także Klosika, który wspiera już od czterech miesięcy.
310:  Dziękuję serdecznie.
311:  Witam Bob GK Live, witam Annual Sandbox, Alixowatego, DJ Zaura, Tidjena, Mario Nudan, Six of Spades.
319:  Chyba się widzimy po raz pierwszy.
321:  Audience with me.
322:  Kingę Wolską, Samawita takoż, witam wszystkich, którzy pisali na czatach, że będą się trudzić graniem w Dark Souls i zmaganiem zarówno w jedną część, jak i w drugą.
334:  May the flame guide thee.
336:  Witam Marceję i zazdroszczę jej, że szamię sobie maczka.
340:  Witam Zawulona, Szkielton, Julite, Semrał także, Senekę, MK, Malgursta, Kadzit Tadzire.
348:  Nadrajam wszystkich.
350:  Witam również tych, którzy będą oglądać tę serię potem.
354:  I wyjaśnienie szybkie.
355:  Pierwsza część była podczas naszego streamu wośpowego, charytatywnego, więc ja ją podłączę do tej playlisty, jak już powstanie playlista Dishonoredowa.
365:  Ale się nie martwcie, to był sam prolog, więc będziemy zaczynać od właściwie pierwszego rozdziału, tak mi się wydaje.
371:  Witam, Alison Poland, również w serdeczności dla ciebie.
374:  Aleksandrę witam.
375:  Niedoanonimowanego Rosomaka.
377:  Cóż za piękna nazwa.
378:  Morciu pyta, dlaczego Dishonored jest wybitny?
381:  Nie grałem, jestem ciekaw.
382:  Och!
384:  Dla mnie, żeby gra, wideo osiągnęła status wybitnej, muszą być wszystkie elementy podciągnięte do maksimum, czyli u mnie zawsze na pierwszym miejscu świat, potem narracja, potem muzyka, którą słyszycie teraz wreszcie, Daniela Lichta, przepiękna, potem magia, musi być magia, albo dobrze po prostu zaprojektowany gameplay, zgodnie z założeniami, które jest przyjęte i musi być dużo warstw.
410:  żebym się był w stanie zagłębiać w nie.
412:  Te warstwy się nazywa multimodalnymi, nie?
414:  Dlaczego multimodalnymi?
415:  Dlatego, że to są modes różne, za pośrednictwem których możemy się komunikować, no i multi od tego, że jest ich wiele.
422:  No w Dishonored to są, no na przykład to, co widzicie teraz, the boldest measures are the safest, co się pojawia w menu głównym, to wbrew pozorom jest ważna informacja, bo to dużo nam mówi o tym systemie, w którym jesteśmy w tej chwili.
436:  Czy muszę coś wiedzieć?
437:  Nie nadrobiłem jeszcze wośpowego streamu.
438:  Nie, w zasadzie nie.
440:  Zanurzać się będziemy praktycznie od samego początku.
442:  Ja się będę starał też zrobić małe wprowadzenie.
445:  Moi drodzy, wczytujemy zatem nadrewirenta Campbella.
449:  Stało się tylko tyle, że Corvo Attano, czyli bohater, którym gramy, Lord Protector, nie zdołał ochronić cesarzowej Emily Caldwin, która została zabita przez tajemniczych zabójców.
460:  Nie wiadomo w zasadzie, co się stało.
462:  Witamy przy okazji Mateusza Szczukiewicza w gronie Trybutariuszy.
465:  Dziękuję ci serdecznie.
467:  I...
468:  Bo tuż potem okazało się, że Lord Protector został oskarżony o zabicie cesarzowej przez gwardię, która przyszła, oczywiście niesłusznie, i teraz stara się odzyskać swoje utracone dobre imię, stąd Dishonored, prawda, po polsku.
484:  I droga wjedzie go ku spiskowcom, którym nie podoba się dystopijny system w Dunwall, nie podobały im się przede wszystkim rozwiązania, które zostały wdrożone po to, żeby odeprzeć szczurzą zarazę.
497:  I te rozwiązania będziemy mieli okazję widzieć na porządku dziennym, począwszy od godziny policyjnej, a skończywszy na bardzo okrutnych sposobach tłamszenia oporu ze strony ludności.
505:  W jaki sposób gramy low chaos, czyli dużo magii, skradanie, żadnego wbijania na janka i wybijania wszystkich?
513:  Więc oszczędzamy przeciwników, absolutnie.
517:  Istota Żyjąca pisze, że lekko boi się, bo następny semestr jest pełen projektów grupowych i nie wiem, jak to będzie.
521:  Trzeba przyjąć inicjatywę w projektach grupowych, to jest zawsze dobra rzecz.
524:  Ta część wygląda, byłaby ręcznie malowana.
526:  Trochę tak było.
527:  Byliśmy ostatnio z wizytą u Granny Rags, to jest ołtarz ku czci outsidera, czyli tego, który jest poza.
534:  Nie znoszę tego tłumaczenia, które brzmi odmieniec.
538:  Granny Rocks to jest... właśnie ta dziwna postać.
546:  Bioshock Infinite nie jest idealny, bo gameplay ma prymitywne.
549:  Troszeczkę bym się był w stanie zgodzić z tym, chociaż... narracyjnie jest na pewno świetny.
556:  Ale jako gra absolutnie nie zyskuje statusu idealnej, arcymistrzowskiej, właśnie dlatego, że nie jest zaprojektowana we wszystkich aspektach dobrze.
563:  To, co słyszycie tutaj... w tle...
568:  To jest tajemnicza runa.
570:  Trzeba ją zdobyć.
572:  Żebyśmy byli w stanie wyszukiwać runy, potrzebujemy do tego serca.
578:  Serce to jest przedziwny artefakt, który został nam, który został nam sprezentowany przez właśnie odmieńca.
583:  Muszę sobie przełączyć na scroll wygodniejszy.
586:  O, teraz będzie dobrze.
596:  Serce zdradza nam sekrety w tym świecie, ale także pokazuje ważne runy.
604:  O, ładne, ładne, podoba mi się.
606:  Czy będziemy przechodzić historię Dauda?
608:  Tak, niedoanimowane Rosamaku.
609:  Wszystkie dodatki do Dishonored będą.
614:  Szczury?
614:  Skaven, tak, tak.
615:  Tak, Rick Shancerz, masz rację.
617:  Będzie tu dużo szczurów.
621:  Chciałabym, żebyś lubił ten mały prezent, który dostałam dla Ciebie.
624:  To najlepsze, co mogłabym zrobić, żeby wyrzucić te louty.
641:  Nie mogę się poddawać tym dzieciom z Bottle Street.
644:  Ruffians, każdy ostatni z nich.
646:  Ciepłe kwiaty.
648:  A ten Slakjaw to najgorszy plot.
649:  Wiesz o czym pomyślałam?
651:  Możesz zrobić coś innego dla mnie.
654:  Kolejny mały pomysł.
657:  I dałabym ci kolejny prezent.
660:  Kolejny ładny prezent od babuń łach, wyczerpany z kwiatów śmierci.
665:  Pamiętasz mojego doktora, kochany?
667:  Doktora Galvani.
668:  Wtedy był to mądry człowiek.
671:  Miał w labiryncie różnego rodzaju brzydkie kwiaty i choroby.
674:  Czy nie byłoby szkoda, gdyby jakiś z tych kłopotów znaleźł drogę do eliksiru Bottle Street Gang?
683:  To by mu nauczyć.
687:  Widzisz, kochanie.
688:  Znalazłam dla ciebie kolejny prezent, taki jak pierwszy.
692:  Galvani żyje na Klawarine Boulevard.
695:  Albo przynajmniej tak się zdarza.
697:  To były te czasy.
699:  Teraz ruszaj.
699:  Moje małe ptaki są gorące.
702:  Tak precyzyjne.
708:  Ptaki małe...
710:  Jak zawsze, jak jest jakiś dialog, to jest największa aktywność na czatach.
715:  Moi drodzy, po pierwsze, witam Jorkana w gronie trybutariuszy.
718:  Oczekuję mrowia jamników.
720:  Po drugie, witam Kasiałkę na scenie.
721:  Po trzecie, Multimirasa, Klosika i Łukasza Bartoszewicza.
724:  Garbage, garbage, garbage.
727:  Czy jest plan na build magiczny?
728:  Tutaj jak najbardziej.
729:  Po drugie, pytacie, co to są runy?
731:  Już wyjaśniam.
732:  Runy pozwalają nam upgrade'ować wszystkie nasze straszliwe, magiczne moce, w związku z powyższym oczywiście, że upgrade'ujemy w pierwszej kolejności mignięcie, ponieważ mignięcie to jest teleport.
740:  Tak, w tej grze jest teleport.
741:  Mamy też opętanie, zakrzywienie czasu, żarłoczne stado podmóg.
744:  Większości z tych mocy niestety nie możemy użyć z tego względu, że gramy na low chaos.
749:  Ponadto są także...
750:  kościane amulety i wszystkie te rzeczy są wyrabiane z kości wielorybów.
754:  Wieloryby w tym świecie mają kluczowe znaczenie, dlatego się czasem nazywa Dishonored Whale Punkiem, bo cała technologia się opiera na oleju wielorybim i większość systemu magicznego biera się na kościach wielorybi.
764:  Adam S. Viking, dziękuję Ci za trybut.
766:  Witam bardzo, ma goście szybkie pytanie, czy Outer Worlds będzie kiedyś odgrywane?
768:  Jestem w trakcie, gra jest bardzo przyjemna, trybut jest na głupoty, dziękuję.
772:  Najlepiej wydaje się zawsze trybuty na głupoty.
775:  Serdecznie Ci dziękuję za trybut.
776:  Już wyjaśniam, myślałem nad Outer Worlds, ale jeszcze myślę, że w tej naszej kolejności na pewno wcześniej będzie Disco Elysium.
785:  Biedne wielorybie.
787:  Kasiałkę będzie cała misja, która wpisuje się przepięknie właśnie w taką narrację współczucia względem wielorybów, które są wykorzystywane w tej sieci, w tym świecie.
798:  Białe szczury można zjadać dla many?
802:  Oczywiście, że tak.
803:  Mniejsze obrażenia od ekspozycji nam nic nie dadzą.
805:  Krzyjrok, dziękuję serdecznie za trybut.
808:  Mam nadzieję, że udało mi się wymówić Twe miano.
811:  Wrogowie częściej budują, nie jest to potrzebne, zadanie śmierci z góry nie jest potrzebne.
815:  Co jest smutne, większość z tych interesujących mocy jest właśnie pod High Chaos przejście.
820:  Jakie mamy zadania?
821:  Musimy wyeliminować nadrewirenta Campbella, to jest główne zadanie, ale oprócz tego musimy znaleźć dziennik szantażysty, musimy oszczędzić kapitana Carnowa i jeszcze w dodatku musimy się włamać do mieszkania doktora Galvaniego na Cloverick Boulevard.
834:  Zrobimy to wszystko.
836:  Jak tam kacpo Uncharted filmowy?
837:  A zaskoczę was, ja Uncharted traktuję tak samo jak mumie albo pokrewne tego typu filmy.
845:  Ja nie mam żadnego problemu z tym, że to jest takie klepawe.
848:  Ma takie być, to jest niezobowiązująca rozrywka.
853:  Nie rozpatruję tego jako adaptacji gry komputerowej, może to też pomaga bardzo.
858:  Do tego amuletu nie możemy się dostać na razie, ale teraz, żebyście wiedzieli, na czym polega cudowność magii w tej grze... O tak, na tym.
868:  Tak, tak.
