10 powodów, by zlikwidować kanon lektur | Dla każdego coś przykrego #55
🔗 https://www.youtube.com/watch?v=xrAHyBIXeEw

0:  W Polsce jest wiele rzeczy niepewnych, ale są też takie absolutnie i bezsprzecznie pewne.
6:  Zima zaskakująca kierowców, polscy codziennikarze akcentujący na pierwszą sylabę, przydech wale nerodyczny u polskich aktorów dramatycznych, jak również smog w Krakowie, no i przede wszystkim coroczna, albo przynajmniej co kadencyjna dyskusja na temat najważniejszy w polskiej edukacji, mianowicie listy lektur.
30:  Ja już nie zliczę, ile takich dyskusji mam za sobą, nie zliczę, ile razy się na ten temat denerwowałem.
36:  Ostatnim razem było to jakieś, wiem, parędziesiąt odcinków wcześniej, dla każdego coś przykrego, kiedy starałem się pokazać, że lista lektur do matury to bzdura i generalnie nie powinniśmy na ten temat dyskutować, ponieważ kanon nie jest...
50:  Kanon jest swego rodzaju narracją, ta narracja jest ideologiczna, polityczna, a w ogóle jest to instrument władzy i dzielenia społeczeństwa i dlatego powinno się zostawić jak najwięcej swobody nauczycielom.
61:  Oto i streszczenie tego bardziej filozoficznego odcinka dla każdego coś przykrego o lekturach.
66:  Natomiast temat wraca i ponieważ wraca, stwierdziłem, że trzeba zrobić gigantyczny odcinek, w którym postaram się Wam zebrać wszystkie kontrargumenty przeciwko jakiejkolwiek liście lektur, poczynając od tego korennego, zgodnie z którym jesteśmy jako jedni z nielicznych w ogóle na mapie krajów świata, gdzie coś takiego jak obowiązkowa lista lektur narzucana przez państwo istnieje,
89:  I osobliwie są to zwykle kraje byłego Związku Radzieckiego, a skończywszy na bardziej łochych argumentach, jak na przykład to, że, no nie wiem, dobrostan ludzi, którzy w ten sposób się uczą poznawać literaturę i kulturę jest cokolwiek zagrożony.
103:  Natomiast, no oczywiście, kto by się tam przejmował dobrostanem uczniów i studentów?
107:  Przecież to jest kompletnie nieistotne.
109:  Więc, moi drodzy, jak może pamiętacie, w mojej tezy z tamtego odcinka dla każdego coś przykrego powiedziałem, że charakterystyczną cechą polskich list lektur jest to,
118:  że raz się wyrzuca JP2, kto jest konfucjański mędrzec, nie mylić, z Janem Pawłem II, a raz się włącza Gombrowicza, a potem znowu i znowu JP2 wlatuje, Gombrowicz wylatuje, i wlatuje, i wlatuje, i powiedziałem równocześnie wszystkim ludziom, którzy twierdzą,
135:  Stwierdzili, że moje ranty przeciwko Oldze Arystokarczuk, wyzywającej ludzi od idiotów, przypomnijmy te piękne czasy, ponieważ Olga Tokarczuk cokolwiek od tamtego momentu zamilkła, że to wszystko jest przesadzone i bez sensu, bo przecież nikt tej pisarki nie zna.
152:  No to się to niniejszym, moi drodzy, zmieni, ponieważ wskakuje razem z całą resztą pisarzy na listę lektur, dokładnie tak jak przewidziałem.
161:  No i oprócz tego Ministerstwo Edukacji Narodowej prowadzi szeroko zakrojone konsultacje, one się zakończyły 19 lutego w zakresie, no oczywiście tego, co ma zostać włączone do listy lektura, co ma zostać z niej wyłączone.
173:  Nową listę lektur przygotowują eksperci, faktycznie sprawdziłem, dr hab.
177:  Magdalena Anna-Trysińska wprawdzie jest językoznawczynią, ale to i tak dobrze, ponieważ z tego co patrzyłem, promowała prace dotyczące socjolektu polskich graczy gier wideo, więc nie jest źle, a dr Kinga Białek oraz dr Wioleta Kozak odpowiednio zajmują się dydaktyką języka polskiego, czyli faktycznie ekspertkami są.
196:  Problem oczywiście polega na tym, że roztoczyła się gigantyczna dyskusja dotycząca zasadności włączania lub wyłączania kolejnych książek, co do których ludzie są przyzwyczajeni, chociaż kompletnie ich nie znają, na listę, ponieważ dokładnie do tego służy ten zabieg medialny i polityczny, to znaczy, żeby ludzie prowadzili dyskusję na temat tego, na czym się 90% z nich nie zna, ponieważ nie są literaturoznawcami,
