Błędy CKE na egzaminie ósmoklasisty | Dla każdego coś przykrego #45
🔗 https://www.youtube.com/watch?v=p5ieCek2Cio

1:  Ale Krzysztof, powiedz to własnymi słowami.
8:  Uwielbiałem to zdanie, które słyszałem wiele, wiele razy w szkole.
13:  Tak jakby słowa, których używam nie były z definicji moje własne.
18:  I tak jakby nie istniał taki specyficzny znak interpunkcyjny, który się nazywa cudzysłów.
24:  Swoją drogą nadużywany permanentnie przez ludzi, którzy używają go wyłącznie po to, żeby powiedzieć coś, co wydaje im się stylistycznie inne niż powinno być.
35:  Zapominają, że znak ten służy wyłącznie do oznaczania zgodnie ze swoją nazwą cudzych wypowiedzi.
42:  I to jedno, moi drodzy, umyka całkowicie.
45:  centralnej komisji egzaminacyjnej, która, jak się okazuje, nie przywołuje źródeł przynajmniej w egzaminie ósmoklasisty.
52:  Zaczęło krążyć po mediach mianowicie zadanko jedno z matematyki, które przygotowała centralna komisja egzaminacyjna w oparciu o grafikę, nie podając wszelako źródła.
63:  I to jest pyszna anegdota i obiecuję, że doprowadzi ona nas do bardzo ciekawego jednego spostrzeżenia.
70:  Więc, moi drodzy, jak czytamy, gdzie zły przypał?
81:  Powiedzieliby ósmoklasiści na wyczyn Centralnej Komisji Egzaminacyjnej, która ułożyła dla niej egzamin z matematyki.
87:  W jednym z zadań oto wykorzystana została grafika, ale bez zapytania o zgodę jego autora, czyli mówiąc wprost, spiratowana.
94:  Centralna Komisja Egzaminacyjna do tego jeszcze skadrowała tę grafikę tak, żeby wyciąć podpis.
99:  Według Ceknanley Komisji Egzaminacyjnej grafika pochodzi z serwisu VividMaps.com, ale jej autorem jest grafik o pseudomie ItchyFittyComic i to na jego stronie pojawia się jako pierwsza.
109:  VividMaps.com tylko udostępnia ją ponownie.
112:  Oryginalnie grafika przedstawiała typowe europejskie miasto, miała humorystyczne opisy jak np.
117:  dystopijne blokowisko, park narkomanów itd., więc wiecie, to trzeba było wszystko wygumkować, żeby żadnych takich...
124:  paskudnych, humorystycznych rzeczy nie było na egzaminie, bo wiecie, najgorsza rzecz, jaka może być na egzaminie, to to, że ktoś przerwie solenną ciszę, w trakcie której celebrujemy recytaty wspamięci podstaw programowych.
155:  A-wym.
159:  i zaśmiejemy się, nie wolno się śmiać, paskudny nawyk, więc wiecie, wszystkie te humorystyczne rzeczy trzeba było wygumkować z tej grafiki, włącznie z podpisem i zostało tutaj w oryginale na podstawie vividmaps.com, o czym za moment, i całość znalazł na Twitterze i wydobył Zbyszek Piotrowicz, dziennikarz jednego z
184:  outletów informacyjnych i powiedział, no zresztą odwołując się bezpośrednio do tego ItchyFitComic, że dude, plagiatują ci tekst.
192:  No i on zareagował jak autor grafiki, że oczywiście się nikt z nim nie kontaktował.
198:  No niezbyt przyjemna sytuacja, najzabawniejszy
200:  Wszystkim wszelakom jest to, że Centralna Komisja Egzaminacyjna już zdążyła zareagować.
206:  Jak mianowicie zdążyli zareagować, to mianowicie wyczyścili ten oryginalny podpis i teraz już mamy na podstawie Malachi Rai Rempen, dalej vividmaps.com i oryginalnie itch.comik, więc tylko wiecie, problem polega na tym, że egzaminy już poszły w świat, zostały wydrukowane oczywiście, ponieważ wiadoma sprawa, że egzamin należy drukować, nie należy go absolutnie
227:  wypełniać online, żeby można było zrobić tego rodzaju erratę.
229:  Nie, nie, nie, nie, nie, nie.
231:  W internecie nie pracujemy, w internecie w ogóle nie da się uczyć, w związku z powyższym nie można tego zrobić.
236:  Poza tym fajnie jest zawsze, jeżeli można wydać trochę pieniędzy na druk egzaminu, następnie przenoszenie tych egzaminów ciężarówkami opancerzonymi oczywiście pod zbrojną strażą, żeby nikt tego przypadkiem nie wyciekł przed egzaminem, ponieważ
249:  Absolutną patologią jest podstawanie jakichkolwiek zagadnień przed egzaminem.
254:  Absolutnie nigdy nie robiły tego żadne uczelnie wyższe.
257:  Absolutnie nie jest tak, że jak się rekrutuje na przykład na drugi stopień, na studia na AGH, to jest tam lista zagadnień.
262:  W ogóle się czegoś takiego nie praktykuje, to są utopijne mrzonki.
266:  No, w każdym razie myślę sobie, że jest to bardzo interesujący kazus, bo on pokazuje jedną konkretną rzecz.
272:  To znaczy, że Centralna Komisja Egzaminacyjna, nawet jeżeli próbuje naprawić swój błąd, w dalszym ciągu robi to błędnie.
277:  To znaczy, zauważcie, że tutaj jest porygin podany...
281:  adres online, który absolutnie nie prowadzi do tej konkretnej grafiki.
284:  Jeżeli się podaje jakiekolwiek mianowicie adresy, to wystarczy zajrzeć, co być może Centralna Komisja Egzaminacyjna może zrobić do jakiegokolwiek manualu, czyli podręcznika cytowań, na przykład takiego dostępnego
298:  online, straszne, straszne, czyli w a Chicago Manual of Style, gdzie możemy sobie zobaczyć, w jaki sposób należy zacytować źródła internetowe, gdzie proszę, proszę uprzejmie, nie dość, że jest pełen link, to jeszcze mamy informację, kiedy on został
313:  wydobyty z sieci, co jest istotne, ponieważ, no wiecie, w sieci nie wszystko jest permanentnie i niektóre rzeczy mogą zniknąć, w związku z powyższym potrzebujemy ten pełen link, żeby sobie wrzucić to następnie do chociażby Wayback Machine, gdzie możemy odkryć archiwalną wersję danej strony.
328:  Podlinkuję to Wam nawiasem, mówiąc pod filmem, ponieważ nie wszyscy to muszą znać.
333:  I po to się podaje datę dostępu do strony.
335:  Co więcej, oczywiście należy podać pełnego autora, pełen tytuł i to wszystko możecie znaleźć nie tylko na tej stronie Szygego Manual of Style, ale możecie to znaleźć również w wersji książkowej tego wszystkiego, to znaczy gigantycznym zresztą ponad tysiąc stronicowym dokumencie, gdzie jest powiedziane szczegółowo, w jaki sposób należy cytować wszelkiego rodzaju grafiki i ilustracje.
358:  I tutaj znowu mamy...
360:  konkretne dane, wszystko jest wypisane jak należy, jedyne co trzeba to, no wiecie, wiedzieć, że coś takiego istnieje i spodziewam się, że jeżeli ktoś pracuje w Centralnej Komisji Egzaminacyjnej, wypowiada się na temat plagiatów, na temat tego, że trzeba podawać za każdym razem źródło, to powinien raczej to wiedzieć, ale wiem, powiecie mi, Krzysztof, to jest izolowany przypadek, jakiś flame bezsensowny na...
386:  To nie jest izolowany przypadek.
388:  Otóż jak dofiatujemy się dalej z materiałów, które udostępnił Zbyszek Piotrowicz, to nie był taki jedyny moment, kiedy Centralna Komisja Egzaminacyjna pożyczyła sobie coś, czego pożyczać sobie nie powinna.
407:  Mianowicie w arkuszu do języka polskiego mamy analogiczny problem, co zaraz wam oczywiście pokażę, a mianowicie
414:  Okazuje się, że w zadaniu ósmym pożyczono sobie grafikę ze strony Magia i Miecz i zobaczcie, tutaj już macie taką wersję cytowania, tak?
423:  To znaczy dokładnie taką, jaka była poprzednio, wiecie, przed tą zmianą na pseudopoprawną, więc tutaj widać, jakie są standardy, to znaczy i brak Centralnej Komisji Egzaminacyjnej,
433:  Najlepsze w tym wszystkim jest to, że ta karta, która swoją drogą została przerobiona z całkowicie legitnie funkcjonującej serii kart do gry dostępnej właśnie na stronie Magia i Miecz, którą nawiasem mówiąc zacytował Zbyszek już zgodnie z regułami sztuki, jak widzicie można się w to wklikać, można wejść w link i po tym jak się link załaduje, ponieważ polski internet, to dostajemy szczegółowe informacje dotyczące tego konkretnie kontentu, tak?
459:  Dokładnie w ten sposób, jak to powinno wyglądać.
461:  Problem polega na tym, że
462:  Centralna komisja egzaminacyjna myśli sobie inaczej i drugi problem polega również, że wybitni specjaliści i eksperci, którzy układali to zadanie, byli na tyle niekompetentni, że jeszcze walnęli błąd interfunkcyjny, co mnie bardzo rozbawiło, więc stwierdziłem, moi drodzy, że wrócę pamięcią do tego wszystkiego, co mnie nauczono, do tych pięknych standardów, które teraz ja, niegodny, porzuciłem i...
485:  Poprawię ten błąd zgodnie z regułami sztuki, tak jak się uczy w Centralnej Komisji Egzaminacyjnej, więc oczywiście jest END!
495:  Minus tysiąc punkcików!
498:  Błąd kardynalny!
499:  Łał!
502:  Mniej więcej tak sobie wyobrażam człowieka, który wstawia informacje o błędzie i wstawia równocześnie jakieś 16 wykrzykników, kilkadziesiąt razy podkreśla.
513:  Zamiast powiedzieć na przykład dlaczego tutaj powinien być przecinek, a powinien być przecinek dlatego, że przecinki się stawia przed najbliższym krótkim słówkiem w stylu na przykład spójnik, po którym następuje orzeczenie.
525:  To jest jedyna reguła interpunkcyjna, która istnieje.
528:  Ewentualnie, jeżeli się zdarza jakieś wtrącenie, ale wtrącenie zwykle również zawiera orzeczenia, wtedy też oddziela się je przecinkami.
538:  Tyle.
539:  Ale oczywiście szkoła woli mówić, że o, należy wstawić przecinek przed że, ale wtedy i tylko wtedy, gdy coś się dzieje, bo jeżeli jest na przykład mimo że, to wtedy nie wstawiamy przecinka przed że, więc milion reguł i później milion wyjątków do tej reguły, zamiast podać jedną składniową, która jest logiczna i zrozumiała dla wszystkich, ale jak widać nie dla Centralnej Komisji Egzaminacyjnej, która własnych reguł nie jest w stanie przestrzegać nawet i kompromituje się w ten żenujący oto sposób.
566:  Podwójnie.
566:  To znaczy nie dość, że przerabia grafikę, nie podawszy autora, nie podawszy konkretnie o kogo chodzi, zresztą autorzy tej grafiki zareagowali na Facebooku ze zdumieniem też, że ich utwory są wykorzystywane, to jeszcze robi to w takim stylu.
581:  I wiecie, znowu ktoś mógłby pomyśleć, ale Krzysztof to nie ma żadnego znaczenia.
586:  Ale Krzysztof to ma znaczenie.
588:  Wiecie dlaczego to ma znaczenie?
589:  Ponieważ ludzi się w ten sposób uczy podświadomie tego, że nie należy podawać źródeł.
596:  Tak samo mówienie własnymi słowami sprawia, że nie podajemy źródła z bardzo prostego powodu, to znaczy my przerabiamy źródło na własny opis i następnie podajemy to dalej, co jest dosłowną definicją fake newsa.
614:  i teorie spiskowe powstają właśnie dlatego, że ktoś sobie przerabia coś, co tam gdzieś przeczytał, albo co mu powiedzieli amerykańscy naukowcy, nigdy nie zacytowani, co charakterystyczne, i następnie puszcza to w świat, oczywiście ekskatedra, korzystając z ha-ha-ha autorytetu swojego.
631:  I to jest rzecz, której się uczymy w szkołach.
635:  Dlaczego?
636:  Moi drodzy, w tym samym egzaminie ósmoklasisty z języka polskiego
641:  Co do tej samej cholernej balladyny, której już się dawno nie powinno czytać, mamy, proszę bardzo, oczywiście pod plakatem teatralnym, bo wiadomo, teatr, sztuka, gry wideo, nie sztuka.
651:  Mamy, moi drodzy, jakiś eseik swój napisany, odblokuj swój talent czy whatever.
656:  Zadanie 11 pod eseikiem.
658:  Uzupełnij poniższe zdania tak, aby powstało spójne streszczenie tekstu, odblokuj swój talent.
664:  Jolanta Maria Berendt w przytocznym tekście podejmuje temat.
668:  Autorka zwraca uwagę na, zauważa ponadto i przekonuje, że... To, moi drodzy, jest przepis na to, jak nie nauczyć się pisać na studiach na przykład.
679:  Jak nie nauczyć się pisać w redakcji.
682:  Jak nie nauczyć się pisać gdziekolwiek, gdzie konieczne jest przywoływanie cudzych słów.
687:  Wiecie dlaczego?
688:  A możecie mi wskazać, w którym miejscu ja tutaj mogę wstawić przepisy?
691:  Przypis na przykład, w którym miejscu tutaj mogę zacytować?
695:  Oczywiście, że nie zacytuję, ponieważ będzie, że nie mówię swoimi słowami i zużywam cenne miejsce, które jest tutaj na napisanie tego cholernego streszczenia na to, żeby przywołać coś, co jest tutaj wyżej.
708:  Nawiasem mówiąc, macie tutaj kolejny przypadek czegoś, to jest zacytowane błędnie, to znaczy nie mamy znowu adresu pełnego do konkretnego dokumentu internetowego,
719:  Z datą dostępu i z numerem paragrafu, czyli akapitu, z którego to jest wzięte, tylko po prostu jest walnięta strona internetowa, nawet bez HTTPS.
729:  Co to w ogóle jest?
729:  Znaczy, jakich standardów się uczy w ten sposób?
732:  Już pomijam fakt, że to nie jest w jakimś podręczniku, gdzieś tam randomowym, wypuszczonym do szkół.
736:  To jest egzamin państwowy.
739:  W egzaminie państwowym tego rodzaju standard jest puszczany dalej.
742:  Oczywiście, że to samo jest z podręcznika, bo już rozindyczałem się przy okazji podręcznika do historii teraźniejszości, tutaj gdzieś to wam mogę podlinkować, że nie było tam bibliografii, że nie było przepisów, a w sytuacji, w której nie musimy sobie oszczędzać miejsca, bo szpalta w druku mała, albo bo papier cenny...
763:  bo jest cholerny internet i nie musimy tego robić, to nie ma żadnego usprawiedliwienia do takiej sytuacji.
769:  Zresztą, no umówmy się, jeżeli ktoś już marnuje papier i marnuje druk na to, żeby robić tego rodzaju bezsensowny egzamin, który nie ma żadnego praktycznego zastosowania w życiu, to już może naprawdę dopisać tych kilka znaków.
783:  tak żeby podświadomie ludzi uczyć, jak należy to robić.
786:  To się nazywa właśnie immersive learning.
789:  Jeżeli patrzycie na coś, zanurzacie się w czymś, nie skupiacie się na tym, że o, to jest polecenie, to muszę to przeczytać, się skoncentrować, tylko gdzieś to wam mignie.
799:  Uczycie się mimochodem.
800:  Uczymy się historii grając w Civilization, czy Rome Total War, czy Praetorians, czy cokolwiek innego.
808:  Tak samo też w innych okolicznościach możemy się tego nauczyć.
812:  Jest absolutnym skandalem, że priorytetyzuje się cały czas mówienie własnymi słowami, a nie uczę się cytowania.
819:  Bo potem przychodzą ludzie na studia i tak z tego powodu głównie rantuję dzisiaj dla każdego coś przykrego.
824:  I pierwsza rzecz, której trzeba wszystkich oduczyć od samego początku, po tych
828:  kolernych maturka i egzaminach ósmoklasisty jest taka, że ludzie parafrazują.
833:  Biorą sobie jeden artykuł naukowy, drugi artykuł naukowy, trzeci artykuł naukowy i później opisują, co więcej tłumacząc, że robią to streszczenie po to, żeby udowodnić, że to przeczytali.
844:  gdy tymczasem ja, napisawszy doktorat z 600 prozycjami w bibliografii, nie przeczytałem od początku do końca ani jednej, ponieważ to jest absolutnie zbyteczne.
855:  Czytałem tylko fragmenty, te, które były mi potrzebne, cytowałem konkretny fragment tekstu, przeglądałem, następnie czytałem szereg innych i w ten sposób się budowało
867:  przegląd, bo taki jest on potrzebny.
869:  Innym razem się czyta książki po to, żeby ogólnie się czegoś dowiedzieć, a w momencie, w którym pisze się tekst funkcjonalnie, wyszukuje się fragmenty.
880:  Sprawdza się kontekst, żeby nie było to wyrwane z kontekstu i następnie się wstawia cytat, a pod cytatem wstawia się przypis.
887:  I problem polega na tym, że dla ludzi to jest totalnie nieintuicyjne.
891:  I wiecie, co jest najzabawniejsze?
892:  Najzabawniejsze jest to, że pamiętam siebie w podstawówce, który miał właśnie coś opracować z podręcznika i ja wstawiłem ten cudzysłów, ponieważ byłem przyzwyczajony, nauczywszy się czytać jeszcze w domu, że tak to wygląda, że ludzie dają cudzysłowy właśnie po, oczywiście.
909:  Krzysztof własnymi słowami.
913:  To jest, moi drodzy, coś, co Clint Brooks m.in.
917:  nazywa herezją parafrazy.
919:  Czym jest herezja parafrazy?
921:  Jest przekonaniem, że jesteśmy w stanie poprzez parafrazę właśnie zachować znaczenie oryginału.
928:  Nie, nie jesteśmy w stanie.
929:  Clint Brooks wprawdzie pisze to w odniesieniu do interpretacji literatury, ale mówi tam bardzo ciekawą rzecz w tej swojej książce.
935:  Mianowicie herezja parafrazy redukuje literaturę do jej historii.
943:  No niemożliwe, no niemożliwe, żeby to było przy okazji wszystkich lektur, gdzie kujemy opracowania, gdzie kujemy interpretacje i następnie jesteśmy z nich egzaminowani.
952:  No niemożliwe, że to jest to, co Clint Brooks nazwał herezją parafra.
955:  No niemożliwe, że tak jest.
958:  Niemożliwe, że w momencie, w którym przyjemność czytania i opowiadania o literaturze redukuje się do tego, żeby przywołać jedyną kanoniczną interpretację i następnie zostać z niej wyegzaminowany.
969:  No niemożliwe, że to jest złe.
971:  Wiecie, co jest najzabawniejsze przy tym wszystkim?
972:  Że Clint Brooks w tej swojej książce wykłada teorię, która jest uznawana przez Amerykanów za teorię konserwatywną.
982:  To jest ta książka, jak widzicie, dość stara.
986:  I od tej teorii się odchodzi w tym znaczeniu, że na przykład w Stanach Zjednoczonych, jak macie lektury, to lektury są dobierane przez ucznia i nauczyciela, przez grupę całą.
999:  Jest tam bazowe, nie wiem, dwie, trzy, ale resztę dobiera się na podstawie tego, co ludzie aktualnie czytają lub oglądają.
1007:  Możecie to nawet zobaczyć utrwalone w serialach typu You.
1010:  Polecam swoją drogą.
1012:  To samo jest w Wielkiej Brytanii.
1015:  I teraz pytanie dlaczego?
1017:  No oczywista odpowiedź jest taka, że tam po prostu mówi się o literaturze, a u nas mówi się o historii literatury.
1023:  I jak widzicie, to wszystko się ze sobą łączy, ta tendencja do niecytowania i do herezji parafrazy z tym, co właśnie nie jest nauczane w szkołach.
1031:  Dlatego tak obśmiałem się jak norka, jak zobaczyłem tytuł tekstu, że w arkuszu egzaminacyjnym z matematyki zrobiono to, czego się uczniów oducza.
1038:  To absolutnie nie!
1040:  Zrobiono dokładnie to, czego się uczniów uczy!
1043:  Mianowicie, zrobiono bezsensowne, skandaliczne cytowanie, które jest niepoprawne, które nie oddaje honoru w źródło i oczywiście wiecie, dlaczego to jest zrobione, prawda?
1053:  To oczywiście, że to jest zrobione dlatego, że źródełko jest internetowe, że to jest jakiś brudny rysownik, nie?
1060:  Co to w ogóle jest?
1062:  Jakiś to jest rysownik, że co on to zrobi?
1064:  W internetach robi jakieś, może jeszcze, może jeszcze YouTube'a zaczniemy cytować.
1069:  Haha, to dopiero będzie zabawne, nie?
1072:  No co innego oczywiście, jeżeli będziemy mieli jakiś, nie wiem, utwór malarski, tak?
1077:  No to wtedy automatycznie zostaniecie, wszystkie informacje, olej na płótnie, ten rok ataki, taki tytuł, autor, wszystko będzie.
1084:  Ale jeżeli jest grafika zrobiona przez jakiegoś twórcę internetowego, to automatycznie jest to redukowane do zera.
1090:  A tymczasem problem polega na tym, że to w internecie mamy kłopoty z cytowaniem, to codziennikarze polscy nie cytują nawzajem siebie i swoich tekstów, mimo że mogliby wstawić hiperłącze.
1102:  Na szczęście niektórzy, tak jak ten chwalebny przykład przywołany przeze mnie Zbyszka Piotrowicza, na szczęście niektórzy zaczynają z tym walczyć i nagłaśniać tego rodzaju patologie, ale to absolutnie nie jest reguła i norma.
1114:  Regułą i normą jest to, że wszyscy się parafrazujemy i nie zdajemy sobie sprawy z tego, jakby zresztą głosi mądry idiom angielski, że coś może zostać zgubione w tłumaczeniu, loss in translation.
1125:  Dokładnie tak jak tłumacz musi bardzo uważnie sprawdzać, czy intencja, którą chce oddać danego tekstu jest zachowana, tak samo my przywołując cudze wypowiedzi powinniśmy z szacunku dla nich wstawić ten cholerny cudzysłów, który zgodnie z nazwą ma odróżnić nasze słowa od cudzych słów.
1146:  Następnie należy to jakoś skomentować i wprowadzić je.
1149:  W ten sposób mamy dialog, a nie monolog rozpisany na role.
1153:  I w ten sposób również nie udajemy, że jesteśmy mądrzejsi niż w rzeczywistości, bo domyślacie się, że oczywiście o to chodzi w parafrazie i o to chodzi w przywłaszczaniu sobie cudzej własności intelektualnej, żeby każdy mógł powiedzieć, o Boże, Boże, jaka ta Centralna Komisja Egzaminacyjna, jaka nowoczesna,
1173:  RPGi, Krzysztof Brudny nie powie już, że nie ma gier, że nie ma gier w Heurezie Szkolnej, bo są gry, proszę bardzo, tu macie grę z błędem Interpol, ale jest!
1188:  Wcale nie jest po to robione, oczywiście, że to jest po to robione, tylko że bardzo wyraźnie widać tę intencję, bo to jest tylko i wyłącznie jakaś próba gry z konwencją i nic więcej, natomiast ta próba gry z konwencją nie odbywa się według żadnych reguł, które zostały ustalone.
1204:  I przypominam, te reguły zostały ustalone przez naukowców, przez akademików, są dostępne w gigantycznych opracowaniach tysiącstronicowych, do których sobie można po prostu bez żadnego problemu zajrzeć i które są dostępne do tabele w internecie, który jest tak stygmatyzowany i egzarcyzmowany z polskiej edukacji.
1222:  Przeraża mnie kompletnie to, że mamy z czymś takim do czynienia i jedyny apel, który mogę zrobić w ramach swojego dzisiejszego rantu to to, żebyście cytowali i używali cudzysłowów.
1233:  Zawsze jak przywołujecie cudzą wypowiedź.
1235:  Nie ma czegoś takiego, że o ktoś tam powiedział, amerykański badacz w badaniach.
1241:  Przywołaj źródło!
1243:  My jesteśmy w internecie i możemy wklikać się w źródło i sprawdzić, a tymczasem najczęściej właśnie robią to ludzie, którzy nie są naukowcami.
1251:  Naukowcy wiedzą, w jaki sposób cytować źródła, ale robią to ludzie, którzy chcą być naukowcami, chcą być postrzegani jako ktoś lepszy, chcą być postrzegani jako ktoś, kim nie są, tak?
1262:  Centralna komisja egzaminacyjna musi być postrzegana jako a nie jako zbiór boomerów, który nie jest w stanie nawet przywołać źródła internetowego, ponieważ nie przyjął do wiadomości, że internet istnieje, skutkiem czego studenci, którzy usiłują na przykład dowiedzieć się, jak zacytować tweeta, jak zacytować post na Facebooku, jak zacytować film na YouTubie, nie wiedzą tego.
1283:  Podczas gdy oczywiście w tego rodzaju źródłach, jak to przywołane wam, oczywiście podlinkuję też Chicago Manual of Style, mamy szczegółowe informacje jak to zrobić, ba, nawet jest informacja odnośnie do tego, że jeżeli jest jakikolwiek film przywołany, to należy dać timestampa, dokładnie to co my robimy na YouTubie, dając timestampę w opisie filmu.
1300:  To nie masz tak, że cytujesz sobie czterogodzinny film i nie wiem, i czytelnik musi sobie przez ten film przejść, żeby łaskawie zobaczyć, na którym, w której minucie jest dany cytat.
1308:  Albo, że linkujesz tak centralna komisja egzaminacyjna, cholerna, w jakąś stronę internetową, nie wiadomo skąd.
1316:  Ja mam się przeczesywać, przedzierać przez stronę internetową, nie wiem, Forbes.com i sprawdzać, gdzie będzie jakiś tekst konkretny, który został zacytowany?
1323:  Co to jest w ogóle za standard?
1326:  To jest jakaś kompletna abstrakcja.
1327:  Czy ja sobie... To focus.com był.
1329:  Ja bym sobie wchodzić na stronę focusa.pl i sprawdzać, gdzie to było.
1332:  Może jeszcze mam zacząć wyszukiwać sobie na własną rękę, ponieważ jakiś dziad, który robił to opracowanie, nie był w stanie mi tego podać.
1338:  To jest skandal absolutny.
1340:  Więc to, co możemy zrobić, jak zawsze walcząc z tym, to nauczyć się cytować.
1344:  To naprawdę nie jest nic problematycznego, po prostu wystarczy dać link najczęściej.
1349:  Cytujesz w komentarzach na fejsie jakieś linki do badania, to podaj link do badań.
1354:  Cytujesz czyjąś wypowiedź, podaj link do tej wypowiedzi, bo potem znowu będzie ryk, że zostało coś wyrwane z kontekstu, to daj ten kontekst, co to jest za problem?
1362:  Nie rozumiem kompletnie tego kłopotu.
1364:  I wydaje mi się, że jesteśmy w stanie to bez żadnego problemu wdrożyć, ale tak długo, jak długo będziemy sobie zdawać sprawę, że szkolne powiedz to własnymi słowami jest po prostu bzdurą, bo nie ma czegoś takiego jak własne słowa wtedy, kiedy nie respektujemy tego, że są także słowa cudze.
1384:  Do następnego.
