Czego chcą nauczyciele? | Dla każdego coś przykrego #19
🔗 https://www.youtube.com/watch?v=NLXaJ-2B-Mc

1:  Co łączy szkołę oraz więzienie?
7:  Jeden i drugi budynek izoluje od społeczeństwa.
11:  Jedna i druga instytucja ma w swoim wspaniałomyślnym założeniu wypuszczenie na świat następnie złamanego, ale równocześnie odmienionego obywatela.
25:  No i wreszcie jedna i druga placówka wykorzystuje w tym celu bardzo podstawowe narzędzie, którym jest strach.
36:  A mówiąc szerzej, motywacja negatywna.
39:  Motywacja negatywna wyrażająca się zarówno w szerzeniu strachu, jak i w nadzorowaniu i karaniu.
45:  Jakby ujął to Michel Foucault, autor książki Nadzorować i karać narodziny więzienia, w której właśnie te dwie strategie uznał za najbardziej skuteczne w wykuwaniu człowieka, a ściślej mówiąc w...
58:  czymś całkowicie przeciwstawnym do upodmiotowienia.
61:  Zwolennicy reformowania edukacji mówią o tym i więziennictwa, nawiasem mówiąc również, że ludzi się powinno traktować podmiotowo, zwłaszcza takich ludzi, którzy mają problemy, a nie uszukujmy się, i w edukacji, i w szkołach, i w więziennictwie, i w więzieniach znajdują się ludzie, którzy mają problemy.
79:  I to poważne problemy niekiedy.
81:  Naturalnie w więzieniu są to problemy o wiele poważniejsze.
84:  Motywacja negatywna w tych przypadkach nie musi działać zawsze dobrze, chociaż oczywiście znajdziemy zwolenników tezy twierdzących, że jak najbardziej, że jedynie motywacja negatywna jest skuteczna, a motywacja pozytywna nie.
100:  No i tak się składa, że znowu w celi dla każdego coś przykrego musimy zająć się edukacją, ponieważ po zakończeniu edukacji zdalnej, powrocie do szkół, zaczynały się nasilać wszystkie te problemy, które w szkole już były.
114:  Głównie te dotyczące nadmiernego szacunku dla uczniów.
119:  podstawy programowej i jej realizacji za wszelką cenę, to znaczy za cenę dobrostanu psychicznego i fizycznego uczniów.
131:  I żeby nie było, że Krzysztof tylko i wyłącznie przesadza i ma utopijne wizje, chociaż podpiera się literaturą naukową w tej kwestii, to proszę uprzejmie,
142:  Pojawił się mianowicie wywiad czas jakiś temu, to znaczy konkretnie dzisiaj, w tym momencie, jak nagrywam ten odcinek, dyrektora szkoły, szkoły prywatnej, i o tym za moment, który mówi następująco do nauczycieli, opanujcie się, za co się tak wyżywacie, na uczniach w domyśle, i co w was wstąpiło.
165:  To jest komentarz do protestów nauczycielskich związanych z małymi zarobkami, z presją na realizację podstawy programowej, jak również całej reszty problemów, która trapi szkołę.
181:  Co mówi dyrektor szkoły podstawowej, prywatnej?
185:  Mam wrażenie, że nauczyciele, którzy zadają bez opamiętania, po pierwsze nie patrzą w lewo i w prawo, to znaczy nie interesuje ich, ile zadaje się dzieciom na innych przedmiotach, a druga rzecz jest taka, że zupełnie bezkrytycznie realizują swój podręcznik i...
198:  Podstawę programową.
203:  Z jednej strony wielu krytykuje ją za przeładowanie i zbyt dużo faktografii, ale z drugiej strony, to co ja mówiłem wam parę razy, nie, paręnaście razy, nie, parędziesiąt razy, nie robią nic, ale to absolutnie nic, żeby oszczędzić dzieciom tej nauki i przede wszystkim, żeby zlikwidować podstawę programową, skoro nie lubimy takiej realizować.
225:  I jak powiada dyrektor na pytanie dziennikarza, ale przecież podstawa programowa musi być zrealizowana, trzeba ją realizować, ale trzeba to robić mądrze, nie można wymagać wszystkiego, bo żaden człowiek nie jest w stanie tego ogarnąć, musiałby być chyba komputerem.
242:  Wierzę, że nauczyciele są w stanie zrozumieć, że pewne rzeczy są potrzebne bardziej, a inne mniej.
249:  I wreszcie, ostatnia kwestia, myślę, że najważniejsza z tego wywiadu, którą powinniśmy wynieść, taki main takeaway.
256:  Kiedy przyjmuję do pracy kogoś nowego, to najpierw zastanawiam się, czy mam przed sobą nauczyciela przedmiotu, czy po prostu nauczyciela.
263:  Dla mnie każda osoba, która na pierwszym miejscu stawia pracę z dzieckiem i wie, że nauczanie jednego przedmiotu to tylko część całego projektu, jest o wiele bardziej wartościowa niż doktor nauk ścisłych, który co prawda ma większą wiedzę, ale nie widzi dziecka.
275:  Zatem są tacy ludzie w szkolnictwie, którzy zauważają problem, którzy mówią to samo, co radykalni reformatorzy i rewolucjoniści, czyli ludzie, którzy uważają, że należy uczniów traktować podmiotowo.
291:  Pamiętajmy, że to w Polsce jest uznawane za radykalną rewolucję.
298:  I wreszcie, nie wszyscy zatem nauczyciele, co myślę, że należałoby zapamiętać, należą do tej grupy, która właśnie nadzór i karę uważa za jedyne sposoby
311:  Na przykład nadrabiania zaległości.
314:  Sam pomysł, że są jakieś zaległości, ponieważ była pandemia i praca zdalna i trzeba je teraz szybko nadrobić, szybko, szybko, za wszelką cenę i podkreślam, za cenę dobrostanu psychicznego uczniów i studentów, o czym też za moment,
330:  Sama taka narracja jest już bardzo groźna i żeby nie było, ona niestety ma również swoje uzasadnienie naukowe, ponieważ w innym wywiadzie, który też się ukazał parę dni temu, konkretnie wywiadzie z niebyle kim, mianowicie z profesor Marczyńską, która jest, jak czytamy, specjalistką chorób zakaźnych wieku dziecięcego Uniwersytetu Warszawskiego, pojawia się wśród dzieci więcej lęku, ale tutaj mamy ciekawą konkluzję, że edukacja stacjonarna jest koniecznością.
360:  Czyli z jednej strony mamy dyrektora szkoły, który po powrocie uczniów do nauczenia stacjonarnego mówi nauczycielom, żeby się opanowali, żeby się nie wyżywali i co w nich wstąpiło.
371:  Z drugiej strony mamy panią profesor, która trzy dni wcześniej mówi, że edukacja stacjonarna jest koniecznością.
377:  No nie ukrywam, pomyślałem sobie, ciekawa sprawa, może by porównać ze sobą te wywiady.
384:  I co czytamy w wywiadzie profesor Marczyńską następującą mianowicie rzecz.
393:  Niech znajdę ten fragment.
394:  Na pewno wzrosła, bo on jest istotny, liczba przypadków prób samobójczych czy myśli samobójczych.
401:  W mojej ocenie, ja powtarzam to od początku epidemii, edukacja zdalna przynosi bardzo wiele strat.
407:  Izolacja dzieci, zaburzanie ich normalnych kontaktów rówieśniczych,
411:  Pamiętajmy, normalne kontakty rówieśnicze polegają na tym, że można komuś na przykład przyłożyć albo go skopać.
416:  To jest normalny kontakt rówieśniczy.
419:  Normalnym kontaktem rówieśniczym jest również bullying, czyli nękanie.
422:  To są normalne kontakty rówieśnicze, rozumiecie?
424:  Na przykład ten normalny kontakt rówieśniczy, który doprowadził do tego, że dziewczynka w Gdańsku kiedyś się powiesiła, ponieważ tak ją nękano w szkole.
432:  To są te normalne kontakty rówieśnicze.
438:  I wysyłanie oczywiście nadmiarowych grup na kwarantanny będzie pogłębiało zdaniem pani profesor lęk wśród najmłodszych.
444:  Nie mam pojęcia lęk przed czym.
448:  Potwierdziły to zarówno amerykańskie, jak i europejskie towarzystwa pediatryczne.
450:  Jak zwykle w takich przypadkach dowiadujemy się o amerykańskich naukowcach, ale nigdy nie ma linku do badań, nawet jeżeli to jest serwis nauka w Polsce.
457:  Zaapelowały one do władz poszczególnych krajów, żeby przywrócić normalną naukę i przestać realizować dzieci.
462:  To jest najlepsze, poza zaburzeniami psychicznymi.
464:  Wzrósł także problem z otyłością, ponieważ młodzież znacznie więcej czasu spędzała przed komputerem czy telewizorem.
475:  Boże drogi, czyli rozumiem, że jak ja teraz tak siedzę, tak jak przed wami w tej chwili nagrywam ten materiał, to ja w tym momencie tyję z każdą chwilą przebywami kilogramów, ale wiecie co?
488:  Wiecie co?
489:  Jest sposób, słuchajcie, bear with me, nie dźwiedź ze mną, jest sposób.
494:  Mianowicie, bierzecie to do rąk, nawiasem dobra książka, otwieracie i wy magicznie, magicznie przestajecie tyć.
503:  Momentalnie.
505:  schudniecie, bo macie książkę i siedzicie w ławce przy stole, tak samo jak przed komputerem, ale rozumiecie, no ponieważ trzymacie ten przedmiot w rękach, to nie tyjecie.
518:  Jak można, będąc profesorem,
523:  popiełniać najbardziej podstawowy błąd, jaki istnieje, to znaczy błąd logiczny post hoc ergo propter hoc.
532:  Jesteście zainteresowani tym, na czym polega ten błąd, jest na ten temat cały materiał na Khan Academy, nawiasem mówiąc, kolejny serwis, który polecam do samej edukacji.
542:  Można obejrzeć cały film na temat tego, jak wygląda ten błąd.
545:  Ja się postaram wam w skrócie go wyjaśnić.
548:  To jest błąd pomylenia następstwa z przyczynowością.
550:  Jeżeli jakieś zdarzenie następuje po drugim zdarzeniu, nie oznacza to, że jest między nimi związek kauzalny, czyli przyczynowy.
558:  Więc jeżeli mamy na przykład wygiętą barierkę na molo i siedzi tam mewa, to patrząc na to nie myślimy sobie, ja pierdziele, ta mewa jest tak ciężka, że wygieła się metalowa barierka.
570:  Tylko wnioskujemy, że najwyraźniej wcześniej coś wygieło barierkę, a mewa usiadła na tym później.
578:  I na takiej samej zasadzie nie ma żadnej korelacji między siedzeniem przed komputerem a tyciem.
585:  Tak samo nie ma żadnej korelacji między graniem w gry wideo, a nietrzymaniem moczu, bo takie badania też kiedyś cytowało TVP w materiale przeciwko grom wideo, które zresztą wyśmiewały TV-gry swego czasu.
598:  A zatem w tym wywiadzie pojawia się związek kauzalny, którego nie ma.
603:  Jest tylko i wyłącznie tutaj związek pewnego następstwa.
608:  I problem polega na tym, że oprócz tej nieszczęsnej otyłości, która moim zdaniem ośmierzyła panią profesor tutaj, jest jeszcze to o wiele groźniejsza teza dotycząca lęku.
620:  Teraz musimy się zastanowić nad tym, dlaczego w ogóle ktoś widzi związek przyczynowo-skutkowy pomiędzy edukacją zdalną a lękiem.
630:  Być może jest tak, że dopiero teraz wyszły pewne kwestie z tym związane, ale równocześnie trzy dni później dyrektor szkoły mówi coś zupełnie innego.
641:  W szkole mając do czynienia na co dzień z dziećmi, prawda?
644:  W odróżnieniu od profesor leczącej zapewne na Uniwersytecie Medycznym albo uczącej przyszłe pokolenia lekarzy.
651:  Współczuję nawiasem mówiąc z przyszłym pokoleniem lekarzy.
654:  Czyli ten lęk jednak jest powiązany z czymś innym.
658:  I może on nie jest powiązany ani z edukacją zdalną, ani z edukacją stacjonarną.
662:  Może jest powiązany po prostu z tym, w jaki sposób edukujemy, niezależnie od tego, czy robimy to zdalnie, czy stacjonarnie.
668:  Ja od samego początku pandemii byłem zwolennikiem edukacji zdalnej, ale też dlatego, że ja do niej w specyficzny sposób podchodziłem, wykorzystywałem aplikacje, narzędzia,
677:  który i tak wykorzystuje na co dzień w swojej pracy naukowej, więc nie było to dla mnie niczym nowym.
683:  Natomiast wyobrażam sobie, że jeżeli ktoś próbował jeden do jeden przełożyć metody nauczania stacjonarnego na zdalne, to musiał być to absolutny i niewysłowiony koszmar.
691:  I tak, z takiego nauczania zdalnego należy rezygnować.
695:  Ale to nie oznacza, że należy wylewać dziecko z kąpielą.
699:  To oznacza, że należy również spróbować wykorzystać to, czego się nauczyliśmy, spróbować przekuść to na coś nowego.
706:  Ale jeżeli rzeczywiście zainteresowani jesteśmy tym, jaka jest etiologia tego lęku, jakie są jego przyczyny, to ależ oczywiście, że mam dla Was rozwiązanie.
719:  Mianowicie wystarczy jak zawsze sięgnąć do badań naukowych i w tym wypadku podrzucam Wam raport zrobiony przez Niezależne Zrzeszenie Studentów,
728:  pod tytułem mobbing na uczelniach wyższych.
731:  No nie ma jeszcze raportu dotyczącego mobbingu w szkołach, ale mam nadzieję, że taki powstanie.
736:  Co nie zmienia faktu, że w tymże raporcie, w którym przeprowadzono badania na próbie około 1300 osób, jeśli mnie pamięć nie myli,
748:  stwierdzono bardzo dużo przejawów zachowania właśnie o charakterze mobbingowym.
753:  Co to jest mobbing dla tych z was, którzy nie wiedzą?
755:  Mobbing to jest sytuacja, w której jakaś grupa zastrasza inną.
758:  Co ciekawe, jak czytamy w tym raporcie i przepiękne, że to zostało przywołane, mobbing wcale nie jest ograniczony do sytuacji, w której dopuszcza się zastraszania osoba, która jest u władzy.
770:  To jest przypadek, w którym mamy mobbing pionowy, czyli przedstawiciel grupy kierowniczej, na przykład pracodawca, albo nauczyciel, albo dyrektor szkoły dopuszcza się na podwładnych, albo swoich podopiecznych również mobbingu.
783:  W jakiś sposób ich nęka w pozamerytoryczny, przyczepiając się, piętnując, stygmatyzując i generalnie doprowadzając do występowania jakiegokolwiek rodzaju dyskomfortu.
