Czego nie znoszę w Oldze Tokarczuk? | Dla każdego coś przykrego #20
🔗 https://www.youtube.com/watch?v=GzB2LG3aghE

2:  I kultura.
4:  Wszyscy wiemy, co kryje się pod tymi słowami.
6:  Nie Harry Potter, a Nad Niemnem.
9:  Nie Beksiński, a Matejko.
13:  Nie Kraftwerk czy Daft Punk, ale Chopin.
17:  To jest sztuka i to jest kultura.
19:  Cała reszta, jak dobrze wiemy, to jest sztuka lub kultura masowa lub popularna.
27:  I zawsze mnie zastanawiało to rozróżnienie i skąd ono pochodzi.
31:  I dziś, w kolejnym odcinku dla każdego coś przykrego, udamy się z wizytą do specjalisty.
38:  Do wybitnego fachowca w tym fachu i do największego autorytetu, jaki mi się udało w tej materii znaleźć.
47:  Do Olgi Tokarczuk mianowicie.
50:  I to nie do byle jakiego tekstu Olgi Tokarczuk.
54:  Do mianowicie jej przemowy noblowskiej.
58:  Przemowy noblowskiej, w której nie mamy najmniejszych wątpliwości, że chodzi o omówienie aspektu skomercjalizowania rynku literackiego.
69:  To jest najważniejsza rzecz, o której trzeba powiedzieć.
72:  I w mowie tej noblowskiej będą się przebijać takie akcenty, które ja wam tutaj chętnie wybiję, bo dochodziły mnie słuchy, że w szkołach nauczyciele poloniliści chętnie czytają mowę noblowską Ligitokarczu, więc pomyślałem sobie, że któż jak nie ja może pomóc uczniom w trudzie interpretowania tejże, tylko że z uwzględnieniem o ciupireczkę innych fragmentów.
100:  No to lecimy.
102:  Ogólne skomercjalizowanie rynku literackiego doprowadziło do podziału branży, odkąd obywają się targi i festiwale literatury takiej czy siakiej zupełnie osobno, tworząc klientelę czytelników, którzy chętnie zatrzaskują się w kriminale, fantasy czy science fiction.
119:  Oczywiście science fiction, jak zawsze, jest pisane z błędem ortograficznym.
124:  Cechą szczególną tej sytuacji jest to, że to co miało jedynie pomóc księgarzom i bibliotekarzom w uporządkowaniu na półkach ogromu wydawanych książek, a czytelnikom pomagało zorientować się we wielkości oferty, stało się abstrakcyjnymi kategoriami, w które już nie tylko wrzuca się za istniałe dzieło, ale według których zaczynają pisać sami pisarze.
146:  Coraz częściej gatunkowe dzieło przypomina foremkę do ciasta, która produkuje bardzo podobne rezultaty.
152:  Ich przewidywalność uważana jest za cnotę, ich banalność za osiągnięcie.
157:  Czytelnik wie, czego ma się spodziewać i dostaje dokładnie to, czego chciał.
163:  Nie możemy lepiej zacząć, prawda?
164:  To znaczy po jednej stronie mamy sztukę.
167:  wyzwoloną literaturę, która pozwala nam wyrazić naszą podmiotowość, naszą tożsamość, naszą cielecność.
177:  A po drugiej stronie mamy taką foremkę do ciasta.
184:  Takie samo, takie samo, takie samo.
186:  Wszystko według jednej sztance.
189:  Zapytamy czytelnika, czy chce powieść o trollach, jak czytał 40 tomów powieści o trollach.
194:  Co odpowiada ten czytelnik na to pytanie?
197:  Panie, jeszcze 41 powieść o trollach.
200:  Ratatat.
200:  Taratata, foremka, już wiemy doskonale, co Olga Tokarczuk robi.
205:  Taka będzie konstrukcja całej tej mowy, pewnie już zresztą znacie, ale wydobywam złośliwie właśnie ten aspekt, to znaczy będzie konstrukcja tu versus tam, my versus oni, wysoka kultura versus niska kultura i oczywiście również kultura masowa.
222:  No to co, idziemy dalej, tak?
225:  Internet, poddany zupełnie bez refleksji procesom rynkowym i oddany graczom monopolistom, steruje gigantycznymi ilościami danych.
236:  To jest to straszne.
238:  To potworne, że steruje gigantycznymi ilościami danych.
243:  Co my zrobimy?
245:  Które wykorzystywane są całkiem niepansoficznie.
247:  Przypis dla niezorientowanych.
249:  Pansofizm to jest idea, zgodnie z którą...
252:  Mądrość jest gromadzona powszechnie i cały trud cywilizacyjny zmierza ku gromadzeniu wiedzy i mądrości.
261:  To jest oczywiście idea racjonalistyczna oświeceniowa.
264:  Koniec przypisu.
265:  Ku szerokiemu dostępowi do wiedzy, ale przeciwnie, służy on przede wszystkim programowaniu zachowań czytelników, czego dowiedzieliśmy się po aferze Cambridge Analytica.
275:  Zamiast usłyszeć harmonię świata,
280:  Usłyszeliśmy kakofonię dźwięków, szum niedozniesienia, w którym rozpaczliwie próbujemy dosłuchać się jakiejś najciekszej melodii, najsłabszego bodaj rytmu.
291:  Pachawchaza szepskirovskiego cytatu jak nigdy pasuje dzisiaj do tej kakofonicznej rzeczywistości.
298:  Internet.
299:  To coraz częściej opowieści Idioty Pełna wściekłości I wrzasku Tak, tak kochani Tutaj szybki przypis, jeszcze jeden Pamiętajcie, że mówimy o eseju Który nosi tytuł Czły narrator
317:  Rozumiecie, to jest taka szorstka miłość, tak jak w przypadku tego męża, który pierze żonę albo dzieci, no bo wiecie, to taka szorstka miłość, kocha, więc bije.
332:  I tak samo z czułym narratorem Olgi Tokarczuk, on kocha, on czuje, ale równocześnie wyzywa ludzi od idiotów.
340:  którzy wściekłością i wrzaskiem hejtują w internetach, zamiast żeby oddawać się idei pansofizmu.
348:  Czyli znowu, zauważcie, mamy opozycję my, ci pansofiści versus oni, wściekli i wrzaskliwi idioci z internetów, hm?
360:  I oczywiście potem się pojawiają jeszcze fake newsy, fake upy, które stawiają nowe pytania o to, czym jest fikcja.
368:  Czytelnicy, którzy wiele razy dali się oszukać, zdezinformować, czy wprowadzić, wyprowadzić w pole, nabierają powoli specyficznej, rewicowej idiosynkrazji.
378:  Reakcją na takie zmęczenie fikcją może być ogromny sukces literatury non-fiction, która w tym wielkim chaosie informacyjnym krzyczy ponad naszymi głowami opowiadam wam prawdę, tylko prawdę.
390:  Fikcja jednak straciła zaufanie czytelniku.
394:  Odkąd kłamstwo stało się niebezpieczną bronią masowego rażenia, nawet jeśli wciąż pozostaje prymitywnym narzędziem, nadal często spotykam się z tym pełnym niedowierzania pytaniem.
406:  Czy to prawda, co pani napisała?
411:  Za każdym razem mam wtedy wrażenie, że wjeżdży on o koniec literatury.
419:  To niewinne z punktu widzenia czytelnika pytanie dla pisarskich uszu brzmi naprawdę apokaliptycznie.
425:  Cóż mam odpowiedzieć?
427:  Jak wytłumaczyć ontologiczny status Hansa Kastorpa, Anny Kareniny czy Misia Puchatka?
