Czy OCENY W SZKOLE mają sens? | Dla każdego coś przykrego #24
🔗 https://www.youtube.com/watch?v=UceFWxyYi6E

0:  Oceny.
2:  Nieprzypadkowo z podejrzaną regularnością ten temat wraca na łamy dla każdego coś przykrego, ponieważ rokrocznie mam okazję być widzem najbardziej nieprzyjemnego i cringe'owego spektaklu, jaki istnieje, mianowicie nauczycieli akademickich przechwalających się tym, kto ilu studentów ulał, jakie miał genialne metody na braki zaliczeń
27:  i narzekający, jak to się nie uczą, i coraz gorsza średnia ocen, i coraz niższe noty.
36:  Względnie zupełnie alternatywna wersja ludzi przechwalających się, jako to same piąteczki mają, ja jestem takim dobrym wykładowcą, bo same piątki są świetni, i ten spektakl nie ma końca.
51:  a jest właśnie tym tylko spektaklem, spektaklem żenady i co gorsza kompletnego niezrozumienia dla powagi problemu i samego tematu oceniania jako takiego.
65:  Bo oceny w naszej rzeczywistości funkcjonują praktycznie wszędzie.
69:  Oczywiście w pierwszej kolejności stykamy się z nimi niestety w szkole.
73:  Mimo, że w świetle polskiego prawa niekoniecznie one muszą być w szkole używane.
78:  Prawo precyzuje tylko to, że musi być wystawiona jedna ocena końcowa.
81:  A jednak szkoła konfrontuje nas z notami, z systemem numerycznym oceniania już na poziomie jakiejś czwartej klasy szkoły podstawowej, o ile nie wcześniej, bo w nauczaniu początkowym wcale nie jest regułą ocena opisowa.
95:  Zresztą umówmy się, że jeżeli w nauczaniu początkowym mamy
98:  czerwone kółeczka i czarne kółeczka i zielone kółeczka, to to też jest jakiś system oceniania, ponieważ przypisywane są mu wartości i wszyscy zdają sobie sprawę z ich istnienia.
111:  Ale to jest tylko pierwszy moment, kiedy się z tym stykamy.
114:  Potem oceny się pojawiają na studiach i w dalszym ciągu w miejscu, w którym nie powinny już funkcjonować, bo na studia idziemy z własnej woli, nikt nas do tego nie zmusza, nie ma obowiązku uniwersyteckiego, tak jak jest przymus szkolny,
128:  Jednak w dalszym ciągu jesteśmy konfrontowani z tym już jako dorośli ludzie, którzy teoretycznie się kompletnie nie powinni tym przejmować, a często przejmujemy się tym w dwójnasób, ponieważ na studiach średnia ocen bardzo często jest powiązana ze stypendiami, a niektórzy ze stypendiów naukowych się utrzymują.
145:  No i wreszcie, jak kończymy uniwersytet, wydaje się na mnie, no już spokojnie, nie będę mieć nigdy do czynienia z ocenami.
154:  Pojawia się genialny project manager w korporacji albo inny HR-owiec, który będzie dobił wykresy produktywności i przypisywał abstrakcyjne oceny.
165:  Ba, nawet wykładowcy akadebicy na uczelniach też są oceniani algorytmicznie, przypisuje się wartości publikacjom, które publikują za tyle, a inne punktów.
176:  Przypisuje się wartości grantom, które pozyskują i oczywiście przypisuje się wartości tym wszystkim, co robią w ramach dydaktyki, ponieważ na studiach istnieje coś tak jak punkty ECTS, abstrakcyjna wartość przypisana do przedmiotu i przedmiot bardziej cenny, w ramach którego się więcej robi, ma więcej punkcików ECTS niż przedmiot, na którym się robi mniej.
197:  I przez to te wartości numeryczne, które są abstrakcyjnie kompletnie konstruowane,
205:  są wykorzystywane do tego, żeby no właśnie oceniać nas, czyli jak innymi słowy wartościować naszą pracę.
213:  Samo słowo ocena w tym znaczeniu, powiedzmy dla uproszczenia angielskim grading i to grade pojawia się w 886 roku, ale w obrębie pewnego systemu funkcjonuje ociupinkę później.
228:  I pisze o tym świetnie Mark Dunn w artykule A History of Grading, niespodzianka, w którym to przytacza, że już w 1913 roku zaczęto krytykować oceny jako takie, wskazując na to, że jest to totalny absurd, że się przepisuje właśnie abstrakcyjne wartości numeryczne do osiągnięć ludzi.
248:  Ale precyzuje również, kiedy to się wszystko zaczęło, mianowicie zaczęło się to, haha,
254:  Gdzieżby indziej jak nie na Uniwersytecie w Yale, to ta uczelnia, która chciała być stara i chciała być taka prestiżowa jak Oxford i Cambridge.
