DOŚĆ TOLERANCJI DLA OBLECHÓW | Dla każdego coś przykrego #13
🔗 https://www.youtube.com/watch?v=tyv_FL9tWac

29:  Naprawdę?
32:  Naprawdę?
34:  Naprawdę?
36:  Tego rodzaju wypowiedzi w 2021 roku pojawiają się na prezentacjach podczas zajęć na polskich uczelniach wyższych.
48:  To jest ledwie kilka z góry ponad 450 wypowiedzi zebranych przez Martynę Kaczmarek, aktywistkę na rzecz praw kobiet, spośród studentów i studentek, dodajmy tych, którzy odważyli się w ogóle tego rodzaju sytuacje opisać.
66:  Wypowiedzi te zostały zebrane pod hashtagiem dziki seksizm, nieprzypadkowo, ponieważ...
73:  Interwencja ta, nazwijmy ją w ten sposób, powstała w odpowiedzi na film Dzikiego Trenera, oczywiście znanego specjalisty w tym temacie i w tym zakresie.
81:  Postanowił wypowiedzieć się i stwierdzić, że problem równouprawnienia studentów i studentek w ogóle nie istnieje.
88:  Bardzo lubię, nie ukrywam, jako wykładowca akademicki, co rzadko podkreślam na tym kanale,
93:  jak trenerzy i kulturyści wypowiadają się na temat środowiska akademickiego, ale na szczęście w krytyce dzikiego trenera, która prawdopodobnie sprawiłaby, żeby mi skoczyło ciśnienie, wyręczył mnie już Van Gotten w swoim długim materiale, w którym precyzyjnie i z dużą cierpliwością, na którą mnie absolutnie w tym temacie nie stać, dekonstruuję każdy z tych argumentów, który jest przywołany w filmie.
114:  Link do materiału Van Gottena znajdziecie w deskrypcji niniejszego vloga.
118:  Więc ja chciałem zabrać głos w temacie przyjmując właśnie te pozycje od kuchni.
125:  I z bólem muszę stwierdzić, że za mało, wciąż za mało jest tego rodzaju materiałów jak na skalę problemu.
136:  W środowisku akademickim bowiem funkcjonuje coś, co można byłoby nazwać, i myślę, że nie będzie to dużą przesadą, per analogiam do czegoś, co w odniesieniu do sycylijskiej mafii nazywano omertą.
153:  Czym jest omerta?
155:  Etymologia tego słowa w moim ulubionym, jak już wiecie, słowniku Etymo Online porusza nas, że pochodzi to od łacińskiego humilitas –
163:  A humilitas oznacza pokorę.
167:  To jest ta cnota, którą kształtują w sobie wszyscy w środowisku akademickim, żeby kryć tego profesora, który jest wyżej od nas w hierarchii.
177:  No przecież nie powiemy o nim nic, skoro my jesteśmy tylko doktorem.
181:  A o doktorze nie powie nikt, to jest tylko doktorantem.
184:  A o doktorancie nie powie nikt, to jest studentem.
187:  No już nie mówię w ogóle o sytuacji, w której student miałby coś powiedzieć o profesorze.
191:  No, plus środowiska akademickiego i kościelnego, nawiasem mówiąc również, bo prawo o merty działa i tutaj, i tutaj, generalnie jest charakterystyczne dla zamkniętych społeczności, które cieszą się pewną swobodą i eksterytorialnością, nazwijmy to, przerzucającą się również na grunt prawny.
209:  No jeszcze nie ma takiej sytuacji, żeby ktoś strzelił w łeb, nie?
212:  To jeszcze nie jest ten etap, który był w omercie funkcjonującej w mafii sycylijskiej, czyli tym najbardziej znanym przykładzie.
220:  Natomiast jest co innego.
222:  Jest strach.
223:  Jest ciągły, paraliżujący strach przed powiedzeniem, że profesor zachował się nieodpowiednio.
231:  Przed wskazaniem, że doktor zachował się nieodpowiednio, że ktokolwiek, kto stoi wyżej od nas w hierarchii ma władzę, działa z pozycji tej władzy, zachował się skandalicznie.
244:  Jak szedłem do pierwszej swojej pracy, a była to praca w korporacji, podpisywałem taki plik do umowy o pracę, który był pakietem antydyskryminacyjnym.
253:  Skarą umowną 200 tysięcy.
256:  Żebym źle na kogokolwiek spojrzał i...
259:  w jakikolwiek sposób zmobbingował go, albo zmolestował, albo wyszydził, albo sprawił, że się czuje po prostu niekomfortowo w miejscu pracy, nie z uwagi na to, że robi coś źle, tylko z uwagi na to, że ma nieodpowiedni kolor skóry, nieodpowiednią płeć, nieodpowiednią orientację seksualną, nieodpowiedni światopogląd, w ogóle w jakikolwiek sposób mi nie odpowiada, ja...
