Dla każdego coś miłego | Dla każdego coś przykrego #26
🔗 https://www.youtube.com/watch?v=d2VuZ8kMwPI

1:  Myliłem się.
3:  Oceny może i nie mają sensu, ale przydają się w mierzeniu przerostu wiedzy.
8:  Egzaminy tak, bywają stresujące dla wielu osób, ale za to pozwalają zmierzyć i zestandaryzować wiedzę, jaką będzie miał każdy obywatel.
17:  Rankingi szkół wyższych czy rankingi szkół podstawowych i ponadpodstawowych...
23:  bardzo się przydają w tym, żebyśmy wybrali stosowną placówkę oświatową.
27:  Wreszcie, nobliści, którzy nie potrafią się wypowiadać na temat swojej własnej twórczości i swoich idei bez użycia kartki, są w 100% usprawiedliwieni, ponieważ każdy ma kiedyś gorsze dzień i może nie umieć skonstruować wypowiedzi dłuższej, mimo że zajmuje się tym całe życie.
42:  Wreszcie, skoro już mówimy o zajmowaniu się czymś całe życie,
45:  Myślę, że jeżeli jacyś naukowcy wypowiadają się na dowolny temat, to i tak nie zwalnia ich to z obowiązku odniesienia się do doświadczeń przeciętnego człowieka, który nie czytał w ogóle artykułów naukowych w danym temacie, ale wydaje mu się, że coś jest prawdą.
59:  I to jest wrażliwa opinia, która powinna zostać empatycznie uwzględniona przez każdego naukowca, niezależnie od tego, czy jest specjalistą z zakresu immunologii, groznawstwa, czy jakiejkolwiek innej dziedziny wiedzy.
72:  Nie zapominajmy także o WF-ie.
74:  WF kształtuje w nas zdrową postawę rywalizacji.
77:  Oczywiście przy wszystkich patologiach, co do których wszyscy się zgadzamy, że tam występują, wciąż kształtuje także ducha sportowej rywalizacji i również dbałość o zdrową dietę i cokolwiek.
90:  Tryb życia.
91:  Naturalnie.
92:  Każdy może mieć pretensje do nauczycieli, ale przecież w 90% wszystkim im zależy na dobru uczniów i to, że się na nich wyżywają, to jest jakiś zdrobny margines i nie należy tego traktować jako regułę.
