Egzamin ósmoklasisty vs technologia (2022, kretynizowane) | Dla każdego coś przykrego #29
🔗 https://www.youtube.com/watch?v=5aSPk1CZ4rY

4:  Macie tak, że...
6:  Nie możecie zasnąć, bo ktoś w internecie się myli.
12:  To jest mój typowy wtorek i tak się składa, że w ten typowy wtorek powrócił temat egzaminów ósmoklasisty.
19:  Myślałem, że problem egzaminów już rozwiązałem, robiąc odcinek dla każdego coś przykrego na temat egzaminowania, biopolityki i tego, w jaki sposób nie służą one absolutnie temu, czemu mają służyć w zamierzeniu, to znaczy sprawdzaniu transmisyjnie przekazanej wiedzy, a w zamian
36:  penalizują ludzi za nieumiejętność wygrania w wyścigu pisania na czas o rzeczach, które wkuli na pamięć.
45:  Natomiast tegoroczny egzamin ósmoklasisty
50:  przyniósł przynajmniej dwa tematy, które muszę poruszyć na łamach dla każdego.
56:  Coś przykrego, ponieważ jest to temat zarazem, który najczęściej się także przewija w komentarzach.
63:  Ileż razy czytałem o tym chociażby, że szkoła wymuszała wyrzucanie telefonów komórkowych do jakiegoś koszyczka, uniemożliwiała korzystanie z nich.
73:  Ba, słyszałem to nawet i od samych studentów, którzy wzdragali się przed używaniem telefonów na wykładach, bo przecież jak to można?
80:  gdy tymczasem jest to po prostu tylko narzędzie.
83:  Fachowo coś takiego nazywa się technofobią, czyli strachem, fobią, od fobo z greckiego strach, przed technologią.
91:  Ale bardzo rzadko się o tym mówi, że technofobia tak naprawdę prowadzi chociażby do tego, że w szkołach ludzie nie umieją odpalić porządnie prezentacji, że nie umieją uczyć obsługi Worda, Excela i całej reszty w taki sposób, żeby można było z tego korzystać po ludzku na studiach, sprawdzone, nie umieją...
111:  wykorzystywać nowoczesnych języków programowania i uczyć ich na informatyce, mimo że są one pilnie potrzebne i memiczne już są również sytuacje na studiach, kiedy to prowadzący ma trudność z odpaleniem projektora multimedialnego, co dla studentów jest zawsze okazją do żartów na temat tego, że umiejętność obsługi projektora spada wprost proporcjonalnie do pozyskiwanych tytułów naukowych.
139:  Ale możemy się z tego śmiać w nieskończoność, jednak jest to problematyczne.
144:  Przede wszystkim dlatego, że żyjemy w czasach technologii i nie jesteśmy w stanie wyprzeć jej obecności z naszego życia.
151:  To, co możemy natomiast robić, a w zasadzie powinniśmy, to uczyć się wykorzystywać ją mądrze, w taki sposób, by nie dominowała nad tymi aktywnościami, które jesteśmy w stanie wykonać
163:  sferze pozatechnologicznej i wspierała te aktywności, które moglibyśmy wykonywać, ale w o wiele uboższy i mniej efektywny sposób.
172:  Po to jest technologia, po to ją wymyślamy.
