Historia i teraźniejszość i zombie | Dla każdego coś przykrego #30
🔗 https://www.youtube.com/watch?v=O4IQ2mwN85Q

0:  Nudna, strupieszała lektura i ramotka?
3:  Nic prostszego, wystarczy przepisać ją i zmienić tytuł, dodając frazę i zombie.
9:  Rozważna i romantyczna?
11:  I zombie.
12:  Pan Tadeusz?
14:  I zombie.
15:  Dziady?
15:  I zombie.
16:  W pustyni i w puszczy?
18:  I zombie.
18:  Oto jest Kasia?
20:  I zombie.
20:  Działa, działa, ale niestety nie w odniesieniu do wszystkiego, na przykład nie w odniesieniu do podręcznika Historia i teraźniejszość Wojciecha Roszkowskiego dla liceum.
30:  Historia i teraźniejszość i zombie to nie jest dobry retelling tego tytułu, ale...
38:  Dobry opis tego, z czym mamy do czynienia.
40:  Mamy do czynienia z podręcznikiem Historia i teraźniejszość do nowego przedmiotu Historia i teraźniejszość, oraz mamy do czynienia z zombie, naukowcem widmem, reliktem minionej epoki, który wysnużył się za zasłony dziejów, żeby przedstawić nam swój światopogląd.
57:  I od razu mówię, że film ten, mimo że jest w serii dla każdego coś przykrego i na pewno będzie dla niektórych przykry, nie jest wymierzony przeciwko postaci profesora historii, który zasłużył się, podobno, nie, nie znam się, nie jestem historykiem, dla nauk historycznych w Polsce, ale to, że się zasłużył i to, że dla niektórych może być autorytetem, nie jest powodem, byśmy traktowali go bezkrytycznie jako właśnie autorytet,
85:  należy raczej zrobić tak jak Luke Skywalker na planecie Dagobah w Powrocie Jedi.
89:  Znaczy zdawał sobie dobrze sprawę z tego, że Mistrz Yoda
93:  Jest mądry, może mu wiele przekazać, ale równocześnie nie zapominał o tym, że to jest zdziecinniały staruszek, który uderzał sękatnym kosturem w druidę naprawczego, spodziewając się, że ma on dla niego jedzenie.
106:  Więc tak, pamiętajmy, profesorowie mają pewien autorytet, cieszą się nim, ale nie powinni być traktowani bezkrytycznie i nie powinni absolutnie również...
118:  być traktowani jako jedyna dostępna krynica mądrości, ostateczne źródło wiedzy na dany temat, a niestety kult podręczników w Polsce się do tego przyczynia.
130:  Tak samo sama idea przedmiotu historia i teraźniejszość głupia nie jest, jak się nad nią zastanowimy.
136:  To znaczy powszechnie wiadomo, że historia i jej nauczanie doślusowuje do jakiegoś roku, nie wiem, 43, 45 najdalej,
146:  I nigdy nie uczymy się niczego na temat historii najnowszej, tej, która powinna nas interesować, a im dalej w lata dwutysięczne, a mamy już lata dwudzieste, tym dalej jesteśmy od rzeczonego roku 45, konkretnie to już będzie 60 lat niebawem.
163:  A zatem kolejny macie dowód na to, jak bezsensowny jest ten system.
