Krótki film o zamęczaniu | Dla każdego coś przykrego #21
🔗 https://www.youtube.com/watch?v=PJEbgSjA-os

1:  Metal jest twardy.
4:  Dziękuję, możecie się rozejść, to był najnowszy odcinek dla każdego coś przykrego.
7:  Ale tak serio, metal jest twardy, jest to jedna z twardszych substancji, jakie poznajemy w swoim życiu i naukowcy mówią o twardości materiałów jako o wytrzymałości na naprężenia, czyli, jak to statystycznie ujmują, zmęczenie.
21:  A zatem różne siły, które oddziałują na np.
24:  taką próbkę w próbie zmęczeniowej, sprawdzamy, sprawdzamy, kiedy ten materiał pęknie pod wpływem tych oddziałujących na ni sił.
33:  Czyli osiągnie granicę zmęczenia, zwana również wytrzymałością zmęczeniową.
40:  Do czegoż mogę zmierzać tą metaforą?
43:  Być może do tego, że dzisiaj takim materiałem jest kapitał ludzki dla szefów korporacji,
52:  dla nauczycieli, dla wykładowców akademickich, a także dla ateńskiego zbuja Procrusta, który wedle mitu
61:  podłóg Aten rozłożył swój obóz i jak przychodzili tam ludzie, to proponował, że ci, którzy są za krótcy, zbyt niscy, to tak rozciągnie, rozciągnie na tym łożu prokurustowym, a tych, którzy są za wysocy, to tak ściśnie, ściśnie i zetnie o głowę, żeby się zmieścili i żeby wszystko było takie równe, żeby wszystko było według normy, która jest odgórnie wyznaczona.
91:  No i cóż, tym jest właśnie, moi drodzy, zmęczenie i pech chce, że dzisiaj i robi się mniej zabawnie, możemy obserwować tego zmęczenia konsekwencje.
104:  Wstrząsnął mną tekst, który przeczytałem dzisiaj, wymęczony, niewyspany, głodny, tak wygląda polski uczeń.
112:  I wypowiedź psychiatry się pojawia, że to przerosło jakiekolwiek wyobrażenia.
116:  Bardzo często mówimy, że tak, tak, że to uczniowie narzekają, że pandemia to tego doprowadziła.
123:  No to się okazuje, że tak nie do końca.
125:  Więc proponuję, że w pierwszej części naszego materiału poczytamy sobie relacje uczniów, a w drugiej części postaramy się zastanowić nad tym, w jaki sposób tego rodzaju sytuacje wpływają na nas w przyszłym życiu.
138:  Też postaram się powiedzieć troszeczkę o swoich własnych doświadczeniach w tym wymiarze.
144:  Shall we?
146:  Magda budzi brutalnie budzik o godzinie 5.30.
150:  Chociaż lekcje zaczynają się 8.20, a musi doliczyć czas na dojazd.
155:  Mieszka pod Łaskiem, 40 kilometrów od Łodzi, gdzie chodzi teraz do liceum.
159:  Pół godziny jedzie pociągiem, potem 20 minut tramwajem.
162:  W poniedziałek zaczyna dwoma hiszpańskimi, potem dwa WF-y, no wiadomo, że...
166:  Dwa WFy to lepiej niż jeden WF, prawda?
168:  Im więcej WFów, tym będziemy bardziej wyćwiczeni.
172:  A nie, przepraszam, raczej wytrzymali na złośliwe uwagi dotyczące na przykład tego, że jesteśmy za grubi albo zbyt wolni.
177:  Ale spokojnie, odcinek o WFie dla każdego coś przykrego się zbliża i będzie osobny.
183:  Potem fizyka, chemia, matematyka.
185:  Czy ktoś jeszcze cokolwiek myśli na matematyce?
188:  Nie da się, odpowiada.
189:  Kończy niby standardowo 15.35, zanim dotrze jednak do domu jest 17.00, daje sobie pół godzinki na zjedzenie obiadu, szamu, szamu, w szkole aż do tego przyzwyczaja, prawda?
198:  Tam mamy 5 minut.
200:  I potem oczywiście zadania domowe.
204:  Do godziny 19.00 przygotowania do kartkówek, klasówek.
209:  W przyszłym tygodniu będą cztery sprawdziane i dwie kartkóweczki, bo nauczyciele chcą mieć co najmniej po trzy oceny, gdybyśmy wylądowali na zdalnych lekcjach.
220:  Pytaliście mnie pod filmem dotyczącym edukacji zdalnej, czy zrobię jakiś follow-up w tej kwestii.
225:  No i cóż, po roku możemy stwierdzić, że zdarzyło się dokładnie to, co wszyscy przewidywali.
230:  To znaczy, mieliśmy możliwość zaobserwować to, jak patologicznie wygląda nauczanie i przede wszystkim to, ile czasu schodzi na różnego rodzaju bzdury, które...
240:  które wypełniają niepotrzebnie lekcje, na przykład niekończące się kartków, niekończące się odpytywanie, niekończące się sprawdzanie obecności.
248:  Bo nie dajcie Bogowie, że ktoś się schowa pod ławką i jak go nie wyczytamy, to wtedy może się okazać, że go nie ma.
256:  O nie!
257:  Straszne!
258:  I wcale nie da się sprawdzić tego, że kogoś nie było, tym, że będzie później ta fonfnasta klasóweczka i fonfnasty sprawdzianik i fonfnasty teścik, na którym będzie ciężej komuś, kto nie był na lekcji, nadrobić to wszystko.
272:  Ale nie, musimy to jeszcze sprawdzić podwójnie.
274:  I efektywnie z tych lekcji zostało jakieś 20-25 minut, czasem 30.
279:  No i oczywiście skutek jest taki, że trzeba przerzucić wszystko na zadania domowe.
284:  Czyli fenomen, który nie występuje nawet w mniej rozwiniętych systemach edukacyjnych, jak na przykład w Stanach Zjednoczonych, dzięki czemu we wszystkich Riverdale'ach i Sex Education i podobnych serialach możemy obserwować uczniów, którzy radośnie wychodzą ze szkoły i wracają do domu, żeby sobie poumawiać na randki, a potem sobie wyjdzie i z kolegami tam pograć w piłeczkę albo pójść sobie do pubu.
308:  Oj, oj, oj, jakie cudowne życie, tylko że w szkole niestety polskie jest troszeczkę inaczej, to znaczy nie dość, że są te nieszczęsne zadania, to jeszcze ich jest bardzo często tyle, co zresztą sam pamiętam ze swoich czasów edukacyjnych, że znacznie więcej czasu poświęca się w domu na ich odrobienie niż w szkole na nauczenie się podstawowych kwestii.
329:  A myśmy dopiero zaczęli czytać te relacje uczniowskie.
333:  Kiedyś Magda chodziła na treningi z siatkówki i na angielski.
336:  Gdy zaczęło się liceum musiała zrezygnować.
344:  Powiedzieliście zawsze, że szkoła pozwala nam się rozwijać i że jak wróci edukacja stacjonarna, to wtedy przestaniemy tyć przed tymi komputerami, jak się zajadamy batonami i fast foodem, przestaniemy tyć tak przed tym komputerem, będzie sport!
367:  I będzie wysiłek fizyczny.
370:  No, chyba, że będzie taki zapierdol, że będzie trzeba z tego zrezygnować, prawda?
376:  Przy edukacji stacjonarnej.
378:  Teraz zapisała się tylko na dodatkowy hiszpański i co tydzień ustala sobie termin w zależności od tego, ile ma pracy.
384:  Najczęściej hiszpański ląduje w soboty.
386:  Tygodniowo Magda ma 34 godziny szkolnych przedmiotów.
392:  Gdyby Magda była nauczycielem, prawdopodobnie by wnioskowała o podwyżkę i o to, żeby absolutnie nie zwiększać tego pensum, prawda?
400:  W zeszłym roku jeszcze chodziła na religię, teraz się wypisała.
403:  Też oszczędność czasu tłumaczy i nauczyciel nie zachęcał.
407:  Przez brak czasu większość odpuściła sobie też olimpiady i konkursy.
412:  A więc cały samorozwój poszedł w gwizdek.
415:  Ale to jeszcze nie koniec.
416:  We wtorek Magda wstaje o 7 i zaczyna o 9.
419:  Wtorki lubi, bo są luźniejsze, kończy tylko o 13.45, więc czasem spotyka się ze znajomymi.
426:  Wow!
427:  Ja słyszałem cały czas, że edukacja zdalna, hybrydowa i w ogóle zrezygnowanie ze szkoły to jest rakietnia, bo przestaniemy się kontaktować ze znajomymi.
435:  Ale Magda ma na to czas tylko we wtorek.
437:  No to po byku, jak rozumiem.
441:  Wszystko zależy od tego, jak wygląda następny dzień, zaznacza jednakże.
444:  Najczęściej wraca do domu po prostu po szkole i się uczy.
446:  A, przepraszam, czyli nie ma jednak spotkania ze znajomymi.
449:  Okej, okej.
450:  I stand corrected.
452:  Wieczorem łączy się online ze znajomymi w ten sposób gra i wszystko zależy, powiem, od tego, co się dzieje w środę.
458:  W środę jest sześć rozszerzeń.
459:  Zaczyna o ósmej dwiema godzinami biologii, dwiema chemiami, bo jest biolchem i matematyką.
463:  Na matematyce już odpływamy, stwierdza licealistka, a na klasę czeka jeszcze polski i geografia.
468:  Nauczyciel z geografii jest wyrozumiały i czasami skraca lekcje.
471:  Widzi, że jesteśmy zmęczeni, opowiada Magda.
474:  Na przerwach sale są otwarte, więc chociaż jest gdzie usiąść lub zjeść, no pod warunkiem oczywiście, że jesteśmy w stanie zrobić to w ciągu jakichś 3 do 5 minut.
483:  Ja na przykład już nie byłbym.
484:  Tylko w sklepiku, gdzie młodzież zazwyczaj zaopatrowała się w kanapki, owoce już nie ma.
488:  Został zamieniony w izolatorium.
489:  A licealistom został automat z kawą, batonami, haha!
493:  I wyjście na 20-minutowej przerwie do sklepu.
497:  No ja czekam, przepraszam, czekam, czekam.
501:  Nawet teraz zamilknę.
503:  Nie ma problemu.
504:  Poczekam.
505:  Poczekam, aż dietetycy, psychologowie, pedagogowie i cała reszta ludzi, którzy tak się troszczyli o dobrostan uczniów w trakcie edukacji zdalnej, proszę, niech teraz zabiorą głos.
516:  Niech powiedzą, gdzie jest
518:  ta zdrowa żywność, która jest w szkole, bo rozumiem, że jest dokładnie tak samo, jak było na moich studiach, na Wydziale Polonistyki UJ, gdzie był jeden automat na całą Gołębią, a oczywiście mówimy o centrum Krakowa, więc wyobrażacie sobie, idziemy do byle jakiego miejsca i cześć na starcie, trzy dychy, nie twoje, więc wchodziło się do tego automatu, wrzucało się te
540:  i wyskakiwał stamtąd jakiś Pringles albo jakiś Snickers, tak?
544:  I wtedy się to szamu-szamu w ciągu pięciu minut, bo trzeba było przejść z Gołębi na Grodzko dla niezorientowanych, to zajmuje mniej więcej 20 do 25 minut.
552:  Trzeba było to zrobić wszelako w pięć minut, bo było 10 minut między zajęciami.
555:  Dokładnie tak samo jak w szkole.
557:  I oczywiście wszyscy tyli.
559:  Ale naturalnie, to dopiero edukacja zdalna doprowadziła do tego, że ludzie zaczęli tyć.
564:  Absolutnie nie jest to wina szkoły, ani uniwersytetów, ani zakładów pracy, w których w wielu przypadkach nie ma kuchni, gdzie można było sobie przygotować posiłek.
576:  W klasach są też czajniki.
578:  Uuu, nieźle.
579:  Więc niektórzy sobie robią na szybko makaron z torebki, zdrowiutki albo jeszcze bardziej zdrowiutką zupkę z proszku.
586:  Zdarzają się dni, że pierwszy mój posiłek to obiad o godzinie 17.
589:  A przypominam o tej... Której to było?
592:  Której, której, której?
594:  A, 5.30 było śniadanie, dobrze rozumiem, czyli obiad o 17, wedle wszystkich zaleceń dietetyków, myślę, że każdy by się pod tym podpisał, możecie to sobie zresztą sprawdzić, zamówcie sobie catering dietetyczny albo pójście na konsultację do dietetyka, to dostaniecie tak mniej więcej, że będzie jeden posiłek o godzinie 4.30, a potem następny jak w więzieniu o 16.00.
614:  A nie, przepraszam, w więzieniu są regularniejsze posiłki.
617:  A, ale w ogóle to słyszałem, że regularne żywienie to jest domena szkoły, a to dopiero w trakcie edukacji zdalnej, jak siedzimy w domach, to wtedy nieregularnie żywimy się, tak?
626:  Mam już przestać?
626:  Oj, chyba jeszcze nieprędko to zrobię.
630:  Zderzają się dni więc, że pierwszy poziom Magdy do godzina 17, a przed klasówkami, kartkówkami coś powtarzam.
636:  Jestem już tak skupiona, że zapominam o jedzeniu.
638:  Poza tym pośpiech, stres, żołądek mam zaciśnięty.
642:  W środę Magda kończy lekcję o godzinie 15.35 i wraca o 17.00.
647:  Jest ciężko, ale jeszcze muszę usiąść do zadań.
649:  Zazwyczaj około północy pierwszej idzie spać.
652:  Ale pamiętajmy, przecież uczniowie idą o pierwszej spać albo o północy dlatego, że grają w gry komputerowe.
660:  Jeszcze wcześniej sobie oglądają rzeczy i na tych komunikatorach cały czas zapierdzielają tylko na tych telefonach.
669:  To nie jest dlatego, że są zadania.
672:  Przepraszam, jestem nie na bieżąco.
674:  Już jakiś czas temu kończyłem szkołę, więc się nie orientuję w tych fantazmatach nauczycielskich.
682:  Następnie, jeżeli Magda w ogóle uda się jej zasnąć, to jest to jakieś 5 godzin.
688:  Piątek, świetny dzień, bo kończy się o 16, a zaczyna o 7.20.
694:  No i po takim ciężkim tygodniu zdarza się, że Magda zasypia coś o 22, w sobotę wstaje o 12 i do zadań domowych!
700:  No bo oczywiście weekend, weekend, moi drodzy.
706:  Tak jak przerwa jest dla nauczyciela.
710:  Umówmy się.
711:  Ile pracodawcy?
712:  Umówmy się.
714:  Weekend nie jest do odpoczynku.
718:  Tylko w takim dziwnym, archaicznym dokumencie zwanym kodeks pracy.
722:  Ale w innych okolicznościach życiowych nie.
726:  Uzupełniam notatki.
727:  Wtedy, w weekend, Magda, nasza bohaterka, robi projekty grupowe, uczy się na sprawdziany z biologii i z chemii.
732:  Średnio zajmuje jej to 3-4 godziny w sobotę i w niedzielę.
736:  Co czuje po tych trzech miesiącach szkoły?
738:  Przypomnijmy stacjonarnej.
740:  Chroniczne zmęczenie, ciągły stres i wyczekuje nasza bohaterka nauczania zdalnego.
749:  Marzy jej się tydzień lekcji online albo chociaż jeden, dwa dni kwarantanny, żeby zmienić rytm, odpocząć.
757:  Wyspać się.
768:  Nie pomyśleliście się, nie przesłyszeliście się, to nie jest jakiś fantazmat.
776:  Tak, właśnie usłyszeliśmy, że uczennica liceum, która jednak myślę, że dobrze się uczy, biorąc pod uwagę, ile poświęca temu czasu, więc to nie jest taki typowy leser, nazwijmy to, powiedziała, że chce powrotu pandemii, żeby mogła odpocząć.
796:  Czy to jest normalne?
798:  Dlaczego jest tak, że w ogóle musiało dojść, i to jest pytanie, które zadaję od półtora roku do pandemii, żebyśmy zrozumieli, że są inne metody nauczania niż stacjonarne i takie metody, z których ja korzystałem od kilkunastu już lat,
815:  Żebyśmy zrozumieli, że można zamiast, nie wiem, czekać na to, aż pójdzie się na studia, napisać maila do profesora z Harvarda i może złapać z nim kontakt i wyjechać na Erasmusa.
