MATURA Z WF to bzdura | Dla każdego coś przykrego #44
🔗 https://www.youtube.com/watch?v=quJLjjMNq8c

0:  Wychowanie fizyczne jest fantastyczne!
4:  A poza tym nie jest wychowaniem fizycznym, tylko jest wychowaniem sportowym, o czym mówiłem w tym odcinku dla każdego coś przykrego sprzed przedwieczy, a jednak nieprawdopodobnie aktualnego w świetle najnowszej akcji Dekathlonu, który wymyślił, że koniecznie należy zwiększyć świadomość
23:  sportową wśród młodzieży, wprowadzając mianowicie petycję do samego magistra dziełki szkodnictwa wyższego w sprawie wprowadzenia
34:  Matury z WF.
36:  Ja się śmieję, a tak naprawdę absolutnie nie jest mi do śmiechu.
40:  Czytamy oczywiście, że sport w szkole powinien być traktowany serio, wychowanie fizyczne tak jak inne przedmioty, więc najlepszym pomysłem, żeby do tego doprowadzić jest zaprowadzenie matury i w tej sprawie jest petycja.
52:  I zanim w ogóle powiemy sobie o tym, pomyślmy o analogii.
58:  Ja, jak wiadomo, bardzo cenię gry wideo, badam je, zajmuję się nimi, streamuję gry, są one ważną częścią mojego życia, mimo że otaczają mnie książki, to od samego początku i zarania mojego świadomego konsumowania kultury uwielbiałem gry.
74:  No i teraz nie ukrywam, że walczę o to, żeby gry były traktowane na równi z innymi mediami, żeby nie było takiego przekonania, że u, książka to rozwija wyobraźnię, tytuł jest przypadkowy, natomiast gra wideo, no to wiadomo, to jest taka płocha rozrywka.
89:  No nie do końca.
91:  I teraz pomyślmy, co można zrobić, żeby zmienić ten stan rzeczy?
94:  No oczywiście należy zrobić maturę ze sportu.
97:  I teraz każdy Polak ma być zmuszany do tego, żeby uczestniczyć w rywalizacji e-sportowej z Koreańczykami w CS GO, StarCrafta i League of Legends.
108:  Obowiązkowo, myślę, te trzy wystarczą.
111:  Opcjonalnie możemy jeszcze pomyśleć o Dark Souls i innych Souls-like'ach, oczywiście na czas, nie zapominajmy o tym, że przede wszystkim należy zmusić do tego nauczycieli, którzy jak wiadomo stosunek do gier wideo mają delikatnie rzecz ujmując ambiwalentny, a niedelikatnie rzecz ujmując niekompetentny.
131:  Myślicie, że to by wyszło?
133:  No więc informuję, że kultury fizycznej uczy się w Polsce właśnie w ten sposób, to znaczy wymuszając na wszystkich wychowanie sportowe, a nie wychowanie fizyczne.
143:  Ale zanim moi drodzy zadłużymy się w treść tej propozycji, przyjrzyjmy się w ogóle całej tej kampanii marketingowej, albowiem jest ona absolutnie przecudowna.
152:  Przede wszystkim, i co najważniejsze, pojawia się tutaj spot, który możecie zobaczyć w wielu miejscach, ja go oczywiście też podlinkuję.
158:  Spot, jak już od razu widzimy, pochodzi zupełnie z innych realiów niż polski, albo po prostu był kręcony w Warszawie, czyli tym jednym miejscu w Polsce, gdzie jest może te pięć szkół, gdzie są faktycznie szafki, gdzie można przechowywać różne rzeczy, w tym także kamerę 4K, która patrzy na miłą panią narrator.
174:  No i oczywiście nie zapominajmy o tym, że absolutnie w polskich realiach jest to w 100% możliwe, ponieważ wcale nie jest tak, że zadajemy zadania domowe w odróżnieniu od realiów amerykańskich.
183:  W związku z powyższym książki są nam potrzebne w domu, a nie w szafce w szkole.
188:  Jest jedna rzecz, która została bardzo realistycznie uchwycona w tym spocie, mianowicie fakt, że wbrew zasadom
193:  bezpieczeństwa i higieny pracy, jak również wszelkim innym i ustawie o prawie oświatowym.
198:  Naturalnie mamy zajęcia z WF-u na korytarzu, czyli wiecie, tam gdzie wszyscy chodzą buciorami albo tymi wysłużonymi gumiakami.
205:  Ten parkiet tak cudownie nasiąka tym smrodem, następnie jak robimy sobie pompunię, to wtedy nasze ręce pokrywają się tym całym szlamem i tym charakterystycznym brudem zdzieranym z klepek parkietu i potem możemy...
219:  wąchiwać się w to cudownie, ponieważ oczywiście pamiętajmy, że w szkole nie ma mydła i nie można umyć rąk.
224:  A zatem, tu jest pewien realizm zachowany, chociaż narratorka mówi nam, że no, że w szkołach to tylko są właśnie grańsko, w piłkę nożną i tak dalej, więc rozumiecie, piłka lekarska, piłka siatkowa, istotne zmiany.
236:  Ale to, do czego narratorka naszego filmu oczywiście dąży do tego, żeby ludzie nie siedzieli przy szmartfonach, bo jak wiadomo, jak siedzą przy szmartfonach, to tyją, to już wiele razy ustaliliśmy, że jeżeli chcecie schudnąć, to pamiętajcie,
250:  Bardzo ważne.
251:  Ja już w tym momencie, jak chwyciłem tę książkę, minus 175 kilokalorii, możecie mi wierzyć.
257:  Teraz natomiast, ponieważ siedzę przed komputerem, przybrałem 175 kilokalorii, więc wyszło na jedno.
263:  Dlatego też jak gracie w gry, pamiętajcie, żeby w jednej ręce trzymać książkę, tytuł jest ważny, a w drugiej dopiero mysz, dobra?
270:  No i później narratorka przychodzi do komisji senilnej, egzaminacyjnej i starzy oto mandaryni mają zdecydować,
277:  że zostanie wprowadzona matura z WF-u i są zszokowani.
280:  To jest pierwszy i jedyny moment, kiedy Centralna Komisja Egzaminacyjna jest zszokowana i ja muszę przyznać rację Centralnej Komisji Egzaminacyjnej, ponieważ też byłbym zszokowany na prospekt tego, że matura z WF-u ma rozwiązać jakikolwiek problem.
293:  Drugim elementem tej kampanii marketingowej jest to, że zaproponowano całą treść petycji rzeczonej do ministra, co jest bardzo zabawne i piękne i zanim w ogóle podpiszecie tę petycję, bo wiem, że możecie mieć taką chęć, żeby od razu po prostu Krzysztof się myli, my to wiemy automatycznie, więc od razu zaczynamy to wypełniać, ale poczekajcie chwileczkę, to znaczy tu jest treść tej petycji, żebyście wiedzieli, co podpisujecie.
316:  Szanowny Panie Ministrze, my, niżej podpisani, apelujemy o wprowadzenie możliwości zdawania egzaminu maturalnego, zwykłania wizycznego i obszaru dodatkowego.
323:  Więc wszystko w porządku.
324:  Ojej, dodatkowy to nie jest obowiązkowy.
327:  Wszystko jest fantastycznie.
329:  Poczekajcie dalej.
330:  Sport!
332:  To ważny element zdrowego społeczeństwa.
334:  Wychowanie fizyczne jest niezwykle istotnym elementem w procesie kształcenia młodych ludzi.
338:  Interesujące, że już w drugim akapicie pierwsze słowo to jest sport, a nie na przykład trening, fitness, siłownia, biegi, dbanie o kondycję fizyczną, dbanie o prawidłową masę ciała i zdrowy styl życia.
354:  Hmm, bo myślałem, że tego dotyczy wychowanie fizyczne, które jak wiemy nie nazywa się bynajmniej wychowaniem sportowym i w którego również podstawie programowym.
371:  Są zawarte wytyczne dotyczące tego, żeby nie tylko kształtować wiedzę z zakresu sportu i dyscyplin sportowych, ale nie wiem, także jak dziwiliśmy się w odcinku o WF-ie, wyliczania masy ciała, czyli BMI, następnie, o nie wiem jeszcze, być może dowiadywania się tego, co jest właściwym trybem życia, a co nie.
390:  Nie, nie, nie, nie, nie, moi drodzy, pamiętajmy, że to tak naprawdę to są wymysły różne.
394:  My wiemy dobrze, co jest na WF-ie.
396:  Na WF-ie mianowicie jest sport, ponieważ tak powiedział Decathlon w petycji do ministerstwa.
401:  Problem oczywiście polega na tym, że Decathlon w petycji do ministerstwa użył argumentów.
406:  Dlaczego to jest problem?
407:  Ponieważ argumenty te są takie jak zawsze.
410:  Według najnowszych badań polskie dzieci tyją najszybciej w Europie.
414:  Oczywiście zgodnie z najlepszą tradycją.
417:  Przywoływania badań nie mamy źródła, nie mamy przypisu, nie mamy bibliografii, nie mamy dostępnego linku, ponieważ, jak wiadomo, w internecie nie jest możliwe używanie hiperłączy i odsyłanie do innych źródeł.
427:  Jesteśmy więźniami, moi drodzy, starych tradycji prasy XIX-wiecznej, gdzie mieliście szpaltę i to, co w tej szpalcie było zamieszczone, tyle, więcej się nie da, więc nie można było dawać żadnych źródeł.
440:  Polscy codziennikarze dzisiaj...
444:  tradycja, czyli nie muszę dawać źródeł.
447:  W związku z powyższym także we wszystkich możliwych portalach i tak dalej do rzadkości należy użycie hiperłącza, a jeżeli jakieś czasopismo czy jakiś artykuł prasowy odsyła do badań naukowych w naukowej bazie danych, no to prawie pewne jest to, że to będzie New York Times albo inny tytuł zagraniczny, ponieważ polscy codziennikarze jeszcze tej trudnej sztuki nie opanowali.
471:  Wracając do treści petycji, na ten stan rzeczy, ten, jak wiadomo, według amerykańskich naukowców, ale nie przywoływanych przypisie, składa się oczywiście wiele czynników, ale kto, jeśli nie szkoła, powinna zadbać o kształtowanie zdrowych postaw i nawyków młodych ludzi?
487:  Tymczasem wychowanie fizyczne, które jest fantastyczne i nie jest wychowaniem sportowym, traktowane jako przedmiot drugiej kategorii, mniej ważny niż pozostałe przedmioty szkolne, a same zajęcia często raczej zniechęcają niż zachęcają młodzież...
500:  Do sportu!
501:  Nie ma nigdzie napisane w tej petycji.
503:  Zniechęcają do ćwiczeń i aktywności fizycznej czy dbania o zdrowy styl życia.
508:  Nie mówiąc już o przekazywaniu przydatnej wiedzy i umiejętności.
511:  To jest oczywiście najważniejsze, żeby przedmiot przekazywał wiedzę i umiejętności, a nie kształtował umiejętności i nawyki poszukiwania wiedzy na własną rękę.
519:  Nie dziwi więc, że uczniowie nie przygładają do tego należytej wagi.
523:  Dlatego my niżej podpisania apelujemy i tak dalej, i tak dalej.
526:  Pod tym wszystkim, żeby było śmieszniej, podpisuje się Akademia Wychowania Fizycznego.
