Musimy porozmawiać o egzaminach | Dla każdego coś przykrego #12
🔗 https://www.youtube.com/watch?v=6nuc2WYITn8

1:  Co ma wspólnego gra wideo z kiepsko zaprojektowanym otwartym światem i polski system edukacji?
8:  Otóż i w jednym i w drugim wypadku, niezależnie od tego, ile mamy na początku rozgałęzień różnorodnych, tak czy siak, pod koniec, wszystkie one kanalizowane są w jednym miejscu i zmierzają do jednej zestandaryzowanej, zunifikowanej fabuły, jednego doświadczenia.
25:  I takie właśnie doświadczenie ma dostarczać polska szkoła, która niezależnie od tego,
31:  jak jest zróżnicowana, niezależnie od tego, jakie ma programy nauczania i niezależnie od tego, jakich nauczycieli zatrudnia, czy to są pasjonaci, czy wręcz przeciwnie, wyrobnicy systemu.
42:  Tak czy inaczej, wszyscy oni muszą przygotować prędzej czy później uczniów do matur.
47:  Tak czy inaczej, wszyscy oni muszą przygotować do egzaminów wstępnych na studia.
52:  Tak czy inaczej, wszyscy oni muszą po studiach wystawić oceny, obronić dyplom i wpisać ocenę ukończenia studiów.
61:  I ten system, niezmiennie jak o nim myślę, przypomina mi film, który przeszedł w którymś momencie bez echa, a jest jednym z najbardziej przerażających komentarzy na temat współczesnego systemu edukacji.
73:  Oczywiście, jak to bywa w dystopiach, sytuacja jest przejaskrawiona.
77:  Oto studenci i uczniowie, którzy nie zdają egzaminu dojrzałości, zestandaryzowanego, zunifikowanego, jednakowego, są...
86:  eliminowani przez system, wyprowadzani z sali i pod eskortą policji odsyłani w zasadzie nie wiadomo gdzie.
95:  Jest taki wstrząsający moment tego filmu, jak właśnie się okazuje, że oczywiście w ramach tego systemu wykorzystywano różne furtki do tego, żeby manipulować wynikami.
107:  I stanąk na mną najbardziej wstrząsnęła bodaj była ta, w której właśnie był czas egzaminu i na czas tego egzaminu została zamknięta cała szkoła, włączone kamery, podniesione płoty, włączone wysokie napięcie w ogrodzeniu, po to, żeby nikt nie mógł zakłócić sposobu przeprowadzenia obiektywnego testu.
128:  I po to, żeby nikt nie mógł ingerować w to, w jaki sposób system selekcjonuje swoich ludzi później, jako obywateli spośród uczniów.
137:  I ten system nazywa się właśnie tak, jak głosi tytuł filmu, to znaczy Weffening, czyli dosłownie czystka.
145:  Czy...
146:  Selekcja, dokładnie to co robi system egzaminacyjny, to co ma zrobić system egzaminacyjny, odsiać ludzi, którzy się nie nadają od tych, którzy się nadają i stworzyć złudzenie obiektywizmu, złudzenie tego, że jesteśmy traktowani wszyscy jednakowo.
163:  I to, że akurat w tym dystopijnym filmie The Finning dochodzi do drastycznego przejaskrawienia i faktycznie uczniowie, którzy nie dają rady są przynajmniej na pozór fizycznie eliminowani, to przecież taka eliminacja jest częścią naszego systemu i do niej się już przyzwyczailiśmy na tyle, że nawet nikt tego nie próbuje kwestionować.
185:  No i teraz nie byłbym sobą, gdybym nie próbował się zastanowić nad tym w kontekście tego, co dzieje się tu i teraz, to znaczy w kontekście matur.
193:  No więc matura jest właśnie takim systemem.
197:  Fakowo to się nazywa biopolityka, czyli zarządzanie kapitałem ludzkim, zarządzanie ludzkim ciałem poprzez wprowadzanie różnych systemów.
206:  I to widzicie już na samym początku arkusza, gdzie o wiele ważniejsze od tego, kim jesteście, jaka jest wasza tożsamość,
213:  Jakie jest wasze imię i nazwisko?
215:  Jest kod.
216:  PESEL.
217:  Kto ma już nas przyzwyczaić do tego, że jesteśmy tylko numerkiem w aparacie państwowym?
221:  Że jesteśmy tylko obywatelem numer 784?
224:  I niespodzianka, niespodzianka.
227:  W iluż narracjach dystopijnych się okazuje, że zamiast imienia i nazwiska bohaterowi jest przypisywany jakiś numer.
233:  Na przykład w my, Ewgenia Zamiatina, jest to delta 503.
239:  Obiektywizm.
240:  Jednakowość.
242:  Unifikacja.
243:  I oczywiście o wiele ważniejsze od tego, żeby na przykład zaznaczyć, nie wiem, że ma się jakiekolwiek indywidualne cechy, to będzie naklejenie karteczki.
253:  Pamiętam, jak ja byłem jednym z pierwszych roczników, które przystępowały do nowej matury i pamiętam, jak wyszedłem z sali i nie przykleiłem tej karteczki.
263:  Z rozwianym włosem pędziła za mną jedna z nauczycielek i w panice krzyczała
274:  Ja wtedy zrozumiałem, chociaż to głupio brzmi, bo byłem jeszcze bachorem w gruncie rzeczy, że zaraz, to wszystko jest bez sensu.
283:  Ktoś w tym momencie powiedział mi, że nieważne jakich udzieliłem odpowiedzi, bo nie przykleiłem pieprzonego kodu na kartę egzaminacyjną.
292:  Ale oczywiście nie po to kręcę ten vlog dzisiejszy w serii dla każdego coś przykrego, żeby zrobić przykrość wszystkim egzaminatorom, zrobić przykrość rzeczonej nauczycielce, która nie chciała mojej krzywdy i dlatego za mną leciała i żeby wreszcie zrobić przykrość wszystkim tym, którzy do matur podchodzą.
307:  W żadnym razie.
308:  Kręcę go po to, żeby pokazać wam na czym polega właśnie podejście, które wychodzi z założenia, że chcemy zapewnić jednakowe, równe szanse dla wszystkich, a tak naprawdę doprowadzamy do czegoś zgoła odwrotnego i o wiele bardziej mrocznego.
324:  No bo jeżeli zobaczymy w jaki sposób konstruowane są te testy, to zwróćcie uwagę na to, że...
332:  Jeśli spojrzymy sobie na ten test diagnostyczny czy maturę próbną, bo nie mam jeszcze dostępu do tego, jak wyglądały matury 2021, a konkretnie jak wyglądał sposób ich oceniania.
344:  I zajrzymy sobie na to, w jaki sposób są formułowane pytania.
349:  to one nie mają akurat w odniesieniu do języka polskiego nic wspólnego z humanistyką.
354:  Bo już pierwsze zadanie, które ma sprawdzać umiejętność czytania ze zrozumieniem, nawiasem mówiąc, cóż za idiotyzm.
363:  Każdy jak czyta, czyta ze zrozumieniem.
365:  Jeśli ktoś nie czyta ze zrozumieniem, to znaczy, że tylko i wyłącznie łączy litery i nic więcej.
369:  Ale to już jakby zostawmy.
371:  I jak czytamy sobie ten tekst, który tutaj jest przedstawiony i później mamy go zrozumieć,
379:  to zrozumienie jest wyliczane binarnie, tak w kodzie matematycznym.
385:  w programie.
386:  Programy w ten sposób się trenuje, że one mają binarnie decydować, co jest prawdą, a co jest fałszem.
391:  To nie jest rozumienie tekstu, tylko to jest bramka logiczna.
395:  Żeby było śmieszniej, przeczytałem sobie ten tekst z matury próbnej Walerego Pisarka i prawda jest taka, że mógłbym zakwestionować każdą z tych wypowiedzi, ponieważ jak czytamy sobie w kluczu, z tego tekstu wynika, że skuteczne przeczytacie go sobie później, albo może znacie już, bo pisaliście maturę, że skuteczne słuchanie polega na korzystaniu tylko z wiarygodnych źródeł informacji.
415:  No i teraz pytanie, czy jeżeli odniesiemy to do tego tekstu i nam wyjdzie z tego tekstu taka informacja, to co, źle zinterpretowaliśmy?
426:  No jak przeczytamy w kluczyku, to oczywiście tak, tutaj mamy napisać fałsz, więc jeżeli ktoś napisze, że to jest prawda, bo tak zrozumiał, to on już wchodzi w konflikt z pewnym systemem.
436:  Wchodzi w konflikt z systemem, który wcześniej zawyrokował, że jakaś interpretacja jest poprawna.
442:  Plot twist.
442:  Nie ma czegoś takiego jak poprawna interpretacja.
444:  Nie istnieje takie zjawisko w humanistyce.
447:  Interpretacja polega zawsze na tym, że dostarczamy własnego poglądu na daną sytuację.
452:  Na tym polega różnica między humanistyką a naukami ścisłymi technicznymi, które dostarczają sprawdzanych i weryfikowalnych empirycznie odpowiedzi, danych w gruncie rzeczy,
461:  które pozwalają nam rozwiązywać różne problemy.
463:  Choć oczywiście jak przyjrzymy się bardziej skomplikowanej matematyce czy fizyce, to nagle się okazuje, że wszystko oczywiście jest prawdą, jest obiektywne, ale tylko w obrębie określonego, wcześniej przyjętego systemu.
476:  No na przykład może być to system binarny.
479:  I teraz jeżeli spojrzymy sobie dalej, osoba ciesząca się autorytetem w jakiejś dziedzinie jest obiektywna.
486:  To z kolei jest pytanie sformułowane błędnie, bo w tekście Walerego Pisarka nie pada ani razu słowo obiektywizm, więc jeżeli sprawdzamy czytanie ze zrozumieniem, to znowu
498:  Coś się nie zgadza, jeżeli nie pada tego rodzaju teza, a obiektywizm jest dość poważnym problemem, jeżeli chodzi o zdefiniowanie tego zjawiska w humanistyce.
507:  Gdyby nie był poważnym problemem, to obok obiektywizmu i subiektywizmu nie pojawiłby się intersubiektywizm, czyli zbiór subiektywnych opinii noszących pozory obiektywizmu.
517:  I wreszcie trzecia odpowiedź.
518:  Konfrontacja wypowiedzi stron pozostających w sporze pozwala rozpoznać jednostronność wypowiedzi.
523:  Nie zawsze.
525:  I na tym polega zasadniczy problem, że w humanistyce nie jest to takie oczywiste.
530:  Rozumienie i interpretacja nie jest oczywiste.
532:  Nie da się zbinaryzować.
534:  Zbinaryzować da się tylko i wyłącznie pewien system, który narzucimy.
538:  I w obrębie tego systemu można mieć tylko i wyłącznie albo rację, albo jej nie mieć.
543:  I wtedy albo się oblewa, albo się zdaje.
547:  I tutaj leży kluczowe i problematyczne zagrożenie i oczywiście tu leży odpowiedź również na to, dlaczego ja matury próbnej z języka polskiego lat temu N nie zdałem.
558:  Ponieważ nie mogłem jej zdać, gdyż ja lubię zawsze myśleć poza pudełkiem.
562:  Jeżeli ktoś wpakowuje mnie w pudełko, gdzie mam dwie opcje, to znaczy jeżeli wcisnę przycisk, to mnie razi prąd, a jeżeli nie wcisnę przycisku, to mnie nie razi prąd, nawiasem mówiąc, tak się trestuje szczury, to ja wtedy myślę sobie, chcę uciec z pudełka.
576:  Na tym polega myślenie poza pudełkiem.
579:  I co się przydaje w życiu?
581:  Co jest cenione na rynku pracy?
583:  Myślenie poza pudełkiem, myślenie kreatywne.
586:  A wiecie dlaczego plot twist, plot twist?
588:  Dlatego, że mamy pełną robotyzację i automatyzację.
591:  I za moment, jeżeli będziemy mieli zadania do wykonania, polegające tylko i wyłącznie na tym, że jest pewna bramka logiczna i mamy powiedzieć tak lub nie, to tego rodzaju zadanie będzie dla nas wykonywał robot, albo system, albo algorytm.
604:  Nie będzie potrzebny człowiek do tego.
607:  A zatem, jeżeli systemy egzaminacyjne tak skonstruowane czegoś nas uczą, to tylko i wyłącznie tego, że jesteśmy, no cóż, expendable, tak?
617:  Że można się nas pozbyć, bo jesteśmy nikim, pyłkiem.
622:  trybikiem w dużej maszynie, dokładnie tak samo jak każdy inny robot.
626:  I dlatego właśnie tego rodzaju systemy egzaminacyjne są niebezpieczne, bo pod pozorem unifikacji zaprowadzono gdzieś tam z tyłu piątą kolumnę, która zaczyna nam formatować mózgi.
