Nauka, śmiech i czatboty  🎓 🤡 🤖 | Dla każdego coś przykrego #39
🔗 https://www.youtube.com/watch?v=loL6NlRqvoA

2:  Nowy wróg na horyzoncie.
6:  Chcą pozbawić nas piękna literatury i zamknąć ją w paskudnym, ciemnym przedmiocie.
19:  Chcą, żeby teraz ludzie nie mogli koncentrować się na ważnych i kluczowych informacjach, tak jak rozmiar rękawiczki Izabeli Łęckiej.
29:  tudzież kolor jej kamienicy, tylko żeby dekoncentrowali się przez obrzydliwe szmartfony, więc musimy zakazać ich w szkołach i fala jest zakazów w całej Europie.
44:  Oto Niemcy, Francja, Grecja, Włochy, Hiszpania, Czechy, Słowacja, Portugalia, Chiny –
50:  Wprowadzają co i róż nowe zakazy, ponieważ podane zostały nowe badania na Uniwersytecie Harvarda, które wykazują, że szmartfony rozpraszają uwagę, negatywnie wpływają na czas reakcji, pogarszają wydajność, wpływają źle na odczuwanie przyjemności z wykonywanych zadań.
68:  Ciekawe jaki.
69:  i obniżają zdolności poznawcze, cóż z tego, że jeżeli wejdziemy na stronę u tegoż Uniwersytetu Harvarda do Derek Bok Center for Teaching and Learning, to przeczytamy, że jak zawsze codziennikarze się mylą, ponieważ problemem jest rozpraszanie, a nie urządzenie.
85:  Ale i tak my dobrze wiemy, my wiemy, że to szmartfony uzależniają, a nie aplikacje.
91:  I wcale nie jest prawdą to, że możemy za pośrednictwem rzeczonych szmartfonów wprowadzić w obręb nauczania coś, co będzie sprawiało, że ludzie nie będą właśnie potrzebowali jakichkolwiek dystraktorów.
103:  bo dajmy na to, nie wiem, będzie mniej nudy, która w głównej mierze prowadzi do tego, że ludzie w ogóle sięgają po smartfony, a więcej zabawy, więcej humoru i wszystkich tych rzeczy, których na lekcjach nie ma.
115:  Więc wiecie, standardowa niby sprawa, tak?
117:  To znaczy szkoły w dalszym ciągu pałają niechęcią do całej technologii.
121:  Przypominam, jest rok 2023.
124:  rzeczona technologia już troszeczkę z nami jest i my jesteśmy cały czas na etapie penalizacji urządzenia, ponieważ genialne, a oświecone umysły nie ogarniają, że jeżeli zakażą szmartfonu, to będzie trzeba zakazać od razu smartwatcha, a potem będzie trzeba zakazać na przykład implantu siatkówkowego, za pośrednictwem którego ludzie będą przesłali do siebie SMS i ja już widzę, ja już widzę tego woźnego, który pakuje rękę z brudnymi paznokciami do oka ucznia i rozdrapuje, rozdrapuje
153:  oko, żeby wyrwać implant siatkówkowy, więc nie, nie, ja już się nie mogę doczekać, aż będą wreszcie czasy cyberpunka i polskie szkolistwo skonfrontuje się z technologią, której już nie będzie mogło zakazać i być może wtedy dopiero ludzie się zastanowią, że problemem jest sposób zaprojektowania aplikacji.
171:  mechanika wykorzystana w grze wideo, funkcjonalność określonej aplikacji, która może rozpraszać, może uzależniać, może wywoływać różnorodne problemy.
181:  Natomiast winne nie jest nigdy urządzenie, zwłaszcza, że urządzenie może się zmienić.
185:  I fajnie byłoby, gdyby legislacja to uwzględniała i nie były wpisywane bzdurne
193:  obostrzenia typu, że o, gry komputerowe uzależniają, w związku z powyższym uzależnienie od gier komputerowych potraktujemy tak samo, jak uzależnienie od alkoholu, gdzie tymczasem każdy alkohol uzależnia, natomiast no nie każda gra wideo uzależnia i nie jest tutaj żadna bezpośrednia korelacja między jednym a drugim, ponieważ gra jest zbyt skomplikowana i właśnie może mieć określone uzależniające mechaniki, więc jeżeli chodzi o technofobię, moi drodzy, to ja wiem, że po raz kolejny wracamy na bałamach dla każdego coś przykrego do tego problemu,
222:  Ale zwróćcie uwagę na jedną rzecz, że ten artykuł, który Wam pokrótce przytoczyłem, możecie sobie całość tych bredni przeczytać w opisie, jakoś tak dziwnym trafem wyszedł w styczniu.
235:  Zastanawiam się dlaczego.
237:  Moja ostrożna hipoteza brzmi, że wyszedł w styczniu głównie dlatego, że tak się składa, iż również w tych okolicach grudzień-styczeń zaczęliśmy dyskusję na temat nowej sztucznej inteligencji, konkretnie chat GPT.
255:  Mianowicie, co się okazuje, OpenAI, jak donosi artykuł z wczoraj, prawdopodobnie dla Was oglądających dziś ten film,
264:  Chad GPT napisał maturę i egzamin ósmoklasisty i co więcej zdał.
271:  To znaczy oczywiście, że nie jest to jakoś nieprawdopodobnie wysoki wynik, natomiast Chad GPT poradził sobie fenomenalnie i śpiewająco w polskim szkolnictwie, które jak wiadomo sprowadza interpretacji do recytatywu.
284:  Kto mówi, do kogo mówi, co mówi, jak mówi, czy uczeń rozpoznaje wykorzystane środki stylistyczne, czy uczeń podał liczbę strof, czy uczeń zanalizował kompozycje, czy uczeń wykorzystał fakty lekturowe, czy uczeń odwołał się do innych lektur, oczywiście tych, które są od 70 lat przez cały czas analizowane, na pewno nie do nowych, które przeczytał niedawno.
305:  I wcale nie jest tak, że jeżeli stworzyliśmy sami AI korpus lektur, które są od 70 lat wałkowane w ten sam sposób, to AI z łatwością będzie w stanie na pośrednictwie tego korpusu formułować tezy zgodne z podstawą programową.
334:  O wiele lepiej niż jakikolwiek uczeń, na przykład taki głupi uczeń jak ja, który dostał 20% z matury próbnej z języka polskiego, ponieważ zajmował się raczej tym, żeby informować o tym, co czuje na temat danego utworu, jak go interpretuje, z czym innym mu się kojarzy i oczywiście nie wpisał się w schemat i klucz, którego oczywiście nie ma.
355:  Dlatego właśnie, moi drodzy, że nie ma żadnego klucza i nie ma żadnego schematu,
360:  Chat GPT z łatwością ten rzecz egzamin zdaje.
