OCENY SZKODZĄ. Wszystkim | Dla każdego coś przykrego #36
🔗 https://www.youtube.com/watch?v=yi4I_ARnys8

0:  Nie, w ogóle nie mamy problemu jako społeczeństwo z ocenianiem.
5:  Wcale nie jest tak, że multimiliardowa korporacja Amazon płacze, dali jedynki serialowi i usuwa je następnie z Rings of Power.
17:  Wcale nie jest tak, że rodzice dopuszczają się
20:  kar cielesnych wobec swoich dzieci, dlatego że zobaczyli złą cyferkę.
26:  Wcale nie jest tak, że zły numerek i złe punkciki potrafią zadecydować o tym, czy ktoś przez następny miesiąc będzie mieć pieniądze na opłacenie rachunków i żywności.
38:  Wcale nie mamy problemu z ocenianiem.
40:  Świetnie potrafimy komunikować drugiemu człowiekowi, co myślimy na jego temat, fantastycznie umiemy krytykować.
47:  Nie jesteśmy w stanie nawet sformułować jakiejkolwiek opinii bez równoczesnego lęku o to, że ktoś się obrazi, ktoś o nas źle pomyśli, albo ktoś weźmie to do siebie i będzie naszym wrogiem do końca życia.
61:  Nie.
62:  Nie mamy żadnego problemu z ocenianiem.
66:  I ponieważ to jest drugi już odcinek w serii dla każdego coś przykrego na temat ocen, z innymi argumentami niż poprzedni, ten poprzedni postaram się w tym miejscu podlinkować, oczywiście tego nie zrobię i przypomnicie mi o tym w komentarzach, to pozwolicie, że na początek podzielę się z wami anegdotką.
81:  Mamy dwa parki.
84:  I w tych parkach nie chcemy, żeby piękny, szmaragdowo-zielony trawnik był wydyptywany przez ludzi.
92:  Co robimy?
95:  Jeden sposób, który widziałem w Northumbria, to jest północ Wielkiej Brytanii, to założenie trawnika i pozostawienie go na parę tygodni.
106:  Ludzie wtedy przychodzą i jak to ludzie, chodzą sobie po różnych miejscach, wydeptują ścieżki i przez te parę tygodni w którymś momencie pojawia się taka siatka, sieć rozgałęzionych ścieżek jak w opowiadaniu Borgesa i dopiero na tej sieci wydeptanej przez ludzi wylewany jest asfalt.
127:  Jest jeszcze druga metoda.
129:  Dobra metoda, sowiecka metoda, sprawdzona w PRL-u, kiedy zakładano parki.
135:  Wiadomo, park w Polsce musi być płaski, po horyzont, pod kątem 90 stopni będą ścieżki.
143:  wyasfaltowane oczywiście ławki poza drzewami, bardzo ważna rzecz, żeby była ławka, 100 metrów odstępu drzewo po drugiej stronie, 100 metrów odstępu ławka.
153:  Koniecznie koło ławki koż na śmieci, żeby w trakcie siedzenia można było wydychać ten piękny zapach gnijących skórek od banana, zużytych opakowań po prezerwatywach i innych wspaniałości, które znajdujemy w śmietnikach.
168:  No i oczywiście
170:  Pamiętajmy o jednej rzeczy.
172:  Najskuteczniejszy system powstrzymania ludzi przed wydeptywaniem ścieżek między tymi pod kątem prostym wytyczonymi ścieżkami asfaltowymi to postawienie znaku ZAKAZ WYDEPTYWANIA ŚCIEŻEK!
191:  Problem rozwiązany.
192:  A nie, przepraszam, to w polskich parkach są wydeptywane ścieżki między asfaltowymi alejkami pod kątem 90 stopni, a w brytyjskich parkach nie, ponieważ ludzie nie muszą wydeptywać tych ścieżek, ponieważ chodzą już tak, jak chcą.
209:  wybierając optymalny szlak, który jest najkrótszy od jednego miejsca do drugiego i z jednej części na drugą.
215:  Proste?
217:  No jak widać nie proste, ponieważ polska szkoła jest oczywiście zrealizowana wedle dwudługiego modelu.
223:  To znaczy dostajemy listę zakazów,
225:  Informuje się nas, czego nie możemy zrobić, natomiast w ogóle nie myśli się o doświadczeniu użytkownika, bo ta anegdota, którą Wam przywołałem, to jest taka sztandarowa anegdota przywoływana na zajęciach z zakresu User Experience Design, czyli projektowania doświadczeń użytkownika.
241:  Projektowanie oddolne jakiegokolwiek systemu, jakiegokolwiek urządzenia, jakiejkolwiek instytucji, aplikacji, software'u właśnie polega na tym, od wychodzeniu od doświadczenia użytkownika i projektowaniu tego systemu niejako na miarę.
254:  Tymczasem nasz problem polega na tym, że jest bardzo dużo ludzi przekonanych święcie o tym, że taki...
261:  Znak zakazu rozwiązuje całkowicie problem.
264:  A jeżeli nie rozwiązuje, to dajmy 4 tysiące grzywny za wydeptanie ścieżki.
271:  O, a za pozostawienie psiej kupy w parku dajmy 8 tysięcy grzywny.
277:  Nie, że rozlokujemy na przykład w wygodnych miejscach kosze.
281:  I damy, nie wiem, siatki ludziom do tego, żeby mogli się zaopiekować swoimi pupilami.
286:  Nie, nie, nie, nie, nie.
287:  Nie dam, że zrobimy parki specjalne, wydzielone dla psów, gdzie będą mogły one załatwiać swoje potrzeby, gdzie będą tego rodzaju dyspensery, różnych siateczek, toreb, wszystko jedno czego.
299:  Nie, nie, nie, absolutnie nie.
302:  lepiej jest dać 8 tysięcy grzywny.
303:  W ten sposób postępuje niestety większość Polaków i tym razem będzie się obrywało w serii dla każdego coś przykrego, nie tylko nauczycielom, którzy są niestety wciąż sojusznikami tego systemu, ale już nie wszyscy, ale także będzie się obrywało dyrekcjom szkół i będzie się przede wszystkim obrywało rodzicom, bo to rodzice bardzo często oczekują tej prostej,
325:  prostackiej wręcz, informacji zwrotnej, znaczy, no to co dzisiaj dostałeś w szkole?
330:  Albo, co gorsza, niestety, bo to też się zdarza na studiach.
334:  Więc lecimy z pierwszym naszym dzisiejszym przykładem.
336:  Przeraziło mnie to, jak przeczytałem artykuł, to jest bardzo długi artykuł, od razu Wam mówię, że nie będziemy go sobie w całości absolutnie podczytywać, więc polecam Waszej lekturze, on się ukazał już jakiś czas temu.
346:  Co twój syn dostał z klasówki?
347:  Szkoła bez ocen wciąż niemożliwa.
350:  I to niestety jest diagnoza, którą ja także stawiam, to znaczy szkoła i uniwersytet bez ocen na tym etapie wydaje się niemożliwy, przede wszystkim dlatego, że jest zbyt dużo ludzi, którzy uważają, że się tego nie da w żaden sposób zmienić.
364:  Skąd dziecko będzie miało motywację do nauki?
366:  Usłyszała dyrektorka jednej z warszawskich podstawówek, gdy zaproponowała, żeby nie było ocen.
371:  Więc jak widać, już takie propozycje są.
