SZKOŁA W CHMURZE po maturze | Dla każdego coś przykrego #47
🔗 https://www.youtube.com/watch?v=kj-9yJdTVHM

0:  Poniedziałek, piąta rano, autobusu nie zastano.
6:  Czemu szczerzysz, ryj wesoły, albo przejdę się do szkoły?
14:  Powiedział nikt nigdy, zwłaszcza w Polsce.
19:  Kiedy ludzie zmagają się cały czas z XIX-wieczną ideą edukacji, w której trzeba przejść do konkretnego budynku zamieszczonego w konkretnym miejscu, żeby zdobyć tam wiedzę, bo u nas we we wsi to Nimo.
35:  I jeno, możemy czekać aż guwerner do tych majętnych państwa przyjedzie, a my możemy do szkoły we wrześniu dzieci posłać, żeby coś tam niemieckiego nauczył.
48:  Nie, moi drodzy, jest internet.
50:  I przyznam, że od czasu kiedy powstał w ogóle ten kanał, to już są 3 lata prawie i pierwsze odcinki Dla Każdego Coś Przykrego, od samego początku cieszyłem się z tego, że rzeczywistość rzuca mi dowody pod nogi w postaci tego, że edukacja zdalna jest możliwa.
69:  I mówiłem o tym już w ozgrozo drugim odcinku serii Dla Każdego Coś Przykrego.
77:  Nice.
79:  W którym starałem się pokazać, że zdalność edukacji nie jest problemem sama w sobie.
84:  Oczywiście problemem jest to, co edukacja zdalna ujawniła, zwłaszcza w czasie pandemicznym, jak można było jak na srebrnej tacy zobaczyć wszystkie patologie polskiej edukacji.
95:  Wreszcie rodzice nie mieli tych informacji przefiltrowanych przez opowieści dzieciaków, którym oczywiście nie wierzyli, ponieważ zostali wychowani w polskiej szkole w związku z powyższym
104:  Mają patologiczne podejście do wychowania na zasadzie nadzoru i kary i tak dalej, i tak dalej, i tak dalej.
109:  I teraz mogli to zobaczyć, co te, idealnie podane.
113:  I można było zakażać sobie te kolejne lekcje i widzieć dobrze, jak nauczyciele kompletnie sobie nie radzą ze światem nowych technologii, czyli światem tym, w którym my żyjemy.
125:  Jak zatem w ogóle mogą nauczać?
128:  skoro nie radzą sobie w tej rzeczywistości i jak w ogóle są w stanie zapanować nad czymkolwiek, skoro do panowania potrzebują jak kiepski menadżer bezpośredniego kontaktu z ludźmi, bo nie są w stanie w żaden sposób zainteresować tych samych ludzi, którzy potrafią przesiedzieć 4 godziny na livestreamie, tych samych ludzi, którzy potrafią słuchać kilkugodzinnych podcastów, tych samych ludzi, którzy nie mają problemu z imersją w grze wideo na 7 godzin,
154:  Tych samych ludzi, którzy również nie mają problemu z imersją w innych mediach, od książki poczynając, a na serialach kończąc na wiele, wiele godzin, ponieważ przyzwyczajeni są do tego, że oddziałujemy na nich multisensorycznie.
167:  I wiecie co?
167:  Ja sobie tak mogę gadać, tak?
168:  Ja sobie gadam od trzech lat na tym kanale i wszyscy... Jedni kiwają głową, a drudzy mówią...
174:  Brzydki Krzysztof, nie możesz się wypowiadać o uczniach, ponieważ uczeń każdy, każdy uczeń liceum zmienia w ciągu lipca, sierpnia i września strukturę atomową.
184:  W związku z powyższym, jak ty uczysz człowieka, który też ma dalej 18 albo 19 lat, tylko że on już jest studentem...
193:  no to ta struktura atomowa jest inna, to jest zupełnie inny człowiek i poza tym już nie ma depresji, ponieważ w ciągu wakacji przez lipiec, sierpień i wrzesień, no dużo chodził po górach, a jak wiadomo, przechadzki leczą depresję.
206:  No, w związku z powyższym masz do czynienia z innymi ludźmi, nie można się wypowiadać, więc krótko mówiąc, ja czekałem, moi drodzy,
213:  i łaknąłem jak kania dżdżu jakichś danych, tak, ten build up prowadzi do bardzo konkretnej rzeczy i pierwsze dane otrzymałem w czasie pandemii, kiedy przynajmniej nikt już mi nie jest w stanie powiedzieć, że nie można edukować zdalnie, można, można.
226:  Nie twierdzę, że idealnie można, nie twierdzę, że można tego nie oceniać albo że należy to oceniać, nie, nie, nie.
234:  Można.
235:  Tak?
236:  Można.
237:  Teraz mamy drugie, bardzo obiektywne dane, które zostały opublikowane na fanpage'u Szkoły w Chmurze, czyli jednej z firm zajmujących się edukacją domową w Polsce, jej koordynacją.
249:  I przyznam, że odświeżałem ten fanpage częściej niż baner Kadehary Kazuchy w Genshin Impact, żeby wreszcie zobaczyć, jak zostaną skomentowane wyniki matur.
259:  No i oto, moi drodzy, nie zostaliśmy rozczarowani, mianowicie...
263:  Okazuje się, że jak składają się oceny, jeżeli chodzi o średnią wszystkich wyników punktowych, 63%, no powiedzmy nawet 64% w zaokrągleniu, przy średniej krajowej ze szkół, nazwijmy to, zwykłych,
281:  68, 66, tak, czyli mamy różnicę dwóch punktów procentowych.
289:  Matematyka 55, znowu zaokrąglenie 56 powiedzmy, przy średniej krajowej wyższej już, bo 71%, i angielski 87,2%, przy średniej krajowej niższej, 85%.
304:  Powiedzcie mi, jak bardzo głupi musi być system, skoro krytyk tegoż systemu, nieuznający egzaminów, uważający, że należy zlikwidować matury, obstający za tym, żeby prowadzić egzaminy wstępne na studia i generalnie nie zgadzający się praktycznie z każdym aspektem jego funkcjonowania, zyskuje sojusznika w postaci narzędzi metrycznych stworzonych przez ten system, statystyk stworzonych przez ten system, obiektywnych, w które wszyscy wierzą.
332:  I te wszystkie narzędzia mówią,
336:  Że tak, że ma rację.
338:  Przecież to jest satyryczne już na tym etapie.
342:  Ten system sam się kompromituje, stworzył narzędzia, które oceniają go jako wadliwy.
