Stare nowe lektury | Dla każdego coś przykrego #16
🔗 https://www.youtube.com/watch?v=ax7Vj8jS0AU

1:  A ja mam zwykłą skrzypkę, co nuci o tym, co było, co już nie wróci.
7:  Ten dwuwers z pogody Leopolda Staffa wprost znakomicie oddaje to, co do polskiej edukacji, polityki i historii wnieśli kolejni mistrzowie, którzy nami rządzą albo którzy nas kształcą.
23:  I niestety tańczymy tak, jak nam ta skrzypka zagra, na przykład poddając się rokrocznie praktycznie dyskusji instygowanej przez polityków na temat listy lektur.
34:  Bo wiadomo, że jeżeli coś się musi zmienić, jak jest nowa opcja rządząca, to nie gospodarka, nie polityka zagranicza, nie polityka wewnętrzna, lektury.
43:  To jest najważniejsza rzecz, jaka się może zmienić.
46:  No i nic dziwnego oczywiście, że zmienia się pod rządami miłościwie nam panującego ministra edukacji, który to jak donosi stacja wyklęta, pamiętajmy już przez nasze prawo, wprowadza na dwa tygodnie ledwie przed początkiem roku szkolnego nowe lektury i zasady nauczania przedmiotów.
65:  Artykuł, który wam tutaj przedstawiam, podnosi głównie ten problem czasu, który rzeczywiście jest niespotykanie niewielki na przygotowanie na całego roku szkolnego i wszystkich tych idiotycznych wytycznych, które się pojawiają w podstawach programowych, a także czemu sekundują kolejne serwisy internetowe, portale, stacje telewizyjne i wreszcie gazety.
91:  Problem listy nazwisk, które wypadają z tej listy, albo te, które wpadają na tę listę, no bo jak wiadomo, jest ta skrzypka, skrzypka co nuci o tym, co było, co już nie wróci.
102:  Ona nam gra tak, żebyśmy dyskutowali na temat tego, a tutaj, które nazwisko wchodzi, które nie wychodzi, które jest trendy, a które już nie, które dobrze oddaje pamięć historyczną, a które nie.
114:  To jest taka giełda nazwisk, która się pojawia, no i będziemy oczywiście na tej giełdzie nazwiskami spekulować.
120:  No i to dowiadujemy się chociażby, że znika z listy lektur obowiązkowych Felix Nett i Nika Rafała Kosika, skądinąd znakomitego pisarza, też pisarza fantastyki naukowej, autora między innymi Verticala czy Marsa.
134:  To jest nawiasem mówiąc, na szczęście informacja o tyle spóźniona już, że ta...
141:  Książka nie tyle znikła z listy lektur, co została przepisana czy przeniesiona na listy lektur uzupełniających, no i oczywiście podniesiona także, że pojawia się pięć pozycji Zofii Kossak-Szczuckiej, czyli znanej pisarki historycznej i raport Witolda Pileckiego.
155:  No cóż...
157:  Inne gazety, jak na przykład Gazeta Wyborcza, idą jeszcze krok dalej, to znaczy mówią już wprost nam na główku, że Czarnek oto podpisał nową listę elektryczną, będzie więcej papieża i kardynała Wyszyńskiego.
169:  I tutaj oczywiście w następnych akapitach po raz kolejny mamy całą giełdę nazwisk tych, które wypadają i tych, które wpadają.
176:  Mamy również uzasadnienie, że nowe pozycje, które zostają wprowadzone, warto omawiać ze względu na, i tutaj bear with me, niedźwiedź ze mną,
184:  ich walory edukacyjne, wychowawcze, czyli czytelny system wartości, elementy konstrukcyjne utworu, konstrukcja świata przedstawionego, nawiasem mówiąc, termin świat przedstawiony jest kompletnie przestarzały i nie oddaje tego, co dzisiaj się wytwarza w ramach światotworzenia, mój przypis jako fanatyka światotwórstwa,
202:  Bo przedstawienie i świat przedstawiony to jest przedstawienie tła fabularnego, nie dla samej fabuły.
206:  A dzisiaj coraz częściej jest tak, że świat jest ważniejszy niż sama fabuła.
209:  Koniec dygresji.
210:  Następnie wyraziście zarysowana akcja i warstwa językowa utworu.
214:  Polszczyzna staranna, pozbawiona wulgaryzmu.
218:  No bo jak wiadomo, jeżeli na przykład powiemy kutas albo kurwa, to nie władamy wtedy polszczyzną, prawda?
225:  I źle jest, że nie wiemy, że słowa te mają historię, że wulgaryzmy jak się kształtowały, to też zdarzało się to z jakiegoś określonego powodu.
236:  a nie dlatego, że ktoś nagle tak postanowił, ostatecznie łacińskie kurwa oznaczało zakręt, a staropolski kutas to był taki frędzel przy pasie, a buty pisało się przez ust kresku, a nie mu zwykłe, ale jakby świadomość tego rodzaju zmian językowych to nie jest coś, co chcemy kształcić, koniec drugiej dygresji.
254:  Następnie są również pozbawione kolokwializmów oraz nadmiernych ozdobników.
259:  No i kolejne akapity praktycznie każdego artykułu, który jest poświęcony tematowi listy lektur, koncentrują się właśnie na giełdzie nazwisk, dowiadujemy się, że o to wstawiane zostaną kolejne lektury, a inne z listy lektur wypadają.
273:  Znacie mnie już prawdopodobnie, jeśli śledzicie serię dla każdego coś przykrego na tyle dobrze,
279:  że wiecie, że ja lubię sięgać do źródeł i sprawdzać, czy rzeczywiście te wszystkie doniesienia medialne są godne uwierzenia, czy też są tylko i wyłącznie komentarzem publicystycznym.
291:  No i w trudzie stwierdzenia, o co w tym wszystkim chodzi, w moim przekonaniu bardzo pomaga sięgnięcie do tego dokumentu.
297:  On został opublikowany na stronach ministerstwa, jest już przekierowanie.
301:  Ja dla was zrobiłem taką małą kompilację za jednym z serwisów.
305:  zaznaczając na żółto to, co rzeczywiście pojawia się jako nowe i zarazem odzwierciedla ten temat, który uczyniłem leitmotivem tego odcinka, czyli tej skrzypki, co nuci o tym, co było, co już nie wróci.
317:  I pojawiają się rzeczywiście już w szkole podstawowej elementy, zwłaszcza w klasie 4 do 6, które wpisują się w bardzo określony dyskurs, ale może na sam początek.
328:  Te rzeczy, które się w ogóle na tej liście pojawiają i te, które z niej znikają, w moim przekonaniu
333:  więcej łączy niż dzieli, to znaczy i jedne i drugie są absolutnymi ramotkami, kompletnie się nie przydają do czegokolwiek w współczesnym świecie i wizualizują właśnie obraz świata, którego już nie ma, który już nie wróci.
350:  I można oczywiście czytać sobie takie rzeczy jak, nie wiem, kłopoty Kacperka Górskiego, Skrzata, whatever, nawet nie czytałem, czy o psie troski, czy wielkiej przyjaźni na cztery łapy, nie wnikam.
363:  Jestem jednak głęboko przekonany, a moja pewność graniczy ze stuprocentową, że dzieciaki, jeżeli już w ogóle coś czytają, to sądzę, że nie ma nie dziewczyny inną niż wszystkie opowieści o Marii Skłodowskiej-Curie i sądzę na pewno, że nie którędy do Yellowstone dzika podróż po parkach narodowych,
381:  Zwłaszcza jak są w klasach 1-3.
382:  Nie widzę tutaj na przykład Mio, Mój Mio, Astrid Lindgren, który faktycznie warto byłoby czytać, zwłaszcza, że to jest świetne wprowadzenie do klasyki literatury fantasy.
390:  Nie widzę tutaj innych elementów, które no chociażby opisywałyby świat, który nas teraz otacza.
395:  Jasne, możemy się w nieskończoność otaczać fantazją związaną z jakimiś zwierzątkami, które mówią i z wielką przyjaźnią i podobnymi uniwersalnymi wartościami, ale brakuje trochę na listach lektur tego, co faktycznie opowiadałoby coś o naszym świecie.
410:  Natomiast rzeczy takie jak
412:  które się pojawiają w późniejszych klasach, poza klasykami jak np.
416:  Topsy i lupus Kostsak-Sztuckiej, no to wyjaśniam dziennikarzom TVN-u, że to nie jest książka historyczna i nie należy tego podpinać pod taką narrację, że ohoho, tutaj powstaje polityka historyczna i będziemy mieli więcej Kostsak-Sztuckiej, ponieważ to jest fizycznie opowieść, baśń o dwóch pieskach, które mówią i przebywają sobie w świecie i mają przygody różne, to nie jest książka historyczna.
439:  Ale znowu, jest to ramotka.
441:  którą nawet ja określam jako ramotkę, mimo że przeczytałem Topsego i Lupusa za dzieciństwa i mi się podobało, ale ja też czytałem nałogowo, będąc dzieciakiem i umiem sobie w odróżnieniu od tych kretynów, którzy odpowiadają w Polskiej Zesji za edukację, wyobrazić siebie na tej pozycji.
456:  Znaczy na pozycji człowieka, którego zmusza się do czytania czegoś, co on może zobaczyć na Netflixie.
461:  Dlaczego zamiast Topsego i Lupusa, opowieści o wielkiej przyjaźni zwierząt, nie można obejrzeć sobie dowolnego
469:  filmu Disneya, który to w klasach 1 do 3 jak najbardziej odpowiada temu, co, nie wiem, identyfikowalibyśmy ze światem wartości takiego dzieciaka, prawda?
480:  I co więcej, odpowiada też w gustą, bo kto w szkole podstawowej nie oglądał Disneya?
484:  Zresztą ja do dzisiaj oglądam i z cała się tego nie wstydzę.
488:  W szkole podstawowej klas 7 i 8 zaczynają się już ciekawe rzeczy.
492:  To znaczy pojawia się Nie lękajcie się rozmowy z Janem Pawłem II oraz Sąd o Zrysach Henryka Sienkiewicza.
500:  Kolejna powieść quasi historyczna pisarza, który był uznawany za twórcę literatury popularnej i raczej pogardzanego za to w dwudziestoleciu międzywojennym.
510:  Haha, zanim nie stał się obecnie klasykiem.
514:  Czyli rzeczy, które już byśmy bardzo jawnie i bezpośrednio identyfikowali z ideologią rządzącej partii, czyli konserwatyzmem, prawicowością, polityką historyczną i tego typu rzeczami.
526:  To już zaczyna być ewidentne i oczywiście wszyscy możemy zacząć się z tego nabijać, że oto Stowarzyszenie Umarłych Poetów zostało zastąpione przez...
535:  Nie lękajcie się rozmowy z Janem Pawłem II, ale myślę, że Stowarzyszenie Umarłych Poetów jest zdecydowanie lepsze w formie filmowej z Robinem Williamsem, więc tak, niech sobie dzieci obejrzą rzecz, albo uczniowie, młodzież, wszystko jedno, w formie wizualnej, a nie męczą się tą książką, która wcale zresztą tak dobra nie jest.
553:  Naturalnie nie uważam i nie twierdzę, że to, co ją zastąpiło, jest w jakimkolwiek stopniu lepsze, zwłaszcza, że w osobie Kostza-Krzuckiej, której akurat nie zaznaczyłem na żółto źle, pojawia się tutaj znowu polityka historyczna, ale równocześnie nie jest to reguła, bo inaczej nie pojawiłyby się Sparks i Jesienna Miłość, prawda?
569:  Tudzież nie zostałyby przeniesione fragmenty Melchiora Wańkowicza czy znowu Jana Pawła II, który, o czym za moment i w drugiej części odcinka, już był gościem List Lektur i to nie jeden raz.
581:  No i wywalone zostały wiersze Marcina Świetlickiego, co akurat uważam za słuszne, bo dobre to to one nie są.
588:  W liceum pojawia się rzeczy najwięcej i to będzie kluczowe dla podsumowania tych naszych rozważań, które będą w drugiej części.
595:  Mianowicie pojawiają się praktycznie wyłącznie...
598:  albo powieści historyczne, albo powieści, czy reportaże, czy literatura faktu, które wpisalibyśmy w jakimś sensie w politykę historyczną.
607:  Mamy Kronikę Książąt Polskich, listy z podróży do Ameryki, znowu Sienkiewicza, po raz kolejny mamy Stefana Żeromskiego, największego polskiego grafomana, ale on jest gościem stałym wszystkich list lektur, więc to, że tutaj się pojawia, nie jest zdumiewające.
620:  Mamy inkryminowanego już przez TVN i Wyborczo Witolda Pileckiego w postaci raportu Witolda.
626:  Mamy też
627:  Zofię Kostak-Szczucku, pożogę i wspomnienia z Wołynia 17-19, które znów można byłoby skonsumować w formie filmowej i nikomu się by nic z tego nie stało.
636:  No i pojawia się, oddajmy sprawiedliwość tej listy, ledzieś lektor John Ronald Reuel Tolkien i władca pierścieni, drużyna pierścienia.
644:  Co akurat uważam za zasadne.
646:  Wprawdzie jest to w liście lektur uzupełniających, ale rozumiem, że ponieważ to jest pisarz jednak zagraniczny, może być potraktowany jako coś uzupełniającego naszą erudycję.
656:  Chociaż ja oczywiście wolałbym, żeby każdy przeczytał Ładce Pierścieni w szkole.
660:  W zakresie rozszerzonym w lekturach obowiązkowych wypadł oprócz Świetlickiego Jan Parandowski, Mitologia i Rzym, François Villon, Wielki Testament i Piotr Skarga, Żywoty Świętej.
672:  No więc zobaczcie, że to też nie jest tak, że wrzucono tylko i wyłącznie rzeczy religijne, a wyrzucono tylko i wyłącznie takich progresywnych poetów, którzy opowiadają w wierszach o piciu wódeńki, jak to na przykład Marcin Świetlicki, nie?
687:  Nie jest to reguła.
688:  Ewidentnie jest jakiś inny klucz tej listy i do tego będziemy powoli docierać.
694:  W zakresie rozszerzonym niestety w lekturach uzupełniających pojawiło się jeszcze więcej książek reprezentujących bardzo określoną formację ideologiczną.
703:  Pojawia się znowu Kostsa-Krzczucka, pojawiają się mocni ludzie Osendowskiego.
708:  No i dwie rzeczy autorstwa konfucjańskiego mędrca znanego inaczej jako J.P.
714:  Too.
714:  To znaczy, po pierwsze przekroczyć próg nadziei i kryptych rzymski oraz pamięć i tożsamość i fides i ratio, jakby było jeszcze tego mało, ale pojawia się też pod swoim drugim imianem czy imieniem, czy pseudonimem, czy aptronimem, nie wiem, nie znam się na tych tematach, Karol Wojtyła, więc rozumiemy, że mamy papieża, który występuje pod swoim normalnym awatarem i z czasów sprzed przybrania rzeczonego awatara, nie?
744:  O, więc mamy przed sklepem jubilera jeszcze autorstwa, tego wybitnego pisarza.
749:  Oprócz tego dostajemy jeszcze tradycyjnie kardynałem Stefanem Wyszyńskim, o którym już wszyscy wiemy naturalnie, że w każdej klasie praktycznie, w każdej klasie, jakiej jest w Polsce, niezależnie czy to w podstawówce, czy w gimnazjum, czy w liceum, rozgrywały się w ostatnich dniach, w ostatnich miesiącach, nie oszukujmy się, w ostatnich latach sceny następujące.
773:  Proszę Pani, bo ja mam prośbę od całej klasy.
776:  Dlaczego my nie mówimy więcej o Wyszyńskim?
779:  Dlaczego nie ma Wyszyńskiego?
782:  Nie chcemy gier wideo, nie chcemy komiksów, nie chcemy ni Sandmela, ni Lagajmana.
788:  Chcemy więcej kardynała Wyszyńskiego.
790:  Dlaczego go nie ma?
792:  Jeszcze mówiąc, jest zabawna bardzo ta argumentacja związana z Wyszyńskim.
796:  Minister oficjalnie mówi, że właśnie dlatego został on wprowadzony na listę lektur, że były
801:  prośby, że były apele, że były petycje, no to na tej samej zasadzie lista lektur powinna już dawno temu zostać wzbogacona.
809:  Nie uważacie o inkryminowane przeze mnie wcześniej wideo, komiksy, anime, animacje, Disneya, nie?
816:  Więc to jest tak, że zawsze jest selektywna argumentacja.
819:  Tym razem ta argumentacja, że młodzież żona Wyszyńskiego została uwzględniona, no ponieważ oczywiście była akurałą pod względem politycznym.
830:  No i na sam koniec dostajemy zalecane dzieła teatralne i filmowe w postaci rzeczy, których absolutnie nikt przy zdrowych zmysłach by nie obejrzał albo by nie chciał na nie pójść do kina, w postaci przerwania działań wojennych Juliusza Machulskiego, a min... no...
845:  Kto w dzisiejszych czasach przy zdrowych zmysłach jest w stanie uważać, że przeciętny siedemnastolatek, osiemnastolatek będzie zainteresowany filmem, którym byli względnie zainteresowani moi rodzice, a ja już nie jestem, a mam lat 32.
863:  Więc wydaje mi się, że być może człowiek, który jest ode mnie jakieś dwadzieścia,
868:  dwa razy młodszy, no mógłby nie być zainteresowany czymś, czym ja już nie byłem zainteresowany tak w stu procentach.
877:  No i tradycyjnie, jak to było w przypadku serii Dla Każdego Coś Przykrego i innych mych vlogów tutaj, staram się teraz odpowiedzieć na bardzo zasadnicze i podstawowe pytanie.
890:  What has transpired here?
892:  Co tu się od Janie Pawliło otóż?
896:  to nie odje nie paliło się bynajmniej to, że minister będący przedstawicielem partii rządzącej o profilu skrajnie konserwatywnym i nacjonalistycznym wstrzyknął do listy lektur rzeczy, które są skrajnie konserwatywne i nacjonalistyczne.
911:  Bynajmniej tak nie jest.
914:  Jak się możemy dowiedzieć?
916:  Prawdy.
917:  Jak możemy prześledzić to?
918:  W bardzo prosty sposób.
919:  Mianowicie musicie sobie wejść do Biuletynu Informacji Publicznej, jest coś takiego, a ściśle mówiąc do jego sekcji w postaci Dziennika Ustaw i wrzeczonej sekcji w Dzienniku Ustaw przeczytacie rzecz bardzo interesującą.
931:  Mianowicie przeczytacie, że rzeczy, którymi się tak bulwersujemy dzisiaj, że są w podstawie programowej, były już w niej od zarania.
941:  Jeden z pierwszych rządów po 89, jeden z pierwszych, na pewno nie skrajnie prawicowy Jerzego Buzka.
949:  Miało to taki zestaw lektur.
952:  Zajrzyjmy sobie, oczywiście porównujemy cały czas liceum, żeby nie było w tym momencie konfuzji, bo szkoda mi w tym momencie czasu na to, żeby porównywać wszystkie trzy etapy kształcenia.
962:  Mamy to tradycyjnie oczywiście Mickiewicz, Słowacki, Krasiński, Orzeszkowa, Wyspiański, Reymont, wszystkie te ramotki, które nic nam nie mówią o współczesności.
972:  Ale oczywiście jest też stały bohater listy lektur Żeromskich, jest cała galeria nazwisk Dąbrowska, Kuncewiczowa, Naukowska, Grudziński, Leśmian, Staftów, Miłosz, Baczyński, Różewicz itd.
983:  To jest w zasadzie lista lektur, która jest najbardziej neutralna i charakteryzuje się tym, że została przepisana z list lektur polonistyk wszystkich ogólnopolskich.
992:  Ciekawe rzeczy zaczynają się dziać za rządu w 2007 roku Jarosława Kaczyńskiego I. Otóż nie zmienia się na tej liście lektur absolutnie nic przez 8 lat i dalej mamy ten sam zestaw, który był wcześniej, Ctrl-C, Ctrl-V praktycznie, ale, ale... Właściwie się pojawia pamięć i tożsamość Jana Pawła II.
1013:  Myśmy nie myśleli, że to jest wynalazek jakiś nowy.
1016:  Natomiast najciekawsze, no i naturalnie też pojawia się sporo rzeczy historycznych, no i pojawia się też sterwan wyszyński, to znaczy zapiski więzienne.
