Szkoła NIE MA PRAWA ingerować w wygląd uczniów | Dla każdego coś przykrego #56
🔗 https://www.youtube.com/watch?v=UIg01-l8Wzg

0:  Coraz częściej podnoszona w debacie publicznej kwestia praw ucznia ma dwa oblicza.
5:  Pozytywne oczywiście, to znaczy coraz więcej osób jest świadome problemu i może wywierać nacisk na decydentów na poziomie samorządowym, ministerialnym, żeby faktycznie coś zrobiono z tymi naruszeniami w szkołach, no i też oblicze negatywne.
18:  To znaczy im więcej się mówi o prawa ucznia, tym częściej jest okazja do tego, żeby niektórzy jak zespół R w Pokemonach znowu błysnęli, błysnęli erudycją, tą charakterystyczną erudycją ćwiczoną we wspaniały sposób przez polską oćmiatę i powiedzieli, no tak, prawa ucznia, prawa miłucznia, ale co z obowiązkami?
42:  Oni tak zamierają w oczekiwaniu na pat, pat, ślicznie, ślicznie Łukasz, jak pięknie, bardzo dobrze, bo tego ich nauczyła szkoła, że mają czekać na poklask.
54:  No niestety w tym konkretnym przypadku jest ten problem, że gdy zwłaszcza formuje ten oświecony argument nauczyciel, zapomina o tym, że wedle polskiego prawa oświatowego to statut reguluje prawa i obowiązki ucznia i zanim wrześniecie, no tak, no tak, pomnijcie, że egzekutorami
72:  postanowień statutowych są nauczyciele, grono pedagogiczne i dyrekcja, więc jeżeli obowiązki z ucznia podobno są nierealizowane czy nieregulowane w jakikolwiek sposób, to jest to wina osób piszących statut, czyli jest to wina nauczycieli, a tak samo jest, jeżeli są łamane jakiekolwiek prawa ucznia, to też jest wina nauczycieli, więc niezależnie od tego, czy mówimy o obowiązkach czy o prawach ucznia, za każdym razem i za jedno i za drugie odpowiadają nauczyciele, a problem w Polsce polega na tym, że nauczyciele
98:  rewelacyjnie poczuwają się do sprawowania nadzoru i kontroli nad obowiązkami, natomiast kompletnie nie radzą sobie z prawami ucznia i to na poziomie elementarnym.
110:  Sprawa sprzed paru dni w Podchorcach.
112:  Nauczycielka obcięła uczennicy włosy.
114:  Dziewczynka przyszła do szkoły z kolorowymi końcówkami, co zgodnie z regulaminem placówki jest surowo zabronione.
120:  Ja rozumiem, że gdyby ona przyszła na przykład z tulipanem, tak, to mogłoby to być zabronione, bo kogoś mogłaby skrzywdzić, ale to były kolorowe końcówki.
127:  Jedna z nauczycielek postanowiła wymierzyć jej sprawiedliwość.
130:  No wiecie, Gotham ma swojego mrocznego rycerza, a Polska nauczycielkę z Podchorców.
139:  Cieszmy się, cieszmy się, że jesteśmy chronieni przed taką mroczną mścicielkę.
145:  Zgodnie z regulaminem szkoły, jak czytamy, to jest to zakazane, dziewczynka tłumaczyła jednak, że to nie jest farba jeszcze, żeby było śmieszniej, tylko szamponetka, w związku z powyższym technicznie ona nie zafarbowała włosów, jeżeli by ktokolwiek chciał z tym polemizować,
156:  a zaraz dojdziemy do tego, że w ogóle nie powinien.
159:  Dyrektorka na szczęście zasłuchowała się modelowo, to znaczy pani Marta Kott zgłosiła sytuację do kuratorium, Rady Rodziców oraz gminy, natomiast problem polega na tym, że nie zawiesiła nauczycielki w sprawowaniu jej obowiązków do czasu wyjaśnienia sprawy.
172:  Ja osobiście uważam, że te paragrafy, karty nauczyciela, które umożliwiają albo zawieszenie nauczyciela, albo w ogóle wydalenie z zawodu, powinny być zasądzane po prostu częściej, bo nie są w żaden sposób szkodliwe społecznie, nie krzywdzą nikogo, tylko
185:  Po prostu to jest decyzja pedagogiczna, jeden pedagog ocenia innego pedagoga, słuchaj, ty się po prostu nie nadajesz do tej roboty, idź robić cokolwiek innego, gdzie nie będziesz szkodzić ludziom.
194:  Prosta sprawa.
196:  I zanim powiecie, że to jest izolowany przypadek, niestety to nie jest izolowany przypadek.
200:  I co ciekawe, zauważcie, jaka jest tendencja, jaki jest wspólny mianownik tych wszystkich historii, które sobie przeczytamy.
207:  Innym razem nauczycielka kazała uczennicy zmyć makijaż płynem do mycia naczyń.
211:  To przypadek z lutego tego roku.
213:  Uczennica opowiedziała w sieci, że nauczycielka kazała jej zmyć makijaż płynem do mycia naczyń i pokazać mokrą chusteczkę.
218:  W ogóle kontekst był też taki, że
220:  Zobaczyła nauczycielka matematyki, że był delikatny makijaż i kazała przy całej klasie wziąć te chusteczka, jakiś stary płyn do mycia naczyń i przetrzeć sobie twarz.
229:  Czyli to jeszcze, wiecie, z narażeniem zdrowia potencjalnym.
232:  Miała na scenie pokazać wszystkim te chusteczkę, więc to był taki typowy szkolny lincz, taki sąd klasowy, jak to się mawiało w moich gimnazjalnych czasach.
241:  I zanim powiecie, że to jest przypadek izolowany i dowód anegdotyczny, nie znając definicji dowodu anegdotycznego, który nie jest w żadnym stopniu tożsamy z relacją prasową wydarzenia, które wybiło tak donośnie w Szambie, że nie dało się tego już zignorować, tylko opisuje sytuację, w której ja bym powiedział, że moja ciocia
259:  Opowiedziała, że jej córka Leosia to miała koleżankę Tosię, której znajomy Dominik zrobił toato.
267:  To jest dowód anegdotyczny.
268:  To tak dla kontekstu.
