TVP Kobieta (feat. Tomasz Kammel Channel) | Dla każdego coś przykrego #8
🔗 https://www.youtube.com/watch?v=-PT6Ro2XTOM

1:  Zagadka.
2:  Co kosztuje 24,5 miliona złotego i ma podreperować reputację podupadającej w opinii publicznej stacji telewizyjnej specjalizującej się w szkalowaniu różnych grup społecznych nieprzychylnych aktualnie panującej władzy?
21:  A?
22:  A?
23:  No nie zgadniecie.
25:  Mianowicie Tomasz Kamel.
27:  Tak, Tomasz Kamel, który przedstawia TVP Kobieta.
32:  Wypada, żeby mężczyzna przedstawił coś takiego.
36:  Różowy świat, pełen kwiatków, brokułów parujących, wyjmowanych z różowiutkiego piekarnika, z różowiutkiej kuchni, z różowiutkim czajniczkiem i obok jest różowiutka wanna z różowiutkimi kulami do kąpieli.
51:  dziwny i tyfaliczny obiekt, z którego strzelamy różowym konfetti do budki z lodami.
58:  Następnie możemy sobie wejść na czerwony dywan pod różowym sufitem, a w złotej przymierzalni popucykować się, tak jak to baby zwykłe robić,
66:  też takie dziwne wianki na głowie mają też różowe kwiatuszki i w tej swojej różowej kuchni pikcą różowe rzeczy dla Tomasza Kamela, ale jak w najgorszym odcinku Scooby Go Do Ever Tomasz Kamel też się okazuje kobietą i tak oto powstaje TVP Kobieta taka jak ty
94:  Czemu się nie śmiejecie?
96:  Czemu się nie cieszycie?
98:  W TVP nie tylko i wyłącznie już mówimy o chmurze wirusowej unoszącej się nad demonstrującymi przeciwko wyrokowi Trybunału Konstytucyjnego kobietami, ale mówimy o ich...
108:  Potrzeba o gotowaniu, o brokułach, o wróżowym piekarniku, o gotowaniu wody w różowym czajniczku, o strzelaniu z dużych kustasoidalnych przedmiotów konfettimi w różową budkę z lodami i o tym, co przeczytacie w pani domu w czterech kątach i w różnych babskich serialach o perfekcyjnej pani domu.
136:  W domu, na YouTubach, w kanałach o malowaniu się.
142:  No czego nie rozumiecie?
144:  No przecież dla bab, dla kobiet to jest content.
150:  Profesjonalny XXI wieczny.
154:  Gdzie mam problem z tym zwiastunem i z tą narracją?
