Tu dwie piątki, a nie pały, i się system chwieje cały | Dla każdego coś przykrego #5
🔗 https://www.youtube.com/watch?v=c9jNoLCjIaM

3:  Miałem coś powiedzieć, jak wyskoczył temat elekcji 2020.
9:  Jak to nauczyciele radzili sobie z różnymi problemami, jakie są oczywiste w sytuacji zdalnego nauczania na zasadzie Jesteś u pani!
18:  Pójdę do dziekana!
19:  Pójdę do dyrektora!
21:  Otrzymujesz minus!
23:  No bo to przecież są fenomenalne metody dydaktyczne i to jasne jest, że jeżeli ktoś narysuje, narysował penisa, nie niesamowite, kto by się tego mógł spodziewać, albo studenci lub uczniowie robili sobie żarty w szerowanych notatkach, kto to mógł przejdzieć?
43:  Stwierdziłem, że nie będę tego komentował, że te filmy, które krążą po sieci, zguglajcie sobie lekcje 2020, mówią absolutnie wszystko o polskim szkolnictwie, co można było powiedzieć, ale dzisiaj pękła mi żyłka, jak zobaczyłem funebryczną relację Związku Nauczycielstwa Polskiego na Facebooku, gdzie powiedzieli, że uczniowie...
66:  Ściągają, oszukują, zasłaniają folijką kamerki.
70:  Zresztą zaraz to wszystko sobie przeczytamy, a rodzice nie reagują.
75:  I już nie byłem w stanie wytrzymać.
78:  Ale jeszcze, jak mawiają Anglosasi, dodano obelgę do zranienia.
84:  Add insult to injury.
86:  Mianowicie powiedziano, że przez to, przez to uczniowie nie będą sobie radzić w prawdziwym życiu.
95:  Dobrze usłyszeliście.
101:  Więc tak, mama robi polski, tata matematykę, nauczyciele proszą, by ograniczyć pomaganie dzieciom w zdalnych lekcjach.
106:  Taki nagłówek się pojawia w dzisiejszej gazecie wyborczej, wydanie krakowskie.
112:  I od razu, od razu przechodzimy do crème de la crème.
117:  W czasie zdalnego nauczania dzieci i rodzice oszukują, przy odpowiedziach ustnych czytają z zeszytów, książek, internetu i czego jeszcze się da.
134:  Zatrzymajmy, zatrzymajmy tę karuzelę śmiechu.
139:  Wyobraźcie sobie sytuację następującą.
142:  No nie wiem, jesteście w korporacji, jest problem do rozwiązania.
145:  Ktoś nie wie, jak rozwiązać ten problem.
149:  To teraz biorę odpowiedzi z audytorium.
152:  No, proszę bardzo, co robimy w takiej sytuacji?
157:  Sprawdzamy jakąś książkę, sprawdzamy internet albo konsultujemy się nawzajem.
162:  To tak, żeby ten argument, który będę przedstawiał za moment, już zaczął powoli wsiąkać, okej?
168:  Następnie zasłaniają kamerki folią, żeby było gorzej widać.
172:  Przecież oczywiste jest to, że musimy nadzorować, jak w Wielkim Bracie.
177:  Musimy mieć to oko kamery, które będzie patrzyło na ucznia i sprawdzało, czy przypadkiem on tam czegoś sobie nie wyświetla, czego nie powinien.
187:  No najlepiej, żeby był taki permanentny obraz z pulpitu, żeby wiadomo było, że na przykład nie robi czegoś, co jest bardziej interesujące.
197:  Nie dajcie bogowie!
199:  Wyłączają mikrofony po usłyszeniu pytania, po czym za chwilę, jak uprzejmy sufler... Ten to poczucie humoru nauczycielskie.
211:  Jak sufler podpowie, no to wtedy mikrofon włączamy z powrotem.
214:  Czy u was też tak jest?
216:  Pyta na Facebooku nauczycielka z grupy Ja Nauczyciel, mi się przypomina Ja Inkwizytor, która to skupia 50 tysięcy nauczycieli z całej Polski.
225:  No i podobnych historii jest dość dużo.
228:  Generalnie wszystko sprowadza się do tego, że rodzice podpowiadają, odrabiają za dzieciaki zadania i bawią się w nadzorców, bo przecież mało już tego nadzorującego oka kamery, jeszcze lepiej, żeby do rodziców dodatkowo nadzorowali dzieciaki i się upewniali, czy na pewno, aby jest realizowana.
247:  Teraz proszę wstać.
