W ogniu krytyki hartują się poglądy | Dla każdego coś przykrego #22
🔗 https://www.youtube.com/watch?v=oYiKtajKNl4

0:  W ogniu krytyki hartują się poglądy.
5:  Takie powinno być motto całej serii dla każdego coś przykrego.
9:  Zreflektował się po przeszło 20 odcinkach Krzysztof, w której staram się wam podprogowo trochę, poruszając różne gorące tematy, przekazać, że krytyka, nawet najzłośliwsza, nawet najdotkliwsza,
23:  może być dobra, ponieważ zmusza do refleksji, do działania czasem i wcale nie jest tak, że
31:  nie wystarcza sama sobie, że nie jest samowystarczalna, że poprzedza jakiś program działania czy odbudowy.
39:  Bardzo często w komentarzach widzę, no tak prosto krytykować, a powiedz jak coś naprawić.
46:  Może jeszcze frytki do tego i kawusie zrobić i na tacy, tak jak szkoła nauczyła.
52:  Proszę bardzo, to jest rozwiązanie.
55:  Ale szkoła nauczyła nas czegoś jeszcze.
58:  I to jest chyba moja największa pretensja przy wszystkich pozostałych do polskiego szkolnictwa.
63:  Mianowicie nauczyła nas tego, że krytyka jest czymś złym.
67:  Przymiotnik krytyczny w języku polskim w większości przypadków jest używany w rejestrze pejoratywnym, jako coś złego, negatywnego.
75:  Jeżeli jesteśmy wobec kogoś krytyczni, to na pewno nie mamy na myśli tego, że tutaj jest program naprawy i odbudowy.
82:  Nie, zazwyczaj mamy na myśli to, że jest idiotą i powinien coś zrobić ze sobą.
87:  Tak samo rzeczownik krytykanstwo, który jeszcze podkręca do jedenastki negatywność tego określenia i wiele, wiele innych przypadków użyć tego słowa.
96:  Krytyk literacki, no cóż, sam kiedyś jechałem i złusznie po krytyku literackim, który musiał, mówiąc o Radku Raku, użyć słowa...
105:  klegada, żeby nie powiedzieć fantastyka, więc krytyk literacki też się dobrze w Polsce nie kojarzy.
112:  Natomiast dlaczego mówię, że źródłem tego jest szkoła?
115:  No bo pierwsza sytuacja w życiu, prawdopodobnie, pomijając oczywiście te rodzicielskie i domowe, w której stykamy się z krytyką, ale nie taką krytyką, która właśnie jest osłonięta tym kokonem domowego zacisza, tylko jest publiczna,
130:  To właśnie szkoła, gdzie krytykuje się nie in angelo cum libello w kąciku z książeczką indywidualnie i mówi, no tutaj właśnie mógłbyś coś zrobić dobrego, w zasadzie tu popełniłeś tylko parę błędów, ale...
147:  ale jeszcze trochę i będzie lepiej.
149:  Nie, nie, nie, no wiadomo, to wygląda w ten sposób, że się wyciąga delikwenta lub delikwentkę przed 30 osób, bo pamiętajmy, klasy 30-osobowe były wymyślone w pruskim systemie po to, żeby łatwiej było zaprowadzać ordnung wojskowy oraz taką urawniłowkę, żeby wszystko było po równo, tak?
165:  I żeby właśnie można było też prokurować tego typu sytuacje.
168:  No i wobec tych 30 osób
171:  Udowadnia się, że ktoś jest idiotą, że czegoś nie wie, odpytuje się albo przed tablicą, albo w jakiejkolwiek innej sytuacji.
179:  Nawet na studiach nie ma krytyki pod pręgierzem.
183:  Na egzaminy wchodzi się pojedynczo, czasem w dwie osoby, no maksimum w trzy.
188:  A i tak zwykle jest tak, że jedna osoba pracuje nad kolejnym pytaniem, podczas gdy druga odpowiada na inne swoje pytanie i zaręczam, że głównie myślą o tym, co mają powiedzieć, a nie o tym, co myślą o nich inni.
200:  ponieważ to są studia.
202:  Natomiast w szkole paradoksalnie jest trudniej, to znaczy musimy nie dość, że odpowiadać pod presją czasową, to jeszcze wobec trzydziestu czy czterdziestu czasem patrzących na nas koleżanek i kolegów.
215:  I jeszcze wobec nauczyciela, który jest ex-katedra, na katedrze, namównicy, z pozycji władzy, pokazuje nam, że jesteśmy idiotą.
224:  Ja się nie dziwię w takiej sytuacji, że krytyczność może być postrzegana źle.
229:  I rdzeń tego problemu tkwi w tym, że w ogóle w polskim kręgu kulturowym słowo krytyka nie zachowało tego znaczenia, które ma oryginalnie.
237:  Tak, Krzysztof znowu będzie mówił o etymologii, ale jest ważna.
241:  Bear with me, niedźwiedź ze mną, okej?
