WF to patologia | Dla każdego coś przykrego #23
🔗 https://www.youtube.com/watch?v=kq1h5vcGd9g

0:  Wychowanie fizyczne jest fantastyczne, a tak naprawdę to nie.
7:  To jeden z tych typowych zwrotów, w których intuicyjnie dostrzegamy pewne kłamstwo, rozumiemy słowa, które się składają na to wyrażenie, wiemy czym jest wychowanie, wiemy czym jest fizyczność, ale dali Bóg, zwłaszcza przeszedłszy przez szkołę, nie wiemy czym jest i miało być w zamyśle wychowanie fizyczne.
29:  No, jak zwykle, jeżeli byśmy chcieli się dowiedzieć, czym jest wychowanie fizyczne, no możemy sięgnąć do sieci i zobaczyć, w jaki sposób wychowanie fizyczne jest w sieci opisywane.
44:  No, na przykład możemy przeczytać o tragicznym wypadku, w wyniku którego zginął dziesięciolatek w szkole,
57:  możemy ewentualnie przeczytać, że w Legnicy z kolei zmarł trzynastolatek, który, no nie ćwiczył tak dziesięciolatek w kostomłotach, na drabinkach, tylko po prostu przygniótł go konar.
76:  No wiecie, może się zdarzyć każdemu WFiście, że trzynastoletniego ucznia przygniecie konar.
85:  I pewnie dlatego ten WFista został uniewinniony na razie przez sąd pierwszej instancji, ale rozumiecie, to się zdarza w każdej przeciętnej korporacji, że pracownik przychodzi na swoją zmianę, ma właśnie coś zaprogramować albo wykonać jakieś obliczenia względnie, zrobić kawę swojemu szefowi i nagle ni stąd, ni zowąd konar go przygniata.
111:  No i oczywiście nikt nie ponosi za to żadnej odpowiedzialności, ponieważ nie jestem w stanie zrozumieć powodów, dla których tak się dzieje.
119:  I przypomina mi się od razu anegdota, która jest z mojego własnego życia.
122:  Ja byłem świadkiem wypadku na lekcji wychowania fizycznego.
126:  Było to w szkole podstawowej konkretnie, w której nie było miejsca w szali gimnastycznej.
132:  No bo nie było.
133:  Więc tak zwana gimnastyka korekcyjna, też słowo, które składa się z...
141:  Rozumiemy każde, wiemy czym jest gimnastyka, wiemy czym jest korekcyjna.
145:  Razem jest to dość tajemnicze.
147:  No i podczas tej lekcji, ponieważ nie było sali, byliśmy na korytarzu.
151:  Do dzisiaj zresztą pamiętam ten charakterystyczny zapach, który się unosił z dłoni dotykającej wcześniej parkietu, po którym chodziły ludzie w brudnych butach i później ta dłoń tak ładnie pachniała tym potem, tym brudem.
166:  O, to jest jeden z zapachów szkoły, który sobie przypominam.
170:  Ale wiadomo oczywiście, że szkoła pachnie pierwszymi listkami jesiennymi we wrześniu i potem pachnie tlenem, który wdychamy i świeżo koszoną trawą.
183:  No niestety, moja szkoła pachnie brudnymi klepkami parkietu z wdeptanym brudem w nie.
189:  I podczas jednej z lekcji gimnastyki korekcyjnej, w rzadkich chwilach, w których byłem przytomny, a nie zniewolony tymi oparami unoszącymi się we wsząd,
200:  widziałem, jak moja nauczycielka złamała rękę mojej koleżance i to w okolicznościach następujących.
207:  Po prostu ona nie umiała wykonać pewnego ćwiczenia, więc nauczycielka do niej podeszła i jej zaczęła ją szarpać, żeby wykonała to ćwiczenie, bo ćwiczenie jest ważne.
216:  Zresztą miała ona nauczycielką wielu talentów.
219:  Pamiętam, jak ja nie umiałem wykonać jakiegoś ćwiczenia i za każdym razem, jak robiłem je źle, to dostawałem burę, po czym zrobiłem je dobrze i wydawało mi się, że dobrze zrobiłem to ćwiczenie,
230:  Jak nic nie mówię, to znaczy, że dobrze.
236:  No więc to taka moja anegdota do serii rzeczonych.
239:  Ale możecie powiedzieć, Krzysztofie, dowody anegdotyczne, uspokój się, nie szkaluj nauczycieli, kończą oni wyspecjalizowane kierunki, to tylko przez Czarnka jest źle w szkole i przez kuratoria.
259:  I to nie jest tak, że wcześniej było zawsze źle.
262:  To wcale nie jest tak, że to system jest winny, tylko są...
265:  Dobrzy nauczyciele, tak?
267:  Niewątpliwie.
268:  Jest ich parudziesięciu w skali kraju, ale nie zmienia to faktu, że system sprzyja patologiom, jak na przykład fakt, że są niedoinwestowane sale, ale również fakt, że nie do końca mamy przemyślane to, jak te lekcje WF-u miałyby w tych nawet świetnie wyposażonych, załóżmy, salach gimnastycznych wyglądać.
288:  Ponieważ problem polega właśnie na tym, że używamy sformułowania
292:  Wychowanie fizyczne.
294:  Nie do końca wiadomo, czym to wychowanie fizyczne jest.
297:  No i w trudzie znalezienia podstaw merytorycznych dla obecności takiego przedmiotu w szkole, która, o ile pamiętam, ma uczyć nas takiej rzetelnej, sprawdzalnej, weryfikowalnej wiedzy.
311:  Można zapędzić się aż do książki na temat wychowania i edukacji w starożytności, podlinkuję ją Wam w opisie, gdzie to w klasycznym zresztą opracowaniu czytamy, że przyświecał WF-owi wychowaniu fizycznemu ideo kalokagatii.
330:  Problem z Kalokagatią polega na tym, po grecku kalos kajagatozo oznacza wzór cnót wszelakich, więc wcale nie jest tak, jak w podręcznikach szkolnych piszą, że to jest połączenie ideału fizycznej urody oraz psychicznej, więc problem z nią jest taki, że to była tylko pewna hipoteza wyrażona w tej właśnie książce, że tak to z Kalokagatią jest, a Kalokagatia, będąc wzorem cnót wszelakich, po prostu miała służyć jako...
354:  Wzorzec, jak to bywa z wzorcami edukacji w starożytnej Grecji.
359:  I tylko tyle.
360:  Oczywiście dobrze wiemy, że ideały urody w starożytnej Grecji były inne, dobrze wiemy, że na edukację składało się zarówno ćwiczenie w gimnazjonach, jak i...
370:  no powiedzmy przechadzki perypatetyckie z mędrcami i relacja mistrzowska między uczniem a nauczycielem, bo dobrze wiemy, że greckie skola oznacza raczej odpoczynek, natomiast askola to jest praca, więc szkoły jako takiej wtedy nie ma, więc podstawy dla kalokagatii są dość grząskie, rzekłbym.
390:  Niemniej jednak mówię o tym z tego względu, że bardzo często jest ona przywoływana, bo wydaje nam się właśnie, że na edukację zgłada się z jednej strony ten
399:  To ćwiczenie mózgu, a z drugiej strony ćwiczenie ciała.
403:  Jeszcze pół biedy.
405:  Nawet jeżeli byśmy założyli, że faktycznie tak jest, choć jest to dziwna definicja edukacji, to nie zmienia to faktu, że na WF-ach nie ćwiczymy ciała.
419:  Co robi przeciętny 25-30-latek w którymś momencie, kiedy stwierdza, że już taki wiek nastał, że należy zadbać o siebie, żeby utrzymać dalej na przykład życie miłosne albo żeby, nie wiem, zdrowo żyć.
437:  Mogą być wiele różnych motywacji do tego.
441:  Idzie oczywiście pobiegać albo idzie na siłownię albo idzie na basen.
449:  No to ja czegoś nie rozumiem.
450:  Przepraszam was, ja czegoś nie rozumiem.
453:  To dlaczego on nie idzie pograć w gałę?
456:  Dlaczego on nie idzie grać albo ona w koszykówkę?
459:  Dlaczego nie siatkówka?
462:  No to może chociaż dwa ognie?
465:  A może zbijanego?
467:  Dlaczego oni idą na siłownię?
470:  Przecież to nie jest wychowanie fizyczne.
474:  To temu nie służy.
476:  Wcale nie jest tak, że to jest najskuteczniejsza forma dbania o utratę zbędnej masy ciała i dbanie o tężyznę fizyczną.
486:  Wcale nie jest tak, że bieganie pozwala szybko, relatywnie zrzucić siłownię.
494:  zbędne kalorie, to wcale nie jest tak, że te ćwiczenia personalne, które wymyślają trenerzy nam, to nie, to pójda wszystko.
504:  Powinni po prostu, nie wiem, 20 minut na orliku rżnąć w gałę, jak polscy politycy w meczu z TVN-em i wtedy będzie sport, wtedy będzie tężyzna fizyczna, wtedy będzie wysiłek.
520:  A...
522:  Jakiego to słowa Krzysztof użył?
528:  Sport!
532:  No bo tutaj jest taki malutki, maluteńki crux interpretatum, czyli taki moment zwrotny interpretacji ukryty przed naszym okiem.
546:  Otóż nie ma wychowania fizycznego w szkołach, jest wychowanie sportowe.
552:  Jest przygotowanie uczniów do tego, żeby konkurowali ze sobą w różnych dyscyplinach sportowych, żeby konkurowali ze sobą w różnego rodzaju zawodach.
567:  Konkurowali.
568:  Przypomina się wam coś, mam nadzieję, prawda?
571:  To, co wspominałem w materiale o szkole, w materiale o egzaminach, w nieistniejącym materiale o wyścigu szczurów, który pewnie kiedyś zrobię.
582:  Te tabelki rankingowe.
585:  On jest pierwszy, bo ma 457 punktów, a ten...
593:  Głupi Tomek ma 439, a Basia jeszcze głupsza ma tylko 411.
602:  Głupia Basia.
605:  I ja dokładnie tak samo w sporcie.
609:  To słaby jest.
611:  Patrzcie na Bartka, on nie umie biegać.
615:  Crispin powiek szybciej.
618:  On jest pierwszy, a tamten jest drugi.
621:  I nagle się okazuje, że podają sobie ręce te dwie części kalokagati wypaczonej szkolnej, to znaczy ta tężyzna umysłowa i tężyzna fizyczna spotykają się jako tych dwóch Spidermanów z memu i to ty, to ty poznaję cię!
