Witaj w szkole, CZYLI W PIEKLE | Dla każdego coś przykrego #17
🔗 https://www.youtube.com/watch?v=mfPxn85Tu7c

2:  Daj szkoło!
5:  Nie masz dwóch wyrazów, które by wywoływały u mnie większe obrzydzenie i wstręt niż te dwa niezmiennie w towarzystwie kolorowych kredeczek.
19:  Chmurek, słoneczka i tęczy pyszniących się na afiszach i banerach reklamowych i plakatach we wszystkich możliwych sklepach i galeriach handlowych pod koniec sierpnia.
37:  Jak byłem dzieckiem, dla mnie było kompletnie niezrozumiałe, z jakiego powodu szkoła, słowo, które wywoływało u mnie same najgorsze emocje, parowane jest z tego rodzaju radosnym i słonecznym imaginarium.
54:  Kto wpadł na taki pomysł i dlaczego?
57:  Dlaczego w sierpniu, kiedy jeszcze cieszę się wakacjami z rodzicami, ktoś mi przypomina na każdym kroku?
64:  Już za moment, już za moment będziesz z powrotem w kołchozie.
71:  Skończy się.
73:  Genuśność, odpoczynek i lenistwo.
78:  I zacznie się praca.
80:  Zacznie się pisanie, lekcja, temat.
83:  Zacznie się rezygnowanie ze swojego imienia i nazwiska na rzecz numerka w dzienniku i później...
90:  Liczenie na to, że ten numerek zostanie wylosowany, co by być szczęśliwym i nie odpowiadać danego dnia.
97:  Zaczną się te wszystkie radosne mechaniki, które zmuszały uczniów i zmuszają dalej do tego, żeby akceptowały tę grę społeczną, jaką jest właśnie szkoła.
110:  I dowcip polega na tym, że jeżeli sobie zajrzymy do etymologii tego słowa, czyli zrobimy to, co bardzo chętnie robię na tym kanale, za każdym razem starając się wam pokazać, że w historii słów kryje się bardzo często prawda, dawno o nich zapomniana,
130:  no to nagle się dowiemy, że szkoła to nie było tylko i wyłącznie, tak jak nam dzisiaj się to wydaje, miejsce, w którym się gromadzi uczniów po to, żeby w nich wlać wiedzę, którą mają zdeponowaną w sobie nauczyciele.
145:  Nie, nie, nie, nie.
148:  Szkoła, moi drodzy, w starożytnej Grece czy w starożytnym Rzymie była kojarzona z czasem wolnym.
158:  Szkole greckie to jest czas wolny, wypoczynek od pracy, który możemy przeznaczyć na rzecz działalności
169:  No właśnie, na rzecz samorozwoju, na rzecz poszukiwania wiedzy, myślenia.
175:  Pamiętajmy, czym dla Greków była filozofia, była umiłowanie mądrości.
180:  Nie miłuje się wtedy, kiedy ma się bardzo dużo na głowie.
184:  Nie mamy na to czasu, żeby się oddawać przyjemnościom, uciechom życia, a już na pewno nie pogoni za abstrakcyjnymi ideami.
192:  Więc możemy sobie zadać bardzo proste pytanie w tym momencie.
198:  Co się stało od tego czasu, kiedy szkoła była kojarzona z czasem wolnym, do teraz, kiedy sformułowanie witaj szkoło i we mnie, co by nie było nauczycielu akademickim, wzbudza najwyższy wstręt i obrzydzenie.
215:  Dlatego także...
217:  że dobrze wiemy o co chodzi z tym witaniem szkoły w galeriach i sklepach.
221:  No przecież oczywiście, że chodzi o to, żeby kupić te piórniczki, flamastry, zeszyciki, podręczniki i wszyscy przedsiębiorcy zacierają ręce.
233:  Rodzice znowu będą musieli kupić wyprawkę do szkół i znowu będą musieli wydać pieniążki, ponieważ oczywiście edukacja jest bezpłatna, jak dobrze pamiętamy i dlatego też trzeba bez przerwy na nią ułożyć pieniądze.
