Wykładowcy podszywają się pod studentów *sigh* | Dla każdego coś przykrego #6
🔗 https://www.youtube.com/watch?v=yOZUXHFQ3vI

1:  Oh yes, it's the time of the year.
5:  Sesja egzaminacyjna zbliża się wielkimi krokami, a z tą sesją zbliżają się i przeciekawe informacje, z których jedna w sposób szczególny mnie zainteresowała.
21:  Otóż... Bear with me.
24:  Wykładowcy udają studentów...
28:  żeby wejść do grupek na fejsie.
32:  Spytacie, dlaczego?
33:  Ja rozumiem, że powszechne przekonanie jest takie, że wykładowcy i naukowcy i akademicy nie mają co robić z wolnym czasem, w związku z powyższym już przestały nas dziwić ich fetysze i idiosynkrazje, ale tego jeszcze nie było.
46:  No to oczywiście, jak zawsze w nauce, zwłaszcza polskiej, powód jest szczytny.
51:  Otóż chodzi o to, ażeby pilnować studentów, żeby nie zrobili sobie samym krzywdy.
59:  I wykładowcy o to przychodzą do nich, żeby im pomóc, żeby nie oszukiwali sami siebie, nie przekazywali sobie notatek, bo przecież w studiach chodzi o to, żeby zdać egzaminy samemu.
77:  Nie chodzi o to, żeby się czegoś nauczyć albo przystosować się do pracy grupowej, współpracy zespołowej.
82:  Nie.
82:  Nie.
83:  Więc wykładowcy przychodzą z pomocą, spieszą z nią wręcz i poświęcają się te swoje cenne godziny i minuty na to, żeby zabawić się w takiego zimnowojennego szpiega z rodem Stinker, Taylor, Soldier, Spy, tylko że nie mają takich fajnych ciuchów.
101:  I...
103:  Postanawiają przybrać sobie pseudonimy.
106:  Oto na przykład Marcin przedstawia się jako Anna.
110:  Rozumiemy, że absolutnie nie da się tego zdekonspirować.
117:  Zwłaszcza jak student, który dba o to, żeby, no wiadomo, używać emoji, no bo młodzi ludzie używają emoji, albo żeby powiedzieć, że Discord, tak, no bo te młodzi używają Discorda i no, dodaj mnie do tej grupy, dodaj, dodaj, gdzie tam Discord jest, wyraza mi szacunko Marci.
137:  Ale...
139:  It's getting better.
141:  Inna konwersacja.
142:  Dodałbyś mnie, proszę, potrzebuję pomocy.
144:  A studiujesz z nami?
145:  Właśnie ja jestem na siódmym semie.
148:  Semie, nie?
149:  Znaczy nie semestr, tylko sem, bo skróty, nie?
153:  Okej.
154:  Jak nie znam tego, to będę musiał siedzieć dłużej, a wolałbym tego uniknąć.
157:  No czaję, czaję, ale muszę cię poddać testowi.
160:  Tutaj w tym momencie chciałbym przyznać pierwszą nagrodę Krzysztofa Maja dla najlepszej i najczujniejszej odpowiedzi studenta.
168:  Muszę cię poddać testowi dla bezpieczeństwa.
