Z pamiętnika klasistowskiej noblistki | Dla każdego coś przykrego #31
🔗 https://www.youtube.com/watch?v=WpZb8dSzyVY

1:  Niektórym ludziom tak spieszno na salony, że z trudem wyhamowują przed ustępem.
8:  Albo na festiwalu Góry Literatury, czyli najnowszym dziecku wybitnego geniuszu, noblistki Olgi Arystokarczuk, jednej z najbardziej elitystycznych i klasistowskich osób, jakie stąpały po literackim salonie Polski, o czym mówiłem już w jednym odcinku dla każdego coś przykrego.
28:  I wiele osób mówiło, ale Krzyś?
31:  Ale Krzysztof, ty źle czytasz przemowę noblowską.
38:  Właściwa interpretacja z klucza mówi, że powinieneś szlochać nad konstruktem czułego narratora, że powinieneś mówić jak wybitnie, Olga Arystokarczuk.
53:  Diagnozuje bolączki współczesnej kultury, że powinieneś sekundować jej w tym, jak wyśmiewała się z ludzi oglądających seriale lub grających w gry wideo, osobliwie przywołując przypadek Tomb Raidera, czyli gry z silną kobiecą protagonistką, o której swego drogu w tym kontekście pisał niegdyś dr Adam Vlamma w książce poświęconej silnym kobiecym protagonistkom w grach wideo.
79:  Ale jak wiemy już powszechnie, w Oldze Tokarczuk nie chodzi ani o promocję czytelnictwa, nie chodzi jej bynajmniej o promocję kwestii kobiecej i nie chodzi jej o promocję ważnych idei.
91:  Jej chodzi o promocję...
94:  ale przede wszystkim jej klasowego interesu, czego świadectwem jest wypowiedź na rzeczonym festiwalu Góry Literatury, której z bólem wszakże, ale wysłuchamy sobie, żeby nikt nie mógł mówić, a będą takie głosy przywoływane w późniejszej części materiału, że zdanie o czytelnikach idiotach jest wyrwane z kontekstu.
117:  Otóż teraz nie będzie.
120:  Bo jesteś noblistką, bardzo popularną pisarką.
122:  To są dwa zdania, które jednak w XX wieku często oznaczały zupełnie inne obiegi, mam wrażenie.
132:  Podzielam fascynację prozą gatunkową czytelników.
137:  Czytelnicy jakoś czują się bardziej bezpiecznie, jeżeli kupują książkę, która jest gatunkowa.
142:  Kupują kryminał, wiedzą mniej więcej, co będzie się działo.
145:  Albo horror i też te sposoby opowiadania mają swoje prawidła, w nich się dobrze jest poczuć.
153:  Czytelnik się też czuje bezpiecznie.
156:  Mnie sprawia przyjemność jakby rozmontowywanie czy przesuwanie tych granic.
160:  No właśnie, bo w wykładzie noblowskim to bardzo zgryźliwie o tych gatunkach mówiłaś przecież.
165:  Bo głęboko wierzę, że można literaturę gatunkową podnieść na wysoki poziom.
171:  Powiedzmy sobie szczerze, proszę Państwa, cała literatura, jakakolwiek gatunkowa, niegatunkowa, literatura nie jest dla idiotów.
179:  Ja nigdy nie oczekiwałam, że wszyscy mają czytać i że moje książki mają iść pod strzechy.
187:  Wcale nie chcę, żeby szły pod strzechy.
189:  Literatura nie jest dla idiotów.
191:  Żeby czytać książki trzeba mieć jakąś kompetencję, trzeba jakby...
195:  mieć wrażliwość pewną, pewne rozeznanie w kulturze.
198:  Te książki, które piszemy, tak jak mówiłam, one są gdzieś zawieszone, zawsze się z czymś wiążą.
203:  Nie ma takich, nie wierzę, że przyjdzie taki czytelnik, który kompletnie nic nie wie i nagle się zatopi w jakąś literaturę i przeżyje tam katarzys.
212:  Więc piszę swoje książki dla ludzi inteligentnych, którzy myślą, którzy czują, którzy mają jakąś wrażliwość.
220:  Uważam, że moi czytelnicy są gdzieś do mnie podobni.
223:  Piszę do krajanów swoich.
233:  Czyli piszemy do banieczki.
236:  Tej banieczki, której podoba się klasistowski przywilej czytania odpowiednich rzeczy dla odpowiednich ludzi.
247:  To jest tak zwany filter bubble, bańka informacyjna.
250:  Dobrze się w takiej banieczce czujemy, jak na
253:  festiwalu Góry Literatury, który sami organizujemy dla samego siebie, ludzie klaszczą, ponieważ każdy oczywiście myśli, że to nie on jest tym idiotą, o którym mówi Olga Arystokarczuk, prawda?
263:  Ale biją brawo swojemu guru, ponieważ guru powiedział, że inni są idiotami, czyli wszyscy ci, którzy czytają horrory, czytają nieumiejętnie przetworzoną literaturę gatunkową, oni są tymi gorszymi, prawda?
276:  Widzicie, ta wolta, i to jest kluczowa sprawa, od różnicy, o której mówił wywiadujący Tokarczuk, pisarz, między prozą, którą ona uprawia, a tym, że jest się popularnym, do literatury gatunkowej była bardzo szybka.
293:  Olga Tokarczuk, a słuchajcie, Arecz Tokarczuk, ta nazwa nigdy nie była wcześniej tak adekwatna, daje nam bez przerwy do zrozumienia, że uprawia literaturę, która jest lepsza w jej mniemaniu, ponieważ nie jest gatunkowa.
307:  Oczywiście kwestia tego, czym jest literatura gatunkowa, czyli genre fiction po angielsku, jest kwestią bardzo problematyczną i w zasadzie się już od tego od dawna odchodzi, to znaczy odchodzi się mniej więcej od przełomu postmodernistycznego.
320:  Ale zabawna rzecz polega na tym, że Olga Tokarczuk utknęła w modernizmie, w tym modernistycznym przekonaniu o kanonie, takim jak Harold Bloom, który kiedyś go stworzył, o konieczności stworzenia wzorców estetycznych, przekazywania ich następnie we szkole i na uczelni i w piśmiennictwie krytyczno-literackim.
342:  I debatowania o nich oczywiście w saloniku, gdzie są pisarze zrzeszeni w penklubie.
347:  To jest ta idea literata, nie prozaika, który pisze produkt i sprzedaje go ludziom po to, żeby im się to podobało, tylko literata, który tworzy literaturę.
358:  Dlatego to różnienie jest takie istotne.
361:  I w momencie, w którym przechodzimy...
364:  od literatury gatunkowej i jej krytyki do stwierdzenia, że piszemy nie dla idiotów, trzeba byłoby faktycznie być idiotą, żeby nie zauważyć, że to, co jest nie wprost wypowiedziane tutaj, to to, że literatura gatunkowa, nieumiejętnie napisana na przykład, jest dla idiotów.
381:  I to jest problem.
382:  To znaczy, problemem jest twierdzenie, że ktoś niewykwalifikowany w jakikolwiek sposób będzie...
388:  akurat odbiorcą określonego nurtu sztuki, nieważne jakiego medium.
394:  I teraz czuję się szczególnie uprawniony do tego, żeby wypowiedzieć na temat mojego ulubionego słowa, to znaczy idiota.
400:  Zawsze powtarzałem, że idiota to jest etymologicznie ten, który jest zapatrzony w siebie, od greckiego idiotes.
407:  I wydaje mi się, że owszem, mamy tutaj jednego idiotę wedle tej definicji.
412:  Ale oczywiście...
414:  Wszyscy, ale to absolutnie wszyscy ludzie mediów i ludzie kultury ruszyli na pomoc Oldze Arystokarczuk, ponieważ nie może być tak, żeby bili naszych, wiadomo.
425:  Jeżeli biją innych, to co innego, ale jeżeli biją naszych, uuu, nieładnie.
431:  No i na szczęście był rezonans medialny w tej sprawie, to znaczy po pierwsze pojawiły się materiały prasowe o oskarżeniach o klasizm i elitaryzm, czy też elityzm, bardzo słuszne oskarżenia, ponieważ przypomnijmy mówienie, że czytanie książek wiąże się z pewnymi kompetencjami, wrażliwością i rozeznaniem w kulturze, jest nadużyciem, ponieważ czytanie każdego książka
454:  rodzaju narracji, odbiór każdego rodzaju narracji, granie w gry wideo, oglądanie filmów, oglądanie seriali, czytanie komiksów, mang, oglądanie anime.
465:  To wszystko wymaga pewnych kompetencji i po to ludzie tworzą różnego rodzaju listicles na YouTubie, albo kanony, albo listy rekomendacji, albo listy książek, które przeczytali na Goodreads, albo moją listę na Netflixie, czy Disney+, czy HBO Max po to, żeby ułatwić sobie konsumowanie różnych przejawów kultury.
484:  I do tego, żeby budować w sobie poczucie rozeznania w jakimś przejawie kultury, trzeba oglądać, grać, czytać.
493:  Trzeba uczestniczyć w kulturze.
495:  Więc jest truizmem, że potrzebne są określone kompetencje, żeby coś obejrzeć.
499:  Jeżeli ja bym komuś, kto nie obejrzał nigdy w życiu anime, powiedział, no to zacznij.
504:  No to od czego ma zacząć ten człowiek?
506:  Co ma zrobić?
507:  Więc zacznij sobie googlać, sprawdzać recenzje, sprawdzać rekomendacje, sprawdzać listy, sprawdzać kanony.
513:  Ale mogę powiedzieć z całą stanowczością, że jestem w stanie z każdego medium wyselekcjonować 50, 100, 1000 w niektórych przypadkach fragmentów takich utworów, które by zdetronizowały intelektualnie całokształt twórczości Olgiary Stokarczuk z bardzo prostego powodu.
532:  Będzie tego o rząd wielkości więcej.
536:  Jest skandalicznym błędem mówienie, że jakiś rodzaj medium, w tym przypadku literatura, wymaga określonych kompetencji.
543:  Literatura wymaga najniższych kompetencji.
546:  Musicie tylko umieć czytać, nic więcej.
549:  A jeżeli chcecie na przykład zagrać w grę wideo, w której będziecie musieli czytać także, bo trzeba czytać dialogi, książki, żeby zorientować się w narracji, to jeszcze musicie opanować mechaniki.
559:  Ponadto jeszcze musicie opanować problem z koordynacją czasoprzestrzenną.
563:  Ponadto jeszcze musicie umieć analizować,
566:  dzieło kultury wizualnej, czyli dokładnie takie same mieć kompetencje, co przy analizie filmu.
571:  Więc jeżeli już mówimy o jakichś wyścigach, jeżeli chodzi o kompetencje, które trzeba mieć do jakiegoś medium, to do poznawania gier wideo trzeba mieć najwyższe kompetencje.
579:  Tylko wiecie, na czym polega różnica między ludźmi zajmującymi się grami wideo, a ludźmi zajmującymi się w ten sposób literaturą?
585:  Ludzie zajmujący się grami wideo chcą, żeby więcej ludzi grało w gry wideo.
589:  Natomiast ludzie, którzy zajmują się w ten sposób literaturą i tak ją promują, oni nie chcą, żeby więcej osób to czytało.
595:  Wiecie dlaczego, wiecie dlaczego, wiecie?
597:  No powiem wam dlaczego.
598:  Bo wtedy to nie będzie elitarne.
601:  Bo wtedy to będzie ekalitarne.
604:  Chodzi o to, żeby mało ludzi czytało Olgary Stokarczuk i Dolary Przeciw Orzechom, że ona jest nieszczęśliwa, że jest tak dużo ludzi wokół niej.
613:  Inaczej podczas spotkań autorskich nie byłoby trzech osób między Olgą Arystokarczuk a czytelnikami.
619:  Tak, sprawdzona informacja.
622:  Jedna osoba bierze książkę do rąk, druga przekazuje, trzecia jeszcze dalej przekazuje i dopiero potem wielka Olga Arystokarczuk podpisuje, wali swój autograf, żeby przypadkiem z brudnym czytelnikiem nie mieć do czynienia, prawda?
633:  Bo po to się robi taki kordon, żeby jak najmniej mieć styczności ze swoimi czytelnikami.
639:  Dlaczego są festiwal literatury i spotkania poetyckie w penklubach?
648:  A równocześnie potrafi być konwent, gdzie pisarza popularnego oblepiają czytelnicy, robi on sobie z nimi fotcie na Instagramie, cieszy się.
659:  Ludzie się ustawiają w długich kolejkach i tak można byłoby też powiedzieć, że o, że Krzysztof to jest zagrożenie.
664:  Jakie zagrożenie?
666:  Jest dokładnie taka sama ochrona na konwentach i na
668:  festiwalach literatury.
670:  Różnica polega na tym, że na festiwalach literatury literat, a nie prozaik ma w dupie czytelników.
677:  I ma w dupie poziom czytelnictwa.
680:  Czego nie ma w dupie natomiast to elitarności medium, w którym się rozeznaje.
686:  I
687:  Na czym mu przede wszystkim zależy to na tym, żeby pogłębiać istniejący i funkcjonujący podział, co jest absurdem, ponieważ cała idea postmodernizmu, w którego optyce swoją drogą czytają poloniści Olgę Tokarczuk, polegała właśnie na tym,
702:  żeby zatrzeć granice między kulturą tak zwaną wtedy popularną, a kulturą tak zwaną wtedy wysoką.
709:  I dzisiaj współcześnie nie ma czegoś takiego jak kultura popularna, kultura wysoka, tylko jest po prostu kultura, która jest pewnym spektrum.
716:  Tak samo jako seksualności czy płciowości mówimy w postmodernizmie w kontekście spektrum, tak samo w odniesieniu do kultury mówi się w określeniu pewnego spektrum.
725:  I nie ma tego rodzaju binarnego podziału na to, co jest wysokie i to, co jest niskie.
730:  Ale...
730:  Fenomen polskich pisarzy i polonistów polega na tym, że oni tego nigdy nie zaakceptowali.
736:  Pamiętam jak dzisiaj ekwilibrystyki intelektualne Ryszarda Dycza i innych teoretyków, którzy usiłowali udowodnić, że polski postmodernizm jest tak naprawdę modernizmem, żeby można było jeszcze dłużej czytać Bronana Schulza i Witolda Gombrowicza.
750:  I to jest wszystko śmieszne do pewnego stopnia, jak zajmujemy się tym na poziomie akademickim, ale przestaje być śmieszne i zaczyna być bardzo drażniące i jątrzące w momencie, w którym wychodzi w tego rodzaju uprzedzeniach na festiwalu.
764:  Na którym przecież nie chodzi o to, żebyśmy, nie wiem...
768:  krytykowali czy wyzłośliwiali się w stosunku do swoich czytelników, ale to chyba jest właśnie festiwal, właśnie coś, gdzie ma być ta łacińska radość, która tkwi w etymologii festiwalu, z tego, że się spotyka autor ze swoimi czytelnikami.
782:  I dalej, moi drodzy, w ekwilibrystykach intelektualnych.
786:  Czytamy, granice.pl się wypowiedziały także na ten temat.
790:  Została przywołana opinia Maji Staśko.
792:  Nawiasem mówiąc, to jest o tyle interesujące, że Maja Staśko była jedną z osób, które były mocno zaangażowane w te akcje ratowania
803:  okaleczonych książek Olgi Tokarczuk.
809:  Wiecie, one były okaleczone, dlatego że ludzie tam napisali różne rzeczy z tego względu, że Fundacja Olgi Tokarczuk sama zachęcała do tego na zasadzie, jak wam się nie podobają książki, to je odeślijcie.
821:  Więc jeżeli zachęca się do tego, żeby odesłać książki, które się ludziom nie podobają, to człowiek sam się prosi o to, ale potem się okazało, że to tak naprawdę była wielka ustawka, do której zresztą swoją drogą za moment wrócimy.
832:  Ale wracając do Maji Staśko, nawet Maja Staśko powiedziała, że to jest niestosowne i to tak co najmniej, że to jest podejście do ludzi, które zawsze mierziło, podstrzechają, mieszkają idioci, podstrzechami, przepraszam, mieszkają idioci, którzy nie myślą i nie czują to nie dość, że nieprawdziwe, to jeszcze głęboko pogardliwe niestety.
851:  Ja dodam, że nie tylko nieprawdziwe i głęboko pogardliwe, ale także idące wbrew wszystkim ideałom lewicy, bo tak się składa, że lewica zawsze upominała się pod...
