ZADANIA DOMOWE muszą zniknąć | Dla każdego coś przykrego #51
🔗 https://www.youtube.com/watch?v=eYZLg-IYxuM

0:  Polski system oćmiaty ma szczególny stosunek do tego, co domowe.
4:  Otóż w zależności od potrzeb albo ten przymiotnik oznacza coś bardzo negatywnego, ponieważ wiąże się z edukacją domową.
13:  Jak groza odbieranie dzieci ze szkół i nierealizowanie obowiązku szkolnego.
22:  Albo, albo mamy...
24:  Zadania domowe, dar od edukacji, wspaniałość, możliwość kontrolowania procesu uczenia się, utrwalania wiadomości, systematycznego kształcenia.
41:  Jedno i drugie odbywa się w domu, ale zabawne jest to, że jedno, edukacja domowa traktowana jest jako coś absolutnie złego, bo gdyby rzeczywiście było tak, że to w domu magicznie, nagle zyskujemy zdolność szybszego przyswajania sobie wiadomości, to powinniśmy by już od dawna zrobić edukację domową, skoro jest to takie skuteczne.
61:  No i zresztą duża część rodziców właśnie w tym kierunku idzie.
64:  Ponieważ polski rynek korepetycji pęka w szwach, a tajemnicą poliszyna jest to, że właśnie do zadania domowych najczęściej korepetytorzy są wykorzystywani, oczywiście poza przygotowywaniem do egzaminów.
75:  Wiedziony więc ciekawością w rozwiązaniu tej zagadki znalazłem artykuł na łamach Klubu Jagiellońskiego, do którego zawsze zaglądam wtedy, kiedy mam jakiekolwiek wątpliwości dotyczące edukacji.
88:  i tam przeczytałem artykuł praktyczki Karoliny Pilawy z jednej ze szkół krakowskich, bo jakżeby inaczej, oczywiście, że krakowskich, nauczycielki języka polskiego, bo oczywiście musi być to jak zawsze język polski i oczywiście jest to nauczycielka po Uniwersytecie Jagiellońskim, która pisze, że postulat likwidacji prac domowych to szkodliwy populizm.
108:  Uwielbiam sformułowanie populizm, ponieważ, o ile mi wiadomo, populizm odnosi się do sytuacji, w których głosimy hasła, którymi się podpisywały absolutnie wszyscy.
116:  Gdyby absolutnie wszyscy się w Polsce podpisywali pod hasłami związanymi z reformą edukacji, to nie byłyby one populistyczne i już dawno by do tego doszło.
125:  W związku z powyższym, niestety, choćbym bardzo chciał, żadne z reformatorskich haseł związanych z systemem polskiej oćmiaty nie jest populistyczne, ale wróćmy do tego tekstu, bo zatrzymaliśmy się na tytule i już jest jedna bzdura.
137:  Mianowicie, tekst ten generalnie stoi na stanowisku, że projekt polityczny, bo oczywiście wszystko zostaje sprowadzone do polityki, koalicji obywatelskiej, likwidacji zadań domowych jest zły.
147:  Czytamy w tekście i będziemy dzisiaj dużo czytać.
150:  Nie wszystko da się wypracować w szkole.
152:  Nauka potrzebuje doświadczenia, zabawy, eksperymentowania.
157:  To ja może znowu przerwę, ponieważ jeżeli by nauka potrzebowała doświadczenia, zabawy i eksperymentowania, to po pierwsze...
164:  eksperymentowalibyśmy z nowymi metodami kształcenia w szkołach, a nie cały czas tłukli te same.
169:  Po drugie, bawilibyśmy się różnymi rzeczami, ponieważ, jak wiadomo, zabawa służy jak najszybszemu przyswajaniu informacji, a jeśli nie zabawa, to przynajmniej różnego rodzaju doświadczenia edukacyjne.
181:  A jeżeli chodzi o eksperymentatorstwo czy doświadczeniowość, to pamiętajmy także, że nie ogranicza się to wyłącznie do nauk ścisłych, chociaż i tak przypominam sobie piękną, anegdotyczną sytuację z mojej szkoły podstawowej,
193:  w której to byłem zainteresowany takimi rureczkami, które były przy ławkach i się zastanawiałem, co to za rureczki są.
199:  No i mama mi powiedziała, bo uczęszczała do tej samej szkoły, że słuchaj, słuchaj, będziesz mieć doświadczenia chemiczne.
205:  No ale potem doświadczenia chemiczne przyszły, ale w podręczniku Krzysztofa Pazdry.
211:  Były tak narysowane ładnie doświadczenia i trzeba było sobie wyobrazić te doświadczenia i w ten sposób można było się nauczyć chemii.
221:  Fizyki też.
222:  Ale to były śliczne rysunki za to.
224:  Natomiast od podręcznika będzie osobny odcinek, dla każdego coś przykrego, bo już długo się smaży.
229:  Więc wracamy do eksperymentów, tak?
231:  Potrzebujemy eksperymentów, ale oczywiście potrzebujemy również spokoju, systematyczności, uwagi.
237:  To jest interesująca kwestia, biorąc pod uwagę fakt, że jeżeli chodzi o koncentrację, to głównie cierpimy na jej...
243:  Deficyt współcześnie, a to nie znaczy, że ludzie się przestali uczyć, po prostu ludzie zaczynają wynajdywać nowe sposoby uczenia się, które są skuteczniejsze, jak na przykład nauczanie imersywne.
252:  W ponad 20-osobowej klasie, z błędem ortograficznym, bo ponad 20-osobowej piszemy łącznie, pani polonistko, jest o to trudno, nie oszukujmy się, czytamy dalej, to jest oczywiście nieprawdą z tego względu, że jest bardzo dużo eksperymentatorów i reformatorów, którzy pracują w szkołach publicznych, w klasach i 30-osobowych, czasami 40-osobowych i wszystko się da, kwestia jest tylko organizacji pracy, no i cóż,
273:  talentu.
